Date,Open,High,Low,Close,Volume,OpenInt
20080923,0.87,0.87,0.85,0.86,0,0
20080924,0.86,0.86,0.85,0.86,0,0
20080925,0.86,0.88,0.86,0.88,0,0
20080926,0.88,0.88,0.86,0.87,0,0
20080929,0.87,0.87,0.84,0.84,0,0
20080930,0.8,0.82,0.8,0.81,0,0
20081001,0.82,0.84,0.81,0.83,0,0
20081002,0.84,0.84,0.82,0.82,0,0
20081003,0.81,0.81,0.78,0.79,0,0
20081006,0.77,0.77,0.71,0.72,0,0
20081007,0.73,0.73,0.67,0.68,0,0
20081008,0.64,0.68,0.61,0.67,0,0
20081009,0.67,0.68,0.66,0.67,0,0
20081010,0.63,0.64,0.62,0.63,0,0
20081013,0.65,0.66,0.63,0.65,0,0
20081014,0.69,0.69,0.68,0.68,0,0
20081015,0.69,0.69,0.65,0.65,0,0
20081016,0.63,0.64,0.62,0.63,0,0
20081017,0.65,0.65,0.61,0.63,0,0
20081020,0.64,0.64,0.63,0.63,0,0
20081021,0.64,0.64,0.62,0.63,0,0
20081022,0.62,0.62,0.59,0.59,0,0
20081023,0.59,0.59,0.56,0.56,0,0
20081024,0.56,0.56,0.54,0.54,0,0
20081027,0.54,0.55,0.52,0.55,0,0
20081028,0.55,0.56,0.55,0.55,0,0
20081029,0.57,0.59,0.57,0.58,0,0
20081030,0.61,0.61,0.59,0.6,0,0
20081031,0.6,0.61,0.59,0.61,0,0
20081103,0.61,0.62,0.6,0.6,0,0
20081104,0.62,0.62,0.61,0.61,0,0
20081105,0.62,0.62,0.6,0.6,0,0
20081106,0.58,0.6,0.57,0.57,0,0
20081107,0.57,0.59,0.56,0.58,0,0
20081110,0.58,0.58,0.54,0.54,0,0
20081112,0.55,0.55,0.5,0.5,0,0
20081113,0.49,0.49,0.48,0.48,0,0
20081114,0.48,0.5,0.47,0.47,0,0
20081117,0.47,0.47,0.45,0.45,0,0
20081118,0.45,0.45,0.43,0.43,0,0
20081119,0.45,0.46,0.45,0.46,0,0
20081120,0.43,0.44,0.42,0.42,0,0
20081121,0.43,0.44,0.42,0.44,0,0
20081124,0.44,0.45,0.44,0.45,0,0
20081125,0.46,0.46,0.45,0.46,0,0
20081126,0.46,0.46,0.45,0.45,0,0
20081127,0.46,0.47,0.46,0.46,0,0
20081128,0.46,0.46,0.45,0.45,0,0
20081201,0.45,0.45,0.43,0.44,0,0
20081202,0.43,0.44,0.43,0.44,0,0
20081203,0.44,0.44,0.43,0.43,0,0
20081204,0.43,0.44,0.43,0.43,0,0
20081205,0.43,0.43,0.42,0.43,0,0
20081208,0.43,0.44,0.43,0.43,0,0
20081209,0.44,0.44,0.43,0.43,0,0
20081210,0.43,0.44,0.43,0.43,0,0
20081211,0.43,0.43,0.42,0.43,0,0
20081212,0.42,0.42,0.41,0.42,0,0
20081215,0.43,0.43,0.42,0.42,0,0
