Date,Open,High,Low,Close,Volume,OpenInt
20070823,14196.1,14196.1,14196.1,14196.1,0,0
20070824,14399.3,14399.3,14399.3,14399.3,0,0
20070827,14385.9,14385.9,14385.9,14385.9,0,0
20070828,14357.5,14357.5,14357.5,14357.5,0,0
20070829,14510.7,14510.7,14510.7,14510.7,0,0
20070830,14036.8,14036.8,14036.8,14036.8,0,0
20070831,14346.3,14346.3,14346.3,14346.3,0,0
20070903,14422.7,14422.7,14422.7,14422.7,0,0
20070904,14364.1,14364.1,14364.1,14364.1,0,0
20070905,14222.5,14222.5,14222.5,14222.5,0,0
20070906,14128.8,14128.8,14128.8,14128.8,0,0
20070907,13892.3,13892.3,13892.3,13892.3,0,0
20070910,13748,13748,13748,13748,0,0
20070911,13943.8,13943.8,13943.8,13943.8,0,0
20070912,13350.8,13350.8,13350.8,13350.8,0,0
20070913,13702.5,13702.5,13702.5,13702.5,0,0
20070914,13752.6,13752.6,13752.6,13752.6,0,0
20070917,13666.6,13666.6,13666.6,13666.6,0,0
20070918,13709.9,13709.9,13709.9,13709.9,0,0
20070919,14165.5,14165.5,14165.5,14165.5,0,0
20070920,14198.2,14198.2,14198.2,14198.2,0,0
20070921,14135.6,14135.6,14135.6,14135.6,0,0
20070924,13966.5,13966.5,13966.5,13966.5,0,0
20070925,13907.4,13907.4,13907.4,13907.4,0,0
20070926,13895.4,13895.4,13895.4,13895.4,0,0
20070927,13851.2,13851.2,13851.2,13851.2,0,0
20070928,13722.9,13722.9,13722.9,13722.9,0,0
20071001,13530.8,13530.8,13530.8,13530.8,0,0
20071002,13638.8,13638.8,13638.8,13638.8,0,0
20071003,13660.4,13660.4,13660.4,13660.4,0,0
20071004,13670.6,13670.6,13670.6,13670.6,0,0
20071005,13804.7,13804.7,13804.7,13804.7,0,0
20071008,13965.3,13965.3,13965.3,13965.3,0,0
20071009,14068.9,14068.9,14068.9,14068.9,0,0
20071010,14194.5,14194.5,14194.5,14194.5,0,0
20071011,14221.8,14221.8,14221.8,14221.8,0,0
20071012,14145.3,14145.3,14145.3,14145.3,0,0
20071015,14139.7,14139.7,14139.7,14139.7,0,0
20071016,14004,14004,14004,14004,0,0
20071017,14239.7,14239.7,14239.7,14239.7,0,0
20071018,14107.5,14107.5,14107.5,14107.5,0,0
20071019,14120.5,14120.5,14120.5,14120.5,0,0
20071022,13884,13884,13884,13884,0,0
20071023,13978.2,13978.2,13978.2,13978.2,0,0
20071024,13857.6,13857.6,13857.6,13857.6,0,0
20071025,13801.6,13801.6,13801.6,13801.6,0,0
20071026,13708.2,13708.2,13708.2,13708.2,0,0
20071029,13731.7,13731.7,13731.7,13731.7,0,0
20071030,13865.6,13865.6,13865.6,13865.6,0,0
20071031,13940.1,13940.1,13940.1,13940.1,0,0
20071102,13838.6,13838.6,13838.6,13838.6,0,0
20071105,13850.6,13850.6,13850.6,13850.6,0,0
20071106,13902,13902,13902,13902,0,0
20071107,13532.7,13532.7,13532.7,13532.7,0,0
20071108,13500,13500,13500,13500,0,0
20071109,13583.3,13618.2,13294.3,13383.2,0,0
20071112,13315.8,13383.2,13206.2,13284,0,0
20071113,13280,13395.7,13206.3,13363.8,0,0
20071114,13632.2,13632.2,13254.4,13345.7,0,0
20071115,13328.3,13345.7,12726.8,12845.7,0,0
20071116,12706.9,12845.7,12543.2,12824.1,0,0
20071119,12789.8,12926.2,12652.7,12806.9,0,0
20071120,12775.1,12775.1,12387.1,12646.6,0,0
20071121,12539.4,12539.4,12260.4,12260.4,0,0
20071122,12536.3,12784.5,12314.5,12709.2,0,0
20071123,12820,12979,12820,12920.2,0,0
20071126,13034.5,13071.9,12756,12756,0,0
20071127,12706.3,12823.5,12671.1,12726.5,0,0
20071128,12807.9,12926.8,12724.7,12860.2,0,0
20071129,13002.6,13029.4,12917.1,12941.7,0,0
20071130,12958,13029.7,12912.6,12928.9,0,0
20071203,13005.2,13025.6,12930,13020.3,0,0
20071204,13075.6,13101.8,12957,13101.8,0,0
20071205,13198.3,13356.1,13198.3,13255.7,0,0
20071206,13340.1,13378.9,13159.2,13378.9,0,0
20071207,13322.6,13540,13224.3,13540,0,0
20071210,13535.6,13587.3,13469.7,13514.7,0,0
20071211,13592.3,13635.5,13464.6,13635.5,0,0
20071212,13423.9,13587.5,13402.7,13587.5,0,0
20071213,13620.5,13682,13532.6,13625.4,0,0
20071214,13565.1,13589.4,13422.9,13520.9,0,0
20071217,13332.5,13332.5,12997.7,13078.9,0,0
20071218,13004.7,13004.7,12742.4,12900.1,0,0
20071219,12919.5,12919.5,12669.8,12813.9,0,0
20071220,12806.8,12806.8,12707.3,12773.7,0,0
20071221,12704.7,13201.1,12704.7,13201.1,0,0
20071227,13337.9,13433.9,13258.5,13351.8,0,0
20071228,12459.2,12541.6,12394.5,12492.5,0,0
20080102,12485.8,12684.8,12485.8,12624.3,0,0
20080103,12512.9,12516,12406,12498.7,0,0
20080104,12424.9,12571.6,12367.5,12437.8,0,0
20080107,12350.7,12350.7,12120.4,12232.3,0,0
20080108,12213.4,12235,12160.2,12235,0,0
20080109,12117.7,12117.7,11857.7,11914.4,0,0
20080110,11935.4,11935.4,11512.3,11512.3,0,0
20080111,11320,11391.2,11111.9,11391.2,0,0
20080114,10950,10950,10950,10950,0,0
20080115,10951.7,11006.8,10668.2,10753.4,0,0
20080116,10272.5,10454.3,10212.2,10433.4,0,0
20080117,10623.3,10695.8,10335.4,10410.4,0,0
20080118,10465.5,10547.9,10396.7,10547.9,0,0
20080121,10515,10515,10302.4,10330.5,0,0
20080122,10044.1,10514.7,10044.1,10514.7,0,0
20080123,10617.5,10744.9,10596.1,10688.3,0,0
20080124,10943,11030,10813.4,10923,0,0
20080125,11119.3,11119.3,10864.3,11055.3,0,0
20080128,10836,10942.1,10836,10942.1,0,0
20080129,11040,11274.2,10978.5,11274.2,0,0
20080130,11293,11293,11144.4,11237,0,0
20080131,11265.3,11265.3,11054.1,11198.6,0,0
20080201,11330.5,11484.7,11269.7,11484.7,0,0
20080204,11585.2,11688.8,11482.9,11570.8,0,0
20080205,11516,11516,11189.8,11341,0,0
20080206,11046,11212.2,11026.8,11155.7,0,0
20080207,11225.5,11225.5,10947.4,11103.5,0,0
20080208,11176.6,11335.3,11176.6,11335.3,0,0
20080211,11371.6,11484.4,11371.6,11393.3,0,0
20080212,11486.8,11639.4,11409.2,11639.4,0,0
20080213,11725.7,11725.7,11611.2,11649.2,0,0
20080214,11801.3,11819.4,11697.4,11764.1,0,0
20080215,11726.3,11751.5,11620.7,11680.7,0,0
20080218,11701.4,11884,11701.4,11884,0,0
20080219,11913.2,11913.9,11809.9,11888.1,0,0
20080220,11876.7,11876.7,11756,11861.8,0,0
20080221,11904.9,11970,11861.8,11919.6,0,0
