Date,Open,High,Low,Close,Volume,OpenInt
20110301,12.93,13.07,12.79,12.79,0,0
20110302,12.79,12.86,12.23,12.23,0,0
20110303,12.23,12.53,12.21,12.53,0,0
20110304,12.53,12.68,12.49,12.49,0,0
20110307,12.49,12.74,12.49,12.59,0,0
20110308,12.59,12.66,12.34,12.49,0,0
20110309,12.43,12.55,12.4,12.46,0,0
20110310,12.46,19.24,12.08,19.24,0,0
20110311,19.24,19.24,11.99,11.99,0,0
20110314,11.99,12.24,11.99,12.19,0,0
20110315,12.19,12.19,11.84,12.1,0,0
20110316,12.1,12.45,12.1,12.34,0,0
20110317,12.34,12.73,12.34,12.73,0,0
20110318,12.73,12.81,12.64,12.64,0,0
20110321,12.64,12.82,12.64,12.75,0,0
20110322,12.75,12.75,12.18,12.18,0,0
20110323,12.18,12.2,12.06,12.2,0,0
20110324,12.2,12.42,12.2,12.36,0,0
20110325,12.36,14.51,12.19,14.51,0,0
20110328,14.51,14.51,14.29,14.42,0,0
20110329,14.42,14.46,14.24,14.26,0,0
20110330,14.26,14.63,14.21,14.21,0,0
20110331,14.21,14.44,14.21,14.27,0,0
20110401,14.27,14.52,14.27,14.52,0,0
20110404,14.52,14.64,14.43,14.5,0,0
20110405,14.5,14.54,14.34,14.52,0,0
20110406,14.52,14.7,14.45,14.56,0,0
20110407,14.56,14.69,14.56,14.69,0,0
20110408,14.69,14.82,14.65,14.66,0,0
20110411,14.66,14.78,14.52,14.52,0,0
20110412,14.52,14.52,14.28,14.35,0,0
20110413,14.35,14.51,14.33,14.47,0,0
20110414,14.47,14.47,14.29,14.29,0,0
20110415,14.29,14.45,14.29,14.43,0,0
20110418,14.43,14.5,14.12,14.23,0,0
20110419,14.23,14.44,14.23,14.39,0,0
20110420,14.39,14.82,14.39,14.78,0,0
20110421,14.78,14.89,14.72,14.79,0,0
20110426,14.79,14.89,14.57,14.75,0,0
20110427,14.75,14.76,14.56,14.62,0,0
20110428,14.62,14.71,14.57,14.71,0,0
20110429,14.71,14.73,14.5,14.62,0,0
20110502,14.62,14.62,12.86,12.86,0,0
20110504,12.86,12.86,12.47,12.47,0,0
20110505,12.47,12.63,12.32,12.34,0,0
20110506,12.34,12.36,12.16,12.33,0,0
20110509,12.55,12.6,12.41,12.41,0,0
20110510,12.41,12.65,12.39,12.39,0,0
20110511,12.39,12.58,12.3,12.49,0,0
20110512,12.42,12.42,11.88,12.12,0,0
20110513,12.12,12.24,11.66,11.66,0,0
20110516,11.66,11.8,11.59,11.7,0,0
20110517,11.7,11.79,11.57,11.65,0,0
20110518,11.65,11.93,11.55,11.93,0,0
20110519,11.93,12.09,11.68,11.68,0,0
20110520,11.68,11.8,11.65,11.66,0,0
20110523,11.66,11.66,11.43,11.63,0,0
20110524,11.63,11.69,11.61,11.69,0,0
20110525,11.69,11.75,11.6,11.75,0,0
20110526,11.75,11.82,11.69,11.77,0,0
20110527,11.77,11.92,11.77,11.85,0,0
20110530,11.85,11.96,11.85,11.92,0,0
20110531,11.92,12.03,11.92,11.96,0,0
20110601,11.96,12.02,11.76,11.92,0,0
20110602,11.92,12.56,11.45,12.56,0,0
20110603,12.56,12.6,12.37,12.44,0,0
20110606,12.44,12.59,12.33,12.53,0,0
20110607,12.53,12.66,12.53,12.54,0,0
20110608,12.54,12.56,12.42,12.48,0,0
20110609,12.48,12.52,12.36,12.42,0,0
20110610,12.42,12.47,12.33,12.36,0,0
20110613,12.36,12.36,12.13,12.25,0,0
20110614,12.25,12.53,12.25,12.46,0,0
20110615,12.46,12.46,12.33,12.35,0,0
20110616,12.35,12.42,12.2,12.42,0,0
20110617,12.42,12.85,12.29,12.85,0,0
20110620,12.85,12.89,12.3,12.3,0,0
20110621,12.3,12.3,12.15,12.26,0,0
20110622,12.26,12.26,12.07,12.23,0,0
20110624,12.23,12.28,12.08,12.21,0,0
20110627,12.21,12.23,12.01,12.12,0,0
20110628,12.12,12.12,11.91,12.09,0,0
20110629,12.09,12.29,12.09,12.29,0,0
20110630,12.29,12.37,12.27,12.37,0,0
20110701,12.37,12.37,12.18,12.31,0,0
20110704,12.31,12.37,12.28,12.36,0,0
20110705,12.36,12.43,12.29,12.43,0,0
20110706,12.43,12.43,12.24,12.41,0,0
20110707,12.22,12.5,12.17,12.5,0,0
20110708,12.5,12.5,12.27,12.32,0,0
20110711,11.46,11.52,11.21,11.35,0,0
20110712,11.35,11.35,11.01,11.19,0,0
20110713,11.19,11.3,11.19,11.28,0,0
20110714,11.28,11.28,11.16,11.26,0,0
20110715,11.26,11.31,11.15,11.31,0,0
20110718,11.31,11.32,11.09,11.09,0,0
20110719,11.09,11.24,11.05,11.2,0,0
20110720,11.2,11.25,11.11,11.12,0,0
20110721,11.12,11.14,10.94,11.12,0,0
20110722,11.12,11.16,11.02,11.16,0,0
20110725,11.16,11.16,11.03,11.12,0,0
20110726,11.12,11.12,10.89,11.02,0,0
20110727,11,11.01,10.88,10.95,0,0
20110728,10.95,11.05,10.79,11.05,0,0
20110729,11.05,11.14,10.96,11.14,0,0
20110801,11.14,11.21,10.93,10.93,0,0
20110802,10.93,10.96,10.77,10.8,0,0
20110803,10.8,10.8,10.24,10.44,0,0
20110804,10.44,10.51,9.83,9.86,0,0
20110805,9.86,9.86,9.05,9.66,0,0
20110808,9.66,9.66,8.91,8.98,0,0
20110809,9.04,9.04,8.23,8.75,0,0
20110810,8.75,9.13,8.12,8.12,0,0
20110811,8.12,8.48,7.94,8.45,0,0
20110812,8.45,8.71,8.45,8.65,0,0
20110816,8.65,8.99,8.65,8.9,0,0
20110817,8.9,9.17,8.86,8.92,0,0
20110818,8.92,8.92,8.15,8.31,0,0
20110819,8.31,8.31,7.98,8.29,0,0
20110822,8.29,8.44,8.2,8.42,0,0
20110823,8.42,8.7,8.42,8.62,0,0
20110824,8.62,8.68,8.56,8.66,0,0
20110825,8.66,9.03,8.64,9.03,0,0
20110826,9.03,9.03,8.85,8.94,0,0
20110829,8.94,9.31,8.94,9.29,0,0
20110830,9.29,9.56,9.29,9.43,0,0
20110831,9.43,9.82,9.43,9.75,0,0
20110901,9.75,10.38,9.59,10.38,0,0
20110902,10.38,10.38,9.94,10,0,0
20110905,10,10,7.71,7.71,0,0
20110906,7.71,7.92,7.71,7.85,0,0
20110907,7.85,8.2,7.85,8.2,0,0
20110908,8.2,8.27,8.07,8.22,0,0
20110909,8.22,8.22,7.94,8,0,0
20110912,8,8,7.61,7.61,0,0
