Date,Open,High,Low,Close,Volume,OpenInt
20110228,4757.01,4870.11,4757.01,4870.11,4774067,0
20110301,4911.3,4915.06,4852.74,4852.74,2944890,0
20110302,4816.3,4920.16,4816.3,4920.16,5836144,0
20110303,4989.83,5068.57,4989.83,5068.57,5397031,0
20110304,5125.07,5125.07,5031.05,5031.05,4310696,0
20110307,5126.29,5126.29,5026.18,5026.18,2879082,0
20110308,5026.48,5026.48,4901.68,4913.62,5773739,0
20110309,4944.34,4949.35,4906.63,4906.63,2191425,0
20110310,4787.93,4793.55,4740.24,4740.24,3272262,0
20110311,4667.71,4760.22,4667.71,4760.22,3097910,0
20110314,4851.03,4851.03,4795.5,4816.09,1571493,0
20110315,4669.36,4733.04,4669.36,4733.04,2922214,0
20110316,4808.03,4816.37,4788.41,4788.41,4996163,0
20110317,4846.93,4945.23,4846.93,4944.24,3295381,0
20110318,4954.87,4954.87,4915.74,4915.74,5673505,0
20110321,4964.11,4964.11,4952.52,4952.52,3205052,0
20110322,4901.87,4919.27,4882.75,4919.27,2897194,0
20110323,4977.53,4992.22,4955.2,4992.22,3338971,0
20110324,5092.85,5102.73,5007.6,5102.73,2594104,0
20110325,5091.99,5138.99,5055.2,5138.99,9420462,0
20110328,5104.15,5135.55,5104.15,5135.55,5125049,0
20110329,5099.6,5101.38,5090.58,5101.38,5144701,0
20110330,5146.21,5146.21,5018.82,5018.82,5433931,0
20110331,5064.34,5064.34,5030.03,5030.03,4276019,0
20110401,5078.34,5142.99,5057.54,5142.99,3799514,0
20110404,5185.85,5202.39,5185.85,5186.39,5269640,0
20110405,5150.84,5199.89,5150.84,5199.89,2151025,0
20110406,5237.32,5301.69,5237.32,5301.69,3993337,0
20110407,5332.4,5358.79,5329.59,5358.79,3809323,0
20110408,5450.21,5450.21,5338.02,5338.02,3303697,0
20110411,5385.64,5385.64,5319,5319,1792822,0
20110412,5273.96,5298.55,5217.36,5217.36,1959023,0
20110413,5256.29,5320.38,5256.29,5303.69,2794916,0
20110414,5272.7,5272.7,5223.57,5233.64,2186579,0
20110415,5249.38,5309.5,5249.38,5309.5,1545028,0
20110418,5319.21,5319.21,5171.49,5171.49,4005015,0
20110419,5211.92,5233.97,5211.71,5211.71,1508094,0
20110420,5363.47,5415.94,5363.47,5415.94,2040215,0
20110421,5403.71,5403.71,5379.54,5379.54,4446871,0
20110426,5360.68,5387.19,5360.68,5387.19,3810840,0
20110427,5396.62,5396.62,5348.75,5348.75,4035119,0
20110428,5347.84,5397.87,5333.83,5397.87,2104696,0
20110429,5366.89,5375.65,5340.05,5340.05,2261372,0
20110502,5288.07,5350.76,5288.07,5350.76,2233651,0
20110504,5250.73,5250.73,5200.22,5200.22,2592311,0
20110505,5156.8,5156.8,5047.76,5047.76,4512008,0
20110506,4964.71,5092.27,4964.71,5028.74,5266745,0
20110509,5073.35,5073.35,5009.95,5009.95,6994117,0
20110510,5099.5,5115.95,5090.19,5115.95,5527527,0
20110511,5127.31,5127.31,5075.6,5075.6,10985011,0
20110512,4875.86,4940.67,4875.86,4940.67,3866869,0
20110513,5030.38,5030.38,4955.4,4955.4,1752900,0
20110516,4910.41,4949.67,4910.41,4949.67,1611681,0
20110517,4949.52,4949.52,4866.31,4866.31,4448357,0
20110518,4960.51,4983.2,4960.51,4983.2,3673742,0
20110519,4983.98,5050.4,4973.45,4973.45,3884169,0
20110520,5018.72,5018.72,4983.19,4983.19,3886967,0
20110523,4880.84,4928.57,4876.16,4928.57,4692762,0
20110524,4957.15,4981.57,4957.15,4981.57,3297546,0
20110525,5021.46,5078.13,5000.16,5078.13,2977538,0
20110526,5085.29,5099.96,5085.29,5089.93,6005148,0
20110527,5146.51,5171.81,5146.51,5171.81,7510981,0
20110530,5163.42,5163.42,5139.98,5139.98,2583166,0
20110531,5242.61,5261.32,5230.96,5230.96,7698394,0
20110601,5220.44,5220.44,5200.29,5200.29,3618197,0
20110602,5148.69,5161.41,5127.53,5127.53,10975532,0
20110603,5142.11,5142.11,5084.83,5127.5,5381945,0
20110606,5129.9,5140.29,5125.01,5125.01,3824613,0
20110607,5220.63,5220.63,5212.26,5212.26,3960882,0
20110608,5172.94,5172.94,5149.42,5159.72,6778253,0
20110609,5133.8,5210.03,5133.8,5210.03,10595378,0
20110610,5183.72,5183.72,5106.03,5106.03,4191403,0
