Date,Open,High,Low,Close,Volume,OpenInt
20131227,141.4,141.4,139.2,139.2,6,6
20131230,137.6,137.6,133.4,133.4,7,13
20140102,139.4,144.8,139.4,144.8,2,15
20140107,109.6,112.6,109.6,112.6,4,19
20140108,105.2,109,105.2,109,4,23
20140109,114,114,114,114,1,24
20140110,96.4,96.4,96,96,11,35
20140113,100.6,115.05,100.6,111.2,15,40
20140114,118.4,120,118.4,120,3,43
20140115,126,126,126,126,1,44
20140121,131,131,131,131,1,45
20140127,92.4,92.4,92.4,92.4,1,46
20140205,109.4,109.4,107.2,107.6,5,51
20140224,152.8,153.7,152.8,153.7,4,47
20140226,169,169,157,157,31,18
20140317,107.9,107.9,107.9,107.9,1,19
20140321,104,104,104,104,1,20
20140324,95.25,95.25,95.25,95.25,1,21
20140326,118.5,118.5,118.5,118.5,5,26
20140327,115.1,121.9,115.1,121.9,3,26
20140410,119.5,119.5,119.5,119.5,1,27
20140411,110.5,113,108.5,113,4,31
20140414,102,102,102,102,5,36
20140415,100,101,97.25,97.5,7,43
20140416,99,99,86.25,86.25,6,43
20140417,94.9,94.9,94.9,94.9,1,44
20140424,109,110.5,98.3,98.3,7,50
20140506,74,78,74,78,3,53
20140507,72,79,72,79,3,55
20140508,80.1,80.1,80.1,80.1,1,55
20140512,75.5,79,75.5,79,7,50
20140513,85,88,80.85,80.85,4,50
20140515,80.25,80.25,68.4,68.4,14,57
20140516,65.75,65.75,65.75,65.75,1,58
20140519,69.75,70.95,67.75,70.95,5,63
20140523,94.75,99.45,94.75,96.5,3,63
20140602,78.6,79,75.65,75.65,4,66
20140603,84.95,84.95,76.95,81.5,3,69
20140609,96.8,96.8,96.8,96.8,1,69
20140610,100.5,100.5,94.25,94.25,3,68
20140611,90,100,89,89.9,14,81
20140612,93,93,85.4,85.4,2,82
20140617,87.05,87.05,87.05,87.05,1,83
20140623,85,85,83,83,3,83
20140624,85.8,85.8,80.95,80.95,12,95
20140625,69.1,69.1,63.4,63.85,5,99
20140626,60.05,60.05,53.1,53.1,4,102
20140627,54.3,57.35,53.35,53.35,13,114
20140630,55.55,55.55,55.55,55.55,2,116
20140701,51.55,56.4,51.55,56.4,6,122
20140702,48.1,52.9,43.7,43.7,11,132
20140703,46,46,37.6,37.9,14,145
20140704,41,41,39.9,39.9,3,146
20140707,42.5,42.5,42.5,42.5,1,147
20140708,42,42,36,36,4,148
20140709,34.6,34.6,29.7,29.7,4,151
20140710,27,27,24.8,24.8,2,153
20140711,38.7,38.7,38.7,38.7,1,154
20140714,42,42,42,42,1,155
20140716,42,43,42,43,9,164
20140717,38.17,38.17,38.17,38.17,1,165
20140718,41.2,41.2,41.2,41.2,1,166
20140721,45.53,45.53,39.9,39.9,3,165
20140722,46.38,46.38,46.38,46.38,1,165
20140723,42.74,42.74,42.74,42.74,1,166
20140725,43.24,43.24,43.24,43.24,10,176
20140728,42.7,42.7,42.7,42.7,1,177
20140729,39.6,39.6,39.6,39.6,1,177
20140730,34.42,34.42,27.07,27.07,8,181
20140731,28.3,28.3,21.82,21.82,30,180
20140801,21.5,27.04,20,26,16,188
20140804,27.12,29.5,26.8,27.37,4,188
20140805,30,33.2,27.12,29.11,6,190
20140806,29,29,24.97,29,3,192
20140807,25.6,25.82,22.01,22.46,8,194
20140808,21.22,22,17.5,19.7,17,200
20140811,22,24,21.99,24,6,205
20140812,23.01,23.01,23.01,23.01,1,206
20140813,28.62,28.62,28.62,28.62,1,207
20140814,30.2,40.4,30.2,39.01,16,217
20140818,46,54,46,54,10,223
20140819,53.95,55,52.5,52.5,9,215
20140820,52.4,52.4,52.4,52.4,1,216
20140821,52.8,52.8,52.8,52.8,1,217
20140822,54,54,48.31,48.31,13,218
