Date,Open,High,Low,Close,Volume,OpenInt
20141124,16.26,22.46,16.02,22.46,7,7
20141126,17.84,17.84,17.84,17.84,3,10
20141127,16.75,16.75,16.75,16.75,1,11
20141202,12.5,12.5,12.5,12.5,5,16
20141203,11.86,11.86,11.21,11.21,10,26
20141204,11.95,11.95,11.39,11.39,15,41
20141205,15.88,15.95,15.52,15.52,7,43
20141208,14.17,14.17,14.17,14.17,5,48
20141209,16.7,16.7,16.7,16.7,2,50
20141210,19.21,21.27,19.21,21.27,4,54
20141211,23.55,23.55,23.55,23.55,1,55
20141215,29.49,39.38,26.75,39.38,10,45
20141216,45.38,73.55,43.54,73.55,23,24
20141217,66.4,66.4,50,50,3,23
20141219,43,43,43,43,1,24
20141222,38.64,38.64,38.64,38.64,1,25
20141223,33,33,33,33,1,26
20141229,31.78,44.84,31.3,39,44,26
20141230,41,41,38,38,3,46
