Date,Open,High,Low,Close,Volume,OpenInt
20140623,145.5,145.5,144.5,144.5,6,6
20140625,144.45,144.45,144.45,144.45,2,6
20140626,150.85,150.85,148.75,148.75,3,6
20140702,158.9,158.9,158.9,158.9,1,6
20140721,155,155,155,155,1,6
20140729,156,156,156,156,1,7
20140904,89.3,90.3,89.3,90.3,11,18
20140905,86.75,88.5,86.75,88.5,2,20
20140922,70.2,70.7,70.2,70.45,11,28
20141010,131.15,131.15,124,124,2,27
20141013,119,119,119,119,1,28
20141015,117,117,117,117,1,29
20141106,98,98,98,98,1,28
20141202,90,90,90,90,1,28
20141203,80.6,80.6,80.6,80.6,4,32
20141204,84,84,84,84,4,32
20141211,116.6,116.6,116.6,116.6,1,31
20141216,169.95,169.95,169.95,169.95,1,32
20141219,148.8,149,148.8,149,2,30
20141222,147.5,147.5,147.5,147.5,1,29
