Date,Open,High,Low,Close,Volume,OpenInt
20070823,322343,322343,322343,322343,0,0
20070824,324562,324562,324562,324562,0,0
20070827,321356,321356,321356,321356,0,0
20070828,320307,320307,320307,320307,0,0
20070829,322175,322175,322175,322175,0,0
20070830,319763,319763,319763,319763,0,0
20070831,327254,327254,327254,327254,0,0
20070903,326710,326710,326710,326710,0,0
20070904,327745,327745,327745,327745,0,0
20070905,324452,324452,324452,324452,0,0
20070906,322329,322329,322329,322329,0,0
20070907,322532,322532,322532,322532,0,0
20070910,317712,317712,317712,317712,0,0
20070911,318178,318178,318178,318178,0,0
20070912,322816,322816,322816,322816,0,0
20070913,323063,323063,323063,323063,0,0
20070914,322055,322055,322055,322055,0,0
20070917,322525,322525,322525,322525,0,0
20070918,324850,324850,324850,324850,0,0
20070919,334587,334587,334587,334587,0,0
20070920,333880,333880,333880,333880,0,0
20070921,334148,334148,334148,334148,0,0
20070924,329978,329978,329978,329978,0,0
20070925,326650,326650,326650,326650,0,0
20070926,327741,327741,327741,327741,0,0
20070927,330039,330039,330039,330039,0,0
20070928,328426,328426,328426,328426,0,0
20071001,327806,327806,327806,327806,0,0
20071002,331873,331873,331873,331873,0,0
20071003,331097,331097,331097,331097,0,0
20071004,332196,332196,332196,332196,0,0
20071005,334304,334304,334304,334304,0,0
20071008,336248,336248,336248,336248,0,0
20071009,341274,341274,341274,341274,0,0
20071010,341545,341545,341545,341545,0,0
20071011,343025,343025,343025,343025,0,0
20071012,343153,343153,343153,343153,0,0
20071015,344688,344688,344688,344688,0,0
20071016,338159,338159,338159,338159,0,0
20071017,338557,338557,338557,338557,0,0
20071018,331974,331974,331974,331974,0,0
20071019,334648,334648,334648,334648,0,0
20071022,332849,332849,332849,332849,0,0
20071023,338690,338690,338690,338690,0,0
20071024,337567,337567,337567,337567,0,0
20071025,339425,339425,339425,339425,0,0
20071026,337209,337209,337209,337209,0,0
20071029,340989,340989,340989,340989,0,0
20071030,339652,339652,339652,339652,0,0
20071031,339000,339000,339000,339000,0,0
20071102,335207,335207,335207,335207,0,0
20071105,334876,334876,334876,334876,0,0
20071106,334072,334072,334072,334072,0,0
20071107,327595,327595,327595,327595,0,0
20071108,321556,321556,321556,321556,0,0
20071109,322972,326840,320541,324483,0,0
20071112,322483,324483,318893,319080,0,0
20071113,319373,319865,315243,319192,0,0
20071114,321517,321517,315139,315161,0,0
20071115,315406,316404,309105,310915,0,0
20071116,309577,311278,305825,311145,0,0
20071119,313280,315107,310624,315107,0,0
20071120,315372,316673,313472,316673,0,0
20071121,314093,314781,312625,313978,0,0
20071122,314168,317317,312469,313810,0,0
20071123,314736,318273,313526,317957,0,0
20071126,319187,319187,314831,316076,0,0
20071127,314688,315341,312799,314230,0,0
20071128,314875,319153,313397,319153,0,0
20071129,321901,322470,320299,320299,0,0
