Date,Open,High,Low,Close,Volume,OpenInt
20071019,18.2,18.2,18.2,18.2,0,0
20071022,18.2,18.2,18.2,18.2,0,0
20071023,18.2,18.2,18.2,18.2,0,0
20071024,18.3,18.3,18.3,18.3,0,0
20071025,18.3,18.3,18.3,18.3,0,0
20071026,18.3,18.3,18.3,18.3,0,0
20071029,18.3,18.3,18.3,18.3,0,0
20071030,18.3,18.3,18.3,18.3,0,0
20071031,18.3,18.3,18.3,18.3,0,0
20071102,17.8,17.8,17.8,17.8,0,0
20071105,17.3,17.3,17.3,17.3,0,0
20071106,17.4,17.4,17.4,17.4,0,0
20071107,17.3,17.3,17.3,17.3,0,0
20071108,17.2,17.2,17.2,17.2,0,0
20071109,17.2,17.3,15.6,15.6,0,0
20071112,15.5,15.6,15.5,15.6,0,0
20071113,15.5,15.6,15.5,15.5,0,0
20071114,15.5,15.5,15.5,15.5,0,0
20071115,15.5,15.5,15.5,15.5,0,0
20071116,15.5,15.5,14.8,15.5,0,0
20071119,15.5,16.7,15.5,16.7,0,0
20071120,16.2,16.3,16.2,16.3,0,0
20071122,16.3,16.3,15.5,15.5,0,0
20071123,15.5,15.7,15.5,15.7,0,0
20071126,15.7,15.7,15.7,15.7,0,0
20071127,15.7,16.3,15.7,15.8,0,0
20071128,15.8,15.8,15.8,15.8,0,0
20071129,15.8,15.8,15.8,15.8,0,0
20071130,15.8,16.7,15.8,16.7,0,0
20071203,16.7,16.7,16.7,16.7,0,0
20071204,16.7,16.7,16.7,16.7,0,0
20071205,16.7,16.7,15.9,15.9,0,0
20071206,15.9,15.9,15.9,15.9,0,0
20071207,16.1,16.4,16,16,0,0
20071210,16,16.6,16,16.4,0,0
20071211,16.4,16.4,16.4,16.4,0,0
20071212,16.4,16.4,15.8,15.8,0,0
20071213,15.8,15.8,15.8,15.8,0,0
20071214,15.8,15.8,15.8,15.8,0,0
20071217,15.8,15.8,15.8,15.8,0,0
20071218,15.8,15.8,15.8,15.8,0,0
20071219,15.8,15.9,15.8,15.9,0,0
20071220,15.9,15.9,15.9,15.9,0,0
20071221,15.9,15.9,15.9,15.9,0,0
20071227,15.8,15.9,15.8,15.9,0,0
20071228,15.9,16.3,15.8,15.8,0,0
20080102,15.8,15.8,15.8,15.8,0,0
20080103,15.8,15.8,15.8,15.8,0,0
20080104,15.8,16.2,15.8,15.8,0,0
20080107,15.8,16,15.8,15.8,0,0
20080108,15.8,16.3,15.8,15.8,0,0
20080109,15.8,15.8,15.8,15.8,0,0
20080110,15.8,15.8,15.8,15.8,0,0
20080111,15.8,15.8,15.8,15.8,0,0
20080114,15.6,15.6,15.6,15.6,0,0
20080115,15.6,15.6,15.6,15.6,0,0
20080116,15.6,15.6,15.1,15.6,0,0
20080117,15.6,15.6,15.6,15.6,0,0
20080118,15.1,15.6,15.1,15.6,0,0
20080121,14.9,15.1,14.9,15.1,0,0
20080122,15.1,15.6,15.1,15.6,0,0
20080123,15.9,15.9,15.6,15.9,0,0
20080124,15.7,16.3,15.7,16.2,0,0
20080125,16.2,16.2,16.2,16.2,0,0
20080128,16.2,16.2,16.2,16.2,0,0
20080129,16.2,16.2,16.2,16.2,0,0
20080130,16.2,16.2,16.2,16.2,0,0
20080131,16.3,16.3,16.2,16.2,0,0
20080201,16.2,16.2,16.2,16.2,0,0
20080204,16.2,16.6,15.6,16.6,0,0
20080205,16.6,16.6,16.6,16.6,0,0
20080206,16.6,16.6,15.8,16.6,0,0
20080207,16.6,16.6,15.8,16.6,0,0
20080208,16.6,16.6,15.8,16.6,0,0
20080211,16.6,16.6,16.6,16.6,0,0
20080212,16.6,16.6,16.6,16.6,0,0
20080213,16.6,16.6,16.6,16.6,0,0
20080214,16.6,16.6,16.5,16.5,0,0
20080215,16.5,16.5,16.5,16.5,0,0
20080218,16.5,16.5,16.5,16.5,0,0
20080219,16.5,16.5,16.5,16.5,0,0
20080220,16.5,16.5,16.5,16.5,0,0
20080221,16.5,16.5,16.5,16.5,0,0
20080222,16.5,16.5,16.5,16.5,0,0
20080225,16.5,16.5,16.5,16.5,0,0
20080226,16.5,16.5,16.5,16.5,0,0
20080227,16.5,16.5,15.9,15.9,0,0
20080228,15.9,16.5,15.9,16.5,0,0
20080229,16.5,16.5,13.3,13.3,0,0
20080303,13.3,13.3,13.3,13.3,0,0
20080304,13.3,13.3,13.3,13.3,0,0
20080305,13.3,13.3,13.2,13.2,0,0
20080306,13.2,13.2,13.2,13.2,0,0
20080307,13.2,13.2,13.2,13.2,0,0
20080310,13.2,13.2,13.1,13.1,0,0
20080311,13.1,13.2,13,13.2,0,0
20080312,12.8,13.2,12.8,13.1,0,0
20080313,13.1,13.2,12.8,13.2,0,0
20080314,13.2,13.2,13.1,13.1,0,0
20080317,13.1,13.1,13.1,13.1,0,0
20080318,13.1,13.1,13.1,13.1,0,0
20080319,13.1,13.1,12.8,13.1,0,0
20080320,13.1,13.1,12.8,13.1,0,0
20080325,13.1,13.1,13.1,13.1,0,0
20080326,13.1,13.1,13.1,13.1,0,0
20080327,13.1,13.2,13.1,13.2,0,0
20080328,13.1,13.1,13.1,13.1,0,0
20080331,13.2,13.2,13.2,13.2,0,0
20080401,13.2,13.2,12.9,13.2,0,0
20080402,13.2,13.2,12.9,13.2,0,0
20080403,13.2,13.2,13,13.2,0,0
20080404,13.2,13.2,13.1,13.1,0,0
20080407,13,13.2,13,13.1,0,0
20080408,13.1,13.1,13.1,13.1,0,0
20080409,13.1,13.1,13,13,0,0
20080410,13,13.2,13,13.2,0,0
