Date,Open,High,Low,Close,Volume,OpenInt
20071019,3.459,3.459,3.459,3.459,0,0
20071022,3.402,3.402,3.402,3.402,0,0
20071023,3.436,3.436,3.436,3.436,0,0
20071024,3.468,3.468,3.468,3.468,0,0
20071025,3.427,3.427,3.427,3.427,0,0
20071026,3.379,3.379,3.379,3.379,0,0
20071029,3.346,3.346,3.346,3.346,0,0
20071030,3.305,3.305,3.305,3.305,0,0
20071031,3.349,3.349,3.349,3.349,0,0
20071102,3.308,3.308,3.308,3.308,0,0
20071105,3.642,3.642,3.642,3.642,0,0
20071106,3.609,3.609,3.609,3.609,0,0
20071107,3.446,3.446,3.446,3.446,0,0
20071108,3.396,3.396,3.396,3.396,0,0
20071109,3.36,3.36,3.27,3.35,0,0
20071112,3.64,3.64,3.52,3.55,0,0
20071113,3.46,3.49,3.4,3.49,0,0
20071114,3.17,3.17,3.08,3.11,0,0
20071115,3.09,3.11,2.66,2.66,0,0
20071116,2.6,2.66,2.54,2.56,0,0
20071119,2.59,2.62,2.56,2.58,0,0
20071120,2.57,2.57,2.49,2.5,0,0
20071121,2.48,2.48,2.34,2.4,0,0
20071122,2.36,2.5,2.3,2.5,0,0
20071123,2.52,2.57,2.5,2.57,0,0
20071126,2.62,2.62,2.5,2.54,0,0
20071127,2.51,2.53,2.47,2.51,0,0
20071128,2.55,2.61,2.51,2.61,0,0
20071129,2.66,2.73,2.63,2.73,0,0
20071130,2.74,2.82,2.74,2.82,0,0
20071203,2.82,2.83,2.8,2.82,0,0
20071204,2.81,2.81,2.56,2.56,0,0
20071205,2.56,2.62,2.56,2.62,0,0
20071206,2.62,2.62,2.58,2.6,0,0
20071207,2.57,2.61,2.57,2.61,0,0
20071210,2.6,2.63,2.59,2.63,0,0
20071211,2.63,2.63,2.57,2.6,0,0
20071212,2.56,2.59,2.54,2.59,0,0
20071213,2.57,2.57,2.52,2.54,0,0
20071214,2.51,2.52,2.48,2.51,0,0
20071217,2.49,2.49,2.43,2.43,0,0
20071218,2.42,2.43,2.36,2.43,0,0
20071219,2.44,2.44,2.39,2.4,0,0
20071220,2.39,2.4,2.36,2.37,0,0
20071221,2.37,2.39,2.35,2.39,0,0
20071227,2.44,2.45,2.42,2.45,0,0
20071228,2.45,2.47,2.43,2.46,0,0
20080102,2.47,2.5,2.47,2.49,0,0
20080103,2.46,2.48,2.44,2.48,0,0
20080104,2.49,2.49,2.43,2.45,0,0
20080107,2.43,2.43,2.39,2.41,0,0
20080108,2.4,2.4,2.35,2.37,0,0
20080109,2.34,2.34,2.27,2.3,0,0
20080110,2.29,2.3,2.18,2.21,0,0
20080111,2.201,2.232,2.182,2.189,0,0
20080114,2.16,2.16,2.16,2.16,0,0
20080115,2.17,2.18,2.09,2.11,0,0
20080116,2.03,2.05,1.96,2.04,0,0
20080117,2.09,2.12,2.06,2.12,0,0
20080118,2.09,2.19,2.09,2.18,0,0
20080121,2.15,2.18,2.08,2.08,0,0
20080122,1.97,2.16,1.97,2.16,0,0
20080123,2.22,2.24,2.15,2.22,0,0
20080124,2.28,2.31,2.28,2.3,0,0
20080125,2.36,2.36,2.31,2.34,0,0
20080128,2.3,2.34,2.3,2.34,0,0
20080129,2.37,2.43,2.36,2.43,0,0
20080130,2.44,2.45,2.4,2.45,0,0
20080131,2.44,2.47,2.38,2.41,0,0
20080201,2.42,2.46,2.41,2.46,0,0
20080204,2.5,2.5,2.45,2.45,0,0
20080205,2.46,2.46,2.41,2.42,0,0
20080206,2.37,2.44,2.37,2.44,0,0
20080207,2.44,2.46,2.4,2.42,0,0
20080208,2.43,2.44,2.39,2.4,0,0
20080211,2.42,2.44,2.4,2.41,0,0
20080212,2.43,2.47,2.43,2.47,0,0
20080213,2.48,2.49,2.45,2.48,0,0
20080214,2.5,2.52,2.49,2.51,0,0
20080215,2.51,2.51,2.44,2.5,0,0
20080218,2.48,2.53,2.48,2.53,0,0
20080219,2.53,2.54,2.52,2.52,0,0
20080220,2.51,2.54,2.49,2.54,0,0
20080221,2.57,2.57,2.54,2.56,0,0
20080222,2.54,2.56,2.53,2.55,0,0
20080225,2.55,2.56,2.51,2.54,0,0
20080226,2.53,2.53,2.48,2.5,0,0
20080227,2.5,2.52,2.47,2.5,0,0
20080228,2.46,2.47,2.33,2.33,0,0
20080229,2.35,2.36,2.29,2.3,0,0
20080303,2.22,2.23,2.03,2.03,0,0
20080304,2.02,2.03,2,2,0,0
20080305,2.02,2.04,1.99,2.04,0,0
20080306,2.05,2.05,2.01,2.01,0,0
20080307,2,2,1.98,2,0,0
20080310,1.98,2.01,1.98,2,0,0
20080311,2.01,2.04,1.99,2.03,0,0
20080312,2.07,2.07,2.03,2.07,0,0
20080313,2.07,2.07,2,2.03,0,0
20080314,2.05,2.06,2.02,2.04,0,0
20080317,2.02,2.03,1.95,2,0,0
20080318,2.01,2.01,1.98,2,0,0
20080319,2.02,2.02,1.99,1.99,0,0
20080320,2,2.01,1.97,2,0,0
20080325,2,2.03,2,2.03,0,0
20080326,2.04,2.05,2.03,2.03,0,0
20080327,2.04,2.04,2.04,2.04,0,0
