Date,Open,High,Low,Close,Volume,OpenInt
20070823,0.508,0.508,0.508,0.508,0,0
20070824,0.5,0.5,0.5,0.5,0,0
20070827,0.493,0.493,0.493,0.493,0,0
20070828,0.496,0.496,0.496,0.496,0,0
20070829,0.504,0.504,0.504,0.504,0,0
20070830,0.504,0.504,0.504,0.504,0,0
20070831,0.515,0.515,0.515,0.515,0,0
20070903,0.512,0.512,0.512,0.512,0,0
20070904,0.504,0.504,0.504,0.504,0,0
20070905,0.504,0.504,0.504,0.504,0,0
20070906,0.5,0.5,0.5,0.5,0,0
20070907,0.511,0.511,0.511,0.511,0,0
20070910,0.522,0.522,0.522,0.522,0,0
20070911,0.515,0.515,0.515,0.515,0,0
20070912,0.519,0.519,0.519,0.519,0,0
20070913,0.515,0.515,0.515,0.515,0,0
20070914,0.519,0.519,0.519,0.519,0,0
20070917,0.519,0.519,0.519,0.519,0,0
20070918,0.519,0.519,0.519,0.519,0,0
20070919,0.496,0.496,0.496,0.496,0,0
20070920,0.5,0.5,0.5,0.5,0,0
20070921,0.5,0.5,0.5,0.5,0,0
20070924,0.507,0.507,0.507,0.507,0,0
20070925,0.511,0.511,0.511,0.511,0,0
20070926,0.511,0.511,0.511,0.511,0,0
20070927,0.507,0.507,0.507,0.507,0,0
20070928,0.515,0.515,0.515,0.515,0,0
20071001,0.515,0.515,0.515,0.515,0,0
20071002,0.515,0.515,0.515,0.515,0,0
20071003,0.53,0.53,0.53,0.53,0,0
20071004,0.522,0.522,0.522,0.522,0,0
20071005,0.522,0.522,0.522,0.522,0,0
20071008,0.519,0.519,0.519,0.519,0,0
20071009,0.519,0.519,0.519,0.519,0,0
20071010,0.515,0.515,0.515,0.515,0,0
20071011,0.504,0.504,0.504,0.504,0,0
20071012,0.504,0.504,0.504,0.504,0,0
20071015,0.504,0.504,0.504,0.504,0,0
20071016,0.511,0.511,0.511,0.511,0,0
20071017,0.504,0.504,0.504,0.504,0,0
20071018,0.511,0.511,0.511,0.511,0,0
20071019,0.511,0.511,0.511,0.511,0,0
20071022,0.507,0.507,0.507,0.507,0,0
20071023,0.5,0.5,0.5,0.5,0,0
20071024,0.507,0.507,0.507,0.507,0,0
20071025,0.515,0.515,0.515,0.515,0,0
20071026,0.522,0.522,0.522,0.522,0,0
20071029,0.519,0.519,0.519,0.519,0,0
20071030,0.519,0.519,0.519,0.519,0,0
20071031,0.532,0.532,0.532,0.532,0,0
20071102,0.546,0.546,0.546,0.546,0,0
20071105,0.546,0.546,0.546,0.546,0,0
20071106,0.55,0.55,0.55,0.55,0,0
20071107,0.564,0.564,0.564,0.564,0,0
20071108,0.575,0.575,0.575,0.575,0,0
20071109,0.58,0.58,0.58,0.58,0,0
20071112,0.58,0.59,0.58,0.59,0,0
20071113,0.59,0.59,0.59,0.59,0,0
20071114,0.59,0.59,0.58,0.58,0,0
20071115,0.58,0.61,0.58,0.61,0,0
20071116,0.61,0.69,0.61,0.69,0,0
20071119,0.69,0.69,0.68,0.68,0,0
20071120,0.7,0.7,0.7,0.7,0,0
20071121,0.72,0.72,0.72,0.72,0,0
20071122,0.72,0.72,0.69,0.69,0,0
20071123,0.69,0.69,0.68,0.68,0,0
20071126,0.68,0.68,0.68,0.68,0,0
20071127,0.68,0.68,0.68,0.68,0,0
20071128,0.68,0.68,0.68,0.68,0,0
20071129,0.68,0.68,0.65,0.65,0,0
20071130,0.65,0.66,0.65,0.66,0,0
20071203,0.66,0.66,0.65,0.65,0,0
20071204,0.65,0.65,0.65,0.65,0,0
20071205,0.65,0.65,0.64,0.64,0,0
20071206,0.64,0.64,0.64,0.64,0,0
20071207,0.62,0.62,0.62,0.62,0,0
20071210,0.62,0.62,0.61,0.61,0,0
20071211,0.61,0.63,0.61,0.63,0,0
20071212,0.63,0.63,0.62,0.62,0,0
20071213,0.62,0.64,0.62,0.64,0,0
20071214,0.64,0.64,0.64,0.64,0,0
20071217,0.64,0.64,0.64,0.64,0,0
20071218,0.64,0.64,0.64,0.64,0,0
20071219,0.64,0.65,0.64,0.65,0,0
20071220,0.65,0.66,0.65,0.66,0,0
20071221,0.66,0.66,0.65,0.65,0,0
20071227,0.65,0.66,0.65,0.66,0,0
20071228,0.68,0.68,0.68,0.68,0,0
20080102,0.63,0.63,0.62,0.62,0,0
20080103,0.62,0.62,0.62,0.62,0,0
20080104,0.62,0.63,0.62,0.63,0,0
20080107,0.63,0.64,0.63,0.64,0,0
20080108,0.64,0.64,0.64,0.64,0,0
20080109,0.64,0.64,0.64,0.64,0,0
20080110,0.64,0.64,0.64,0.64,0,0
20080111,0.64,0.7,0.64,0.7,0,0
20080114,0.72,0.72,0.72,0.72,0,0
20080115,0.72,0.74,0.72,0.74,0,0
20080116,0.74,0.77,0.74,0.77,0,0
20080117,0.77,0.77,0.77,0.77,0,0
20080118,0.77,0.77,0.75,0.75,0,0
20080121,0.75,0.79,0.75,0.79,0,0
20080122,0.79,0.8,0.79,0.8,0,0
20080123,0.8,0.8,0.79,0.79,0,0
20080124,0.79,0.79,0.75,0.75,0,0
20080125,0.75,0.75,0.74,0.74,0,0
20080128,0.74,0.74,0.73,0.73,0,0
20080129,0.73,0.73,0.72,0.72,0,0
20080130,0.72,0.72,0.72,0.72,0,0
20080131,0.72,0.72,0.72,0.72,0,0
20080201,0.72,0.72,0.71,0.71,0,0
20080204,0.71,0.71,0.71,0.71,0,0
20080205,0.71,0.72,0.71,0.72,0,0
20080206,0.72,0.72,0.72,0.72,0,0
20080207,0.72,0.73,0.72,0.73,0,0
20080208,0.73,0.73,0.73,0.73,0,0
20080211,0.73,0.73,0.73,0.73,0,0
20080212,0.73,0.73,0.73,0.73,0,0
20080213,0.73,0.73,0.72,0.72,0,0
20080214,0.7,0.7,0.7,0.7,0,0
20080215,0.7,0.73,0.7,0.73,0,0
20080218,0.73,0.73,0.72,0.72,0,0
20080219,0.72,0.72,0.72,0.72,0,0
20080220,0.72,0.72,0.71,0.71,0,0
20080221,0.71,0.71,0.69,0.69,0,0
20080222,0.69,0.71,0.69,0.71,0,0
20080225,0.71,0.71,0.71,0.71,0,0
20080226,0.71,0.71,0.71,0.71,0,0
20080227,0.71,0.71,0.7,0.7,0,0
20080228,0.7,0.71,0.7,0.71,0,0
20080229,0.71,0.72,0.71,0.72,0,0
20080303,0.72,0.73,0.72,0.73,0,0
20080304,0.73,0.75,0.73,0.75,0,0
20080305,0.75,0.75,0.73,0.73,0,0
20080306,0.73,0.73,0.73,0.73,0,0
20080307,0.73,0.74,0.73,0.74,0,0
20080310,0.74,0.74,0.74,0.74,0,0
20080311,0.74,0.75,0.74,0.75,0,0
20080312,0.75,0.76,0.75,0.76,0,0
20080313,0.76,0.76,0.76,0.76,0,0
20080314,0.76,0.77,0.76,0.77,0,0
20080317,0.77,0.77,0.77,0.77,0,0
20080318,0.77,0.77,0.77,0.77,0,0
20080319,0.79,0.79,0.79,0.79,0,0
20080320,0.79,0.8,0.79,0.8,0,0
20080325,0.8,0.8,0.8,0.8,0,0
20080326,0.8,0.8,0.79,0.79,0,0
20080327,0.79,0.79,0.78,0.78,0,0
20080328,0.78,0.78,0.78,0.78,0,0
20080331,0.76,0.76,0.76,0.76,0,0
20080401,0.76,0.78,0.76,0.78,0,0
20080402,0.78,0.78,0.76,0.76,0,0
20080403,0.74,0.74,0.73,0.73,0,0
20080404,0.73,0.73,0.72,0.72,0,0
20080407,0.72,0.72,0.71,0.71,0,0
20080408,0.71,0.72,0.71,0.72,0,0
20080409,0.69,0.69,0.69,0.69,0,0
20080410,0.69,0.69,0.69,0.69,0,0
20080411,0.69,0.69,0.69,0.69,0,0
