Date,Open,High,Low,Close,Volume,OpenInt
20071019,25.253,25.253,25.253,25.253,0,0
20071022,25.009,25.009,25.009,25.009,0,0
20071023,24.98,24.98,24.98,24.98,0,0
20071024,24.822,24.822,24.822,24.822,0,0
20071025,24.467,24.467,24.467,24.467,0,0
20071026,24.358,24.358,24.358,24.358,0,0
20071029,24.373,24.373,24.373,24.373,0,0
20071030,24.227,24.227,24.227,24.227,0,0
20071031,23.55,23.55,23.55,23.55,0,0
20071102,23.254,23.254,23.254,23.254,0,0
20071105,23.09,23.09,23.09,23.09,0,0
20071106,21.008,21.008,21.008,21.008,0,0
20071107,20.285,20.285,20.285,20.285,0,0
20071108,20.223,20.223,20.223,20.223,0,0
20071109,20.08,20.29,19.71,19.92,0,0
20071112,19.75,19.92,19.63,19.75,0,0
20071113,19.8,20.3,19.43,20.3,0,0
20071114,20.46,20.46,19.79,19.79,0,0
20071115,19.62,19.79,18.14,18.45,0,0
20071116,18.53,18.53,17.52,17.7,0,0
20071119,17.89,19.02,17.47,19.02,0,0
20071120,18.96,18.96,18.03,18.03,0,0
20071121,17.9,17.9,17.18,17.18,0,0
20071122,17.05,17.81,16.62,17.81,0,0
20071123,18.11,18.54,18.11,18.54,0,0
20071126,18.95,19.19,18.4,18.5,0,0
20071127,18.3,18.43,18.07,18.38,0,0
20071128,18.55,18.87,18.27,18.86,0,0
20071129,19.11,19.28,18.89,19.11,0,0
20071130,19.15,19.46,19.04,19.38,0,0
20071203,19.34,19.34,19.05,19.33,0,0
20071204,19.15,19.35,19.07,19.35,0,0
20071205,19.3,19.7,19.3,19.7,0,0
20071206,19.85,19.9,19.71,19.81,0,0
20071207,19.78,20,19.64,19.99,0,0
20071210,19.95,20.03,19.87,20.03,0,0
20071211,19.94,19.98,19.7,19.85,0,0
20071212,19.65,19.82,19.45,19.82,0,0
20071213,19.61,19.61,19.39,19.51,0,0
20071214,19.54,19.54,19.23,19.39,0,0
20071217,19.33,19.33,18.82,19.13,0,0
20071218,18.95,19.2,18.78,19.11,0,0
20071219,19,19,18.61,19,0,0
20071220,18.79,18.86,18.53,18.78,0,0
20071221,18.62,18.87,18.62,18.87,0,0
20071227,18.89,19.18,18.89,19.18,0,0
20071228,19.16,19.27,19.01,19.27,0,0
20080102,19.24,19.39,19.06,19.39,0,0
20080103,19.06,19.28,19.01,19.28,0,0
20080104,19.38,19.39,19.02,19.11,0,0
20080107,18.77,18.77,18.49,18.73,0,0
20080108,18.6,18.6,18.32,18.58,0,0
20080109,18.32,18.32,17.76,17.94,0,0
20080110,17.9,18.06,17.13,17.32,0,0
20080111,17.354,17.376,17.023,17.09,0,0
20080114,16.6,16.6,16.6,16.6,0,0
20080115,16.49,16.58,16.08,16.12,0,0
20080116,15.16,15.49,15.02,15.48,0,0
20080117,15.69,15.93,15.38,15.54,0,0
20080118,15.58,15.98,15.52,15.95,0,0
20080121,15.89,15.91,15.39,15.43,0,0
20080122,14.92,15.31,14.92,15.14,0,0
20080123,15.47,15.61,15.15,15.36,0,0
20080124,15.66,16.18,15.66,16.18,0,0
20080125,16.45,16.62,16.31,16.58,0,0
20080128,16.26,16.42,16.26,16.42,0,0
20080129,16.65,16.91,16.56,16.8,0,0
20080130,16.91,16.96,16.83,16.96,0,0
20080131,17,17,16.78,16.86,0,0
20080201,17.12,17.28,17.04,17.28,0,0
20080204,17.47,17.5,17.35,17.41,0,0
20080205,17.27,17.34,17.03,17.11,0,0
20080206,16.84,17.28,16.71,17.26,0,0
20080207,17.22,17.32,16.88,17.08,0,0
20080208,17.15,17.15,16.95,17.1,0,0
