Date,Open,High,Low,Close,Volume,OpenInt
20140605,0.94,0.94,0.92,0.94,0,0
20140606,0.94,0.95,0.93,0.94,0,0
20140609,0.94,0.95,0.94,0.94,0,0
20140610,0.93,0.93,0.93,0.93,0,0
20140611,0.93,0.98,0.93,0.94,0,0
20140612,0.94,0.96,0.93,0.94,0,0
20140613,0.94,0.95,0.94,0.94,0,0
20140616,0.94,0.94,0.93,0.93,0,0
20140617,0.93,0.94,0.93,0.94,0,0
20140618,0.94,0.95,0.93,0.94,0,0
20140620,0.94,0.94,0.93,0.94,0,0
20140623,0.94,0.94,0.92,0.94,0,0
20140624,0.94,0.94,0.94,0.94,0,0
20140625,0.94,0.94,0.91,0.94,0,0
20140626,0.94,0.94,0.92,0.94,0,0
20140627,0.94,1.03,0.94,1.03,0,0
20140630,1.03,1.03,0.94,0.95,0,0
20140701,0.95,1.01,0.93,0.96,0,0
20140702,0.96,0.97,0.94,0.94,0,0
20140703,0.94,0.98,0.94,0.98,0,0
20140704,0.98,1.06,0.98,1.04,0,0
20140707,1.04,1.14,1.04,1.13,0,0
20140708,1.13,1.14,1.12,1.12,0,0
20140709,1.12,1.17,1.12,1.17,0,0
20140710,1.17,1.17,1.14,1.17,0,0
20140711,1.17,1.17,1.13,1.17,0,0
20140714,1.17,1.18,1.14,1.16,0,0
20140715,1.16,1.18,1.16,1.17,0,0
20140716,1.17,1.17,1.16,1.17,0,0
20140717,1.17,1.18,1.16,1.17,0,0
20140718,1.17,1.18,1.15,1.15,0,0
20140721,1.15,1.15,1.14,1.14,0,0
20140722,1.14,1.14,1.07,1.09,0,0
20140723,1.09,1.12,1.04,1.06,0,0
20140724,1.06,1.12,1.06,1.12,0,0
20140725,1.12,1.14,1.1,1.13,0,0
20140728,1.13,1.13,1.09,1.13,0,0
20140729,1.13,1.13,1.07,1.1,0,0
20140730,1.1,1.11,1.04,1.04,0,0
20140731,1.04,1.09,1.04,1.06,0,0
20140801,1.06,1.06,1.04,1.04,0,0
20140804,1.04,1.08,1.04,1.05,0,0
20140805,1.05,1.08,1.03,1.04,0,0
20140806,1.04,1.04,1.03,1.03,0,0
20140807,1.03,1.04,1.03,1.04,0,0
20140808,1.04,1.04,1.03,1.03,0,0
