Date,Open,High,Low,Close,Volume,OpenInt
19940802,10,10,10,10,71825,0
19940803,11,11,11,11,67230,0
19940804,12.1,12.1,12.1,12.1,73435,0
19940808,11,11,11,11,54500,0
19940809,13,13,13,13,27962,0
19940810,12.25,12.25,12.25,12.25,32276,0
19940811,12,12,12,12,26411,0
19940816,12.75,12.75,12.75,12.75,16816,0
19940817,13.37,13.37,13.37,13.37,17052,0
19940818,12.05,12.05,12.05,12.05,11268,0
19940822,12.5,12.5,12.5,12.5,21688,0
19940823,11.5,11.5,11.5,11.5,14143,0
19940824,11.25,11.25,11.25,11.25,15707,0
19940825,10.12,10.12,10.12,10.12,13222,0
19940829,10.92,10.92,10.92,10.92,18391,0
19940830,10.87,10.87,10.87,10.87,11933,0
19940831,10.25,10.25,10.25,10.25,9673,0
19940901,10,10,10,10,14101,0
19940905,9.5,9.5,9.5,9.5,8925,0
19940906,8.55,8.55,8.55,8.55,7800,0
19940907,7.7,7.7,7.7,7.7,32438,0
19940908,8.45,8.45,8.45,8.45,17939,0
19940912,9.27,9.27,9.27,9.27,22447,0
19940913,8.35,8.35,8.35,8.35,33813,0
19940914,8.5,8.5,8.5,8.5,14019,0
19940915,8.32,8.32,8.32,8.32,8131,0
19940919,8.3,8.3,8.3,8.3,11352,0
19940920,7.47,7.47,7.47,7.47,13090,0
19940921,6.8,6.8,6.8,6.8,18572,0
19940922,7.07,7.07,7.07,7.07,16428,0
19940926,6.87,6.87,6.87,6.87,10333,0
19940927,6.4,6.4,6.4,6.4,11670,0
19940928,6.4,6.4,6.4,6.4,21027,0
19940929,6.75,6.75,6.75,6.75,10583,0
19941003,7.42,7.42,7.42,7.42,21636,0
19941004,7.5,7.5,7.5,7.5,25617,0
19941005,8.25,8.25,8.25,8.25,16567,0
19941006,8.12,8.12,8.12,8.12,20648,0
19941007,8.27,8.27,8.27,8.27,16955,0
19941010,8.12,8.12,8.12,8.12,10786,0
19941011,7.75,7.75,7.75,7.75,11256,0
19941012,7.75,7.75,7.75,7.75,9968,0
19941013,6.97,6.97,6.97,6.97,18186,0
19941014,7.65,7.65,7.65,7.65,26178,0
19941017,8,8,8,8,18819,0
19941018,8.25,8.25,8.25,8.25,18556,0
19941019,8.12,8.12,8.12,8.12,9132,0
19941020,7.97,7.97,7.97,7.97,24342,0
19941021,7.57,7.57,7.57,7.57,12383,0
19941024,7,7,7,7,12246,0
19941025,7.1,7.1,7.1,7.1,9460,0
19941026,7.12,7.12,7.12,7.12,23516,0
19941027,6.75,6.75,6.75,6.75,6613,0
19941028,6.62,6.62,6.62,6.62,5775,0
19941102,7.27,7.27,7.27,7.27,8560,0
19941103,7.2,7.2,7.2,7.2,3531,0
19941104,7.17,7.17,7.17,7.17,9258,0
19941107,7.12,7.12,7.12,7.12,7254,0
19941108,7.12,7.12,7.12,7.12,4182,0
19941109,7.15,7.15,7.15,7.15,10839,0
19941110,7.15,7.15,7.15,7.15,9287,0
19941114,7.12,7.12,7.12,7.12,7696,0
19941115,6.62,6.62,6.62,6.62,8677,0
19941116,6.62,6.62,6.62,6.62,14623,0
19941117,6.5,6.5,6.5,6.5,4687,0
19941118,6.85,6.85,6.85,6.85,9314,0
19941121,6.17,6.17,6.17,6.17,3692,0
19941122,5.57,5.57,5.57,5.57,11823,0
19941123,5.65,5.65,5.65,5.65,6657,0
19941124,5.62,5.62,5.62,5.62,4573,0
19941125,5.65,5.65,5.65,5.65,2845,0
19941128,6.17,6.17,6.17,6.17,7213,0
19941129,6.77,6.77,6.77,6.77,16871,0
19941130,7.35,7.35,7.35,7.35,15201,0
19941201,7.3,7.3,7.3,7.3,16257,0
19941202,6.57,6.57,6.57,6.57,10082,0
19941205,6.87,6.87,6.87,6.87,7244,0
19941206,6.72,6.72,6.72,6.72,7151,0
19941207,6.87,6.87,6.87,6.87,18213,0
19941208,6.2,6.2,6.2,6.2,0,0
19941209,5.65,5.65,5.65,5.65,7741,0
19941212,6.12,6.12,6.12,6.12,12963,0
19941213,5.9,5.9,5.9,5.9,6818,0
19941214,5.77,5.77,5.77,5.77,11147,0
19941215,5.9,5.9,5.9,5.9,4299,0
19941216,6.47,6.47,6.47,6.47,15873,0
19941219,6.37,6.37,6.37,6.37,5873,0
19941220,6.3,6.3,6.3,6.3,5550,0
19941221,6.2,6.2,6.2,6.2,3036,0
19941222,6.37,6.37,6.37,6.37,2241,0
19941223,6.37,6.37,6.37,6.37,3308,0
19941227,6.32,6.32,6.32,6.32,3170,0
19941228,6.12,6.12,6.12,6.12,3520,0
19941229,6.17,6.17,6.17,6.17,4247,0
19950102,6.77,6.77,6.77,6.77,16568,0
19950103,6.45,6.45,6.45,6.45,11453,0
19950104,6.62,6.62,6.62,6.62,4642,0
19950105,6.75,6.75,6.75,6.75,4519,0
19950106,6.42,6.42,6.42,6.42,3230,0
19950109,6.57,6.57,6.57,6.57,2548,0
19950110,6.57,6.57,6.57,6.57,8707,0
19950111,6.6,6.6,6.6,6.6,5549,0
19950112,6.67,6.67,6.67,6.67,3858,0
19950113,6.75,6.75,6.75,6.75,8000,0
19950116,6.7,6.7,6.7,6.7,2407,0
19950117,6.62,6.62,6.62,6.62,5245,0
19950118,6.52,6.52,6.52,6.52,6073,0
19950119,6.62,6.62,6.62,6.62,1925,0
19950120,6.6,6.6,6.6,6.6,3087,0
19950123,6.37,6.37,6.37,6.37,5471,0
19950124,6.02,6.02,6.02,6.02,3942,0
19950125,6,6,6,6,30083,0
19950126,6,6,6,6,5063,0
19950127,6.05,6.05,6.05,6.05,4483,0
19950130,6,6,6,6,6667,0
19950131,6,6,6,6,10396,0
19950201,6.12,6.12,6.12,6.12,4673,0
19950202,6.12,6.12,6.12,6.12,9082,0
19950203,6,6,6,6,6417,0
19950206,6.3,6.3,6.3,6.3,1349,0
19950207,6.92,6.92,6.92,6.92,14567,0
19950208,6.8,6.8,6.8,6.8,8603,0
19950209,6.37,6.37,6.37,6.37,3373,0
19950210,6.37,6.37,6.37,6.37,8863,0
19950213,6.25,6.25,6.25,6.25,920,0
19950214,6.5,6.5,6.5,6.5,2135,0
19950215,6.32,6.32,6.32,6.32,1779,0
19950216,6.47,6.47,6.47,6.47,1525,0
19950217,6.4,6.4,6.4,6.4,1758,0
19950220,6.17,6.17,6.17,6.17,1437,0
19950221,5.85,5.85,5.85,5.85,6624,0
19950222,5.92,5.92,5.92,5.92,3671,0
19950223,6.02,6.02,6.02,6.02,5083,0
19950224,6.62,6.62,6.62,6.62,19358,0
19950227,5.97,5.97,5.97,5.97,5439,0
19950228,6,6,6,6,3625,0
19950301,6.07,6.07,6.07,6.07,2366,0
19950302,6.25,6.25,6.25,6.25,3220,0
19950303,6.32,6.32,6.32,6.32,2984,0
19950306,6.3,6.3,6.3,6.3,5734,0
19950307,6.25,6.25,6.25,6.25,5420,0
19950308,6.32,6.32,6.32,6.32,2332,0
19950309,6.35,6.35,6.35,6.35,3268,0
19950310,6.27,6.27,6.27,6.27,5179,0
19950313,6.22,6.22,6.22,6.22,5743,0
19950314,6.12,6.12,6.12,6.12,1633,0
19950315,6.25,6.25,6.25,6.25,2220,0
19950316,6.12,6.12,6.12,6.12,1959,0
19950317,6.15,6.15,6.15,6.15,3841,0
19950320,6.05,6.05,6.05,6.05,3657,0
19950321,6.07,6.07,6.07,6.07,3045,0
19950322,6.05,6.05,6.05,6.05,3285,0
19950323,6,6,6,6,5229,0
19950324,6.02,6.02,6.02,6.02,1328,0
19950327,6.05,6.05,6.05,6.05,3306,0
19950328,5.97,5.97,5.97,5.97,2510,0
19950329,5.85,5.85,5.85,5.85,1410,0
19950330,5.87,5.87,5.87,5.87,2489,0
19950331,6,6,6,6,3333,0
19950403,6.12,6.12,6.12,6.12,2837,0
19950404,6.25,6.25,6.25,6.25,7440,0
19950405,6.25,6.25,6.25,6.25,5020,0
19950406,6.32,6.32,6.32,6.32,11917,0
19950407,6.5,6.5,6.5,6.5,13923,0
19950410,7.15,7.15,7.15,7.15,21381,0
19950411,7.2,7.2,7.2,7.2,13160,0
19950412,7.2,7.2,7.2,7.2,15938,0
19950413,6.87,6.87,6.87,6.87,14673,0
19950414,7.05,7.05,7.05,7.05,8457,0
19950418,7.62,7.62,7.62,7.62,3852,0
19950419,8.37,8.37,8.37,8.37,14507,0
19950420,8.25,8.25,8.25,8.25,17364,0
19950421,8,8,8,8,16188,0
19950424,8.4,8.4,8.4,8.4,14449,0
19950425,8.25,8.25,8.25,8.25,21970,0
19950426,7.57,7.57,7.57,7.57,10198,0
19950427,7.7,7.7,7.7,7.7,17127,0
19950428,7.75,7.75,7.75,7.75,19468,0
19950504,8.02,8.02,8.02,8.02,14720,0
19950505,8.3,8.3,8.3,8.3,15693,0
19950509,8.75,8.75,8.75,8.75,14700,0
19950510,9.62,9.62,9.62,9.62,27662,0
19950511,10.5,10.5,10.5,10.5,39643,0
19950512,10,10,10,10,22350,0
19950515,10.62,10.62,10.62,10.62,18576,0
19950516,9.57,9.57,9.57,9.57,12219,0
19950517,9.57,9.57,9.57,9.57,28603,0
19950518,9.25,9.25,9.25,9.25,22500,0
19950519,9.17,9.17,9.17,9.17,16526,0
19950522,8.55,8.55,8.55,8.55,19751,0
19950523,7.7,7.7,7.7,7.7,18620,0
19950524,8.45,8.45,8.45,8.45,6213,0
19950525,9.27,9.27,9.27,9.27,23720,0
19950526,9.1,9.1,9.1,9.1,13901,0
19950529,9.1,9.1,9.1,9.1,8201,0
19950530,8.7,8.7,8.7,8.7,10445,0
19950531,7.85,7.85,7.85,7.85,10287,0
19950601,7.75,7.75,7.75,7.75,13242,0
19950602,7.87,7.87,7.87,7.87,16397,0
19950605,8.12,8.12,8.12,8.12,8046,0
19950606,8.5,8.5,8.5,8.5,14897,0
19950607,8.75,8.75,8.75,8.75,16157,0
19950608,8.5,8.5,8.5,8.5,7868,0
19950609,8.25,8.25,8.25,8.25,6758,0
19950612,7.77,7.77,7.77,7.77,13103,0
19950613,8,8,8,8,10422,0
19950614,8.25,8.25,8.25,8.25,13485,0
19950616,7.75,7.75,7.75,7.75,10000,0
19950619,7.75,7.75,7.75,7.75,5548,0
19950620,8,8,8,8,7734,0
19950621,8,8,8,8,3938,0
19950622,7.87,7.87,7.87,7.87,4095,0
19950623,8.05,8.05,8.05,8.05,2981,0
19950626,8.47,8.47,8.47,8.47,8982,0
19950627,8.5,8.5,8.5,8.5,11103,0
19950628,7.8,7.8,7.8,7.8,5785,0
19950629,8,8,8,8,15141,0
19950630,8,8,8,8,17922,0
19950703,8.12,8.12,8.12,8.12,13615,0
19950704,7.82,7.82,7.82,7.82,5479,0
19950705,7.5,7.5,7.5,7.5,12117,0
19950706,7.5,7.5,7.5,7.5,14817,0
19950707,7.57,7.57,7.57,7.57,8944,0
19950710,6.82,6.82,6.82,6.82,48535,0
19950711,6.95,6.95,6.95,6.95,14820,0
19950712,6.75,6.75,6.75,6.75,12093,0
19950713,6.9,6.9,6.9,6.9,6866,0
19950714,6.9,6.9,6.9,6.9,6793,0
19950717,7.1,7.1,7.1,7.1,6972,0
19950718,7.07,7.07,7.07,7.07,21378,0
19950719,6.97,6.97,6.97,6.97,7545,0
19950720,6.77,6.77,6.77,6.77,12731,0
