Date,Open,High,Low,Close,Volume,OpenInt
20070813,243.09,243.09,243.09,243.09,0,0
20070814,245.17,245.17,245.17,245.17,0,0
20070816,214.39,214.39,214.39,214.39,0,0
20070817,247.38,247.38,247.38,247.38,0,0
20070820,259.47,259.47,259.47,259.47,0,0
20070821,258.37,258.37,258.37,258.37,0,0
20070822,255.07,255.07,255.07,255.07,0,0
20070823,262.23,262.23,262.23,262.23,0,0
20070824,261.67,261.67,261.67,261.67,0,0
20070827,260.57,260.57,260.57,260.57,0,0
20070828,258.37,258.37,258.37,258.37,0,0
20070829,248.48,248.48,248.48,248.48,0,0
20070830,252.32,252.32,252.32,252.32,0,0
20070831,256.06,256.06,256.06,256.06,0,0
20070903,257.27,257.27,257.27,257.27,0,0
20070904,255.62,255.62,255.62,255.62,0,0
20070905,257.27,257.27,257.27,257.27,0,0
20070906,241.88,241.88,241.88,241.88,0,0
20070907,244.62,244.62,244.62,244.62,0,0
20070910,252.88,252.88,252.88,252.88,0,0
20070911,263.88,263.88,263.88,263.88,0,0
20070912,261.67,261.67,261.67,261.67,0,0
20070913,259.91,259.91,259.91,259.91,0,0
20070914,263.88,263.88,263.88,263.88,0,0
20070917,263.88,263.88,263.88,263.88,0,0
20070918,263.88,263.88,263.88,263.88,0,0
20070919,267.16,267.16,267.16,267.16,0,0
20070920,285.86,285.86,285.86,285.86,0,0
20070921,299.05,299.05,299.05,299.05,0,0
20070924,312.24,312.24,312.24,312.24,0,0
20070925,307.85,307.85,307.85,307.85,0,0
20070926,313.35,313.35,313.35,313.35,0,0
20070927,318.83,318.83,318.83,318.83,0,0
20070928,313.35,313.35,313.35,313.35,0,0
20071001,311.69,311.69,311.69,311.69,0,0
20071002,312.24,312.24,312.24,312.24,0,0
20071003,300.26,300.26,300.26,300.26,0,0
20071004,302.35,302.35,302.35,302.35,0,0
20071005,285.86,285.86,285.86,285.86,0,0
20071008,292.46,292.46,292.46,292.46,0,0
20071009,291.35,291.35,291.35,291.35,0,0
20071010,286.08,286.08,286.08,286.08,0,0
20071011,289.37,289.37,289.37,289.37,0,0
20071012,288.83,288.83,288.83,288.83,0,0
20071015,289.27,289.27,289.27,289.27,0,0
20071016,285.86,285.86,285.86,285.86,0,0
20071017,294.11,294.11,294.11,294.11,0,0
20071018,296.85,296.85,296.85,296.85,0,0
20071019,292.46,292.46,292.46,292.46,0,0
20071022,303.34,303.34,303.34,303.34,0,0
20071023,308.95,308.95,308.95,308.95,0,0
20071024,312.24,312.24,312.24,312.24,0,0
20071025,312.13,312.13,312.13,312.13,0,0
20071026,324.35,324.35,324.35,324.35,0,0
20071029,324.23,324.23,324.23,324.23,0,0
20071030,318.83,318.83,318.83,318.83,0,0
20071031,318.83,318.83,318.83,318.83,0,0
20071102,315.55,315.55,315.55,315.55,0,0
20071105,307.85,307.85,307.85,307.85,0,0
20071106,324.35,324.35,324.35,324.35,0,0
20071107,318.83,318.83,318.83,318.83,0,0
20071108,318.83,318.83,318.83,318.83,0,0
20071109,307.62,318.74,306.2,313.35,0,0
20071112,306.53,316.64,306.53,315.43,0,0
20071113,310.49,318.83,307.85,313.13,0,0
20071114,310.49,320.93,306.75,307.85,0,0
20071115,313.13,313.13,286.95,302.35,0,0
20071116,288.06,307.85,288.06,307.85,0,0
20071119,307.85,307.85,296.85,300.59,0,0
20071120,289.49,305.65,288.6,304,0,0
20071121,300.15,300.15,300.15,300.15,0,0
20071122,289.49,305.43,288.06,305.43,0,0
20071123,296.85,319.39,296.85,315.55,0,0
20071126,321.04,321.04,311.36,318.62,0,0
20071127,318.74,318.74,308.95,308.95,0,0
20071128,308.95,312.02,299.05,310.92,0,0
20071129,310.92,317.74,310.92,317.74,0,0
20071130,318.83,336.87,311.14,336.87,0,0
20071203,329.83,332.03,325.44,329.83,0,0
20071204,329.83,338.09,325.44,338.09,0,0
20071205,340.83,352.04,331.16,352.04,0,0
20071206,351.83,351.83,350.95,351.72,0,0
20071207,348.09,384.81,344.35,384.81,0,0
20071210,362.81,379.32,362.81,368.21,0,0
20071211,362.81,368.32,356.34,368.32,0,0
20071212,355.34,367.76,355.34,367.76,0,0
20071213,365.01,365.01,362.81,362.81,0,0
20071214,360.62,362.81,336.44,340.83,0,0
20071217,340.83,351.83,335.67,351.83,0,0
20071218,351.72,351.83,351.72,351.83,0,0
20071219,352.04,357.32,332.03,357.32,0,0
20071220,357.32,368.32,346.33,368.32,0,0
20071221,362.81,368.21,352.15,368.21,0,0
20071227,368.21,368.21,358.42,365.01,0,0
