Date,Open,High,Low,Close,Volume,OpenInt
20080929,6.1,6.1,6.1,6.1,0,0
20080930,5.71,6.5,4.78,5.05,0,0
20081001,4.95,5.12,4.71,4.71,0,0
20081002,4.71,4.71,4.19,4.19,0,0
20081003,4.29,4.41,4.1,4.15,0,0
20081006,4.1,4.1,3.67,3.72,0,0
20081007,3.49,3.61,3.31,3.61,0,0
20081008,3.44,3.97,3.29,3.57,0,0
20081009,3.74,3.74,3.56,3.56,0,0
20081010,3.36,3.36,3.21,3.29,0,0
20081013,3.45,3.55,3.29,3.33,0,0
20081014,3.76,3.76,3.49,3.49,0,0
20081015,3.64,3.64,3.39,3.39,0,0
20081016,3.19,3.2,2.73,2.86,0,0
20081017,3.29,3.29,2.96,2.96,0,0
20081020,2.96,3.11,2.96,3.11,0,0
20081021,3.17,3.17,2.86,2.86,0,0
20081022,2.88,3.02,2.88,3.02,0,0
20081023,3.3,3.3,2.97,3.12,0,0
20081024,3.11,3.16,3.02,3.02,0,0
20081027,3.1,3.1,2.83,3.1,0,0
20081028,3.16,3.16,2.92,2.92,0,0
20081029,3.06,3.11,2.92,3.03,0,0
20081030,3.05,3.17,2.97,2.97,0,0
20081031,3.04,3.04,3.04,3.04,0,0
20081103,3.07,3.07,3.07,3.07,0,0
20081104,3.06,3.06,2.79,2.93,0,0
20081105,3.04,3.04,2.89,2.89,0,0
20081106,3.02,3.04,2.88,2.88,0,0
20081107,2.77,2.88,2.77,2.88,0,0
20081110,2.75,2.75,2.75,2.75,0,0
20081112,2.73,2.73,2.56,2.56,0,0
20081113,2.41,2.75,2.4,2.75,0,0
20081114,2.69,2.77,2.69,2.77,0,0
20081117,2.75,2.75,2.62,2.75,0,0
20081118,2.59,2.7,2.59,2.7,0,0
20081119,2.54,2.54,2.15,2.15,0,0
20081120,2.03,2.17,2.03,2.17,0,0
20081121,2.06,2.35,2.03,2.03,0,0
20081124,2.07,2.07,2.07,2.07,0,0
20081125,2.07,2.54,2.07,2.52,0,0
20081126,2.25,2.52,2.25,2.52,0,0
20081127,2.38,2.38,2.17,2.22,0,0
20081128,2.08,2.09,2.01,2.08,0,0
20081201,2.05,2.12,2.05,2.12,0,0
20081202,2.03,2.12,2.03,2.03,0,0
20081205,2.03,2.03,1.93,2.02,0,0
20081208,2.02,2.05,2.02,2.05,0,0
20081209,2.05,2.05,2.05,2.05,0,0
20081210,2,2,2,2,0,0
20081211,1.99,1.99,1.94,1.94,0,0
20081212,1.93,1.93,1.84,1.84,0,0
20081215,1.96,1.96,1.96,1.96,0,0
20081216,1.89,1.89,1.85,1.85,0,0
20081218,1.85,1.85,1.85,1.85,0,0
20081230,1.69,1.69,1.69,1.69,0,0
20081231,1.66,1.66,1.66,1.66,0,0
20090105,1.6,1.66,1.51,1.58,0,0
20090106,1.56,1.56,1.44,1.56,0,0
20090107,1.65,1.76,1.65,1.76,0,0
20090108,1.86,1.86,1.86,1.86,0,0
20090109,1.93,1.93,1.83,1.83,0,0
20090112,1.66,1.66,1.66,1.66,0,0
20090114,1.66,1.66,1.64,1.64,0,0
20090115,1.73,1.73,1.64,1.7,0,0
20090116,1.7,1.7,1.7,1.7,0,0
20090119,1.64,1.69,1.6,1.69,0,0
20090123,1.6,1.61,1.6,1.61,0,0
20090126,1.56,1.57,1.56,1.57,0,0
20090127,1.6,1.6,1.5,1.5,0,0
20090129,1.48,1.48,1.48,1.48,0,0
20090202,1.43,1.43,1.43,1.43,0,0
20090203,1.43,1.43,1.43,1.43,0,0
20090205,1.41,1.41,1.41,1.41,0,0
20090206,1.36,1.36,1.34,1.36,0,0
20090210,1.33,1.33,1.27,1.27,0,0
20090211,1.27,1.27,1.27,1.27,0,0
20090212,1.15,1.27,1.15,1.27,0,0
20090213,1.23,1.27,1.23,1.23,0,0
20090217,1.18,1.28,1.18,1.28,0,0
20090218,0.91,1.18,0.91,1.18,0,0
20090219,1.26,1.29,1.26,1.29,0,0
20090220,1.3,1.3,1.3,1.3,0,0
20090223,1.3,1.3,1.3,1.3,0,0
20090224,1.3,1.3,1.3,1.3,0,0
20090226,1.29,1.29,1.29,1.29,0,0
20090227,1.29,1.29,1.29,1.29,0,0
20090302,1.29,1.29,1.29,1.29,0,0
20090306,1.25,1.25,1.25,1.25,0,0
20090309,1.25,1.25,1.25,1.25,0,0
20090310,1.25,1.25,1.25,1.25,0,0
20090311,1.2,1.26,1.15,1.26,0,0
20090313,1.11,1.29,1.11,1.29,0,0
20090316,1.25,1.29,1.25,1.29,0,0
20090318,1.29,1.29,1.29,1.29,0,0
20090319,1.29,1.29,1.29,1.29,0,0
20090320,1.29,1.29,1.29,1.29,0,0
20090323,1.29,1.29,0.99,1.05,0,0
20090324,1.29,1.42,1.11,1.42,0,0
20090325,1.7,2.13,1.7,2.13,0,0
20090326,3.21,3.69,3.21,3.69,0,0
20090327,4.84,5.57,4.84,4.89,0,0
20090330,4.84,5.72,3.68,5.22,0,0
20090331,5.22,7.07,5.22,7.07,0,0
20090401,9.69,12.11,9.69,12.11,0,0
20090504,10.61,10.61,8.23,8.32,0,0
20090505,7,10.07,7,10.07,0,0
20090506,12.18,13.39,12.18,13.39,0,0
20090507,14.55,16.96,14.55,16.96,0,0
20090508,18.6,20.46,18.6,20.46,0,0
20090514,16.58,20.46,16.58,19.7,0,0
20090515,17.29,17.29,15.56,15.56,0,0
20090519,8.08,8.08,8.08,8.08,0,0
20090520,8.09,8.26,8.09,8.26,0,0
20090521,8.83,8.83,8.79,8.79,0,0
20090522,7.96,7.96,7,7,0,0
20090525,7.12,7.12,6.38,6.38,0,0
20090526,5.28,5.39,5.28,5.39,0,0
20090528,7.44,7.44,7.01,7.01,0,0
20090529,6.31,6.31,6.31,6.31,0,0
20090601,6.52,7,6.31,7,0,0
20090602,7.55,8.63,7.55,8.63,0,0
20090603,10.78,10.78,8.63,10.78,0,0
20090604,12.62,13.91,10.78,13.91,0,0
20090605,14.88,14.88,12.39,12.39,0,0
20090608,11.88,12.35,11.88,12.35,0,0
20090609,11.11,11.11,10.03,10.03,0,0
20090610,9.38,9.38,9.18,9.18,0,0
20090612,9.92,10.03,9.92,10.03,0,0
20090615,10.99,10.99,10.88,10.88,0,0
20090616,10.03,10.03,9.17,9.17,0,0
20090617,9.92,9.92,9.49,9.49,0,0
20090618,9.44,9.44,8.52,8.52,0,0
20090619,8.09,8.1,8.09,8.1,0,0
20090622,8.41,8.63,8.41,8.63,0,0
20090623,8.51,8.51,8.28,8.28,0,0
20090624,7.76,7.76,7.76,7.76,0,0
20090625,8.39,8.39,7.82,7.82,0,0
20090626,7.87,7.98,7.87,7.98,0,0
20090629,7.76,7.97,7.76,7.97,0,0
20090630,7.92,7.92,7.54,7.54,0,0
20090701,7.44,7.44,7.44,7.44,0,0
20090702,7.55,7.55,7.55,7.55,0,0
20090703,7.76,8.09,7.55,8.09,0,0
20090706,7.87,8.07,7.87,8.07,0,0
20090707,7.87,8.3,7.87,8.3,0,0
20090708,7.87,7.87,7.55,7.55,0,0
20090709,7.66,7.66,7.47,7.47,0,0
20090710,7.85,7.85,7.12,7.12,0,0
20090713,6.79,6.79,6.79,6.79,0,0
20090714,7.1,7.23,7.1,7.23,0,0
20090715,6.79,6.79,6.79,6.79,0,0
20090716,7.06,7.06,6.79,7.06,0,0
20090717,7.06,7.06,7.06,7.06,0,0
20090720,7.01,7.06,7.01,7.06,0,0
20090721,7.06,7.06,7.06,7.06,0,0
