Date,Open,High,Low,Close,Volume,OpenInt
20080929,59.1,59.1,59.1,59.1,0,0
20080930,91.3,91.3,91.3,91.3,0,0
20081001,89.4,92.5,85.2,85.2,0,0
20081002,85.2,85.2,75.8,75.8,0,0
20081003,77.5,79.7,74.1,74.9,0,0
20081006,74.1,74.1,66.3,67.3,0,0
20081007,63,65.2,59.8,65.2,0,0
20081008,62.2,71.7,59.5,64.5,0,0
20081009,67.5,67.5,64.3,64.4,0,0
20081010,60.8,60.8,58.1,59.4,0,0
20081013,62.2,64.1,59.4,60.1,0,0
20081014,68,68,63,63,0,0
20081015,65.8,65.8,61.3,61.3,0,0
20081016,57.6,57.8,49.4,51.6,0,0
20081017,59.5,59.5,53.5,53.5,0,0
20081020,53.5,56.2,53.5,56.2,0,0
20081021,57.2,57.2,51.6,51.8,0,0
20081022,52,54.5,52,54.5,0,0
20081023,59.6,59.6,53.7,56.4,0,0
20081024,56.2,57.1,54.5,54.5,0,0
20081027,56,56,51.1,56,0,0
20081028,57,57,52.7,52.8,0,0
20081029,55.4,56.2,52.8,54.7,0,0
20081030,55.2,57.2,53.6,53.6,0,0
20081031,54.9,55,54.9,55,0,0
20081103,55.5,55.5,55.5,55.5,0,0
20081104,55.4,55.4,50.4,53,0,0
20081105,55,55,52.3,52.3,0,0
20081106,54.5,54.9,52.1,52.1,0,0
20081107,50.1,52.1,50.1,51.9,0,0
20081110,49.7,49.7,49.7,49.7,0,0
20081112,49.3,49.3,46.3,46.3,0,0
20081113,43.6,49.7,43.4,49.7,0,0
20081114,48.5,50.1,48.5,50.1,0,0
20081117,49.7,49.7,47.4,49.7,0,0
20081118,46.8,48.7,46.8,48.7,0,0
20081119,45.8,45.8,38.8,38.8,0,0
20081120,36.6,39.2,36.6,39.2,0,0
20081121,37.3,42.4,36.6,36.6,0,0
20081124,37.5,37.5,37.5,37.5,0,0
20081125,37.5,45.8,37.5,45.5,0,0
20081126,40.7,45.5,40.7,45.5,0,0
20081127,42.9,42.9,39.2,40.2,0,0
20081128,37.6,37.8,36.3,37.6,0,0
20081201,37.1,38.3,37.1,38.3,0,0
20081202,36.6,38.3,36.6,36.6,0,0
20081205,36.6,36.6,34.9,36.4,0,0
20081208,36.4,37.1,36.4,37.1,0,0
20081209,36.9,37,36.9,37,0,0
20081210,36.2,36.2,36.1,36.1,0,0
20081211,35.9,35.9,35.1,35.1,0,0
20081212,34.9,34.9,33.2,33.2,0,0
20081215,35.4,35.4,35.4,35.4,0,0
20081216,34,34,33.3,33.4,0,0
20081218,33.4,33.4,33.4,33.4,0,0
20081230,30.5,30.5,30.5,30.5,0,0
20081231,30,30,30,30,0,0
20090105,29,30,27.3,28.6,0,0
20090106,28.3,28.3,26.1,28.3,0,0
20090107,29.8,31.9,29.8,31.8,0,0
20090108,33.5,33.6,33.5,33.6,0,0
20090109,35,35,33,33,0,0
20090112,29.9,30,29.9,30,0,0
20090114,30,30,29.6,29.6,0,0
20090115,31.3,31.3,29.6,30.7,0,0
20090116,30.7,30.7,30.7,30.7,0,0
20090119,29.7,30.5,29,30.5,0,0
20090123,29,29.1,29,29.1,0,0
20090126,28.2,28.4,28.2,28.4,0,0
20090127,28.9,28.9,27,27.1,0,0
20090129,26.7,26.7,26.7,26.7,0,0
20090202,25.9,25.9,25.9,25.9,0,0
20090203,25.9,25.9,25.9,25.9,0,0
20090205,25.6,25.6,25.5,25.5,0,0
20090206,24.5,24.5,24.1,24.5,0,0
20090210,24,24,23,23,0,0
20090211,23,23,23,23,0,0
20090212,20.8,23,20.8,23,0,0
20090213,22.1,23,22.1,22.1,0,0
20090217,21.3,23.2,21.3,23.2,0,0
20090218,16.4,1629.6,16.4,1629.6,0,0
20090219,1857.1,1900,1776.5,1776.5,0,0
20090220,1914.3,1914.3,1789.9,1789.9,0,0
20090223,1914.3,1914.3,1789.9,1789.9,0,0
20090224,1914.3,1914.3,1789.9,1789.9,0,0
20090226,1900,1900,1776.5,1776.5,0,0
20090227,1900,1900,1776.5,1776.5,0,0
20090302,1900,1900,1776.5,1776.5,0,0
20090306,1842.9,1842.9,1723.1,1723.1,0,0
20090309,1842.9,1842.9,1723.1,1723.1,0,0
20090310,1842.9,1842.9,1723.1,1723.1,0,0
20090311,1771.4,1857.1,1700,1736.4,0,0
20090313,1642.9,1900,1642.9,1776.5,0,0
20090316,1842.9,1900,1776.5,1776.5,0,0
20090318,1900,1900,1776.5,1776.5,0,0
20090319,1900,1900,1776.5,1776.5,0,0
20090320,1900,1900,1776.5,1776.5,0,0
20090323,1900,1900,1442.6,1442.6,0,0
20090324,1900,2100,1642.9,1963.5,0,0
20090325,2500,3142.9,2500,2938.6,0,0
20090326,4728.6,5442.9,4728.6,5089.1,0,0
20090327,7142.9,8214.3,6745.4,6745.4,0,0
20090330,7142.9,8428.6,5428.6,7199.5,0,0
20090331,7700,10428.6,7700,9750.7,0,0
20090401,14285.7,17857.1,14285.7,17857.1,0,0
20090504,14000,14000,10857.1,10857.1,0,0
20110303,535.4,535.4,535.4,535.4,0,0
20110304,532.1,535.4,525,535.4,0,0
20110307,525,539,521.4,539,0,0
20110308,532.1,539,521.4,531.8,0,0
20110309,525,531.8,521.4,531.8,0,0
20110310,525,535.4,521.4,535.4,0,0
20110311,521.4,535.4,517.9,531.8,0,0
20110314,517.9,528.2,517.9,528.2,0,0
20110315,510.7,514.3,471.4,502.9,0,0
20110316,485.7,500,485.7,495.6,0,0
20110317,496.4,507.1,489.3,506.5,0,0
20110318,503.6,510.1,492.9,510.1,0,0
20110321,500,513.7,492.9,513.7,0,0
20110322,500,513.7,489.3,506.5,0,0
20110323,492.9,500,489.3,499.2,0,0
20110324,492.9,502.9,489.3,502.9,0,0
20110325,496.4,506.5,489.3,506.5,0,0
20110328,492.9,495.6,492.9,495.6,0,0
20110329,500,500,489.3,499.2,0,0
20110330,485.7,502.9,485.7,502.9,0,0
20110331,496.4,500,489.3,495.6,0,0
20110401,485.7,495.6,485.7,495.6,0,0
20110404,489.3,499.2,489.3,499.2,0,0
20110405,492.9,499.2,489.3,499.2,0,0
20110406,492.9,532.1,492.9,520.9,0,0
20110407,517.9,524.6,503.6,524.6,0,0
20110408,507.1,524.6,507.1,520.9,0,0
20110411,507.1,517.3,503.6,517.3,0,0
20110412,510.7,517.3,496.4,513.7,0,0
20110413,507.1,532.1,496.4,524.6,0,0
20110414,514.3,525,510.7,520.9,0,0
20110415,514.3,520.9,507.1,520.9,0,0
20110418,517.9,525,500,517.3,0,0
20110419,510.7,517.3,496.4,513.7,0,0
20110420,503.6,513.7,496.4,513.7,0,0
20110421,510.7,510.7,496.4,506.5,0,0
20110426,500,506.5,485.7,495.6,0,0
20110427,489.3,500,485.7,499.2,0,0
20110428,496.4,500,489.3,495.6,0,0
20110429,492.9,510.7,492.9,510.1,0,0
20110502,507.1,510.1,492.9,502.9,0,0
20110504,500,674.9,496.4,674.9,0,0
20110505,666.7,674.9,657.1,674.9,0,0
20110506,652.4,674.9,652.4,674.9,0,0
20110509,661.9,661.9,633.3,655.5,0,0
20110510,628.6,650.6,623.8,650.6,0,0
20110511,638.1,650.6,614.3,631.2,0,0
20110512,619,619,581,606.9,0,0
20110513,585.7,606.9,571.4,592.3,0,0
20110516,571.4,592.3,561.9,587.5,0,0
20110517,585.7,585.7,557.1,557.1,0,0
20110901,7472.3,7472.3,7472.3,7472.3,0,0
20110902,8200,8200,7287.8,7287.8,0,0
20110905,7800,8000,6918.8,6918.8,0,0
20110906,7600,7800,7195.5,7195.5,0,0
20110907,7900,8000,7195.5,7380,0,0
20110908,7600,7900,7103.3,7103.3,0,0
20110909,7300,7700,7103.3,7103.3,0,0
20110912,7300,7400,6642,6642,0,0
20110913,7800,7800,6826.5,6826.5,0,0
20110914,7200,7300,6457.5,6457.5,0,0
20110915,7200,7400,6642,6642,0,0
20110916,7100,7400,6642,6918.8,0,0
20110919,7100,7500,6734.3,6734.3,0,0
20110920,7100,7300,6549.8,6549.8,0,0
20110921,7100,7500,6734.3,6734.3,0,0
20110922,7300,7300,6734.3,6734.3,0,0
20110923,6800,6900,6365.3,6365.3,0,0
20110926,7400,7400,6700,6734.3,0,0
20110927,6800,7300,6734.3,6734.3,0,0
20110928,7500,7500,6826.5,6826.5,0,0
20110929,7400,7400,6700,6826.5,0,0
20111003,6700,7000,6549.8,6549.8,0,0
20111004,7000,7000,6457.5,6457.5,0,0
20111005,6900,6900,6365.3,6365.3,0,0
20111006,6900,7000,6365.3,6549.8,0,0
20111007,6800,7100,6549.8,6549.8,0,0
20111010,6800,7000,6549.8,6549.8,0,0
20111011,7000,7000,6457.5,6457.5,0,0
20111012,6900,7100,6549.8,6549.8,0,0
20111013,6900,7000,6365.3,6365.3,0,0
20111014,6800,6900,6457.5,6457.5,0,0
20111017,6800,7100,6365.3,6365.3,0,0
20111018,6900,6900,6088.5,6088.5,0,0
20111019,6900,7100,6457.5,6457.5,0,0
20111020,7000,7000,6365.3,6365.3,0,0
20111024,6800,6900,6365.3,6365.3,0,0
20111025,6900,7100,6457.5,6457.5,0,0
20111026,6900,6900,6365.3,6365.3,0,0
20111027,6900,7000,6457.5,6457.5,0,0
20111028,7000,7000,6180.8,6180.8,0,0
20111031,6900,7000,6180.8,6457.5,0,0
20111102,6800,6800,6273,6273,0,0
20111103,6600,6900,6273,6273,0,0
20111104,6800,8000,6800,6826.5,0,0
20111107,7500,7500,6642,6642,0,0
20111108,7200,7400,6826.5,6826.5,0,0
20111109,7400,7400,6549.8,6549.8,0,0
20111110,7100,7100,6457.5,6457.5,0,0
20111114,7100,7300,6549.8,6549.8,0,0
20111115,7100,7400,6365.3,6365.3,0,0
20111116,7000,7100,57,57,0,0
20111117,56.3,57,55.6,57,0,0
20111118,54.8,56.3,54.6,54.6,0,0
20111121,54.8,54.8,52.3,52.3,0,0
20111122,52.4,52.4,51.6,52.3,0,0
20111123,51.6,52.4,50,52.3,0,0
20111124,52.4,52.4,50.8,51.5,0,0
20111125,52.4,52.4,47.6,50.7,0,0
20111128,49.2,50,48.4,49.1,0,0
20111129,49.2,50.7,48.4,50.7,0,0
20111130,50,51.6,50,50.7,0,0
20111201,50,50.8,50,50.7,0,0
20111202,50,51.6,49.2,51.5,0,0
20111205,50,50,46.8,49.9,0,0
20111206,50,51.6,47.6,49.9,0,0
20111207,50.8,50.8,47.6,49.9,0,0
20111208,48.4,49.2,47.6,49.1,0,0
20111209,48.4,49.1,47.6,49.1,0,0
20111212,49.2,49.2,47.6,49.1,0,0
20111213,49.2,50,48.3,48.3,0,0
20111214,47.6,47.6,46.8,47.5,0,0
20111215,47.6,48.4,46.8,48.3,0,0
20111216,47.6,48.3,46.8,47.5,0,0
20111219,46.8,46.8,43.7,46.7,0,0
20111220,45.2,46.8,43.7,46.7,0,0
20111221,46,46,45.2,45.9,0,0
20111222,45.2,45.9,43.7,45.9,0,0
20111223,45.2,45.9,44.4,45.1,0,0
20111227,44.4,45.2,43.7,45.1,0,0
20111228,43.7,45.1,43.6,43.6,0,0
20111229,42.9,46,42.9,45.1,0,0
20111230,44.4,46.8,44.4,45.9,0,0
20120102,46,48.4,46,48.3,0,0
20120103,48.4,49.2,48.4,49.1,0,0
20120104,47.6,48.4,46.8,48.3,0,0
20120105,48.4,49.2,47.6,48.3,0,0
20120109,48.4,50.8,46,49.9,0,0
20120110,51.6,52.4,49.2,49.9,0,0
20120111,49.2,50.8,49.2,50.7,0,0
20120112,50.8,50.8,49.2,50.7,0,0
20120113,50.8,51.6,49.1,49.1,0,0
20120116,49.2,50,48.4,49.9,0,0
20120117,50,50.8,49.2,50.7,0,0
20120118,50.8,51.6,50,51.5,0,0
20120119,52.4,62.7,52.4,56.2,0,0
20120120,56.3,57.9,53.1,53.1,0,0
20120123,53.2,55.6,50.8,53.1,0,0
20120124,52.4,54,51.6,53.8,0,0
20120125,54,56.3,53.8,55.4,0,0
20120126,55.6,60.3,54,56.2,0,0
20120127,56.3,59.5,56.3,57.8,0,0
20120130,57.1,58.7,56.3,57.8,0,0
20120131,57.1,58.7,57.1,58.6,0,0
20120201,58.7,59.5,55.6,56.2,0,0
20120202,57.1,57.9,56.3,57.8,0,0
20120203,57.1,57.8,56.3,57,0,0
20120206,55.6,58.7,55.6,57.8,0,0
20120207,57.9,58.7,56.3,58.6,0,0
20120208,58.7,59.4,57.1,59.4,0,0
20120209,58.7,60.3,57.9,59.4,0,0
20120210,57.9,58.7,57.1,58.6,0,0
20120213,57.9,58.7,57.1,58.6,0,0
20120214,57.9,57.9,57.1,57.8,0,0
20120215,58.7,58.7,57.8,57.8,0,0
20120216,57.9,59.5,57.9,58.6,0,0
20120217,59.5,59.5,57.1,58.6,0,0
20120220,58.7,61.1,57.1,60.2,0,0
20120221,61.1,61.9,59.5,61,0,0
20120222,61.9,71.4,61.9,68.1,0,0
20120223,69.8,69.8,65.9,66.5,0,0
20120224,66.7,67.5,62.7,64.9,0,0
20120227,64.3,66.7,63.5,64.9,0,0
20120228,65.1,65.1,63.5,64.9,0,0
20120229,65.9,65.9,61.9,62.6,0,0
20120301,61.9,62.6,60.3,62.6,0,0
20120302,60.3,61.9,36.2,36.2,0,0
20120305,36.2,36.7,35.3,36.6,0,0
20120306,36.1,36.1,32.9,33.4,0,0
20120307,32.9,33.8,32,33,0,0
20120308,32.6,34.9,32.6,33.9,0,0
20120309,34.4,34.8,33.5,34.8,0,0
20120312,33.9,33.9,33.4,33.4,0,0
20120313,33.3,33.9,33.3,33.9,0,0
20120314,33.9,34.4,33,33.4,0,0
20120315,33.8,33.8,32,32.5,0,0
20120316,33,33.5,32.5,32.5,0,0
20120319,32.6,32.6,32,32,0,0
20120320,32,32,32,32,0,0
20120321,32,32,30.1,31.6,0,0
20120322,31.2,31.7,30.2,30.2,0,0
20120323,30.6,31.6,30.1,31.6,0,0
20120326,31.2,32.1,31.1,31.1,0,0
20120327,31.1,31.6,30.6,31.6,0,0
20120328,31.2,31.6,31.1,31.1,0,0
20120329,31.1,31.6,31.1,31.6,0,0
20120330,31.2,31.6,31.1,31.1,0,0
20120402,30.6,30.7,30.6,30.7,0,0
20120403,30.7,30.7,30.7,30.7,0,0
20120404,31.2,31.2,29.8,29.8,0,0
20120405,29.8,30.7,29.8,30.7,0,0
20120410,30.7,30.7,28.4,28.8,0,0
20120411,28.8,30.2,28.8,30.2,0,0
20120412,28.8,30.7,28.8,30.7,0,0
20120413,29.8,30.7,29.8,30.7,0,0
20120416,31.2,31.2,29.8,31.1,0,0
20120417,29.7,30.2,29.2,30.2,0,0
20120418,29.2,29.8,29.2,29.8,0,0
20120419,29.4,29.8,29.3,29.3,0,0
20120420,29.4,30.3,27.5,30.2,0,0
20120423,28.3,29.3,28.3,29.3,0,0
20120424,29.4,29.4,29.3,29.3,0,0
20120425,29.4,30.3,29.4,30.2,0,0
20120426,30.1,30.7,30.1,30.7,0,0
20120427,28.9,30.7,28.9,29.3,0,0
20120430,28.4,30.3,27.5,28.8,0,0
20120507,27.4,28.8,27.4,28.8,0,0
20120508,28.3,28.8,27.4,27.5,0,0
20120509,27.5,28.4,26.6,28.4,0,0
20120516,26.6,27.9,26.6,27.9,0,0
20120517,26.5,26.5,24.9,24.9,0,0
20120518,23.6,24.9,23.2,24.5,0,0
20120521,24.5,25.3,24.5,24.9,0,0
20120522,24.5,24.5,24.1,24.1,0,0
20120523,24.1,24.9,23.6,24.9,0,0
20120524,24.1,24.5,23.6,24.5,0,0
20120525,24.5,24.9,23.2,24.9,0,0
20120529,23.2,24.9,23.2,24.9,0,0
20120530,27.4,27.4,23.6,24.9,0,0
20120531,25.3,26.6,25.3,25.8,0,0
20120601,25.4,25.8,24.2,25.3,0,0
20120604,23.2,24.1,22.8,24.1,0,0
20120605,23.2,24.5,22.8,23.6,0,0
20120606,23.6,23.6,23.2,23.2,0,0
20120608,23.6,23.6,23.6,23.6,0,0
20120611,24.5,24.5,24.5,24.5,0,0
20120612,24.5,24.5,24.5,24.5,0,0
20120618,24.1,24.1,22.8,22.8,0,0
20120619,23.2,24.5,22.8,24.1,0,0
20120620,23.6,24.5,23.2,24.5,0,0
20120621,23.6,24.1,22.4,24.1,0,0
20120622,23.6,24.9,23.6,24.9,0,0
20120625,24.5,24.9,24.5,24.5,0,0
20120626,24.5,24.9,23.6,24.1,0,0
20120628,23.6,24.5,23.6,24.5,0,0
20120629,23.6,24.9,23.6,24.9,0,0
20120702,24.5,24.5,24.5,24.5,0,0
20120703,23.6,24.5,23.6,23.6,0,0
20120705,23.6,24.1,23.2,24.1,0,0
20120706,24.1,24.1,23.2,23.2,0,0
20120709,22.8,23.6,22.8,23.6,0,0
20120710,23.6,23.6,23.6,23.6,0,0
20120711,23.2,23.6,22.8,23.6,0,0
20120712,22.8,23.6,22.8,23.6,0,0
20120713,22.4,23.6,22.4,23.6,0,0
20120717,22.4,23.2,21.9,23.2,0,0
20120719,21.1,22.8,21.1,22.4,0,0
20120720,21.9,22,21.9,22,0,0
20120723,19.9,20.8,19.9,20.3,0,0
20120724,20.8,20.8,20.7,20.7,0,0
20120725,19.8,19.8,18.1,19,0,0
20120726,19,19,18.1,18.6,0,0
20120727,18.6,19,18.6,19,0,0
20120730,18.1,18.2,18.1,18.2,0,0
20120731,16.9,17.8,16.9,17.7,0,0
20120801,17.7,17.7,17.7,17.7,0,0
20120802,18.1,18.2,17.7,18.2,0,0
20120803,18.2,18.2,17.8,18.2,0,0
20120806,18.2,19.1,18.2,19.1,0,0
20120807,18.6,19.1,18.6,19,0,0
20120808,17.3,18.6,17.3,18.6,0,0
20120809,17.3,19,17.3,19,0,0
20120810,18.6,19,18.6,19,0,0
20120813,18.5,18.5,18.2,18.2,0,0
20120814,18.6,18.6,17.3,17.3,0,0
20120817,18.1,18.1,17.3,17.3,0,0
20120820,18.1,18.1,17.3,17.3,0,0
20120821,17.3,17.7,17.3,17.7,0,0
20120824,17.7,17.7,17.7,17.7,0,0
20120827,17.7,17.7,17.7,17.7,0,0
20120828,17.7,17.7,17.7,17.7,0,0
20120829,17.3,17.7,17.3,17.7,0,0
20120830,18.1,18.2,18.1,18.2,0,0
20120903,17.4,17.4,16.9,17.3,0,0
20120904,17.3,17.7,17.3,17.7,0,0
20120905,16.9,17.7,16.9,17.7,0,0
20120906,16.9,17.7,16.9,17.3,0,0
20120907,17.3,17.3,17.3,17.3,0,0
