Date,Open,High,Low,Close,Volume,OpenInt
20110810,3.37,3.37,3.37,3.37,0,0
20110811,3.39,3.7,3.22,3.7,0,0
20110812,3.7,4.38,3.7,4.27,0,0
20110816,4.06,4.44,3.88,4.44,0,0
20110817,4.21,4.41,2.36,2.36,0,0
20110818,2.36,2.55,2.36,2.55,0,0
20110819,2.37,2.55,2.25,2.55,0,0
20110822,2.4,2.62,2.36,2.56,0,0
20110823,2.58,2.77,2.55,2.77,0,0
20110824,2.58,2.84,2.58,2.8,0,0
20110825,2.84,2.84,2.73,2.8,0,0
20110826,2.8,2.84,2.62,2.8,0,0
20110829,2.8,2.8,2.59,2.8,0,0
20110830,2.76,2.76,2.65,2.76,0,0
20110831,2.65,2.84,2.65,2.84,0,0
20110901,2.71,2.83,2.6,2.83,0,0
20110902,2.69,2.89,2.62,2.89,0,0
20110905,2.87,2.87,2.87,2.87,0,0
20110906,2.87,2.87,2.73,2.86,0,0
20110907,2.84,2.87,2.84,2.87,0,0
20110908,2.87,2.87,2.87,2.87,0,0
20110909,2.87,2.87,2.76,2.76,0,0
20110912,2.73,2.84,2.73,2.84,0,0
20110913,2.73,2.76,2.63,2.76,0,0
20110914,2.76,2.76,2.76,2.76,0,0
20110915,2.76,2.76,2.76,2.76,0,0
20110916,2.76,2.76,2.75,2.75,0,0
20110919,2.76,2.76,2.76,2.76,0,0
20110920,2.76,2.76,2.76,2.76,0,0
20110921,2.55,2.76,2.33,2.76,0,0
20110922,2.6,2.84,2.6,2.84,0,0
20110923,2.55,2.84,2.55,2.84,0,0
20110926,2.82,2.82,2.69,2.69,0,0
20110927,2.75,2.75,2.75,2.75,0,0
20110928,2.8,2.8,2.8,2.8,0,0
20110929,2.84,2.84,2.69,2.8,0,0
20110930,2.78,2.78,2.78,2.78,0,0
20111003,2.73,2.73,2.73,2.73,0,0
20111004,2.73,2.73,2.73,2.73,0,0
20111006,2.73,2.73,2.72,2.72,0,0
20111007,2.6,2.72,2.6,2.72,0,0
20111010,2.73,2.73,2.73,2.73,0,0
20111011,2.73,2.73,2.73,2.73,0,0
20111012,2.73,2.73,2.73,2.73,0,0
20111013,2.73,2.73,2.73,2.73,0,0
20111014,2.73,2.8,2.73,2.8,0,0
20111017,2.8,2.8,2.8,2.8,0,0
20111018,2.8,2.8,2.59,2.8,0,0
20111020,2.8,2.8,2.8,2.8,0,0
20111021,2.76,2.76,2.76,2.76,0,0
20111024,2.65,2.76,2.53,2.75,0,0
20111025,2.75,2.75,2.75,2.75,0,0
20111026,2.75,2.75,2.75,2.75,0,0
20111027,2.75,2.75,2.75,2.75,0,0
20111028,2.75,2.75,2.75,2.75,0,0
20111102,2.75,2.75,2.75,2.75,0,0
20111103,2.75,2.75,2.75,2.75,0,0
20111104,2.75,2.75,2.75,2.75,0,0
20111107,2.75,2.75,2.75,2.75,0,0
20111108,2.75,2.75,2.75,2.75,0,0
20111109,2.76,2.76,2.76,2.76,0,0
20111110,2.76,2.76,2.76,2.76,0,0
20111114,2.76,2.76,2.69,2.75,0,0
20111115,2.76,2.76,2.75,2.75,0,0
20111116,2.73,2.76,2.72,2.76,0,0
20111117,2.76,2.76,2.76,2.76,0,0
20111118,2.69,2.76,2.69,2.76,0,0
20111121,2.76,2.76,2.76,2.76,0,0
20111122,2.76,2.8,2.69,2.69,0,0
20111123,2.62,2.64,2.52,2.62,0,0
20111124,2.69,2.69,2.62,2.62,0,0
20111125,2.69,2.69,2.69,2.69,0,0
20111128,2.63,3.04,2.63,3.04,0,0
20111129,3.13,3.66,3.13,3.66,0,0
20111130,3.76,3.76,3.49,3.49,0,0
20111201,3.39,3.39,3.39,3.39,0,0
20111202,3.42,3.42,3.42,3.42,0,0
20111205,3.49,3.49,3.19,3.35,0,0
20111206,3.35,3.35,3.35,3.35,0,0
20111207,3.34,3.76,3.13,3.22,0,0
20111208,3.07,3.32,2.97,3.31,0,0
20111209,3.29,3.29,3.29,3.29,0,0
20111212,3.32,3.49,3.32,3.49,0,0
20111213,3.49,3.49,3.32,3.49,0,0
20111214,3.48,3.49,3.14,3.43,0,0
20111216,3.41,3.66,3.41,3.66,0,0
20111219,3.66,3.66,3.42,3.42,0,0
20111221,3.75,3.75,3.75,3.75,0,0
20111222,3.48,3.76,3.48,3.76,0,0
20111223,3.83,3.83,3.56,3.83,0,0
20111227,3.65,3.7,3.51,3.7,0,0
20111228,3.53,3.69,3.53,3.63,0,0
20111229,3.63,3.63,3.63,3.63,0,0
20111230,3.63,3.8,3.63,3.8,0,0
20120102,3.81,4.54,3.81,4.54,0,0
20120103,4.52,5.44,4.19,4.85,0,0
20120104,4.85,5.23,4.19,5.06,0,0
20120105,5.06,5.06,5.06,5.06,0,0
20120109,4.82,4.96,4.64,4.96,0,0
20120110,4.74,4.89,4.19,4.68,0,0
