Date,Open,High,Low,Close,Volume,OpenInt
20110211,159.98,159.98,159.98,159.98,0,0
20110214,159.98,159.98,159.98,159.98,0,0
20110215,159.07,159.98,153.67,159.88,0,0
20110216,159.8,159.88,155.51,155.51,0,0
20110217,159.25,159.25,153.58,153.58,0,0
20110218,157.69,157.69,151.84,151.84,0,0
20110221,155.22,155.22,151.84,153.13,0,0
20110222,157.24,157.69,153.13,157.69,0,0
20110223,157.24,157.69,154.5,154.5,0,0
20110224,154.5,157.24,154.5,157.24,0,0
20110225,157.14,157.24,157.14,157.24,0,0
20110228,157.24,157.24,154.67,154.67,0,0
20110301,157.06,157.69,154.67,154.67,0,0
20110302,157.06,159.52,155.41,159.34,0,0
20110303,159.52,159.52,159.34,159.52,0,0
20110304,159.62,159.62,159.52,159.62,0,0
20110307,159.8,161.8,159.8,159.98,0,0
20110308,161.72,164.09,159.98,163.91,0,0
20110309,163.91,164.55,163.91,164.55,0,0
20110310,164.55,164.55,164.55,164.55,0,0
20110311,160.89,164.55,160.89,164.55,0,0
20110314,163.63,163.63,163.63,163.63,0,0
20110315,163.63,163.63,159.98,161.8,0,0
20110316,159.98,161.8,159.98,161.8,0,0
20110317,161.8,163.63,160.07,160.89,0,0
20110318,163.63,163.63,160.43,161.8,0,0
20110321,163.55,163.63,163.55,163.63,0,0
20110322,162.72,163.63,162.72,162.72,0,0
20110323,160.34,163.63,160.34,163.63,0,0
20110324,160.53,163.63,160.53,163.63,0,0
20110325,163.55,163.63,160.62,163.55,0,0
20110328,163.55,163.63,160.17,163.55,0,0
20110329,162.72,163.55,162.72,162.72,0,0
20110330,162.72,163.63,160.17,163.63,0,0
20110331,163.63,163.63,160.07,163.63,0,0
20110401,160.89,163.63,160.89,162.45,0,0
20110404,162.45,162.45,159.98,159.98,0,0
20110405,159.98,159.98,159.98,159.98,0,0
20110406,160.07,163.63,160.07,160.34,0,0
20110407,160.25,163.55,160.25,163.55,0,0
20110408,163.63,163.63,160.53,160.53,0,0
20110411,160.53,160.53,160.25,160.25,0,0
20110412,159.98,162.45,159.98,162.45,0,0
20110413,162.72,162.72,159.98,159.98,0,0
20110414,159.98,159.98,159.98,159.98,0,0
20110415,159.98,159.98,155.41,155.41,0,0
20110418,159.98,159.98,155.41,155.41,0,0
20110419,155.41,160.89,155.41,160.89,0,0
20110420,160.89,162.72,160.89,162.72,0,0
20110421,162.72,163,155.41,162.64,0,0
20110426,162.54,162.64,161.8,161.8,0,0
20110427,157.79,162.64,157.79,162.64,0,0
20110428,158.24,162.27,158.24,162.27,0,0
20110429,161.8,162.54,161.8,162.54,0,0
20110502,162.54,162.54,162.54,162.54,0,0
20110504,162.54,163.55,162.54,163.55,0,0
20110505,162.35,163.55,162.35,162.35,0,0
20110506,161.8,161.8,159.98,161.8,0,0
20110509,159.98,161.8,159.98,161.8,0,0
20110510,160.89,160.89,160.89,160.89,0,0
20110511,160.34,160.89,160.34,160.34,0,0
20110512,161.63,161.63,158.24,161.44,0,0
20110513,161.63,161.63,158.24,158.24,0,0
20110516,159.98,159.98,158.24,159.98,0,0
20110517,159.98,159.98,159.98,159.98,0,0
20110518,159.98,159.98,156.42,159.98,0,0
20110519,161.63,161.63,156.32,161.35,0,0
20110520,161.35,161.35,161.35,161.35,0,0
20110523,160.89,160.89,160.89,160.89,0,0
20110524,160.89,161.35,156.42,161.35,0,0
20110525,161.25,161.25,160.89,160.89,0,0
20110526,161.08,161.35,157.24,161.35,0,0
20110527,161.25,161.35,156.78,160.89,0,0
20110530,161.35,161.35,156.78,160.89,0,0
20110531,160.89,161.35,160.89,161.35,0,0
20110601,161.72,161.72,161.72,161.72,0,0
20110602,160.89,160.89,157.33,160.89,0,0
20110603,160.89,160.89,160.89,160.89,0,0
20110606,157.88,159.98,157.88,159.98,0,0
20110607,160.8,160.8,159.88,159.98,0,0
20110608,160.71,160.71,160.71,160.71,0,0
20110609,160.71,160.71,159.07,159.07,0,0
20110610,157.14,159.07,157.14,157.24,0,0
20110613,160.71,160.71,159.07,159.07,0,0
20110614,160.71,160.71,159.07,160.71,0,0
20110615,156.51,160.71,156.51,156.51,0,0
20110616,156.51,156.51,156.51,156.51,0,0
20110617,156.59,156.78,156.51,156.78,0,0
20110620,156.78,156.78,147.73,155.32,0,0
20110622,151.75,155.32,151.75,155.32,0,0
20110624,155.41,155.41,155.41,155.41,0,0
20110627,155.41,158.61,155.41,158.61,0,0
20110628,159.07,159.07,155.41,155.41,0,0
20110629,155.41,155.41,154.96,154.96,0,0
20110630,155.41,155.41,155.41,155.41,0,0
20110705,155.41,155.41,155.41,155.41,0,0
20110706,149.29,154.04,146.45,154.04,0,0
20110712,149.1,149.1,149.01,149.01,0,0
20110715,149.01,149.01,149.01,149.01,0,0
20110718,149.01,149.01,149.01,149.01,0,0
20110719,150.84,150.84,142.61,150.84,0,0
20110720,149.01,150.47,149.01,150.47,0,0
20110803,141.7,150.47,141.7,149.84,0,0
20110808,118.84,139.87,118.84,139.87,0,0
20110809,123.42,136.21,123.42,136.21,0,0
20110811,131.65,131.65,131.55,131.55,0,0
20110812,131.46,131.65,131.46,131.65,0,0
20110816,125.24,125.24,118.84,123.42,0,0
20110817,129.81,129.81,123.42,127.07,0,0
20110818,127.07,127.99,123.42,127.99,0,0
20110822,123.42,123.42,123.42,123.42,0,0
20110823,124.33,124.33,114.72,123.42,0,0
20110824,122.49,123.42,118.84,123.32,0,0
20110829,117.02,126.15,117.02,126.15,0,0
20110831,118.84,122.49,118.84,122.49,0,0
20110901,123.42,135.2,122.49,135.2,0,0
20110906,135.12,135.12,135.12,135.12,0,0
20110907,125.33,135.12,125.33,135.02,0,0
20110908,135.02,135.02,125.98,127.99,0,0
20110909,125.24,125.24,124.33,124.33,0,0
20110912,118.84,123.42,118.84,123.42,0,0
20110914,134.75,134.75,134.75,134.75,0,0
20110915,119.02,119.02,118.84,118.84,0,0
20110916,117.02,126.98,114.27,126.98,0,0
20110919,117.02,127.44,117.02,125.52,0,0
20110920,125.52,125.52,118.84,118.84,0,0
20110921,118.84,126.89,118.84,126.89,0,0
20110922,118.84,126.7,118.84,126.7,0,0
20110923,118.84,131.55,118.84,131.55,0,0
20110928,131.65,134.65,131.65,134.65,0,0
20111003,122.68,131.19,122.68,131.19,0,0
20111007,132.56,132.56,132.56,132.56,0,0
20111010,134.83,137.12,134.83,137.12,0,0
20111011,137.12,144.44,137.12,144.44,0,0
20111012,148.1,148.1,148.1,148.1,0,0
20111025,147.18,147.64,147.18,147.64,0,0
20111031,145.81,147.64,145.81,147.64,0,0
20111103,132.92,147.54,132.92,146.26,0,0
20111107,141.7,144.8,135.85,135.85,0,0
20111108,144.71,144.8,144.71,144.8,0,0
20111109,135.38,144.35,135.38,135.38,0,0
20111110,135.38,135.38,135.38,135.38,0,0
20111116,137.12,137.12,137.12,137.12,0,0
20111117,141.6,141.7,137.12,141.7,0,0
20111118,141.6,141.6,141.6,141.6,0,0
20111129,135.38,141.6,135.38,141.52,0,0
20111205,141.42,141.42,141.42,141.42,0,0
20111208,137.12,141.52,137.12,141.52,0,0
20111209,139.41,139.41,139.41,139.41,0,0
20111212,137.12,139.78,137.12,139.78,0,0
20111213,141.42,141.52,139.87,139.87,0,0
20111214,138.49,139.87,137.12,139.87,0,0
20111222,139.78,141.52,139.78,141.52,0,0
20111223,141.52,141.52,141.52,141.52,0,0
20111227,141.52,141.52,141.52,141.52,0,0
20111228,140.79,141.52,140.79,141.52,0,0
20111230,139.86,139.86,139.86,139.86,0,0
20120105,143.53,143.53,137.12,137.12,0,0
20120113,137.12,139.87,137.12,139.87,0,0
20120118,137.12,137.12,137.12,137.12,0,0
20120119,141.6,141.7,141.6,141.7,0,0
20120126,141.7,141.7,141.7,141.7,0,0
20120127,137.12,137.12,137.12,137.12,0,0
20120131,137.12,137.12,137.12,137.12,0,0
20120201,143.24,143.24,137.58,137.58,0,0
20120206,137.58,137.58,137.58,137.58,0,0
20120215,137.58,137.58,137.58,137.58,0,0
20120216,137.58,137.58,137.58,137.58,0,0
20120228,137.58,138.95,137.58,138.95,0,0
20120229,138.95,150.84,138.95,150.84,0,0
20120301,150.75,150.84,137.49,150.75,0,0
20120302,150.75,150.75,150.75,150.75,0,0
20120306,141.7,148.1,141.7,147.09,0,0
20120307,146.99,146.99,146.99,146.99,0,0
20120312,146.45,146.45,146.45,146.45,0,0
20120313,146.26,146.26,146.26,146.26,0,0
20120319,146.63,146.63,137.22,145.9,0,0
20120320,146.73,146.73,145.9,146.54,0,0
20120321,146.54,146.54,145.26,145.26,0,0
