Date,Open,High,Low,Close,Volume,OpenInt
20101223,1732.16,1732.16,1732.16,1732.16,0,0
20101227,1907.48,2098.06,1907.48,2098.06,0,0
20101228,2286.9,2373.52,1905.75,1905.75,0,0
20101229,1732.49,1905.75,1386,1386,0,0
20101230,1212.75,1212.75,1091.47,1143.45,0,0
20101231,1056.83,1056.83,1039.5,1053.36,0,0
20110103,1022.17,1053.36,897.08,897.08,0,0
20110104,852.39,937.63,852.39,873.18,0,0
20110105,873.18,873.18,785.86,830.9,0,0
20110107,831.25,848.93,831.25,848.93,0,0
20110110,846.5,846.5,769.23,777.55,0,0
20110111,790.02,798.34,727.65,762.3,0,0
20110112,758.84,762.3,734.58,758.49,0,0
20110113,736.31,765.42,727.65,744.28,0,0
20110114,734.58,734.58,702.01,702.01,0,0
20110117,725.92,725.92,672.21,689.18,0,0
20110118,688.15,688.15,662.16,665.28,0,0
20110119,692.66,693,669.09,675.68,0,0
20110120,679.14,691.61,661.82,673.94,0,0
20110121,659.04,683.29,658.69,668.39,0,0
20110124,668.39,689.53,661.82,682.26,0,0
20110125,665.28,672.21,644.49,668.74,0,0
20110126,637.56,681.56,637.56,656.62,0,0
20110127,632.36,672.9,618.5,644.49,0,0
20110128,603.94,603.94,603.94,603.94,0,0
20110131,591.82,622.32,554.74,608.31,0,0
20110201,608.31,642.19,580.18,642.19,0,0
20110202,626.94,643.55,626.94,641.52,0,0
20110203,610,641.52,610,630,0,0
20110204,633.73,640.84,613.39,633.73,0,0
20110207,637.45,653.38,630.33,653.38,0,0
20110208,647.28,653.38,626.94,643.89,0,0
20110209,627.28,640.16,608.65,638.81,0,0
20110210,626.94,638.81,625.25,637.11,0,0
20110211,610,630.33,603.22,630.33,0,0
20110214,626.94,671,615.09,671,0,0
20110215,674.39,843.5,671,843.5,0,0
20110216,840.44,870.94,759.11,775.38,0,0
20110217,775.38,775.38,738.78,767.59,0,0
20110218,736.4,748.95,715.39,748.95,0,0
20110221,748.95,806.21,727.25,786.22,0,0
20110222,785.88,786.22,737.08,774.7,0,0
20110223,745.56,745.56,705.57,711.66,0,0
20110224,713.37,728.61,704.21,704.89,0,0
20110225,718.45,738.44,704.89,738.44,0,0
20110228,744.88,778.77,744.88,765.21,0,0
20110301,752.34,765.21,735.39,763.18,0,0
20110302,759.79,759.79,712.69,758.44,0,0
20110303,715.06,745.56,715.06,745.56,0,0
20110304,728.61,745.56,715.39,742.16,0,0
20110307,721.83,721.83,721.83,721.83,0,0
20110308,688.96,721.83,688.96,718.45,0,0
20110309,718.45,730.31,718.45,730.31,0,0
20110310,720.14,733.7,720.14,733.7,0,0
20110311,719.46,733.7,719.46,719.46,0,0
20110314,719.46,719.46,719.46,719.46,0,0
20110315,719.46,732.34,711.66,725.56,0,0
20110316,728.28,732.68,728.28,732.68,0,0
20110317,697.43,732.68,697.43,711.66,0,0
20110318,711.66,711.66,699.81,699.81,0,0
20110321,711.66,711.66,699.81,699.81,0,0
20110322,713.37,713.37,699.81,711.66,0,0
20110323,700.48,713.03,700.48,703.2,0,0
20110324,701.16,701.16,696.42,696.42,0,0
20110325,696.42,711.33,680.15,711.33,0,0
20110328,680.15,694.72,680.15,694.72,0,0
20110330,679.81,694.72,679.81,681.5,0,0
20110331,681.5,682.87,679.47,679.47,0,0
20110401,679.81,679.81,679.47,679.81,0,0
20110404,679.81,679.81,677.78,677.78,0,0
20110405,691.33,728.61,677.78,728.61,0,0
20110406,732.68,732.68,712.34,712.34,0,0
20110407,701.5,714.04,694.72,705.23,0,0
20110408,706.58,714.38,694.72,714.38,0,0
20110411,696.42,696.42,691.33,692.01,0,0
20110412,698.12,717.77,692.01,717.77,0,0
20110413,723.53,723.53,723.53,723.53,0,0
20110414,692.01,723.53,677.78,677.78,0,0
20110415,684.9,687.95,677.78,687.95,0,0
20110418,684.9,684.9,677.78,677.78,0,0
20110419,677.78,677.78,669.65,669.65,0,0
20110420,669.65,669.65,669.65,669.65,0,0
20110421,651.01,651.01,651.01,651.01,0,0
20110426,651.01,651.01,651.01,651.01,0,0
20110427,651.01,655.75,642.19,642.53,0,0
20110428,630.67,638.81,626.6,626.94,0,0
20110429,630.33,633.73,630.33,630.33,0,0
20110502,632.03,647.28,630.33,643.89,0,0
20110505,626.94,643.89,626.94,626.94,0,0
20110506,626.94,635.42,626.94,635.42,0,0
20110509,626.94,626.94,623.56,623.56,0,0
20110512,579.84,633.73,579.84,633.73,0,0
20110513,613.39,633.73,613.39,613.39,0,0
20110517,593.05,593.05,576.11,576.11,0,0
20110518,576.11,576.11,576.11,576.11,0,0
20110519,575.77,711.66,522.9,711.66,0,0
20110520,724.21,725.22,652.02,723.87,0,0
20110523,711.66,711.66,654.06,660.83,0,0
20110524,610,694.72,610,694.72,0,0
20110525,677.78,696.42,674.39,678.12,0,0
20110526,686.25,686.25,678.12,686.25,0,0
20110527,677.78,696.08,677.78,694.72,0,0
20110530,671.34,671.34,671,671,0,0
20110531,657.78,684.56,657.78,684.56,0,0
20110601,657.78,657.78,657.44,657.78,0,0
20110607,676.08,676.08,676.08,676.08,0,0
20110609,615.42,676.08,615.42,676.08,0,0
20110610,643.89,679.47,643.89,677.78,0,0
20110613,677.78,698.12,677.78,694.72,0,0
20110614,677.78,694.72,650.67,692.01,0,0
20110615,660.83,692.01,660.83,677.78,0,0
20110616,643.89,694.72,643.89,694.72,0,0
20110617,644.23,694.72,644.23,692.69,0,0
20110620,644.57,694.72,644.57,694.72,0,0
20110621,694.72,694.72,694.72,694.72,0,0
20110622,694.72,694.72,662.52,662.52,0,0
20110624,661.85,661.85,661.85,661.85,0,0
20110627,661.85,661.85,661.85,661.85,0,0
20110628,643.89,661.85,643.89,643.89,0,0
20110630,677.78,694.72,677.78,694.72,0,0
20110706,643.89,677.78,625.25,677.78,0,0
20110708,677.78,677.78,677.78,677.78,0,0
20110711,677.78,681.17,677.78,681.17,0,0
20110712,681.17,681.17,681.17,681.17,0,0
20110718,645.25,645.25,644.91,644.91,0,0
20110727,583.57,710.99,583.57,710.99,0,0
20110728,706.58,710.99,694.72,694.72,0,0
20110729,678.8,710.99,678.8,710.99,0,0
20110803,641.18,710.99,586.28,641.18,0,0
20110805,576.79,641.18,520.2,633.73,0,0
20110808,572.72,593.05,572.72,576.11,0,0
20110809,542.22,542.22,526.97,526.97,0,0
20110810,576.11,576.11,576.11,576.11,0,0
20110812,542.22,576.11,542.22,545.61,0,0
20110816,572.72,572.72,572.72,572.72,0,0
20110817,576.45,576.45,572.72,576.45,0,0
20110818,542.9,633.73,542.9,633.73,0,0
20110819,570.35,633.73,570.35,610,0,0
20110824,576.11,610,576.11,576.11,0,0
20110825,576.11,576.11,562.55,562.55,0,0
20110829,542.22,542.22,542.22,542.22,0,0
20110830,569.34,569.34,569.34,569.34,0,0
20110831,625.93,745.56,625.93,745.56,0,0
20110901,709.64,745.56,643.89,660.5,0,0
20110902,677.78,677.78,677.78,677.78,0,0
20110906,660.83,660.83,610,610,0,0
20110909,613.39,671,613.39,671,0,0
20110912,610,669.31,610,669.31,0,0
20110916,643.89,669.31,643.89,643.89,0,0
20110919,583.22,606.61,583.22,606.61,0,0
20110920,666.93,669.31,606.61,669.31,0,0
20110921,669.65,669.65,626.94,662.52,0,0
20110922,662.52,662.52,645.58,645.58,0,0
20110923,657.44,662.52,645.58,662.52,0,0
20110927,696.08,779.45,662.52,769.28,0,0
20110928,692.35,718.45,692.35,711.66,0,0
20110929,709.97,718.45,709.97,715.06,0,0
20110930,716.75,716.75,715.06,715.06,0,0
20111003,644.23,644.23,644.23,644.23,0,0
20111010,708.28,708.28,637.11,637.11,0,0
20111014,593.74,593.74,593.74,593.74,0,0
20111017,677.78,677.78,677.78,677.78,0,0
20111018,678.8,684.56,678.46,684.56,0,0
20111019,678.12,678.12,678.12,678.12,0,0
20111020,630.33,687.95,630.33,687.95,0,0
20111021,686.25,686.25,684.56,684.56,0,0
20111024,684.56,684.56,681.17,684.56,0,0
20111108,625.25,625.25,625.25,625.25,0,0
20111118,596.78,610,596.78,610,0,0
20111125,564.59,610,564.59,610,0,0
20111128,566.28,566.28,566.28,566.28,0,0
20111129,566.96,623.56,566.28,623.56,0,0
20111130,637.11,643.89,637.11,643.89,0,0
20111205,643.89,643.89,643.89,643.89,0,0
20111213,580.18,596.19,580.18,596.19,0,0
20111220,579.16,579.16,579.16,579.16,0,0
20111227,579.16,579.16,562.13,562.13,0,0
20111230,596.19,596.19,596.19,596.19,0,0
20120102,655.47,655.47,655.47,655.47,0,0
20120103,590.06,590.06,590.06,590.06,0,0
20120104,596.54,596.54,596.54,596.54,0,0
20120105,597.22,597.22,596.88,596.88,0,0
20120111,579.16,579.16,579.16,579.16,0,0
20120112,572.35,572.35,572.35,572.35,0,0
20120116,562.47,562.47,562.13,562.13,0,0
20120119,562.47,562.47,562.47,562.47,0,0
20120124,562.13,562.13,534.87,534.87,0,0
20120131,531.46,534.87,531.46,531.46,0,0
20120201,545.09,545.09,545.09,545.09,0,0
20120202,579.16,589.38,579.16,589.38,0,0
20120203,545.09,589.38,545.09,558.72,0,0
20120206,579.16,579.16,558.72,577.46,0,0
20120207,577.46,612.89,554.29,585.29,0,0
20120208,591.08,591.08,591.08,591.08,0,0
20120209,597.9,603.01,591.08,602.67,0,0
20120210,603.01,603.01,603.01,603.01,0,0
20120213,558.72,660.24,558.72,660.24,0,0
20120214,594.49,629.92,594.49,596.19,0,0
20120215,597.22,597.9,596.19,597.9,0,0
20120216,598.58,607.78,575.75,607.78,0,0
20120217,569.62,606.07,569.62,606.07,0,0
20120220,569.62,602.67,569.62,596.19,0,0
20120221,596.54,596.54,596.54,596.54,0,0
20120222,566.21,593.81,566.21,593.81,0,0
20120223,594.15,594.15,594.15,594.15,0,0
20120224,592.79,592.79,592.79,592.79,0,0
20120227,592.79,592.79,579.16,579.16,0,0
20120305,555.31,579.16,555.31,579.16,0,0
20120308,579.84,579.84,579.84,579.84,0,0
20120312,545.09,545.09,545.09,545.09,0,0
20120313,609.48,609.48,609.48,609.48,0,0
20120314,561.1,562.13,561.1,562.13,0,0
20120315,579.16,579.16,563.83,563.83,0,0
20120316,563.83,563.83,563.83,563.83,0,0
20120321,548.5,548.5,548.5,548.5,0,0
20120322,545.09,603.35,511.02,603.35,0,0
20120323,545.09,545.09,543.05,545.09,0,0
20120326,545.77,545.77,511.02,511.02,0,0
20120327,528.06,528.06,511.02,528.06,0,0
20120330,528.06,528.06,528.06,528.06,0,0
20120402,487.18,510.68,459.92,510.68,0,0
20120403,470.82,510.68,470.82,470.82,0,0
20120404,471.85,515.11,442.89,515.11,0,0
20120410,465.03,465.03,465.03,465.03,0,0
20120419,441.18,465.03,441.18,441.18,0,0
20120423,482.07,482.07,482.07,482.07,0,0
20120430,434.71,482.07,434.71,434.71,0,0
20120528,442.55,442.55,434.71,442.55,0,0
20120529,442.55,442.55,439.48,439.48,0,0
20120530,442.55,442.55,442.55,442.55,0,0
20120531,441.18,441.18,441.18,441.18,0,0
