Date,Open,High,Low,Close,Volume,OpenInt
20081107,2.82,2.82,2.82,2.82,0,0
20081110,3.16,3.41,3.16,3.41,0,0
20081112,2.99,3.41,2.92,2.92,0,0
20081113,2.86,2.99,2.66,2.99,0,0
20081114,2.86,2.86,2.49,2.79,0,0
20081117,2.56,2.97,2.56,2.91,0,0
20081121,2.84,2.91,2.84,2.84,0,0
20081124,2.86,2.86,2.86,2.86,0,0
20081126,2.58,2.86,2.58,2.82,0,0
20081128,2.76,2.84,2.76,2.84,0,0
20081201,2.66,3.16,2.66,2.91,0,0
20081202,2.91,2.91,2.91,2.91,0,0
20081203,3.09,3.09,2.49,2.91,0,0
20081208,2.53,2.81,2.51,2.76,0,0
20081210,2.58,2.74,2.58,2.74,0,0
20081212,2.66,2.72,2.66,2.71,0,0
20081215,2.66,2.77,2.66,2.76,0,0
20081216,2.66,2.66,2.66,2.66,0,0
20081217,2.64,2.64,2.64,2.64,0,0
20081218,2.49,2.49,2.49,2.49,0,0
20081219,2.47,2.81,2.47,2.81,0,0
20081222,2.41,2.66,2.41,2.66,0,0
20081223,2.36,2.36,1.94,1.99,0,0
20081229,2.06,2.06,1.96,1.99,0,0
20081230,1.99,2.01,1.99,2.01,0,0
20081231,2.01,2.04,2.01,2.04,0,0
20090105,2.08,2.13,2.04,2.13,0,0
20090106,2.06,2.09,1.91,2.08,0,0
20090107,1.99,1.99,1.88,1.94,0,0
20090108,1.86,1.86,1.83,1.83,0,0
20090109,1.76,1.83,1.75,1.75,0,0
20090112,1.69,1.69,0.79,0.79,0,0
20090113,0.8,0.8,0.78,0.78,0,0
20090114,0.79,0.79,0.76,0.76,0,0
20090115,0.76,0.76,0.75,0.75,0,0
20090116,0.75,0.75,0.71,0.71,0,0
20090119,0.71,0.71,0.64,0.64,0,0
20090120,0.64,0.64,0.62,0.62,0,0
20090121,0.64,0.81,0.59,0.81,0,0
20090122,0.82,0.82,0.71,0.75,0,0
20090123,0.69,0.69,0.64,0.64,0,0
20090126,0.66,0.7,0.66,0.7,0,0
20090127,0.67,0.67,0.63,0.66,0,0
20090128,0.67,0.67,0.66,0.67,0,0
20090130,0.67,0.67,0.65,0.67,0,0
20090203,0.67,0.67,0.65,0.65,0,0
20090204,0.66,0.77,0.65,0.77,0,0
20090205,0.78,0.85,0.75,0.84,0,0
20090206,0.84,0.86,0.81,0.82,0,0
20090209,0.79,0.85,0.79,0.85,0,0
20090210,0.85,0.98,0.84,0.95,0,0
20090211,0.87,0.98,0.87,0.92,0,0
20090212,0.89,0.9,0.86,0.9,0,0
20090213,0.86,0.9,0.83,0.87,0,0
20090216,0.82,1,0.82,1,0,0
20090217,0.95,0.95,0.9,0.95,0,0
20090218,0.91,0.91,0.89,0.91,0,0
20090219,0.91,0.91,0.91,0.91,0,0
20090220,0.91,0.91,0.91,0.91,0,0
20090223,0.93,0.93,0.91,0.93,0,0
20090224,0.95,0.95,0.95,0.95,0,0
20090225,0.96,0.98,0.96,0.96,0,0
20090226,0.97,0.97,0.95,0.97,0,0
20090227,0.97,1.04,0.95,1.04,0,0
20090302,1.04,1.05,0.75,0.75,0,0
20090303,0.75,0.75,0.75,0.75,0,0
20090304,0.72,0.75,0.72,0.72,0,0
20090305,0.73,0.73,0.65,0.65,0,0
20090306,0.68,0.68,0.61,0.64,0,0
20090309,0.61,0.62,0.61,0.62,0,0
20090310,0.63,0.71,0.63,0.69,0,0
20090311,0.66,0.68,0.65,0.68,0,0
20090312,0.68,0.68,0.68,0.68,0,0
20090313,0.69,0.69,0.69,0.69,0,0
20090316,0.69,0.7,0.69,0.7,0,0
20090317,0.66,0.69,0.66,0.69,0,0
20090318,0.66,0.67,0.66,0.67,0,0
20090323,0.67,0.77,0.67,0.77,0,0
20090324,0.7,0.76,0.7,0.7,0,0
20090325,0.74,0.83,0.74,0.83,0,0
20090326,0.86,0.86,0.77,0.8,0,0
20090327,0.79,0.82,0.75,0.79,0,0
20090330,0.75,0.78,0.74,0.78,0,0
20090331,0.77,0.77,0.74,0.74,0,0
20090401,0.74,0.82,0.74,0.8,0,0
20090402,0.86,0.91,0.8,0.85,0,0
20090403,0.84,0.87,0.83,0.86,0,0
20090406,0.87,0.95,0.87,0.95,0,0
20090407,0.93,0.95,0.89,0.94,0,0
20090408,0.88,0.98,0.87,0.98,0,0
20090409,0.98,1.11,0.96,1.11,0,0
20090414,1.11,1.14,1.09,1.1,0,0
20090415,1.11,1.11,1.09,1.11,0,0
20090416,1.07,1.11,1.03,1.05,0,0
20090417,1.01,1.03,0.99,1.03,0,0
20090420,0.98,1.01,0.98,1.01,0,0
20090421,1.04,1.04,1,1.01,0,0
20090422,1.01,1.02,1,1.01,0,0
20090423,1.03,1.03,1.01,1.01,0,0
20090424,1,1,0.98,0.99,0,0
20090427,1,1,0.96,0.98,0,0
20090428,0.99,1.26,0.97,1.26,0,0
20090429,1.35,1.63,1.35,1.46,0,0
20090430,1.55,1.56,1.4,1.42,0,0
20090504,1.29,1.33,1.25,1.32,0,0
20090505,1.3,1.39,1.29,1.34,0,0
20090506,1.4,1.4,1.31,1.37,0,0
20090507,1.36,1.38,1.32,1.38,0,0
20090508,1.37,1.37,1.32,1.35,0,0
20090511,1.4,1.4,1.33,1.35,0,0
20090512,1.34,1.75,1.34,1.75,0,0
20090513,1.85,1.85,1.63,1.74,0,0
20090514,1.68,1.79,1.65,1.78,0,0
20090515,1.93,1.93,1.75,1.81,0,0
20090518,1.8,1.87,1.63,1.63,0,0
20090519,1.69,1.69,1.52,1.54,0,0
20090520,1.54,1.54,1.44,1.51,0,0
20090521,1.51,1.58,1.45,1.54,0,0
20090522,1.57,1.6,1.53,1.6,0,0
20090525,1.62,1.69,1.6,1.66,0,0
20090526,1.66,1.66,1.59,1.62,0,0
20090527,1.61,1.62,1.52,1.52,0,0
20090528,1.52,1.58,1.48,1.48,0,0
20090529,1.48,1.57,1.43,1.56,0,0
20090601,1.46,1.56,1.46,1.54,0,0
20090602,1.55,1.57,1.51,1.51,0,0
20090603,1.51,1.51,1.42,1.48,0,0
20090604,1.48,1.48,1.4,1.4,0,0
20090605,1.47,1.47,1.41,1.41,0,0
20090608,1.42,1.49,1.41,1.49,0,0
20090609,1.5,1.54,1.48,1.5,0,0
20090610,1.5,1.5,1.5,1.5,0,0
20090612,1.51,1.54,1.51,1.51,0,0
20090615,1.52,1.52,1.49,1.49,0,0
20090616,1.49,1.49,1.43,1.46,0,0
20090617,1.46,1.46,1.41,1.43,0,0
20090618,1.42,1.45,1.4,1.43,0,0
20090619,1.47,1.47,1.41,1.45,0,0
20090622,1.43,1.43,1.34,1.34,0,0
20090623,1.35,1.4,1.35,1.4,0,0
20090624,1.38,1.38,1.37,1.37,0,0
20090625,1.36,1.36,1.34,1.34,0,0
20090626,1.35,1.38,1.34,1.34,0,0
20090629,1.3,1.38,1.28,1.35,0,0
20090630,1.34,1.36,1.32,1.35,0,0
20090701,1.35,1.4,1.35,1.39,0,0
20090702,1.44,1.73,1.44,1.57,0,0
20090703,1.64,1.64,1.51,1.51,0,0
20090706,1.51,1.53,1.45,1.51,0,0
20090707,1.54,1.6,1.52,1.52,0,0
20090708,1.48,1.52,1.45,1.45,0,0
20090709,1.46,1.52,1.46,1.52,0,0
20090710,1.47,1.51,1.42,1.51,0,0
20090713,1.45,1.59,1.45,1.52,0,0
20090714,1.52,1.61,1.51,1.61,0,0
