Date,Open,High,Low,Close,Volume,OpenInt
20090916,4.31,4.31,4.31,4.31,0,0
20090917,4.61,4.61,3.89,4,0,0
20090918,3.84,4.04,3.84,4.04,0,0
20090921,3.69,3.72,3.54,3.54,0,0
20090922,3.84,3.84,3.58,3.58,0,0
20090923,3.69,3.69,3.54,3.56,0,0
20090924,3.62,3.62,3.58,3.58,0,0
20090925,3.61,3.61,3.46,3.46,0,0
20090928,3.59,3.59,3.59,3.59,0,0
20090929,3.59,3.59,3.43,3.43,0,0
20090930,3.44,3.44,3.38,3.38,0,0
20091001,3.29,3.29,3.23,3.23,0,0
20091002,3.42,3.42,3.42,3.42,0,0
20091005,3.42,3.42,3.08,3.08,0,0
20091006,3.22,3.22,3.22,3.22,0,0
20091007,3.22,3.22,3.22,3.22,0,0
20091008,3.21,3.21,3.07,3.07,0,0
20091009,3.13,3.13,3.07,3.07,0,0
20091012,3.42,3.42,3.09,3.09,0,0
20091013,3.07,3.07,2.96,2.96,0,0
20091014,3.04,3.04,2.93,2.93,0,0
20091015,3.02,3.03,2.79,2.79,0,0
20091016,2.97,2.97,2.81,2.81,0,0
20091019,2.81,2.81,2.74,2.74,0,0
20091020,2.7,2.81,2.7,2.81,0,0
20091021,2.81,2.81,2.81,2.81,0,0
20091022,2.81,2.81,2.71,2.71,0,0
20091023,2.81,2.81,2.81,2.81,0,0
20091026,2.81,2.81,2.81,2.81,0,0
20091027,2.9,2.9,2.86,2.86,0,0
20091028,2.9,2.9,2.74,2.74,0,0
20091029,2.9,2.9,2.76,2.76,0,0
20091030,2.83,2.83,2.71,2.79,0,0
20091102,2.83,2.83,2.69,2.69,0,0
20091103,2.83,2.83,2.7,2.7,0,0
20091104,2.83,2.83,2.77,2.77,0,0
20091105,2.83,2.83,2.72,2.72,0,0
20091106,2.76,2.76,2.69,2.69,0,0
20091109,2.72,2.72,2.69,2.69,0,0
20091110,2.76,2.76,2.69,2.69,0,0
20091112,2.76,2.76,2.64,2.64,0,0
20091113,2.48,2.63,2.37,2.63,0,0
20091116,2.63,2.63,2.2,2.2,0,0
20091117,2.29,2.29,2.19,2.21,0,0
20091118,2.07,2.17,2.07,2.17,0,0
20091119,2.18,2.18,2.18,2.18,0,0
20091120,2.22,2.22,2.22,2.22,0,0
20091123,2.22,2.48,2.07,2.43,0,0
20091124,2.43,2.43,2.11,2.23,0,0
20091125,2.11,2.27,1.98,2.06,0,0
20091126,1.96,2.07,1.96,2.06,0,0
20091127,1.94,2.42,1.94,2.42,0,0
20091130,2.11,2.35,2.11,2.35,0,0
20091201,2.19,2.39,2.19,2.39,0,0
20091202,2.21,2.38,2.12,2.12,0,0
20091203,2.26,2.26,2.26,2.26,0,0
20091204,2.06,2.24,2.06,2.24,0,0
20091207,2.06,2.12,2.06,2.12,0,0
20091208,2.06,2.22,2.06,2.22,0,0
20091209,2.22,2.22,2.22,2.22,0,0
20091210,1.89,2.17,1.89,2.17,0,0
20091211,1.9,2.12,1.9,2.12,0,0
20091214,1.88,2.1,1.88,2.1,0,0
20091215,2.1,2.1,2.1,2.1,0,0
20091216,1.88,2.11,1.88,2.11,0,0
20091217,2.06,2.06,2.06,2.06,0,0
20091218,1.97,2.11,1.97,2.11,0,0
20091221,2.11,2.12,1.88,2.12,0,0
20091222,2.11,2.11,2.11,2.11,0,0
20091223,2.06,2.06,2.06,2.06,0,0
20091228,2.05,2.05,1.79,1.79,0,0
20091229,1.81,1.81,1.81,1.81,0,0
20091230,2,2.12,1.96,1.96,0,0
20091231,2.09,2.09,2.02,2.06,0,0
20100104,2.11,2.11,2.09,2.09,0,0
20100105,2.09,2.09,2.09,2.09,0,0
20100106,2.09,2.09,1.81,2,0,0
20100107,2.09,2.09,2.09,2.09,0,0
20100108,2.09,2.09,2.09,2.09,0,0
20100111,2.08,2.09,2.08,2.09,0,0
20100112,2.06,2.06,2.06,2.06,0,0
20100113,2.06,2.27,1.9,2.27,0,0
20100114,2.14,2.14,2.04,2.04,0,0
20100115,2.09,2.09,1.93,1.99,0,0
20100118,1.99,2.09,1.99,2.09,0,0
20100119,2.09,2.09,1.94,2.01,0,0
20100120,2.09,2.09,1.93,1.93,0,0
20100121,2.04,2.05,2.04,2.05,0,0
20100122,2.05,2.05,1.93,1.93,0,0
20100125,2.06,2.06,2.06,2.06,0,0
20100126,2.09,2.09,1.93,1.93,0,0
20100127,1.93,1.93,1.93,1.93,0,0
20100128,1.99,1.99,1.94,1.94,0,0
20100129,1.99,1.99,1.99,1.99,0,0
20100201,2.06,2.06,2.06,2.06,0,0
20100202,2.06,2.06,2.06,2.06,0,0
20100203,2.06,2.06,1.95,1.95,0,0
20100204,2.06,2.09,1.96,2.05,0,0
20100205,2.09,2.09,2,2.06,0,0
20100208,2.1,2.71,2.1,2.71,0,0
20100209,2.61,2.71,2.43,2.55,0,0
20100210,2.6,2.6,2.22,2.35,0,0
20100211,2.34,2.54,2.19,2.49,0,0
20100212,2.49,2.49,2.18,2.19,0,0
20100215,2.37,2.42,2.15,2.15,0,0
20100216,2.12,2.29,2,2.12,0,0
20100217,2.11,2.21,2.01,2.12,0,0
20100218,2.24,2.24,1.96,2.09,0,0
20100219,1.88,1.97,1.85,1.96,0,0
20100222,2.05,2.05,1.76,1.89,0,0
20100223,1.82,1.87,1.74,1.87,0,0
20100224,1.87,1.89,1.79,1.85,0,0
20100225,1.85,1.9,1.85,1.88,0,0
20100226,2.01,2.01,2.01,2.01,0,0
20100301,2.01,2.01,1.99,2.01,0,0
20100302,2.01,2.01,2.01,2.01,0,0
20100303,2.01,2.01,2.01,2.01,0,0
20100304,2.07,2.07,1.88,2,0,0
20100305,2.01,2.07,1.97,1.97,0,0
20100308,2,2.26,2,2.1,0,0
20100309,2.26,2.26,2.08,2.08,0,0
20100310,2.08,2.21,2.08,2.21,0,0
20100311,2.21,2.26,2.16,2.16,0,0
20100312,2.26,2.34,2.26,2.34,0,0
20100315,2.34,2.42,2.29,2.29,0,0
20100316,2.42,2.42,2.18,2.3,0,0
20100317,2.41,2.41,2.41,2.41,0,0
20100318,2.09,2.38,2.09,2.12,0,0
20100319,2.36,2.36,2.05,2.21,0,0
20100322,2.34,2.34,2.03,2.3,0,0
20100323,2.34,2.34,2.06,2.29,0,0
20100324,2.33,2.33,2.33,2.33,0,0
20100325,2.12,2.32,2.12,2.32,0,0
20100326,2.28,2.28,2.28,2.28,0,0
20100329,2.18,2.18,1.95,1.95,0,0
20100330,2.21,2.21,2.21,2.21,0,0
20100331,2.18,2.18,1.95,2.17,0,0
20100401,2.15,2.15,2.15,2.15,0,0
20100406,2.15,2.15,2.15,2.15,0,0
20100407,2.14,2.14,1.83,1.93,0,0
20100408,2,2,1.89,1.89,0,0
20100409,1.9,2,1.9,2,0,0
20100412,2,2,2,2,0,0
20100413,2.15,2.15,1.91,2.12,0,0
20100414,2.11,2.11,2.11,2.11,0,0
20100415,2.11,2.11,2.1,2.1,0,0
20100416,2.12,2.12,2.12,2.12,0,0
20100419,2.12,2.12,1.89,2.11,0,0
20100420,2.12,2.12,2.12,2.12,0,0
20100421,2.12,2.12,2.12,2.12,0,0
20100422,2.12,2.12,2.12,2.12,0,0
20100423,2.09,2.09,2.09,2.09,0,0
20100426,2.09,2.09,2.09,2.09,0,0
20100427,2.09,2.09,2.09,2.09,0,0
20100428,2.09,2.35,2.09,2.35,0,0
20100429,2.49,2.49,2.37,2.37,0,0
20100430,2.34,2.34,2.34,2.34,0,0
20100504,2.42,2.42,2.14,2.14,0,0
20100505,2.09,2.36,1.94,2.35,0,0
20100506,2.34,2.34,2.34,2.34,0,0
20100507,2.3,2.3,2.3,2.3,0,0
20100510,2.33,2.33,2.33,2.33,0,0
20100511,2.34,2.34,2,2,0,0
20100512,2.17,2.17,2.17,2.17,0,0
20100513,2.15,2.15,1.95,2.12,0,0
20100514,2.06,2.06,1.92,2.06,0,0
20100517,2.05,2.14,1.88,2.14,0,0
20100518,2.31,2.31,2.31,2.31,0,0
20100519,2.28,2.28,2.14,2.14,0,0
20100520,2.31,2.31,2.31,2.31,0,0
20100521,2.31,2.31,2.31,2.31,0,0
20100524,2.31,2.31,2.31,2.31,0,0
20100525,2.14,2.14,1.8,1.8,0,0
20100526,2.07,2.15,1.6,2.07,0,0
20100527,2.07,2.29,1.97,2.29,0,0
20100528,2.31,2.31,2.31,2.31,0,0
20100531,2.3,2.3,2.1,2.3,0,0
20100601,2.3,2.3,2.3,2.3,0,0
20100602,2.29,2.29,1.85,1.93,0,0
20100604,2.07,2.24,2.07,2.15,0,0
20100607,2.15,2.15,2.15,2.15,0,0
20100608,2.15,2.15,2.15,2.15,0,0
20100609,2.14,2.18,2.14,2.18,0,0
20100610,2.18,2.18,2.18,2.18,0,0
20100611,2.18,2.18,2.18,2.18,0,0
20100614,2.18,2.18,2.18,2.18,0,0
20100615,2.18,2.18,2.18,2.18,0,0
20100616,2.18,2.18,2.18,2.18,0,0
20100617,2.07,2.14,1.94,2.14,0,0
20100618,2.18,2.18,1.86,2.18,0,0
20100621,2.16,2.16,2.16,2.16,0,0
20100622,2.15,2.15,1.88,1.88,0,0
20100623,2.07,2.07,2.07,2.07,0,0
20100624,1.88,2.07,1.88,2.07,0,0
20100625,1.88,2.07,1.88,2.07,0,0
20100628,2.07,2.07,2.07,2.07,0,0
20100629,2.04,2.04,1.87,2.02,0,0
20100630,2,2,2,2,0,0
20100702,2,2,2,2,0,0
20100705,2,2,1.97,1.97,0,0
20100706,2.02,2.02,2,2,0,0
20100707,2.03,2.03,2.03,2.03,0,0
20100708,2.03,2.03,1.87,1.93,0,0
20100709,2.02,2.02,1.93,1.93,0,0
20100712,1.86,2,1.86,1.86,0,0
20100713,1.96,1.96,1.89,1.89,0,0
20100714,1.96,1.96,1.86,1.86,0,0
20100715,1.96,1.96,1.86,1.86,0,0
20100716,1.93,1.93,1.93,1.93,0,0
20100719,1.96,1.96,1.96,1.96,0,0
20100720,1.86,1.96,1.69,1.96,0,0
20100721,1.96,1.96,1.96,1.96,0,0
20100722,1.96,1.96,1.96,1.96,0,0
20100723,1.93,1.93,1.93,1.93,0,0
20100726,1.93,1.93,1.8,1.93,0,0
20100727,1.93,1.93,1.93,1.93,0,0
20100728,1.93,1.93,1.8,1.93,0,0
20100729,1.93,1.93,1.93,1.93,0,0
20100730,1.93,1.93,1.93,1.93,0,0
20100802,1.95,1.96,1.93,1.93,0,0
20100803,2,2.02,1.93,1.93,0,0
20100804,2.14,2.14,2.14,2.14,0,0
20100805,2.14,2.14,2.14,2.14,0,0
20100806,2.14,2.14,1.96,1.96,0,0
20100809,2.14,2.14,1.99,1.99,0,0
20100810,1.99,2,1.86,2,0,0
20100811,2.14,2.14,1.8,2.07,0,0
20100812,1.8,1.8,1.8,1.8,0,0
20100813,2.04,2.04,2.04,2.04,0,0
20100816,1.99,1.99,1.99,1.99,0,0
20100817,2.07,2.07,1.8,2.01,0,0
20100818,2.01,2.01,2.01,2.01,0,0
20100819,2.01,2.01,1.81,1.81,0,0
20100820,2.01,2.01,1.77,1.77,0,0
20100823,2.01,2.01,2.01,2.01,0,0
20100824,2.01,2.01,2.01,2.01,0,0
20100825,2.01,2.01,1.77,2.01,0,0
20100826,2.01,2.01,2.01,2.01,0,0
20100827,2.01,2.06,2.01,2.06,0,0
20100830,2.06,2.06,2.06,2.06,0,0
20100831,2.01,2.07,2.01,2.01,0,0
20100901,2.04,2.04,1.81,2.04,0,0
20100902,1.83,2.04,1.83,2.04,0,0
20100903,2.04,2.04,2.04,2.04,0,0
20100906,2.03,2.03,2.03,2.03,0,0
20100907,2.03,2.03,2.03,2.03,0,0
