Date,Open,High,Low,Close,Volume,OpenInt
20091116,7.6,7.6,7.6,7.6,0,0
20091117,7.9,7.9,7.6,7.6,0,0
20091118,7.1,7.5,7.1,7.4,0,0
20091119,7.4,7.5,7.4,7.5,0,0
20091120,7.6,7.6,7.6,7.6,0,0
20091123,7.6,8.5,7.1,8.3,0,0
20091124,8.3,8.3,7.2,7.7,0,0
20091125,7.3,7.8,6.8,7.1,0,0
20091126,6.8,7.1,6.8,7.1,0,0
20091127,6.7,8.3,6.7,8.3,0,0
20091130,7.3,8.1,7.3,8.1,0,0
20091201,7.5,8.2,7.5,8.2,0,0
20091202,7.6,8.2,7.3,7.3,0,0
20091203,7.8,7.8,7.8,7.8,0,0
20091204,7.1,7.7,7.1,7.7,0,0
20091207,7.1,7.3,7.1,7.3,0,0
20091208,7.1,7.6,7.1,7.6,0,0
20091209,7.6,7.6,7.6,7.6,0,0
20091210,6.5,7.4,6.5,7.4,0,0
20091211,6.5,7.3,6.5,7.3,0,0
20091214,6.5,7.2,6.5,7.2,0,0
20091215,7.2,7.2,7.2,7.2,0,0
20091216,6.4,7.2,6.4,7.2,0,0
20091217,7,7.1,7,7.1,0,0
20091218,6.8,7.3,6.8,7.3,0,0
20091221,7.3,7.3,6.5,7.3,0,0
20091222,7.3,7.3,7.3,7.3,0,0
20091223,7.1,7.1,7.1,7.1,0,0
20091228,7.1,7.1,6.1,6.1,0,0
20091229,6.2,6.2,6.2,6.2,0,0
20091230,6.8,7.3,6.7,6.7,0,0
20091231,7.1,7.1,6.9,7.1,0,0
20100104,7.3,7.3,7.2,7.2,0,0
20100105,7.2,7.2,7.2,7.2,0,0
20100106,7.2,7.2,6.2,6.8,0,0
20100107,7.1,7.2,7.1,7.2,0,0
20100108,7.2,7.2,7.2,7.2,0,0
20100111,7.2,7.2,7.2,7.2,0,0
20100112,7.1,7.1,7.1,7.1,0,0
20100113,7.1,7.9,6.6,7.8,0,0
20100114,7.4,7.4,7,7,0,0
20100115,7.2,7.2,6.6,6.8,0,0
20100118,6.8,7.2,6.8,7.2,0,0
20100119,7.2,7.2,6.7,6.9,0,0
20100120,7.2,7.2,6.6,6.6,0,0
20100121,7,7,7,7,0,0
20100122,7,7,6.6,6.6,0,0
20100125,7,7.1,7,7.1,0,0
20100126,7.2,7.2,6.6,6.6,0,0
20100127,6.6,6.6,6.6,6.6,0,0
20100128,6.8,6.8,6.6,6.7,0,0
20100129,6.8,6.8,6.8,6.8,0,0
20100201,7,7.1,7,7.1,0,0
20100202,7.1,7.1,7.1,7.1,0,0
20100203,7.1,7.1,6.7,6.7,0,0
20100204,7.1,7.2,6.7,7,0,0
20100205,7.1,7.1,6.8,7.1,0,0
20100208,7.3,9.4,7.3,9.3,0,0
20100209,9,9.3,8.3,8.8,0,0
20100210,9,9,7.7,8.1,0,0
20100211,8.1,8.8,7.5,8.6,0,0
20100212,8.6,8.6,7.5,7.5,0,0
20100215,8.1,8.3,7.4,7.4,0,0
20100216,7.3,7.9,6.9,7.3,0,0
20100217,7.3,7.6,6.9,7.3,0,0
20100218,7.7,24.5,6.8,24.5,0,0
20100219,22.1,23.1,21.7,23,0,0
20100222,24.1,24.1,20.7,22.2,0,0
20100223,21.4,21.9,20.4,21.9,0,0
20100224,21.9,22.2,21,21.6,0,0
20100225,21.6,22.3,21.6,22.1,0,0
20100226,23.6,23.6,23.6,23.6,0,0
20100301,23.6,23.6,23.4,23.6,0,0
20100302,23.6,23.6,23.6,23.6,0,0
20100303,23.6,23.6,23.6,23.6,0,0
20100304,24.3,24.3,22.1,23.5,0,0
20100305,23.6,24.3,23.1,23.1,0,0
20100308,23.4,26.5,23.4,24.7,0,0
20100309,26.5,26.5,24.3,24.3,0,0
20100310,24.3,26,24.3,26,0,0
20100311,26,26.6,25.3,25.3,0,0
20100312,26.5,27.4,26.5,27.4,0,0
20100315,27.4,28.4,26.9,26.9,0,0
20100316,28.4,28.4,25.6,27.1,0,0
20100317,28.3,28.3,28.3,28.3,0,0
20100318,24.6,27.9,24.6,24.9,0,0
20100319,27.7,27.7,24,25.9,0,0
20100322,27.5,27.5,23.8,27.1,0,0
20100323,27.5,27.5,24.3,26.8,0,0
20100324,27.3,27.3,27.3,27.3,0,0
20100325,24.9,27.3,24.9,27.3,0,0
20100326,26.7,26.7,26.7,26.7,0,0
20100329,25.6,25.6,22.9,22.9,0,0
20100330,26,26,26,26,0,0
20100331,25.6,25.6,22.9,25.5,0,0
20100401,25.2,25.2,25.2,25.2,0,0
20100406,25.2,25.2,25.2,25.2,0,0
20100407,25.1,25.1,21.4,22.6,0,0
20100408,23.5,23.5,22.1,22.1,0,0
20100409,22.2,23.5,22.2,23.5,0,0
20100412,23.5,23.5,23.5,23.5,0,0
20100413,25.3,25.3,22.4,24.8,0,0
20100414,24.7,24.8,24.7,24.8,0,0
20100415,24.8,24.8,24.6,24.6,0,0
20100416,24.8,24.8,24.8,24.8,0,0
20100419,24.8,24.8,22.1,24.8,0,0
20100420,24.9,24.9,24.8,24.8,0,0
20100421,24.9,24.9,24.9,24.9,0,0
20100422,24.8,24.8,24.8,24.8,0,0
20100423,24.5,24.6,24.5,24.6,0,0
20100426,24.6,24.6,24.6,24.6,0,0
20100427,24.6,24.6,24.6,24.6,0,0
20100428,24.6,27.6,24.6,27.6,0,0
20100429,29.2,29.2,27.8,27.8,0,0
20100430,27.4,27.4,27.4,27.4,0,0
20100504,28.4,28.4,25.1,25.1,0,0
20100505,24.5,27.7,22.8,27.6,0,0
20100506,27.4,27.4,27.4,27.4,0,0
20100507,27,27,27,27,0,0
20100510,27.4,27.4,27.3,27.3,0,0
20100511,27.4,27.4,23.4,23.4,0,0
20100512,25.4,25.4,25.4,25.4,0,0
20100513,25.2,25.2,22.8,24.9,0,0
20100514,24.2,24.2,22.5,24.1,0,0
