Date,Open,High,Low,Close,Volume,OpenInt
20130220,10.5,10.5,10.5,10.5,0,0
20130221,10.4,10.4,9.5,9.5,0,0
20130222,9.7,9.7,9.1,9.7,0,0
20130225,9.7,9.9,9.5,9.9,0,0
20130226,9.9,9.9,9.4,9.4,0,0
20130227,9.5,9.6,9.4,9.4,0,0
20130228,9.7,9.8,9.3,9.8,0,0
20130301,9.8,9.8,9.4,9.4,0,0
20130304,9.5,9.7,9.5,9.6,0,0
20130305,9.5,9.5,9.3,9.3,0,0
20130306,9.3,9.6,9.1,9.4,0,0
20130307,9.3,9.6,9.3,9.5,0,0
20130308,9.5,10.1,9.5,10,0,0
20130311,9.8,10.2,9.8,10.1,0,0
20130312,10.1,10.9,10.1,10.7,0,0
20130313,10.8,10.9,10.5,10.7,0,0
20130314,10.7,10.7,10.5,10.7,0,0
20130315,10.8,22.2,10.6,22.2,0,0
20130318,22.1,22.2,20.1,20.3,0,0
20130319,20.3,20.9,20.3,20.9,0,0
20130320,20.7,21.1,20.6,21.1,0,0
20130321,21.1,21.1,20.6,21.1,0,0
20130322,21,21,20.3,20.9,0,0
20130325,20.7,21.4,20.7,21.4,0,0
20130326,20.7,21.6,20.7,21.1,0,0
20130327,21.1,22.1,21.1,21.1,0,0
20130328,21.3,22.5,21,22.5,0,0
20130402,22.5,23.7,22.5,23.3,0,0
20130403,23.6,24.7,22.4,22.8,0,0
20130404,22.5,22.7,21.8,22.5,0,0
20130405,23.1,23.1,22.5,22.9,0,0
20130408,23.4,23.4,22.3,22.3,0,0
20130409,22.3,22.8,22.3,22.8,0,0
20130410,22.3,22.8,22.1,22.8,0,0
20130411,22.3,22.5,22,22.5,0,0
20130412,22.5,22.8,22.3,22.8,0,0
20130415,21.9,21.9,21.7,21.7,0,0
20130417,21.4,21.4,19.8,19.8,0,0
20130418,19.7,20.3,19.7,20.3,0,0
20130419,20.6,20.6,19.9,19.9,0,0
20130422,19.8,20.4,19.7,20.4,0,0
20130423,20.3,20.4,20,20.4,0,0
20130424,20.4,20.7,20,20.7,0,0
20130425,20.7,21.4,20.2,21.4,0,0
20130426,21.6,22.3,21.6,22.3,0,0
20130429,22.3,22.3,21.4,21.4,0,0
20130430,22.2,22.3,21.4,21.4,0,0
20130502,21.6,22.3,20.9,22.3,0,0
20130506,22,22.2,22,22.2,0,0
20130507,22.3,22.3,22.2,22.3,0,0
20130508,22.3,22.3,22,22,0,0
20130509,22,22.3,22,22.3,0,0
20130510,22,22.3,21.9,21.9,0,0
20130513,22.2,22.2,21.9,22.2,0,0
20130514,22,22.2,21.4,22.2,0,0
20130515,22.2,22.5,21.4,22.3,0,0
20130516,22.2,22.4,22.2,22.3,0,0
20130517,22.3,22.3,22.3,22.3,0,0
20130520,22.5,22.5,20.8,22.2,0,0
20130521,22.2,22.2,21.6,22.2,0,0
20130522,22.2,22.3,22.2,22.3,0,0
20130523,21.6,22.2,21.6,22.2,0,0
20130524,22.3,22.4,22.2,22.4,0,0
20130527,22.1,22.4,22.1,22.2,0,0
20130528,22.4,22.4,21.5,21.5,0,0
20130529,21.5,21.6,20.8,21.3,0,0
20130531,21.4,21.4,20.3,20.6,0,0
20130603,20.6,20.6,20.5,20.6,0,0
20130604,20.6,20.6,20.3,20.4,0,0
20130605,20.5,20.6,20.2,20.2,0,0
20130606,20.5,20.7,20.5,20.6,0,0
20130607,20.7,20.7,20.3,20.6,0,0
20130610,20.3,21.5,20.3,20.6,0,0
20130611,20.3,20.3,19.6,20.2,0,0
20130612,19.9,20.6,19.9,20.6,0,0
20130613,19.9,20.6,18.8,18.8,0,0
20130614,18.8,18.8,18.2,18.2,0,0
20130617,18.8,18.8,18.6,18.8,0,0
20130618,18.8,18.8,18.3,18.4,0,0
20130619,18.3,18.3,18.3,18.3,0,0
20130620,18.2,18.3,17.9,18,0,0
20130621,17.7,18,17.2,18,0,0
20130624,17.7,17.8,17.6,17.7,0,0
20130625,17.5,18,17.5,17.6,0,0
20130626,17.6,17.6,17.6,17.6,0,0
20130627,18,18.3,18,18,0,0
20130628,17.5,17.5,17.3,17.3,0,0
20130701,17.4,17.7,17.3,17.3,0,0
20130702,17.3,17.9,17.3,17.3,0,0
20130703,17.9,17.9,17.3,17.8,0,0
20130704,17.8,17.8,17.2,17.3,0,0
20130705,17.3,17.9,17.3,17.3,0,0
20130708,17.3,17.3,17.3,17.3,0,0
20130709,17.3,17.8,17.1,17.8,0,0
20130710,17.9,17.9,17,17.1,0,0
