Date,Open,High,Low,Close,Volume,OpenInt
20101220,4.48,4.48,4.48,4.48,0,0
20101221,4.48,4.48,4.2971,4.3885,0,0
20101222,4.3885,4.5714,4.3885,4.48,0,0
20101223,4.5714,4.5714,4.48,4.5714,0,0
20101227,4.48,4.5714,4.3885,4.5714,0,0
20101228,4.5714,4.5714,4.3885,4.3885,0,0
20101229,4.5714,4.6628,4.3885,4.6628,0,0
20101230,4.5714,4.7542,4.5714,4.7542,0,0
20101231,4.7531,4.7531,4.659,4.7531,0,0
20110103,4.6628,4.7542,4.48,4.48,0,0
20110104,4.48,4.48,4.48,4.48,0,0
20110105,4.48,4.48,4.48,4.48,0,0
20110107,4.5714,4.5714,4.48,4.5714,0,0
20110110,4.5714,4.5714,4.48,4.48,0,0
20110112,4.5714,4.5714,4.48,4.5714,0,0
20110113,4.5714,4.6628,4.5714,4.6628,0,0
20110114,4.6628,4.6628,4.5714,4.6628,0,0
20110117,4.5714,4.6628,4.5714,4.6628,0,0
20110118,4.6628,4.7542,4.6628,4.7542,0,0
20110119,4.7542,4.7542,4.5714,4.5714,0,0
20110120,4.7542,4.7542,4.6628,4.6628,0,0
20110121,4.6628,4.7542,4.5714,4.7542,0,0
20110124,4.7542,4.7542,4.6628,4.6628,0,0
20110125,4.6628,4.6628,4.6628,4.6628,0,0
20110126,4.6628,4.6628,4.5714,4.5714,0,0
20110127,4.5714,4.6628,4.5714,4.6628,0,0
20110128,4.6628,4.6628,4.6628,4.6628,0,0
20110131,4.659,4.659,4.5743,4.659,0,0
20110201,4.5714,4.6628,4.5714,4.6628,0,0
20110202,4.48,4.6628,4.48,4.6628,0,0
20110203,4.6628,4.6628,4.5714,4.6628,0,0
20110204,4.6628,4.6628,4.5714,4.6628,0,0
20110207,4.6628,4.7542,4.6628,4.7542,0,0
20110208,4.7542,4.7542,4.6628,4.6628,0,0
20110209,4.6628,4.6628,4.6628,4.6628,0,0
20110210,4.6628,4.6628,4.6628,4.6628,0,0
20110211,4.6628,4.6628,4.6628,4.6628,0,0
20110214,4.6628,4.6628,4.6628,4.6628,0,0
20110215,4.6628,4.6628,4.6628,4.6628,0,0
20110216,4.6628,4.6628,4.6628,4.6628,0,0
20110217,4.6628,4.6628,4.5714,4.5714,0,0
20110218,4.5714,4.6628,4.5714,4.6628,0,0
20110221,4.6628,4.6628,4.6628,4.6628,0,0
20110222,4.5714,4.6628,4.5714,4.5714,0,0
20110223,4.5714,4.6628,4.5714,4.6628,0,0
20110224,4.5714,4.6628,4.5714,4.6628,0,0
20110225,4.5714,4.6628,4.5714,4.5714,0,0
20110228,4.5743,4.659,4.5743,4.659,0,0
20110301,4.6628,4.6628,4.6628,4.6628,0,0
20110302,4.5714,4.6628,4.5714,4.6628,0,0
20110303,4.6628,4.6628,4.6628,4.6628,0,0
20110304,4.6628,4.6628,4.6628,4.6628,0,0
20110307,4.6628,4.6628,4.6628,4.6628,0,0
20110308,4.6628,4.6628,4.6628,4.6628,0,0
20110309,4.6628,4.6628,4.6628,4.6628,0,0
20110310,4.6628,4.6628,4.5714,4.5714,0,0
20110311,4.6628,4.6628,4.5714,4.5714,0,0
20110314,4.6628,4.6628,4.5714,4.5714,0,0
20110315,4.6628,4.6628,4.5714,4.6628,0,0
20110316,4.5714,4.6628,4.5714,4.6628,0,0
20110317,4.6628,4.6628,4.6628,4.6628,0,0
20110318,4.6628,4.6628,4.5714,4.5714,0,0
20110321,4.5714,5.9427,4.5714,5.9427,0,0
20110322,5.9427,6.1257,5.9427,6.1257,0,0
20110323,6.1257,6.3999,6.1257,6.3085,0,0
20110324,6.3085,6.5827,6.3085,6.4914,0,0
20110325,6.5827,6.5827,6.3999,6.4914,0,0
20110328,6.4914,6.4914,6.3085,6.3999,0,0
20110329,6.3999,6.3999,6.3085,6.3999,0,0
20110330,6.3999,6.3999,6.217,6.217,0,0
20110331,6.4003,6.4003,6.2215,6.2215,0,0
20110401,6.1257,6.217,6.1257,6.217,0,0
20110404,6.217,6.217,6.217,6.217,0,0
20110405,6.217,6.217,6.217,6.217,0,0
20110406,6.217,6.217,6.1257,6.217,0,0
20110407,6.217,6.217,6.217,6.217,0,0
20110408,6.217,6.217,6.217,6.217,0,0
20110411,6.1257,6.1257,6.0342,6.0342,0,0
20110412,6.0342,6.0342,5.9427,5.9427,0,0
20110413,5.9427,6.0342,5.9427,6.0342,0,0
20110414,6.0342,6.1257,6.0342,6.1257,0,0
20110415,6.1257,6.1257,6.1257,6.1257,0,0
20110418,6.1257,6.1257,5.9427,6.1257,0,0
20110419,6.0342,6.1257,5.8513,6.0342,0,0
20110420,6.0342,6.0342,5.8513,6.0342,0,0
20110421,6.0342,6.0342,6.0342,6.0342,0,0
20110426,6.0342,6.0342,6.0342,6.0342,0,0
20110427,6.0342,6.0342,5.8513,6.0342,0,0
20110428,6.0342,6.0342,5.9427,5.9427,0,0
20110429,5.9391,5.9391,5.7602,5.9391,0,0
20110502,5.8513,5.9427,5.8513,5.8513,0,0
20110504,5.76,5.76,5.6685,5.76,0,0
20110505,5.76,5.76,5.76,5.76,0,0
20110506,5.8513,5.8513,5.5771,5.6685,0,0
20110509,5.5771,5.6685,5.5771,5.6685,0,0
20110510,5.6685,5.6685,5.5771,5.5771,0,0
20110511,5.5771,5.5771,5.3942,5.4856,0,0
20110512,5.6685,5.6685,5.3029,5.3942,0,0
20110513,5.3942,5.3942,5.1199,5.2113,0,0
20110516,5.0285,5.76,5.0285,5.76,0,0
20110517,5.8513,5.8513,5.6685,5.6685,0,0
20110518,5.4856,5.6685,5.3029,5.3029,0,0
20110519,5.2113,5.4856,5.2113,5.3942,0,0
20110520,5.3942,5.3942,5.3942,5.3942,0,0
20110523,5.3029,5.3942,5.3029,5.3942,0,0
