Date,Open,High,Low,Close,Volume,OpenInt
20070813,13.1,13.1,13.1,13.1,0,0
20070814,13.1,13.1,13.1,13.1,0,0
20070816,12.3,12.3,12.3,12.3,0,0
20070817,11.8,11.8,11.8,11.8,0,0
20070820,11.8,11.8,11.8,11.8,0,0
20070821,11.7,11.7,11.7,11.7,0,0
20070822,11.8,11.8,11.8,11.8,0,0
20070823,12,12,12,12,0,0
20070824,12.3,12.3,12.3,12.3,0,0
20070827,12.7,12.7,12.7,12.7,0,0
20070828,12.7,12.7,12.7,12.7,0,0
20070829,12.5,12.5,12.5,12.5,0,0
20070830,12.7,12.7,12.7,12.7,0,0
20070831,12.7,12.7,12.7,12.7,0,0
20070903,13,13,13,13,0,0
20070904,13,13,13,13,0,0
20070905,12.9,12.9,12.9,12.9,0,0
20070906,13,13,13,13,0,0
20070907,12.2,12.2,12.2,12.2,0,0
20070910,12.7,12.7,12.7,12.7,0,0
20070911,13,13,13,13,0,0
20070912,12.9,12.9,12.9,12.9,0,0
20070913,12.9,12.9,12.9,12.9,0,0
20070914,13,13,13,13,0,0
20070917,12.9,12.9,12.9,12.9,0,0
20070918,12.5,12.5,12.5,12.5,0,0
20070919,13,13,13,13,0,0
20070920,12.8,12.8,12.8,12.8,0,0
20070921,12.9,12.9,12.9,12.9,0,0
20070924,13.2,13.2,13.2,13.2,0,0
20070925,13.3,13.3,13.3,13.3,0,0
20070926,14,14,14,14,0,0
20070927,14.1,14.1,14.1,14.1,0,0
20070928,13.8,13.8,13.8,13.8,0,0
20071001,13.3,13.3,13.3,13.3,0,0
20071002,13.3,13.3,13.3,13.3,0,0
20071003,13.1,13.1,13.1,13.1,0,0
20071004,13.1,13.1,13.1,13.1,0,0
20071005,13.1,13.1,13.1,13.1,0,0
20071008,13.1,13.1,13.1,13.1,0,0
20071009,13.3,13.3,13.3,13.3,0,0
20071010,13.3,13.3,13.3,13.3,0,0
20071011,13.5,13.5,13.5,13.5,0,0
20071012,13.9,13.9,13.9,13.9,0,0
20071015,14.8,14.8,14.8,14.8,0,0
20071016,14.7,14.7,14.7,14.7,0,0
20071017,14.8,14.8,14.8,14.8,0,0
20071018,14.6,14.6,14.6,14.6,0,0
20071019,14.7,14.7,14.7,14.7,0,0
