Date,Open,High,Low,Close,Volume,OpenInt
20131211,0.8067,0.8067,0.8067,0.8067,0,0
20131212,0.7972,0.8067,0.7877,0.7877,0,0
20131213,0.7877,0.8067,0.7877,0.8067,0,0
20131216,0.8067,0.8161,0.8067,0.8161,0,0
20131217,0.8161,0.8161,0.7972,0.7972,0,0
20131218,0.8067,0.8067,0.7972,0.8067,0,0
20131219,0.8067,0.8067,0.7972,0.7972,0,0
20131220,0.7972,0.7972,0.7972,0.7972,0,0
20131223,0.8067,0.8067,0.7972,0.7972,0,0
20131227,0.7972,0.7972,0.7972,0.7972,0,0
20131230,0.7972,0.7972,0.7972,0.7972,0,0
20140102,0.7972,0.7972,0.7877,0.7972,0,0
20140103,0.7972,0.7972,0.7877,0.7972,0,0
20140107,0.7877,0.7877,0.7877,0.7877,0,0
20140108,0.7782,0.7877,0.7782,0.7877,0,0
20140109,0.7877,0.7877,0.7877,0.7877,0,0
20140110,0.7877,0.7877,0.7782,0.7877,0,0
20140113,0.7972,0.8256,0.7972,0.8256,0,0
20140114,0.8161,0.8256,0.8161,0.8256,0,0
20140115,0.8161,0.8256,0.8161,0.8161,0,0
20140116,0.8161,0.8256,0.8161,0.8256,0,0
20140117,0.8256,0.8351,0.8256,0.8351,0,0
20140120,0.8351,0.8351,0.8256,0.8351,0,0
20140121,0.8351,0.8351,0.8256,0.8256,0,0
20140122,0.8256,0.8256,0.8256,0.8256,0,0
20140123,0.8256,0.8256,0.8256,0.8256,0,0
20140124,0.8256,0.8256,0.8256,0.8256,0,0
20140127,0.8161,0.8256,0.8161,0.8256,0,0
20140128,0.8161,0.8256,0.8161,0.8256,0,0
20140129,0.8161,0.8161,0.7972,0.8067,0,0
20140130,0.8067,0.8067,0.8067,0.8067,0,0
20140131,0.8067,0.8067,0.8067,0.8067,0,0
20140203,0.7972,0.8067,0.7972,0.8067,0,0
20140204,0.7972,0.8067,0.7972,0.8067,0,0
20140205,0.8067,0.8161,0.8067,0.8161,0,0
20140206,0.8161,0.8256,0.8161,0.8256,0,0
20140207,0.8256,0.8351,0.8256,0.8351,0,0
20140210,0.8351,0.8446,0.8256,0.8446,0,0
20140211,0.8446,0.8446,0.8351,0.8446,0,0
20140212,0.8446,0.8541,0.8351,0.8446,0,0
20140213,0.8446,0.8636,0.8446,0.8636,0,0
20140214,0.8636,0.8636,0.8541,0.8636,0,0
20140217,0.8636,0.8731,0.8636,0.8731,0,0
20140218,0.8731,0.8731,0.8541,0.8636,0,0
20140219,0.8636,0.8731,0.8541,0.8636,0,0
20140220,0.8636,0.8636,0.8541,0.8636,0,0
20140221,0.8636,0.8636,0.8636,0.8636,0,0
20140224,0.8636,0.8636,0.8636,0.8636,0,0
20140225,0.8636,0.8731,0.8636,0.8636,0,0
20140226,0.8636,0.8636,0.8541,0.8636,0,0
20140227,0.8636,0.8731,0.8636,0.8731,0,0
20140228,0.8731,0.8826,0.8731,0.8826,0,0
20140303,0.8446,0.8541,0.8256,0.8446,0,0
20140304,0.8446,0.8636,0.8446,0.8541,0,0
20140305,0.8636,0.8636,0.8541,0.8636,0,0
20140306,0.8541,0.8731,0.8541,0.8731,0,0
20140307,0.8636,0.8731,0.8636,0.8731,0,0
20140310,0.8731,0.8826,0.8636,0.8636,0,0
20140311,0.8636,0.8636,0.8636,0.8636,0,0
20140312,0.8636,0.8636,0.8446,0.8636,0,0
20140313,0.8541,0.8636,0.8541,0.8541,0,0
20140314,0.8541,0.8541,0.8446,0.8446,0,0
20140317,0.8446,0.8636,0.8446,0.8636,0,0
20140318,0.8636,0.8636,0.8541,0.8636,0,0
20140319,0.8541,0.8636,0.8541,0.8636,0,0
20140320,0.8541,0.8731,0.8541,0.8731,0,0
20140321,0.8731,0.8921,0.8731,0.8921,0,0
20140324,0.8826,0.8921,0.8826,0.8921,0,0
20140325,0.8826,0.9016,0.8826,0.8921,0,0
20140326,0.8921,0.9016,0.8921,0.9016,0,0
20140327,0.8921,0.9016,0.8921,0.8921,0,0
20140328,0.8921,0.8921,0.8921,0.8921,0,0
20140331,0.8921,0.8921,0.8826,0.8921,0,0
20140401,0.8921,0.8921,0.8921,0.8921,0,0
20140402,0.8921,0.8921,0.8921,0.8921,0,0
20140403,0.8921,0.8921,0.8921,0.8921,0,0
20140404,0.8921,0.9016,0.8921,0.9016,0,0
20140407,0.9016,0.9016,0.9016,0.9016,0,0
20140408,0.9016,0.911,0.9016,0.911,0,0
20140409,0.911,0.911,0.8921,0.8921,0,0
20140410,0.8921,0.8921,0.8826,0.8826,0,0
20140411,0.8826,0.8826,0.8826,0.8826,0,0
20140414,0.8826,0.8826,0.8826,0.8826,0,0
20140415,0.8826,0.8826,0.8731,0.8826,0,0
20140416,0.8731,0.8826,0.8731,0.8826,0,0
20140417,0.8826,0.8826,0.8826,0.8826,0,0
20140422,0.8826,0.8826,0.8826,0.8826,0,0
20140423,0.8826,0.8826,0.8826,0.8826,0,0
20140424,0.8826,0.8826,0.8731,0.8826,0,0
20140425,0.8731,0.8826,0.8731,0.8826,0,0
20140428,0.8731,0.8826,0.8731,0.8826,0,0
20140429,0.8826,0.8826,0.8731,0.8826,0,0
20140430,0.8826,0.8826,0.8731,0.8826,0,0
20140502,0.8826,0.8826,0.8826,0.8826,0,0
20140505,0.8826,0.8826,0.8731,0.8731,0,0
20140506,0.8731,0.8826,0.8731,0.8826,0,0
20140507,0.8826,0.8826,0.8731,0.8826,0,0
20140508,0.8731,0.8826,0.8731,0.8731,0,0
20140509,0.8826,0.8826,0.8731,0.8826,0,0
20140512,0.8826,0.8826,0.8826,0.8826,0,0
20140513,0.8826,0.8826,0.8826,0.8826,0,0
20140514,0.8826,0.8921,0.8446,0.8446,0,0
20140515,0.8636,0.8826,0.8636,0.8826,0,0
20140516,0.8731,0.8826,0.8731,0.8826,0,0
20140519,0.8826,0.9016,0.8826,0.9016,0,0
20140520,0.9016,0.9016,0.8921,0.9016,0,0
20140521,0.9016,0.911,0.9016,0.911,0,0
20140522,0.911,0.93,0.911,0.9205,0,0
20140523,0.92,0.94,0.92,0.93,0,0
20140526,0.93,0.93,0.92,0.92,0,0
20140527,0.92,0.93,0.91,0.93,0,0
20140528,0.92,0.92,0.91,0.91,0,0
20140529,0.9,0.91,0.9,0.91,0,0
20140530,0.91,0.93,0.91,0.93,0,0
20140602,0.92,0.93,0.92,0.93,0,0
20140603,0.93,0.94,0.92,0.94,0,0
20140604,0.93,0.96,0.93,0.96,0,0
20140605,0.96,0.99,0.96,0.99,0,0
20140606,0.98,1.01,0.98,1.01,0,0
20140609,1,1.01,1,1.01,0,0
20140610,1.03,1.03,1.03,1.03,0,0
20140611,1.02,1.02,0.99,1.01,0,0
20140612,1.01,1.01,1,1.01,0,0
20140613,1,1.01,1,1.01,0,0
20140616,0.99,1.01,0.99,1.01,0,0
20140617,1.01,1.02,1,1.02,0,0
20140618,1.02,1.02,1.01,1.02,0,0
20140620,1.02,1.03,1.01,1.03,0,0
20140623,1.02,1.03,1.01,1.03,0,0
20140624,1.01,1.03,1.01,1.02,0,0
20140625,1.01,1.02,1.01,1.02,0,0
20140626,1.01,1.02,1.01,1.02,0,0
20140627,1.01,1.01,1.01,1.01,0,0
20140630,1.01,1.02,1.01,1.02,0,0
20140701,1.01,1.02,1.01,1.02,0,0
20140702,1.01,1.02,1,1.01,0,0
20140703,1,1,0.97,1,0,0
20140704,0.99,0.99,0.98,0.99,0,0
20140707,0.98,1,0.98,0.99,0,0
20140708,0.99,1.02,0.99,1.02,0,0
20140709,1.01,1.02,1.01,1.02,0,0
20140710,1.02,1.02,1.01,1.02,0,0
20140711,1.02,1.03,1.02,1.03,0,0
20140714,1.03,1.03,1.01,1.01,0,0
20140715,1.01,1.03,1.01,1.03,0,0
20140716,1.02,1.04,1.02,1.03,0,0
20140717,1.03,1.04,1.03,1.04,0,0
20140718,1.03,1.04,1.02,1.04,0,0
20140721,1.03,1.04,1.03,1.04,0,0
20140722,1.04,1.05,1.03,1.05,0,0
20140723,1.04,1.05,1.04,1.04,0,0
20140724,1.03,1.06,1.03,1.06,0,0
20140725,1.05,1.06,1.04,1.04,0,0
20140728,1.04,1.05,1.04,1.05,0,0
20140729,1.04,1.04,1.03,1.03,0,0
20140730,1.03,1.03,1.01,1.01,0,0
20140731,1,1,0.99,1,0,0
20140801,0.99,1.02,0.98,1.02,0,0
20140804,1.02,1.04,1.01,1.04,0,0
20140805,1.04,1.04,1.01,1.01,0,0
20140806,1.01,1.03,0.99,1.01,0,0
20140807,1.01,1.02,1,1.01,0,0
20140808,1.01,1.02,0.98,1.02,0,0
20140811,1.02,1.03,1.02,1.03,0,0
20140812,1.03,1.05,1.03,1.05,0,0
20140813,1.03,1.07,1.03,1.07,0,0
20140814,1.06,1.08,1.06,1.08,0,0
20140818,1.08,1.11,1.08,1.11,0,0
20140819,1.1,1.12,1.1,1.1,0,0
20140820,1.1,1.1,1.09,1.1,0,0
20140821,1.09,1.1,1.09,1.1,0,0
20140822,1.09,1.11,1.09,1.1,0,0
20140825,1.09,1.11,1.09,1.11,0,0
20140826,1.11,1.11,1.1,1.11,0,0
20140827,1.11,1.11,1.09,1.1,0,0
20140828,1.09,1.1,1.05,1.06,0,0
20140829,1.05,1.06,1.04,1.06,0,0
20140901,1.06,1.08,1.06,1.08,0,0
20140902,1.08,1.08,1.07,1.08,0,0
20140903,1.08,1.09,1.08,1.08,0,0
20140904,1.08,1.15,1.08,1.15,0,0
20140905,1.14,1.16,1.14,1.16,0,0
20140908,1.15,1.19,1.15,1.19,0,0
20140909,1.19,1.19,1.18,1.19,0,0
20140910,1.18,1.19,1.18,1.19,0,0
20140911,1.18,1.18,1.15,1.16,0,0
20140912,1.16,1.19,1.16,1.17,0,0
20140915,1.16,1.18,1.14,1.16,0,0
20140916,1.16,1.18,1.15,1.18,0,0
20140917,1.18,1.21,1.18,1.18,0,0
20140918,1.18,1.19,1.16,1.17,0,0
20140919,1.17,1.22,1.16,1.21,0,0
20140922,1.19,1.23,1.19,1.22,0,0
20140923,1.22,1.24,1.2,1.21,0,0
20140924,1.21,1.21,1.2,1.2,0,0
20140925,1.2,1.21,1.18,1.18,0,0
20140926,1.19,1.21,1.18,1.21,0,0
20140929,1.21,1.22,1.19,1.2,0,0
20140930,1.2,1.22,1.19,1.22,0,0
20141001,1.22,1.22,1.19,1.2,0,0
20141002,1.19,1.21,1.18,1.19,0,0
20141003,1.18,1.21,1.18,1.2,0,0
20141006,1.2,1.22,1.2,1.21,0,0
20141007,1.21,1.21,1.19,1.21,0,0
20141008,1.19,1.21,1.19,1.19,0,0
20141009,1.19,1.2,1.18,1.19,0,0
20141010,1.18,1.19,1.16,1.18,0,0
20141013,1.18,1.19,1.17,1.17,0,0
20141014,1.17,1.19,1.17,1.18,0,0
20141015,1.18,1.22,1.18,1.19,0,0
20141016,1.19,1.21,1.19,1.2,0,0
20141017,1.2,1.22,1.2,1.21,0,0
20141020,1.21,1.23,1.2,1.23,0,0
20141021,1.22,1.24,1.22,1.24,0,0
20141022,1.24,1.26,1.24,1.24,0,0
20141023,1.24,1.25,1.24,1.24,0,0
20141024,1.24,1.25,1.24,1.25,0,0
20141027,1.25,1.25,1.24,1.25,0,0
20141028,1.25,1.25,1.24,1.25,0,0
20141029,1.25,1.26,1.25,1.26,0,0
20141030,1.26,1.26,1.25,1.25,0,0
20141031,1.26,1.27,1.25,1.27,0,0
20141103,1.27,1.28,1.27,1.27,0,0
20141104,1.27,1.28,1.26,1.26,0,0
20141105,1.27,1.27,1.25,1.26,0,0
20141106,1.25,1.26,1.25,1.25,0,0
20141107,1.25,1.26,1.22,1.22,0,0
20141110,1.23,1.23,1.22,1.22,0,0
20141112,1.22,1.25,1.22,1.23,0,0
20141113,1.23,1.24,1.19,1.19,0,0
20141114,1.19,1.21,1.19,1.21,0,0
