Date,Open,High,Low,Close,Volume,OpenInt
20070813,48.23,48.23,48.23,48.23,0,0
20070814,50.79,50.79,50.79,50.79,0,0
20070816,39.41,39.41,39.41,39.41,0,0
20070817,40.16,40.16,40.16,40.16,0,0
20070820,42.05,42.05,42.05,42.05,0,0
20070821,40.55,40.55,40.55,40.55,0,0
20070822,39.57,39.57,39.57,39.57,0,0
20070823,39.53,39.53,39.53,39.53,0,0
20070824,41.14,41.14,41.14,41.14,0,0
20070827,43.31,43.31,43.31,43.31,0,0
20070828,40.94,40.94,40.94,40.94,0,0
20070829,40.55,40.55,40.55,40.55,0,0
20070830,41.14,41.14,41.14,41.14,0,0
20070831,41.89,41.89,41.89,41.89,0,0
20070903,40.87,40.87,40.87,40.87,0,0
20070904,45.67,45.67,45.67,45.67,0,0
20070905,43.66,43.66,43.66,43.66,0,0
20070906,44.06,44.06,44.06,44.06,0,0
20070907,41.54,41.54,41.54,41.54,0,0
20070910,40.79,40.79,40.79,40.79,0,0
20070911,43.66,43.66,43.66,43.66,0,0
20070912,42.52,42.52,42.52,42.52,0,0
20070913,43.31,43.31,43.31,43.31,0,0
20070914,42.52,42.52,42.52,42.52,0,0
20070917,42.13,42.13,42.13,42.13,0,0
20070918,42.48,42.48,42.48,42.48,0,0
20070919,43.43,43.43,43.43,43.43,0,0
20070920,42.32,42.32,42.32,42.32,0,0
20070921,42.6,42.6,42.6,42.6,0,0
20070924,42.52,42.52,42.52,42.52,0,0
20070925,42.48,42.48,42.48,42.48,0,0
20070926,42.83,42.83,42.83,42.83,0,0
20070927,42.87,42.87,42.87,42.87,0,0
20070928,41.57,41.57,41.57,41.57,0,0
20071001,38.39,38.39,38.39,38.39,0,0
20071002,34.96,34.96,34.96,34.96,0,0
20071003,35.24,35.24,35.24,35.24,0,0
20071004,35.83,35.83,35.83,35.83,0,0
20071005,36.3,36.3,36.3,36.3,0,0
20071008,35.98,35.98,35.98,35.98,0,0
20071009,35.43,35.43,35.43,35.43,0,0
20071010,35.43,35.43,35.43,35.43,0,0
20071011,35.55,35.55,35.55,35.55,0,0
20071012,34.96,34.96,34.96,34.96,0,0
20071015,34.25,34.25,34.25,34.25,0,0
20071016,33.15,33.15,33.15,33.15,0,0
20071017,34.53,34.53,34.53,34.53,0,0
20071018,33.46,33.46,33.46,33.46,0,0
20071019,33.86,33.86,33.86,33.86,0,0
20071022,32.56,32.56,32.56,32.56,0,0
20071023,31.81,31.81,31.81,31.81,0,0
20071024,31.69,31.69,31.69,31.69,0,0
20071025,31.02,31.02,31.02,31.02,0,0
20071026,29.92,29.92,29.92,29.92,0,0
20071029,32.99,32.99,32.99,32.99,0,0
20071030,31.57,31.57,31.57,31.57,0,0
20071031,31.85,31.85,31.85,31.85,0,0
20071102,31.1,31.1,31.1,31.1,0,0
20071105,30.04,30.04,30.04,30.04,0,0
20071106,29.37,29.37,29.37,29.37,0,0
20071107,28.03,28.03,28.03,28.03,0,0
20071108,27.17,27.17,27.17,27.17,0,0
20071109,28.66,28.66,26.02,26.77,0,0
20071112,26.77,26.77,25.39,25.39,0,0
20071113,26.77,27.17,25.59,27.17,0,0
20071114,27.4,28.19,27.2,27.36,0,0
20071115,27.36,27.36,25.2,25.87,0,0
20071116,23.62,25.87,23.62,25.51,0,0
20071119,25.51,25.59,24.84,25.31,0,0
20071120,24.8,26.02,23.62,25.94,0,0
20071121,24.92,25.51,23.74,24.41,0,0
20071122,23.9,25.2,23.15,24.45,0,0
20071123,24.76,25.39,24.72,25.16,0,0
