Date,Open,High,Low,Close,Volume,OpenInt
20070813,2653.73,2653.73,2653.73,2653.73,0,0
20070814,2864.34,2864.34,2864.34,2864.34,0,0
20070816,2527.36,2527.36,2527.36,2527.36,0,0
20070817,2464.17,2464.17,2464.17,2464.17,0,0
20070820,2443.11,2443.11,2443.11,2443.11,0,0
20070821,2506.3,2506.3,2506.3,2506.3,0,0
20070822,2645.31,2645.31,2645.31,2645.31,0,0
20070823,2647.41,2647.41,2647.41,2647.41,0,0
20070824,2695.86,2695.86,2695.86,2695.86,0,0
20070827,2636.88,2636.88,2636.88,2636.88,0,0
20070828,2611.61,2611.61,2611.61,2611.61,0,0
20070829,2630.56,2630.56,2630.56,2630.56,0,0
20070830,2552.63,2552.63,2552.63,2552.63,0,0
20070831,2577.91,2577.91,2577.91,2577.91,0,0
20070903,2759.03,2759.03,2759.03,2759.03,0,0
20070904,2799.05,2799.05,2799.05,2799.05,0,0
20070905,2771.67,2771.67,2771.67,2771.67,0,0
20070906,2704.28,2704.28,2704.28,2704.28,0,0
20070907,2653.73,2653.73,2653.73,2653.73,0,0
20070910,2674.79,2674.79,2674.79,2674.79,0,0
20070911,2653.73,2653.73,2653.73,2653.73,0,0
20070912,2653.73,2653.73,2653.73,2653.73,0,0
20070913,2653.73,2653.73,2653.73,2653.73,0,0
20070914,2611.61,2611.61,2611.61,2611.61,0,0
20070917,2632.67,2632.67,2632.67,2632.67,0,0
20070918,2653.73,2653.73,2653.73,2653.73,0,0
20070919,2662.16,2662.16,2662.16,2662.16,0,0
20070920,2685.32,2685.32,2685.32,2685.32,0,0
20070921,2645.31,2645.31,2645.31,2645.31,0,0
20070924,2645.31,2645.31,2645.31,2645.31,0,0
20070925,2487.35,2487.35,2487.35,2487.35,0,0
20070926,2537.9,2537.9,2537.9,2537.9,0,0
20070927,2569.48,2569.48,2569.48,2569.48,0,0
20070928,2567.38,2567.38,2567.38,2567.38,0,0
20071001,2443.11,2443.11,2443.11,2443.11,0,0
20071002,2449.44,2449.44,2449.44,2449.44,0,0
20071003,2443.11,2443.11,2443.11,2443.11,0,0
20071004,2401,2401,2401,2401,0,0
20071005,2443.11,2443.11,2443.11,2443.11,0,0
20071008,2525.26,2525.26,2525.26,2525.26,0,0
20071009,2535.78,2535.78,2535.78,2535.78,0,0
20071010,2523.15,2523.15,2523.15,2523.15,0,0
20071011,2527.36,2527.36,2527.36,2527.36,0,0
20071012,2569.48,2569.48,2569.48,2569.48,0,0
20071015,2603.18,2603.18,2603.18,2603.18,0,0
20071016,2518.94,2518.94,2518.94,2518.94,0,0
20071017,2590.55,2590.55,2590.55,2590.55,0,0
20071018,2603.18,2603.18,2603.18,2603.18,0,0
20071019,2611.61,2611.61,2611.61,2611.61,0,0
20071022,2565.27,2565.27,2565.27,2565.27,0,0
20071023,2611.61,2611.61,2611.61,2611.61,0,0
20071024,2584.23,2584.23,2584.23,2584.23,0,0
20071025,2569.48,2569.48,2569.48,2569.48,0,0
20071026,2527.36,2527.36,2527.36,2527.36,0,0
20071029,2569.48,2569.48,2569.48,2569.48,0,0
