Date,Open,High,Low,Close,Volume,OpenInt
20100901,55.7,55.7,55.7,55.7,0,0
20100902,57.5,58.8,56.3,58.1,0,0
20100903,58.1,59.7,56.6,59,0,0
20100906,60.1,65.9,58.8,65.9,0,0
20100907,64.2,64.2,60.4,61.1,0,0
20100908,60.7,61.8,59.7,61.5,0,0
20100909,61.8,62.4,60.5,60.5,0,0
20100910,61.3,61.3,59,59.3,0,0
20100913,59.5,60.7,59.5,59.6,0,0
20100914,59.6,59.6,58.1,58.7,0,0
20100915,58.7,58.7,58,58.1,0,0
20100916,58.4,58.7,58,58.7,0,0
20100917,58.5,59.3,58.4,59.3,0,0
20100920,59.6,59.6,58,58.7,0,0
20100921,58.8,58.8,57.3,57.8,0,0
20100922,58.3,58.8,57,58.2,0,0
20100923,58.8,61.5,58.8,60,0,0
20100924,60,60.4,59.3,60.2,0,0
20100927,61.3,61.3,59.5,60.1,0,0
20100928,59.4,59.5,58.2,58.4,0,0
20100929,58.5,60.2,58.5,59.5,0,0
20100930,58.8,60.3,58.1,59.8,0,0
20101001,60.1,60.1,58.9,59.7,0,0
20101004,59.6,59.6,58.3,58.5,0,0
20101005,58.7,58.7,58.1,58.1,0,0
20101006,58.9,59,58.1,58.1,0,0
20101007,58.4,58.5,57.9,58.5,0,0
20101008,58.2,58.8,57.9,57.9,0,0
20101011,57.9,58.4,57.7,58.2,0,0
20101012,58,58.2,57.1,58.1,0,0
20101013,57.7,59.2,57.7,58.4,0,0
20101014,58.4,59.2,58,58.4,0,0
20101015,58.4,58.4,57.4,57.7,0,0
20101018,57.1,57.7,57,57.2,0,0
20101019,57,57.8,56.5,56.9,0,0
20101020,56.2,57.7,56.2,57.7,0,0
20101021,57.6,57.6,56.5,57.3,0,0
20101022,57.2,57.2,56.2,56.9,0,0
20101025,56.8,57.2,56.5,56.5,0,0
20101026,56.4,56.5,55.6,56.1,0,0
20101027,56.4,56.4,54.6,56,0,0
20101028,56,56.6,55.6,56.4,0,0
20101029,56.9,57.2,56.2,57.2,0,0
20101102,57.3,60.3,56.7,58.7,0,0
20101103,59.2,60.5,58.7,59.8,0,0
20101104,59.8,59.8,58.2,58.2,0,0
20101105,57.3,58.8,57.2,58.8,0,0
20120223,13.4,13.4,13.4,13.4,0,0
20120224,13.1,13.5,12.8,12.9,0,0
20120227,12.6,13.2,12.6,13.1,0,0
20120228,12.7,13.2,12.7,12.9,0,0
20120229,12.9,13.2,12.8,13.1,0,0
20120301,12.8,13.1,12.5,12.5,0,0
20120302,12.5,12.6,12.4,12.6,0,0
20120305,12.6,12.6,12.3,12.6,0,0
20120306,12.4,12.4,12.1,12.2,0,0
20120307,12.5,12.5,12.1,12.5,0,0
