Date,Open,High,Low,Close,Volume,OpenInt
20070813,1.3141,1.3141,1.3141,1.3141,0,0
20070814,1.3292,1.3292,1.3292,1.3292,0,0
20070816,1.269,1.269,1.269,1.269,0,0
20070817,1.3141,1.3141,1.3141,1.3141,0,0
20070820,1.3667,1.3667,1.3667,1.3667,0,0
20070821,1.3741,1.3741,1.3741,1.3741,0,0
20070822,1.3741,1.3741,1.3741,1.3741,0,0
20070823,1.3817,1.3817,1.3817,1.3817,0,0
20070824,1.4117,1.4117,1.4117,1.4117,0,0
20070827,1.3892,1.3892,1.3892,1.3892,0,0
20070828,1.3892,1.3892,1.3892,1.3892,0,0
20070829,1.3892,1.3892,1.3892,1.3892,0,0
20070830,1.3892,1.3892,1.3892,1.3892,0,0
20070831,1.4117,1.4117,1.4117,1.4117,0,0
20070903,1.3892,1.3892,1.3892,1.3892,0,0
20070904,1.4117,1.4117,1.4117,1.4117,0,0
20070905,1.3892,1.3892,1.3892,1.3892,0,0
20070906,1.3892,1.3892,1.3892,1.3892,0,0
20070907,1.3892,1.3892,1.3892,1.3892,0,0
20070910,1.3667,1.3667,1.3667,1.3667,0,0
20070911,1.4042,1.4042,1.4042,1.4042,0,0
20070912,1.3892,1.3892,1.3892,1.3892,0,0
20070913,1.3892,1.3892,1.3892,1.3892,0,0
20070914,1.3966,1.3966,1.3966,1.3966,0,0
20070917,1.3892,1.3892,1.3892,1.3892,0,0
20070918,1.3892,1.3892,1.3892,1.3892,0,0
20070919,1.3892,1.3892,1.3892,1.3892,0,0
20070920,1.3966,1.3966,1.3966,1.3966,0,0
20070921,1.3892,1.3892,1.3892,1.3892,0,0
20070924,1.3667,1.3667,1.3667,1.3667,0,0
20070925,1.3741,1.3741,1.3741,1.3741,0,0
20070926,1.3966,1.3966,1.3966,1.3966,0,0
20070927,1.3966,1.3966,1.3966,1.3966,0,0
20070928,1.3966,1.3966,1.3966,1.3966,0,0
20071001,1.3966,1.3966,1.3966,1.3966,0,0
20071002,1.3966,1.3966,1.3966,1.3966,0,0
20071003,1.3966,1.3966,1.3966,1.3966,0,0
20071004,1.3817,1.3817,1.3817,1.3817,0,0
20071005,1.3966,1.3966,1.3966,1.3966,0,0
20071008,1.4042,1.4042,1.4042,1.4042,0,0
20071009,1.4718,1.4718,1.4718,1.4718,0,0
20071010,1.5244,1.5244,1.5244,1.5244,0,0
20071011,1.547,1.547,1.547,1.547,0,0
20071012,1.5919,1.5919,1.5919,1.5919,0,0
20071015,1.6144,1.6144,1.6144,1.6144,0,0
20071016,1.5845,1.5845,1.5845,1.5845,0,0
20071017,1.5244,1.5244,1.5244,1.5244,0,0
20071018,1.4944,1.4944,1.4944,1.4944,0,0
20071019,1.4492,1.4492,1.4492,1.4492,0,0
20071022,1.4343,1.4343,1.4343,1.4343,0,0
20071023,1.4343,1.4343,1.4343,1.4343,0,0
20071024,1.3892,1.3892,1.3892,1.3892,0,0
20071025,1.3592,1.3592,1.3592,1.3592,0,0
20071026,1.3516,1.3516,1.3516,1.3516,0,0
20071029,1.3741,1.3741,1.3741,1.3741,0,0
20071030,1.3216,1.3216,1.3216,1.3216,0,0
20071031,1.3442,1.3442,1.3442,1.3442,0,0
20071102,1.2991,1.2991,1.2991,1.2991,0,0
20071105,1.3141,1.3141,1.3141,1.3141,0,0
20071106,1.2991,1.2991,1.2991,1.2991,0,0
20071107,1.2089,1.2089,1.2089,1.2089,0,0
20071108,1.2089,1.2089,1.2089,1.2089,0,0
20071109,1.2089,1.2089,1.1489,1.1565,0,0
20071112,1.1489,1.194,1.1489,1.1715,0,0
20071113,1.194,1.194,1.1188,1.164,0,0
20071114,1.1715,1.1865,1.1489,1.1489,0,0
20071115,1.1715,1.1715,1.0362,1.0362,0,0
20071116,1.0137,1.0362,0.9387,0.9837,0,0
20071119,0.9911,0.9911,0.9612,0.9612,0,0
20071120,0.9537,0.9537,0.8937,0.9237,0,0
20071121,0.9687,0.9687,0.8635,0.8711,0,0
20071122,0.8711,0.9311,0.8186,0.9086,0,0
20071123,0.9311,0.9537,0.8711,0.9237,0,0
20071126,0.9237,0.9237,0.8711,0.8711,0,0
20071127,0.8711,0.8711,0.8485,0.8711,0,0
20071128,0.8786,0.8786,0.841,0.8786,0,0
20071129,0.9086,0.9311,0.9011,0.9011,0,0
20071130,0.8937,0.9311,0.8937,0.9311,0,0
20071203,0.9612,0.9612,0.9162,0.9311,0,0
20071204,0.9086,0.9162,0.9011,0.9011,0,0
20071205,0.9311,0.9311,0.9011,0.9311,0,0
20071206,0.9311,0.9311,0.9086,0.9311,0,0
20071207,0.9311,0.9311,0.8937,0.9086,0,0
20071210,0.9086,0.9086,0.8937,0.8937,0,0
20071211,0.8861,0.8937,0.8561,0.8861,0,0
20071212,0.8786,0.8786,0.826,0.826,0,0
20071213,0.8336,0.841,0.811,0.811,0,0
20071214,0.8186,0.826,0.7884,0.826,0,0
20071217,0.7809,0.8186,0.7809,0.7809,0,0
20071218,0.7809,0.7884,0.751,0.7659,0,0
20071219,0.7659,0.7659,0.7659,0.7659,0,0
