Date,Open,High,Low,Close,Volume,OpenInt
20101011,0.75,0.75,0.75,0.75,0,0
20101012,0.74,0.76,0.73,0.76,0,0
20101013,0.75,0.75,0.74,0.74,0,0
20101014,0.74,0.74,0.73,0.74,0,0
20101015,0.73,0.75,0.72,0.73,0,0
20101018,0.72,0.73,0.7,0.7,0,0
20101019,0.71,0.71,0.68,0.7,0,0
20101020,0.68,0.72,0.68,0.71,0,0
20101021,0.69,0.71,0.69,0.71,0,0
20101022,0.72,0.72,0.69,0.71,0,0
20101025,0.71,0.72,0.7,0.71,0,0
20101026,0.72,0.72,0.7,0.7,0,0
20101027,0.71,0.71,0.69,0.71,0,0
20101028,0.7,0.71,0.68,0.7,0,0
20101029,0.7,0.7,0.69,0.69,0,0
20101102,0.7,0.71,0.69,0.7,0,0
20101103,0.7,0.71,0.69,0.69,0,0
20101104,0.7,0.75,0.69,0.74,0,0
20101105,0.75,0.77,0.73,0.73,0,0
20101108,0.73,0.77,0.73,0.75,0,0
20101109,0.75,0.75,0.73,0.74,0,0
20101110,0.74,0.74,0.72,0.73,0,0
20101112,0.73,1.5,0.71,1.5,0,0
20101115,1.52,1.52,1.45,1.48,0,0
20101116,1.48,1.48,1.41,1.41,0,0
20101117,1.43,1.43,1.4,1.41,0,0
20101118,1.4,1.43,1.38,1.4,0,0
20101119,1.4,1.4,1.37,1.37,0,0
20101122,1.36,1.36,1.3,1.31,0,0
20101123,1.31,1.31,1.25,1.25,0,0
20101124,1.25,1.29,1.25,1.29,0,0
20101125,1.3,1.31,1.28,1.31,0,0
20101126,1.28,1.28,1.25,1.26,0,0
20101129,1.26,1.27,1.23,1.23,0,0
20101130,1.22,1.26,1.21,1.25,0,0
20101201,1.25,1.36,1.25,1.32,0,0
20101202,1.33,1.33,1.28,1.29,0,0
20101203,1.28,1.33,1.28,1.31,0,0
20101206,1.29,1.31,1.24,1.25,0,0
20101207,1.26,1.29,1.22,1.28,0,0
20101208,1.24,1.34,1.24,1.29,0,0
20101209,1.3,1.35,1.3,1.32,0,0
20101210,1.32,1.32,1.31,1.31,0,0
20101213,1.3,1.31,1.29,1.29,0,0
20101214,1.29,1.31,1.25,1.29,0,0
20101215,1.29,1.29,1.23,1.24,0,0
20101216,1.27,1.27,1.23,1.24,0,0
20101217,1.24,1.27,1.22,1.23,0,0
20101220,1.23,1.25,1.19,1.2,0,0
20101221,1.18,1.21,1.17,1.21,0,0
20101222,1.2,1.21,1.17,1.18,0,0
20101223,1.18,1.18,1.17,1.17,0,0
20101227,1.17,1.17,1.13,1.13,0,0
20101228,1.13,1.17,1.12,1.12,0,0
20101229,1.13,1.17,1.12,1.17,0,0
20101230,1.16,1.19,1.16,1.19,0,0
20101231,1.2,1.2,1.18,1.19,0,0
20110103,1.19,1.19,1.17,1.19,0,0
20110104,1.19,1.19,1.17,1.17,0,0
20110105,1.17,1.17,1.14,1.16,0,0
20110107,1.17,1.19,1.16,1.16,0,0
20110110,1.16,1.19,1.13,1.14,0,0
20110111,1.16,1.17,1.14,1.17,0,0
20110112,1.17,1.17,1.14,1.16,0,0
20110113,1.17,1.17,1.12,1.14,0,0
20110114,1.14,1.16,1.12,1.16,0,0
20110117,1.15,1.15,1.13,1.15,0,0
20110118,1.14,1.18,1.14,1.17,0,0
20110119,1.17,1.17,1.13,1.16,0,0
20110120,1.16,1.16,1.13,1.16,0,0
20110121,1.16,1.16,1.13,1.15,0,0
20110124,1.14,1.14,1.13,1.13,0,0
20110125,1.12,1.12,1.11,1.12,0,0
20110126,1.14,1.14,1.09,1.1,0,0
20110127,1.1,1.11,1.08,1.11,0,0
20110128,1.13,1.13,1.13,1.13,0,0
20110131,1.1,1.14,1.1,1.11,0,0
20110201,1.09,1.13,1.03,1.06,0,0
20110202,1.06,1.08,1.02,1.05,0,0
20110203,1.02,1.12,1.01,1.12,0,0
20110204,1.13,1.16,1.11,1.13,0,0
20110207,1.13,1.16,1.12,1.14,0,0
20110208,1.11,1.14,1.09,1.12,0,0
20110209,1.11,1.14,1.1,1.12,0,0
20110210,1.1,1.12,1.07,1.08,0,0
20110211,1.07,1.09,1.03,1.08,0,0
20110214,1.08,1.12,1.06,1.06,0,0
20110215,1.08,1.11,1.06,1.09,0,0
20110216,1.09,1.14,1.08,1.11,0,0
20110217,1.09,1.11,1.09,1.11,0,0
20110218,1.11,1.11,1.05,1.08,0,0
20110221,1.08,1.08,1.06,1.06,0,0
20110222,1.06,1.06,1.05,1.05,0,0
20110223,1.05,1.07,1.03,1.07,0,0
20110224,1.06,1.06,1.03,1.06,0,0
20110225,1.03,1.08,1.02,1.02,0,0
20110228,1.03,1.05,1.03,1.05,0,0
20110301,1.05,1.05,1.02,1.04,0,0
20110302,1.02,1.1,1.01,1.1,0,0
20110303,1.09,1.13,1.09,1.1,0,0
20110304,1.11,1.11,1.08,1.11,0,0
20110307,1.11,1.14,1.08,1.09,0,0
20110308,1.09,1.11,1.08,1.11,0,0
20110309,1.11,1.11,1.09,1.11,0,0
20110310,1.11,1.12,1.09,1.11,0,0
20110311,1.11,1.11,1.09,1.1,0,0
20110314,1.1,1.1,1.07,1.09,0,0
20110315,1.09,1.09,1.03,1.06,0,0
20110316,1.04,1.06,1,1.02,0,0
20110317,1.04,1.04,1.02,1.04,0,0
20110318,1.02,1.05,1.02,1.03,0,0
20110321,1.01,1.05,1.01,1.05,0,0
20110322,1.02,1.05,1.01,1.04,0,0
20110323,1.04,1.04,1,1.02,0,0
20110324,0.99,1.02,0.98,0.99,0,0
20110325,0.98,0.99,0.97,0.99,0,0
20110328,0.98,1.02,0.98,1.01,0,0
20110329,1.01,1.03,0.99,1.03,0,0
20110330,1.03,1.03,1.02,1.02,0,0
20110331,1.03,1.03,1.01,1.01,0,0
20110401,1.02,1.1,1,1.07,0,0
20110404,1.07,1.09,1.04,1.07,0,0
20110405,1.05,1.07,1.04,1.06,0,0
20110406,1.05,1.07,1.03,1.07,0,0
20110407,1.04,1.07,1.03,1.06,0,0
20110408,1.05,1.06,1.03,1.04,0,0
20110411,1.04,1.04,1.03,1.03,0,0
20110412,1.02,1.03,1.02,1.02,0,0
20110413,1.02,1.05,1.01,1.05,0,0
20110414,1.05,1.05,1.01,1.03,0,0
20110415,1.04,1.04,1.01,1.03,0,0
20110418,1.02,1.02,1.01,1.01,0,0
20110419,1.01,1.04,1.01,1.04,0,0
20110420,1.05,1.05,1.03,1.04,0,0
20110421,1.04,1.04,1.02,1.03,0,0
20110426,1.03,1.1,1.03,1.1,0,0
20110427,1.11,1.12,1.08,1.12,0,0
20110428,1.12,1.14,1.11,1.11,0,0
20110429,1.12,1.15,1.12,1.14,0,0
20110502,1.13,1.17,1.13,1.13,0,0
20110504,1.18,1.18,1.13,1.13,0,0
