Date,Open,High,Low,Close,Volume,OpenInt
20070813,7.7,7.7,7.7,7.7,0,0
20070814,7.3,7.3,7.3,7.3,0,0
20070816,6.1,6.1,6.1,6.1,0,0
20070817,6.1,6.1,6.1,6.1,0,0
20070820,6.2,6.2,6.2,6.2,0,0
20070821,5.8,5.8,5.8,5.8,0,0
20070822,6.2,6.2,6.2,6.2,0,0
20070823,6.4,6.4,6.4,6.4,0,0
20070824,8.6,8.6,8.6,8.6,0,0
20070827,8.4,8.4,8.4,8.4,0,0
20070828,8,8,8,8,0,0
20070829,8.8,8.8,8.8,8.8,0,0
20070830,6.8,6.8,6.8,6.8,0,0
20070831,6.9,6.9,6.9,6.9,0,0
20070903,7,7,7,7,0,0
20070904,7,7,7,7,0,0
20070905,6.8,6.8,6.8,6.8,0,0
20070906,6.6,6.6,6.6,6.6,0,0
20070907,6.2,6.2,6.2,6.2,0,0
20070910,5.8,5.8,5.8,5.8,0,0
20070911,6.1,6.1,6.1,6.1,0,0
20070912,5.9,5.9,5.9,5.9,0,0
20070913,6.1,6.1,6.1,6.1,0,0
20070914,6,6,6,6,0,0
20070917,6,6,6,6,0,0
20070918,6,6,6,6,0,0
20070919,6.2,6.2,6.2,6.2,0,0
20070920,6.4,6.4,6.4,6.4,0,0
20070921,6.3,6.3,6.3,6.3,0,0
20070924,6.4,6.4,6.4,6.4,0,0
20070925,6.4,6.4,6.4,6.4,0,0
20070926,6.8,6.8,6.8,6.8,0,0
20070927,7,7,7,7,0,0
20070928,6.8,6.8,6.8,6.8,0,0
20071001,6.6,6.6,6.6,6.6,0,0
20071002,9.5,9.5,9.5,9.5,0,0
20071003,8.3,8.3,8.3,8.3,0,0
20071004,8.3,8.3,8.3,8.3,0,0
20071005,8.2,8.2,8.2,8.2,0,0
20071008,8.3,8.3,8.3,8.3,0,0
20071009,8.2,8.2,8.2,8.2,0,0
20071010,8.3,8.3,8.3,8.3,0,0
20071011,8.3,8.3,8.3,8.3,0,0
20071012,8.3,8.3,8.3,8.3,0,0
20071015,8.1,8.1,8.1,8.1,0,0
20071016,7.8,7.8,7.8,7.8,0,0
20071017,7.8,7.8,7.8,7.8,0,0
20071018,7.5,7.5,7.5,7.5,0,0
20071019,7.5,7.5,7.5,7.5,0,0
20071022,7.2,7.2,7.2,7.2,0,0
20071023,7.3,7.3,7.3,7.3,0,0
20071024,9.2,9.2,9.2,9.2,0,0
20071025,9.1,9.1,9.1,9.1,0,0
20071026,9,9,9,9,0,0
20071029,8.9,8.9,8.9,8.9,0,0
20071030,8.5,8.5,8.5,8.5,0,0
20071031,8.5,8.5,8.5,8.5,0,0
20071102,8.2,8.2,8.2,8.2,0,0
20071105,7.5,7.5,7.5,7.5,0,0
20071106,7.4,7.4,7.4,7.4,0,0
20071107,6.8,6.8,6.8,6.8,0,0
20071108,6.9,6.9,6.9,6.9,0,0
20071109,7.2,7.2,6.7,6.8,0,0
20071112,6.8,7,6.6,6.6,0,0
20071113,6.8,7.1,6.6,7,0,0
20071114,7.3,7.4,7,7,0,0
20071115,7,7.2,4.3,4.3,0,0
20071116,4.3,4.5,4.1,4.4,0,0
20071119,4.5,4.5,4.3,4.3,0,0
20071121,4.2,4.2,3.8,3.8,0,0
20071122,3.8,4.2,3.5,4.1,0,0
20071123,4.1,4.5,4.1,4.4,0,0
20071126,4.5,4.5,4.2,4.3,0,0
20071127,4.1,4.3,4.1,4.1,0,0
20071128,4.3,4.4,4.1,4.4,0,0
20071129,4.6,4.6,4.4,4.5,0,0
20071130,4.6,5.5,4.6,5.2,0,0
20071203,5.3,5.3,5.1,5.2,0,0
20071204,5.1,5.1,5,5,0,0
20071205,5,5.2,4.9,5,0,0
20071206,5,5,4.9,5,0,0
20071207,5,5.1,4.9,5,0,0
20071210,5,5.1,4.8,4.8,0,0
20071211,4.8,4.8,4.6,4.6,0,0
20071212,4.5,4.7,4.5,4.6,0,0
20071213,4.4,4.9,4.4,4.8,0,0
20071214,4.9,4.9,4.6,4.6,0,0
20071217,4.5,4.5,4.2,4.2,0,0
20071218,4.1,4.2,3.9,4.2,0,0
20071219,4.2,4.2,3.9,4,0,0
20071220,4,4.6,3.9,4.5,0,0
20071221,4.6,4.6,4.1,4.2,0,0
20071227,4.2,4.3,4,4.1,0,0
20071228,4,4.1,4,4.1,0,0
20080102,4.2,4.2,4,4.1,0,0
20080103,4.1,4.3,4,4.3,0,0
20080104,4.3,4.5,4.2,4.2,0,0
20080107,4.1,4.1,4,4,0,0
20080108,4,4.1,3.9,4.1,0,0
20080109,4,4,3.8,3.8,0,0
20080110,3.9,3.9,3.6,3.7,0,0
20080111,3.7,3.8,3.6,3.6,0,0
20080114,3.5,3.5,3.5,3.5,0,0
20080115,3.5,3.6,3.2,3.2,0,0
20080116,3.1,3.1,2.8,2.9,0,0
20080117,3.1,3.1,2.8,3,0,0
20080118,2.9,3.2,2.9,3.1,0,0
20080121,2.9,3.1,2.9,2.9,0,0
20080122,2.7,2.9,2.7,2.8,0,0
20080123,3,3,2.7,2.8,0,0
20080124,3,3,2.9,3,0,0
20080125,3.1,3.2,3,3.2,0,0
20080128,3.5,3.7,3.3,3.3,0,0
20080129,3.4,3.5,3.3,3.4,0,0
20080130,3.4,3.4,3.3,3.3,0,0
20080131,3.3,3.3,3.1,3.1,0,0
20080201,3.2,3.3,3.2,3.2,0,0
20080204,3.3,3.4,3.2,3.3,0,0
20080205,3.4,3.4,3.1,3.1,0,0
20080206,3,3.4,3,3.3,0,0
20080207,3.2,3.3,3.1,3.2,0,0
20080208,3.3,3.3,3.2,3.3,0,0
20080211,3.3,3.4,3.3,3.3,0,0
20080212,3.4,3.4,3.2,3.3,0,0
20080213,3.3,3.4,3.3,3.4,0,0
20080214,3.3,3.3,3.3,3.3,0,0
20080215,3.2,3.3,3.2,3.2,0,0
20091117,5,5,5,5,0,0
20091118,5,5,4.8,4.8,0,0
20091119,4.7,4.8,4.6,4.6,0,0
20091120,4.5,4.6,4.5,4.6,0,0
20091123,4.6,4.7,4.6,4.6,0,0
20091124,4.6,4.6,4.6,4.6,0,0
20091125,4.6,4.6,4.5,4.5,0,0
20091126,4.5,4.5,4.4,4.5,0,0
20091127,4.3,4.4,4.3,4.4,0,0
20091130,4.5,4.5,4.3,4.3,0,0
20091201,4.3,4.4,4.2,4.2,0,0
20091202,4.2,4.2,4,4.1,0,0
20091203,4.1,4.2,4,4.1,0,0
20091204,4.1,4.3,4.1,4.3,0,0
20091207,4.3,4.3,4.2,4.2,0,0
20091208,4.2,4.2,4.1,4.1,0,0
20091209,4.1,4.1,3.9,3.9,0,0
20091210,3.9,3.9,3.9,3.9,0,0
20091211,3.9,4.1,3.8,4.1,0,0
20091214,4.1,4.1,4,4,0,0
20091215,4,4,3.8,3.8,0,0
20091216,3.8,3.8,3.7,3.7,0,0
20091217,3.7,3.7,3.5,3.5,0,0
20091218,3.5,3.6,3.5,3.6,0,0
20091221,3.6,3.6,3.5,3.5,0,0
20091222,3.4,3.5,3.3,3.4,0,0
20091223,3.4,3.4,3.3,3.3,0,0
20091228,3.3,3.5,3.2,3.4,0,0
20091229,3.4,3.6,3.4,3.5,0,0
20091230,3.5,3.5,3.3,3.4,0,0
20091231,3.4,3.4,3.4,3.4,0,0
20100104,3.4,3.8,3.4,3.8,0,0
