Date,Open,High,Low,Close,Volume,OpenInt
20070813,994.34,994.34,994.34,994.34,0,0
20070814,1005.58,1005.58,1005.58,1005.58,0,0
20070816,928.05,928.05,928.05,928.05,0,0
20070817,969.48,969.48,969.48,969.48,0,0
20070820,967.7,967.7,967.7,967.7,0,0
20070821,970.66,970.66,970.66,970.66,0,0
20070822,982.5,982.5,982.5,982.5,0,0
20070823,1124.55,1124.55,1124.55,1124.55,0,0
20070824,1296.19,1296.19,1296.19,1296.19,0,0
20070827,1438.83,1438.83,1438.83,1438.83,0,0
20070828,1447.11,1447.11,1447.11,1447.11,0,0
20070829,1527.02,1527.02,1527.02,1527.02,0,0
20070830,1515.18,1515.18,1515.18,1515.18,0,0
20070831,1520.51,1520.51,1520.51,1520.51,0,0
20070903,1550.69,1550.69,1550.69,1550.69,0,0
20070904,1553.65,1553.65,1553.65,1553.65,0,0
20070905,1550.69,1550.69,1550.69,1550.69,0,0
20070906,1521.1,1521.1,1521.1,1521.1,0,0
20070907,1396.81,1396.81,1396.81,1396.81,0,0
20070910,1361.29,1361.29,1361.29,1361.29,0,0
20070911,1461.91,1461.91,1461.91,1461.91,0,0
20070912,1470.79,1470.79,1470.79,1470.79,0,0
20070913,1426.4,1426.4,1426.4,1426.4,0,0
20070914,1479.07,1479.07,1479.07,1479.07,0,0
20070917,1451.26,1451.26,1451.26,1451.26,0,0
20070918,1476.12,1476.12,1476.12,1476.12,0,0
20070919,1493.87,1493.87,1493.87,1493.87,0,0
20070920,1479.07,1479.07,1479.07,1479.07,0,0
20070921,1490.91,1490.91,1490.91,1490.91,0,0
20070924,1592.12,1592.12,1592.12,1592.12,0,0
20070925,1695.11,1695.11,1695.11,1695.11,0,0
20070926,1808.15,1808.15,1808.15,1808.15,0,0
20070927,1875.63,1875.63,1875.63,1875.63,0,0
20070928,1851.95,1851.95,1851.95,1851.95,0,0
20071001,1764.35,1764.35,1764.35,1764.35,0,0
20071002,2249.09,2249.09,2249.09,2249.09,0,0
20071003,2000.51,2000.51,2000.51,2000.51,0,0
20071004,1882.14,1882.14,1882.14,1882.14,0,0
20071005,1831.83,1831.83,1831.83,1831.83,0,0
20071008,1834.79,1834.79,1834.79,1834.79,0,0
20071009,1781.52,1781.52,1781.52,1781.52,0,0
20071010,1695.7,1695.7,1695.7,1695.7,0,0
20071011,1624.08,1624.08,1624.08,1624.08,0,0
20071012,1571.41,1571.41,1571.41,1571.41,0,0
20071015,1553.65,1553.65,1553.65,1553.65,0,0
20071016,1500.97,1500.97,1500.97,1500.97,0,0
20071017,1509.26,1509.26,1509.26,1509.26,0,0
20071018,1470.79,1470.79,1470.79,1470.79,0,0
20071019,1499.2,1499.2,1499.2,1499.2,0,0
20071022,1457.77,1457.77,1457.77,1457.77,0,0
20071023,1437.64,1437.64,1437.64,1437.64,0,0
20071024,1434.68,1434.68,1434.68,1434.68,0,0
20071025,1415.15,1415.15,1415.15,1415.15,0,0
20071026,1434.68,1434.68,1434.68,1434.68,0,0
20071029,1413.38,1413.38,1413.38,1413.38,0,0
20071030,1370.76,1370.76,1370.76,1370.76,0,0
20071031,1366.62,1366.62,1366.62,1366.62,0,0
20071102,1331.11,1331.11,1331.11,1331.11,0,0
20071105,1234.04,1234.04,1234.04,1234.04,0,0
20071106,1183.73,1183.73,1183.73,1183.73,0,0
20071107,1039.91,1039.91,1039.91,1039.91,0,0
20071108,1071.87,1071.87,1071.87,1071.87,0,0
20071109,1119.81,1119.81,1026.89,1035.77,0,0
20071112,1035.17,1045.83,1029.85,1040.5,0,0
20071113,1059.44,1091.4,1048.2,1091.4,0,0
20071114,1119.81,1119.81,1047.6,1053.52,0,0
20071115,1013.28,1013.28,946.99,946.99,0,0
20071116,905.56,958.82,831.57,946.99,0,0
20071119,948.17,976.58,935.15,957.64,0,0
20071120,946.99,994.34,929.23,993.74,0,0
20071121,987.83,987.83,923.31,935.15,0,0
20071122,946.99,1006.17,946.99,987.83,0,0
20071123,1000.25,1023.93,991.38,1023.93,0,0
20071126,1089.03,1089.03,981.31,981.31,0,0
20071127,924.5,976.58,924.5,946.99,0,0
20071128,946.99,989.01,935.74,989.01,0,0
20071129,1026.89,1026.89,971.25,971.25,0,0
20071130,976.58,1066.54,976.58,1066.54,0,0
20071203,1124.55,1124.55,1050.56,1105.61,0,0
20071204,1103.83,1103.83,1035.77,1057.67,0,0
20071205,1035.77,1065.36,1018.6,1047.01,0,0
20071206,1049.97,1058.26,1023.93,1035.77,0,0
20071207,1053.52,1053.52,1001.44,1035.77,0,0
20071210,1006.17,1029.85,1006.17,1019.19,0,0
20071211,1006.77,1006.77,999.07,1006.17,0,0
20071212,976.58,1010.91,976.58,1010.91,0,0
20071213,1010.91,1086.08,1004.99,1070.69,0,0
20071214,1065.36,1077.2,1009.72,1009.72,0,0
20071217,978.95,1002.03,978.95,988.42,0,0
20071218,983.09,1006.17,983.09,988.42,0,0
20071219,975.4,1004.99,970.07,970.07,0,0
20071220,970.66,1242.33,970.66,1242.33,0,0
20071221,1260.68,1260.68,1142.3,1149.41,0,0
20071227,1145.26,1177.81,1071.28,1072.46,0,0
20071228,1064.18,1064.18,1012.09,1051.75,0,0
20080102,1061.22,1061.22,1009.72,1011.5,0,0
20080103,1014.46,1032.22,996.7,1032.22,0,0
20080104,1039.32,1039.32,996.7,996.7,0,0
20080107,964.74,975.99,946.99,946.99,0,0
20080108,946.99,973.62,946.99,962.97,0,0
20080109,934.56,934.56,884.84,887.21,0,0
20080110,888.98,899.64,828.61,849.92,0,0
20080111,857.61,870.04,828.61,850.51,0,0
20080114,820.92,820.92,820.92,820.92,0,0
20080115,834.53,834.53,754.63,757,0,0
20080116,688.93,733.32,656.97,697.22,0,0
20080117,703.73,728,696.63,712.61,0,0
20080118,698.4,750.49,698.4,743.38,0,0
20080121,717.34,744.57,674.73,677.1,0,0
20080122,622.64,673.54,622.64,667.03,0,0
