Date,Open,High,Low,Close,Volume,OpenInt
20110301,9,9,9,9,0,0
20110302,9.1,9.1,8.9,9.1,0,0
20110303,9.1,9.1,8.9,8.9,0,0
20110304,9.1,10.1,8.8,10.1,0,0
20110307,9.9,10.4,9.9,10.1,0,0
20110308,10.2,10.2,9.9,9.9,0,0
20110309,9.9,10.1,9.8,10.1,0,0
20110310,9.9,10.1,9.9,10.1,0,0
20110311,9.9,10.1,9.8,9.8,0,0
20110314,9.8,10.1,9.8,10.1,0,0
20110315,10,10.1,9.6,9.6,0,0
20110316,9.8,9.9,9.7,9.9,0,0
20110317,9.9,9.9,9.8,9.8,0,0
20110318,9.9,9.9,9.6,9.7,0,0
20110321,9.7,10,9.7,9.8,0,0
20110322,10,10.1,9.8,10.1,0,0
20110323,10.1,10.1,10,10.1,0,0
20110324,10.1,10.7,10,10.7,0,0
20110325,10.8,10.9,10.7,10.7,0,0
20110328,10.8,10.8,10.4,10.5,0,0
20110329,10.6,10.6,10.3,10.3,0,0
20110330,10.4,10.5,10.2,10.3,0,0
20110331,10.4,10.5,10.3,10.4,0,0
20110401,10.3,10.4,10.2,10.4,0,0
20110404,10.4,10.4,10.2,10.4,0,0
20110405,10.3,10.4,10.3,10.4,0,0
20110406,10.4,10.5,10.2,10.2,0,0
20110407,10.2,10.2,9.9,9.9,0,0
20110408,10,10.2,9.9,10.2,0,0
20110411,10.1,10.2,10.1,10.1,0,0
20110412,10.3,10.3,10.1,10.1,0,0
20110413,10.2,10.3,10,10.1,0,0
20110414,10.1,10.2,10,10.2,0,0
20110415,10.1,10.2,10,10.1,0,0
20110418,10,10.2,10,10.1,0,0
20110419,10.1,10.1,9.9,9.9,0,0
20110420,10,10.2,9.9,10.2,0,0
20110421,10.1,10.4,10.1,10.3,0,0
20110426,10.2,12.7,10.2,12.7,0,0
20110427,12.7,12.8,12.4,12.7,0,0
20110428,12.6,12.7,12.4,12.5,0,0
20110429,12.5,12.6,12.4,12.4,0,0
20110502,12.4,13,12.4,12.9,0,0
20110504,12.9,13,12.5,12.9,0,0
20110505,12.8,13,12.5,12.8,0,0
20110506,12.9,12.9,12.8,12.9,0,0
20110509,12.9,12.9,12.6,12.8,0,0
20110510,12.8,13.2,12.8,13.2,0,0
20110511,13.2,13.7,12.8,12.8,0,0
20110512,12.9,12.9,8.6,8.6,0,0
20110513,8.7,8.8,8.6,8.7,0,0
20110516,8.6,8.7,8.6,8.6,0,0
20110517,8.7,8.7,8.5,8.7,0,0
20110518,8.6,8.8,8.6,8.7,0,0
20110519,8.7,9,8.7,9,0,0
20110520,9,9.1,8.9,9,0,0
20110523,9,9.4,8.7,9.4,0,0
20110524,9.2,9.4,8.9,8.9,0,0
20110525,8.9,8.9,8.6,8.6,0,0
20110526,8.7,8.7,8.6,8.6,0,0
20110527,8.6,8.7,8.5,8.7,0,0
20110530,8.7,8.8,8.4,8.5,0,0
20110531,8.5,8.7,8.4,8.7,0,0
20110601,8.5,8.6,8.4,8.5,0,0
20110602,8.4,8.6,8.4,8.6,0,0
20110603,8.5,8.7,8.5,8.6,0,0
20110606,8.6,8.9,8.4,8.5,0,0
20110607,8.4,8.5,8.1,8.3,0,0
20110608,8.2,8.4,8.1,8.1,0,0
20110609,8.1,8.3,8.1,8.2,0,0
20110610,8.3,8.3,8,8,0,0
20110613,8.2,8.2,7.9,8,0,0
20110614,8.2,8.2,8,8.2,0,0
20110615,8.2,8.2,8,8.2,0,0
20110616,8.1,8.2,8,8.2,0,0
20110617,8.2,8.3,8,8.1,0,0
20110620,8.2,8.2,7.7,7.7,0,0
20110621,7.6,7.8,7.4,7.5,0,0
20110622,7.5,7.5,7.1,7.1,0,0
20110624,7.1,7.4,7,7.2,0,0
20110627,7.2,7.3,7.1,7.2,0,0
20110628,7.3,7.4,7.2,7.4,0,0
20110629,7.4,7.6,7.4,7.6,0,0
20110630,7.5,7.6,7.4,7.6,0,0
20110701,7.5,7.5,7.3,7.3,0,0
20110704,7.5,7.5,7.3,7.3,0,0
20110705,7.3,7.3,7,7.1,0,0
20110706,7.3,7.3,7,7.1,0,0
20110707,7.1,7.3,6.9,7.3,0,0
20110708,7.1,7.3,7.1,7.2,0,0
20110711,7.2,7.3,7.1,7.1,0,0
20110712,7.3,7.4,7,7.1,0,0
20110713,7.1,7.2,7.1,7.2,0,0
20110714,7.1,7.5,7,7,0,0
20110715,7.1,7.2,6.9,7.2,0,0
20110718,7.2,7.2,6.9,7,0,0
20110719,7.1,7.1,6.4,6.5,0,0
20110720,6.5,6.6,6.3,6.3,0,0
20110721,6.2,6.3,5.9,6.3,0,0
20110722,6.4,6.8,6.4,6.7,0,0
20110725,7,7.3,7,7.2,0,0
20110726,7.2,7.2,6.9,7,0,0
20110727,7,7,6.8,6.9,0,0
20110728,7.1,7.2,6.7,7,0,0
20110729,7,7,6.8,6.9,0,0
20110801,7,7.1,6.9,6.9,0,0
20110802,7.1,7.1,6.9,7,0,0
20110803,6.8,7,6.5,6.6,0,0
20110804,6.7,6.9,6.1,6.3,0,0
20110805,6.1,6.4,5.6,5.7,0,0
20110808,5.4,5.6,5,5.2,0,0
20110809,5.2,5.8,4.3,5.8,0,0
20110810,6.2,6.3,5.9,5.9,0,0
20110811,5.9,6.2,5.8,6.2,0,0
20110812,6.3,6.7,6.1,6.2,0,0
20110816,6.3,6.3,6.1,6.3,0,0
20110817,6.2,6.3,6.1,6.2,0,0
20110818,6.2,6.3,5.7,5.9,0,0
20110819,5.5,5.9,5.5,5.7,0,0
