Date,Open,High,Low,Close,Volume,OpenInt
20070814,27.805,27.805,27.805,27.805,0,0
20070816,23.695,23.695,23.695,23.695,0,0
20070817,25.56,25.56,25.56,25.56,0,0
20070820,27.053,27.053,27.053,27.053,0,0
20070821,26.311,26.311,26.311,26.311,0,0
20070822,26.399,26.399,26.399,26.399,0,0
20070823,25.745,25.745,25.745,25.745,0,0
20070824,24.906,24.906,24.906,24.906,0,0
20070827,26.311,26.311,26.311,26.311,0,0
20070828,24.632,24.632,24.632,24.632,0,0
20070829,23.226,23.226,23.226,23.226,0,0
20070830,20.249,20.249,20.249,20.249,0,0
20070831,20.434,20.434,20.434,20.434,0,0
20070903,20.522,20.522,20.522,20.522,0,0
20070904,20.62,20.62,20.62,20.62,0,0
20070905,20.053,20.053,20.053,20.053,0,0
20070906,20.434,20.434,20.434,20.434,0,0
20070907,20.151,20.151,20.151,20.151,0,0
20070910,19.965,19.965,19.965,19.965,0,0
20070911,19.78,19.78,19.78,19.78,0,0
20070912,19.028,19.028,19.028,19.028,0,0
20070913,19.594,19.594,19.594,19.594,0,0
20070914,19.497,19.497,19.497,19.497,0,0
20070917,18.843,18.843,18.843,18.843,0,0
20070918,17.915,17.915,17.915,17.915,0,0
20070919,18.472,18.472,18.472,18.472,0,0
20070920,18.472,18.472,18.472,18.472,0,0
20070921,18.569,18.569,18.569,18.569,0,0
20070924,18.374,18.374,18.374,18.374,0,0
20070925,18.569,18.569,18.569,18.569,0,0
20070926,18.755,18.755,18.755,18.755,0,0
20070927,18.843,18.843,18.843,18.843,0,0
20070928,18.374,18.374,18.374,18.374,0,0
20071001,18.189,18.189,18.189,18.189,0,0
20071002,20.522,20.522,20.522,20.522,0,0
20071003,20.707,20.707,20.707,20.707,0,0
20071004,20.893,20.893,20.893,20.893,0,0
20071005,22.67,22.67,22.67,22.67,0,0
20071008,22.855,22.855,22.855,22.855,0,0
20071009,22.572,22.572,22.572,22.572,0,0
20071010,22.767,22.767,22.767,22.767,0,0
20071011,23.226,23.226,23.226,23.226,0,0
20071012,23.793,23.793,23.793,23.793,0,0
20071015,23.324,23.324,23.324,23.324,0,0
20071016,24.447,24.447,24.447,24.447,0,0
20071017,32.56,32.56,32.56,32.56,0,0
20071018,30.881,30.881,30.881,30.881,0,0
20071019,31.066,31.066,31.066,31.066,0,0
20071022,30.51,30.51,30.51,30.51,0,0
20071023,31.066,31.066,31.066,31.066,0,0
20071024,29.484,29.484,29.484,29.484,0,0
20071025,27.522,27.522,27.522,27.522,0,0
20071026,28.83,28.83,28.83,28.83,0,0
20071029,30.129,30.129,30.129,30.129,0,0
20071030,29.943,29.943,29.943,29.943,0,0
20071031,30.129,30.129,30.129,30.129,0,0
20071102,29.67,29.67,29.67,29.67,0,0
20071105,29.104,29.104,29.104,29.104,0,0
20071106,28.264,28.264,28.264,28.264,0,0
20071107,27.337,27.337,27.337,27.337,0,0
20071108,27.151,27.151,27.151,27.151,0,0
20071109,27.805,27.805,25.56,26.311,0,0
20071112,25.003,26.311,25.003,25.745,0,0
20071113,26.311,27.522,25.931,27.151,0,0
20071114,27.805,27.805,21.83,21.83,0,0
20071115,21.733,21.83,18.003,18.94,0,0
20071116,18.843,18.94,17.534,18.94,0,0
20071119,18.755,18.94,17.632,17.632,0,0
20071120,17.261,17.818,16.89,17.818,0,0
20071121,17.447,17.632,14.742,14.83,0,0
20071122,14.645,17.73,13.805,17.447,0,0
20071123,17.818,17.818,16.792,17.73,0,0
20071126,18.003,18.472,17.349,17.818,0,0
20071127,17.73,17.818,17.447,17.818,0,0
20071128,20.434,20.434,18.569,19.214,0,0
20071129,20.053,20.053,18.374,18.755,0,0
20071130,18.94,19.409,18.189,19.126,0,0
20071203,19.126,19.126,17.534,17.534,0,0
20071204,18.189,18.374,17.447,17.534,0,0
20071205,18.189,18.189,17.534,18.003,0,0
20071206,18.003,18.189,17.818,17.818,0,0
20071207,17.447,18.374,17.447,18.189,0,0
20071210,18.374,18.569,17.818,18.374,0,0
