Date,Open,High,Low,Close,Volume,OpenInt
20070813,5.48,5.48,5.48,5.48,0,0
20070814,5.05,5.05,5.05,5.05,0,0
20070816,4.34,4.34,4.34,4.34,0,0
20070817,4.72,4.72,4.72,4.72,0,0
20070820,4.74,4.74,4.74,4.74,0,0
20070821,4.63,4.63,4.63,4.63,0,0
20070822,4.91,4.91,4.91,4.91,0,0
20070823,4.97,4.97,4.97,4.97,0,0
20070824,5.08,5.08,5.08,5.08,0,0
20070827,5.08,5.08,5.08,5.08,0,0
20070828,4.92,4.92,4.92,4.92,0,0
20070829,4.85,4.85,4.85,4.85,0,0
20070830,4.92,4.92,4.92,4.92,0,0
20070831,5.08,5.08,5.08,5.08,0,0
20070903,4.97,4.97,4.97,4.97,0,0
20070904,5.4,5.4,5.4,5.4,0,0
20070905,5.51,5.51,5.51,5.51,0,0
20070906,5.48,5.48,5.48,5.48,0,0
20070907,5.32,5.32,5.32,5.32,0,0
20070910,5.23,5.23,5.23,5.23,0,0
20070911,5.21,5.21,5.21,5.21,0,0
20070912,5.15,5.15,5.15,5.15,0,0
20070913,5.51,5.51,5.51,5.51,0,0
20070914,5.72,5.72,5.72,5.72,0,0
20070917,5.55,5.55,5.55,5.55,0,0
20070918,5.63,5.63,5.63,5.63,0,0
20070919,5.78,5.78,5.78,5.78,0,0
20070920,5.75,5.75,5.75,5.75,0,0
20070921,5.64,5.64,5.64,5.64,0,0
20070924,5.56,5.56,5.56,5.56,0,0
20070925,5.57,5.57,5.57,5.57,0,0
20070926,5.56,5.56,5.56,5.56,0,0
20070927,5.64,5.64,5.64,5.64,0,0
20070928,5.54,5.54,5.54,5.54,0,0
20071001,5.46,5.46,5.46,5.46,0,0
20071002,5.31,5.31,5.31,5.31,0,0
20071003,5.34,5.34,5.34,5.34,0,0
20071004,5.32,5.32,5.32,5.32,0,0
20071005,5.66,5.66,5.66,5.66,0,0
20071008,5.78,5.78,5.78,5.78,0,0
20071009,5.88,5.88,5.88,5.88,0,0
20071010,5.94,5.94,5.94,5.94,0,0
20071011,5.94,5.94,5.94,5.94,0,0
20071012,5.93,5.93,5.93,5.93,0,0
20071015,5.99,5.99,5.99,5.99,0,0
20071016,5.96,5.96,5.96,5.96,0,0
20071017,5.93,5.93,5.93,5.93,0,0
20071018,5.9,5.9,5.9,5.9,0,0
20071019,5.88,5.88,5.88,5.88,0,0
20071022,5.86,5.86,5.86,5.86,0,0
20071023,5.96,5.96,5.96,5.96,0,0
20071024,5.88,5.88,5.88,5.88,0,0
20071025,5.83,5.83,5.83,5.83,0,0
20071026,5.85,5.85,5.85,5.85,0,0
20071029,5.89,5.89,5.89,5.89,0,0
20071030,5.89,5.89,5.89,5.89,0,0
20071031,5.88,5.88,5.88,5.88,0,0
20071102,5.91,5.91,5.91,5.91,0,0
20071105,5.72,5.72,5.72,5.72,0,0
20071106,5.73,5.73,5.73,5.73,0,0
20071107,5.4,5.4,5.4,5.4,0,0
20071108,5.4,5.4,5.4,5.4,0,0
20071109,5.39,5.56,5.39,5.4,0,0
20071112,5.48,5.48,5.26,5.32,0,0
20071113,5.29,5.66,5.02,5.54,0,0
20071114,5.67,5.67,5.43,5.43,0,0
20071115,5.67,5.67,5.08,5.08,0,0
