Date,Open,High,Low,Close,Volume,OpenInt
20110630,12.9,12.9,12.9,12.9,0,0
20110701,12.9,12.9,12.9,12.9,0,0
20110704,12.9,12.9,12.4,12.5,0,0
20110705,12.1,12.5,12,12,0,0
20110706,11.9,11.9,11,11.3,0,0
20110707,11.3,11.6,10.8,11.6,0,0
20110708,11.6,11.9,11.6,11.9,0,0
20110711,11.9,11.9,11.9,11.9,0,0
20110712,11.7,11.7,11.3,11.4,0,0
20110713,11.7,11.7,11.6,11.6,0,0
20110714,11.7,11.7,11.6,11.6,0,0
20110715,11.6,11.6,11.3,11.4,0,0
20110718,11.5,33.7,11.2,33.7,0,0
20110719,33.2,34.5,33.2,34.4,0,0
20110720,33.9,33.9,11.4,11.4,0,0
20110721,11.2,11.4,11.1,11.3,0,0
20110722,11.4,11.4,11.2,11.4,0,0
20110725,11.5,12.3,11.5,12.3,0,0
20110726,12.3,12.3,12,12,0,0
20110727,12,12.3,12,12,0,0
20110728,12.1,12.1,11.9,12.1,0,0
20110729,12.2,12.2,12.1,12.1,0,0
20110801,12.1,12.1,11.7,12.1,0,0
20110802,11.9,11.9,11.6,11.9,0,0
20110803,11.9,11.9,10.9,11.3,0,0
20110804,11.3,11.8,10.8,10.8,0,0
20110805,9.7,10.8,9.6,10.5,0,0
20110808,10,10.5,10,10.1,0,0
20110809,10.5,10.5,9.5,9.5,0,0
20110810,9.5,9.5,9.5,9.5,0,0
20110811,9,9.4,8.9,8.9,0,0
20110812,9.3,9.3,8.9,9.2,0,0
20110816,9.2,9.8,9.2,9.8,0,0
20110817,10.4,10.4,9.6,9.9,0,0
20110818,10,10,9.5,9.5,0,0
20110819,9.4,9.5,9.4,9.4,0,0
20110822,9.4,10.1,9.4,10.1,0,0
20110823,10.1,10.3,10.1,10.2,0,0
20110824,10,10.6,10,10.3,0,0
20110825,10.2,10.8,10.2,10.8,0,0
20110826,10.9,12.1,10.8,11.9,0,0
20110829,12.2,12.9,12.2,12.5,0,0
20110830,12.8,12.8,11.7,12.8,0,0
20110831,12.8,12.8,12.4,12.8,0,0
20110901,12.8,12.8,11.7,12.4,0,0
20110902,11.9,12.3,11.9,12.2,0,0
20110905,11.9,12.2,9.5,9.5,0,0
20110906,9.6,9.6,9.2,9.5,0,0
20110907,9.5,9.8,9.5,9.8,0,0
20110908,9.9,9.9,9.7,9.9,0,0
20110909,9.9,9.9,9.4,9.4,0,0
20110912,9.4,9.4,9.2,9.4,0,0
20110913,9.4,9.8,9.4,9.8,0,0
20110914,9.8,10,9.8,9.8,0,0
20110915,9.9,10.1,9.6,10,0,0
20110916,10,10.2,9.7,9.8,0,0
20110919,9.8,10,9.8,10,0,0
20110920,10,10,10,10,0,0
20110921,10,10,9.6,9.9,0,0
20110922,9.9,9.9,9.6,9.9,0,0
20110923,9.8,9.9,9.4,9.8,0,0
20110926,9.8,9.8,9.5,9.8,0,0
20110927,9.8,9.8,9.7,9.7,0,0
20110928,9.7,9.7,9.1,9.6,0,0
20110929,9.8,9.8,9.6,9.8,0,0
20110930,9.7,9.8,9.4,9.8,0,0
20111003,9.7,9.7,9.7,9.7,0,0
20111004,9.8,9.8,9.2,9.4,0,0
20111005,9.4,9.7,9.4,9.7,0,0
20111006,9.7,9.7,9.5,9.6,0,0
20111007,9.6,9.6,9.6,9.6,0,0
20111010,9.6,9.6,9.4,9.5,0,0
20111011,9.7,9.7,9.7,9.7,0,0
20111012,9.7,9.7,9.6,9.6,0,0
20111013,9.7,9.7,9.6,9.6,0,0
20111014,9.6,9.7,9.3,9.7,0,0
20111017,9.7,9.9,9.7,9.7,0,0
20111018,9.8,9.8,9.8,9.8,0,0
20111019,9.9,9.9,9.8,9.8,0,0
20111020,9.8,9.8,9.8,9.8,0,0
20111021,9.8,9.8,9.8,9.8,0,0
20111024,9.6,10,9.2,9.8,0,0
20111025,9.8,9.8,9.6,9.8,0,0
20111026,10,10,9.6,9.7,0,0
20111027,9.7,10,9.7,10,0,0
20111028,10,10.2,9.8,9.8,0,0
20111031,9.8,10.1,9.6,10.1,0,0
20111102,9.8,10,9.8,10,0,0
20111103,10,10,10,10,0,0
20111104,10,10,10,10,0,0
20111107,10,10,10,10,0,0
20111108,10,10,10,10,0,0
20111109,10.1,10.1,10.1,10.1,0,0
20111110,10,10.1,10,10.1,0,0
20111114,10.1,10.1,9.7,10.1,0,0
20111115,10.1,10.1,10.1,10.1,0,0
20111116,10,10,10,10,0,0
20111117,10,10,7.1,7.1,0,0
20111118,7.1,7.1,6.9,7,0,0
20111121,7.1,7.1,6.9,7,0,0
20111122,6.9,7,6.9,7,0,0
20111123,7,7,6.7,6.9,0,0
20111124,7,7.1,7,7,0,0
20111125,7,7,6.9,7,0,0
20111128,7.1,7.2,7.1,7.2,0,0
20111129,7.2,7.2,7.2,7.2,0,0
20111130,7,7.3,7,7.3,0,0
20111201,7.3,7.3,7.1,7.3,0,0
20111202,7.3,7.3,7.1,7.1,0,0
20111205,7.2,7.2,7,7.2,0,0
20111206,7.3,7.3,7.3,7.3,0,0
20111207,7.2,7.3,7.1,7.2,0,0
20111208,7.2,7.3,7.2,7.3,0,0
20111209,7.3,7.3,7.3,7.3,0,0
20111212,7.3,7.3,7.3,7.3,0,0
20111213,7.3,7.3,7.3,7.3,0,0
20111214,7.4,7.6,7.4,7.5,0,0
20111215,7.5,7.7,7.5,7.6,0,0
20111216,7.6,7.6,7.5,7.6,0,0
20111219,7.6,7.7,7.4,7.6,0,0
20111220,7.6,7.8,7.6,7.8,0,0
20111221,7.8,8,7.8,8,0,0
20111222,8,8.4,8,8.3,0,0
20111223,8.3,8.3,8.3,8.3,0,0
20111227,8.3,8.6,8.3,8.6,0,0
20111228,8.7,8.7,8.6,8.6,0,0
20111229,8.6,8.6,8.1,8.1,0,0
20111230,8.2,8.4,7.9,7.9,0,0
20120102,8.1,8.3,8,8.2,0,0
20120103,8.3,8.7,8.3,8.7,0,0
20120104,8.7,8.9,8.6,8.7,0,0
20120105,8.6,8.8,8.6,8.7,0,0
20120109,8.8,8.9,8.8,8.9,0,0
20120110,8.9,9.4,8.8,9.4,0,0
20120111,9.4,9.4,9.1,9.1,0,0
20120112,9.1,9.5,9.1,9.5,0,0
20120113,9.5,9.7,9.5,9.5,0,0
20120116,9.5,9.9,9.5,9.8,0,0
20120117,9.9,10.4,9.9,10.2,0,0
20120118,10.3,10.3,9.7,10.1,0,0
20120119,10.1,10.1,9.7,10.1,0,0
20120120,10.2,10.2,10,10.2,0,0
20120123,10.2,10.4,10.2,10.2,0,0
20120124,10.3,10.4,10,10.3,0,0
20120125,10.3,10.6,10,10.6,0,0
20120126,10.7,10.8,10.7,10.7,0,0
20120127,10.7,11.2,10.6,11.1,0,0
20120130,11,11.2,10.8,11.2,0,0
20120131,11.1,11.2,11.1,11.1,0,0
20120201,11.2,11.2,11.1,11.1,0,0
20120202,11.1,11.1,10.8,11,0,0
20120203,11,11,10.9,10.9,0,0
20120206,10.9,10.9,10.3,10.4,0,0
20120207,10.5,10.9,10.4,10.9,0,0
20120208,11.1,11.1,10.8,11,0,0
20120209,11.1,11.1,10.6,10.7,0,0
20120210,10.7,10.8,10.6,10.7,0,0
20120213,10.7,10.7,10.5,10.7,0,0
20120214,10.7,10.7,10.6,10.7,0,0
20120215,10.7,10.8,10.6,10.8,0,0
20120216,10.8,10.9,10.8,10.9,0,0
20120217,11,11.2,10.9,11.2,0,0
20120220,11.2,11.2,11.2,11.2,0,0
20120221,11.2,11.2,11,11.2,0,0
20120222,11.2,11.2,10.6,11.1,0,0
20120223,11.2,11.2,10.9,11.2,0,0
20120224,11.2,11.2,10.9,11,0,0
20120227,11,11,11,11,0,0
20120228,11,11,10.7,11,0,0
20120229,11,11.6,11,11.5,0,0
20120301,11.5,11.7,11.4,11.7,0,0
20120302,12,12.5,12,12.3,0,0
20120305,12.5,12.5,12.1,12.4,0,0
20120306,12.4,12.4,11.7,11.7,0,0
20120307,11.8,12.1,11.8,12.1,0,0
20120308,12.1,12.4,11.7,12,0,0
20120309,12.1,12.3,11.8,12.1,0,0
20120312,12.2,12.4,11.9,12.3,0,0
20120313,12.3,13.5,12.3,12.8,0,0
20120314,14,14,13,13.3,0,0
20120315,13.8,13.8,13.3,13.3,0,0
20120316,13.7,13.7,12.9,13.3,0,0
20120319,13.2,13.3,13,13.2,0,0
20120320,13.3,14.1,13.2,13.9,0,0
20120321,13.9,15.2,13.9,14.7,0,0
20120322,14.8,14.9,14.5,14.7,0,0
