Date,Open,High,Low,Close,Volume,OpenInt
20110706,47.18,47.18,47.18,47.18,0,0
20110707,46.51,47.85,46.51,47.18,0,0
20110708,46.64,48.66,46.64,48.53,0,0
20110711,46.71,48.46,46.3,48.33,0,0
20110712,47.11,47.11,47.11,47.11,0,0
20110713,44.62,47.92,44.62,47.92,0,0
20110714,47.92,47.92,46.24,46.24,0,0
20110715,47.18,47.18,45.5,47.18,0,0
20110718,46.24,46.24,43.81,45.5,0,0
20110719,43.88,45.29,43.88,45.29,0,0
20110720,44.89,44.89,44.62,44.82,0,0
20110721,43.94,45.36,43.88,45.36,0,0
20110722,45.5,45.56,45.5,45.56,0,0
20110725,45.56,45.56,44.21,44.21,0,0
20110726,44.28,44.48,44.28,44.48,0,0
20110727,44.08,45.29,43.88,43.88,0,0
20110728,43.94,44.15,43.81,44.15,0,0
20110729,44.15,44.15,43.81,43.81,0,0
20110801,43.81,43.88,43.07,43.88,0,0
20110802,43.34,43.34,43.14,43.14,0,0
20110803,40.1,43.14,40.1,40.44,0,0
20110804,39.16,41.65,37,37,0,0
20110805,33.09,38.96,33.09,37.74,0,0
20110808,37,37.07,34.04,34.1,0,0
20110809,34.1,34.1,30.8,32.89,0,0
20110810,35.12,35.12,27.84,27.84,0,0
20110811,33.09,33.09,30.33,31.68,0,0
20110812,33.03,37,31.68,37,0,0
20110816,34.37,35.99,33.7,35.99,0,0
20110817,35.05,35.99,33.77,34.71,0,0
20110818,33.9,34.64,32.62,34.64,0,0
20110819,31.34,34.64,31.34,33.63,0,0
20110822,32.02,33.7,32.02,33.36,0,0
20110824,32.76,33.63,32.76,33.63,0,0
20110825,32.76,32.76,32.76,32.76,0,0
20110826,32.55,32.76,32.55,32.55,0,0
20110829,32.55,33.63,30.33,32.96,0,0
20110830,31.34,32.89,31.27,31.61,0,0
20110831,31.14,31.95,30.46,31.95,0,0
20110901,32.42,32.96,31.95,32.55,0,0
20110902,32.22,32.28,30.8,32.22,0,0
20110905,30.8,32.22,30.8,31.48,0,0
20110906,31,31,28.85,29.66,0,0
20110907,29.66,31.48,29.66,29.66,0,0
20110908,31.48,31.48,29.66,29.66,0,0
20110909,29.93,29.93,28.65,29.93,0,0
20110912,29.52,29.52,29.12,29.12,0,0
20110913,29.39,30.6,27.09,30.6,0,0
20110914,29.32,30.6,27.77,29.66,0,0
20110915,29.39,29.39,29.32,29.39,0,0
20110916,29.39,30.6,29.39,30.26,0,0
20110919,29.52,29.66,28.04,29.66,0,0
20110920,28.31,29.66,28.31,28.38,0,0
20110921,29.66,30.13,29.66,29.66,0,0
20110922,28.98,29.18,28.98,29.18,0,0
20110923,27.03,29.52,26.96,28.98,0,0
20110926,28.91,29.66,28.91,29.18,0,0
20110927,29.12,30.13,28.31,30.13,0,0
20110928,30.06,30.13,29.59,30.13,0,0
20110929,29.99,30.26,29.99,30.26,0,0
20110930,29.66,30.33,28.91,28.91,0,0
20111003,28.44,30.26,28.44,30.26,0,0
20111004,28.58,28.58,28.44,28.44,0,0
20111005,27.9,29.99,27.9,29.99,0,0
20111006,30.26,30.33,29.99,30.33,0,0
20111007,28.44,30.4,28.44,30.4,0,0
20111010,30.33,30.33,30.33,30.33,0,0
20111011,28.98,35.05,28.98,34.71,0,0
20111012,35.65,36.4,33.5,34.85,0,0
20111013,34.91,34.91,32.76,34.24,0,0
20111014,33.97,35.05,33.9,33.9,0,0
20111017,34.04,35.05,33.63,33.63,0,0
20111018,33.7,33.7,33.7,33.7,0,0
20111019,34.71,34.98,33.7,33.7,0,0
20111021,34.37,34.37,34.37,34.37,0,0
20111024,34.37,34.85,33.09,34.64,0,0
20111026,33.7,34.64,33.7,33.7,0,0
20111027,33.7,34.37,33.09,33.7,0,0
20111028,33.16,33.7,33.09,33.7,0,0
20111031,33.7,33.7,33.7,33.7,0,0
20111102,33.03,33.7,32.76,33.7,0,0
20111103,33.03,33.57,33.03,33.57,0,0
