Date,Open,High,Low,Close,Volume,OpenInt
20070813,5.81,5.81,5.81,5.81,0,0
20070814,5.65,5.65,5.65,5.65,0,0
20070816,4.68,4.68,4.68,4.68,0,0
20070817,5.33,5.33,5.33,5.33,0,0
20070820,5.98,5.98,5.98,5.98,0,0
20070821,5.81,5.81,5.81,5.81,0,0
20070822,5.98,5.98,5.98,5.98,0,0
20070823,5.81,5.81,5.81,5.81,0,0
20070824,5.81,5.81,5.81,5.81,0,0
20070827,5.81,5.81,5.81,5.81,0,0
20070828,5.98,5.98,5.98,5.98,0,0
20070829,5.81,5.81,5.81,5.81,0,0
20070830,7.07,7.07,7.07,7.07,0,0
20070831,7.07,7.07,7.07,7.07,0,0
20070903,7.86,7.86,7.86,7.86,0,0
20070904,8.06,8.06,8.06,8.06,0,0
20070905,7.66,7.66,7.66,7.66,0,0
20070906,7.86,7.86,7.86,7.86,0,0
20070907,7.47,7.47,7.47,7.47,0,0
20070910,7.27,7.27,7.27,7.27,0,0
20070911,7.47,7.47,7.47,7.47,0,0
20070912,7.47,7.47,7.47,7.47,0,0
20070913,7.47,7.47,7.47,7.47,0,0
20070914,7.47,7.47,7.47,7.47,0,0
20070917,7.86,7.86,7.86,7.86,0,0
20070918,8.06,8.06,8.06,8.06,0,0
20070919,8.06,8.06,8.06,8.06,0,0
20070920,8.06,8.06,8.06,8.06,0,0
20070921,8.25,8.25,8.25,8.25,0,0
20070924,8.25,8.25,8.25,8.25,0,0
20070925,8.06,8.06,8.06,8.06,0,0
20070926,8.06,8.06,8.06,8.06,0,0
20070927,7.86,7.86,7.86,7.86,0,0
20070928,8.25,8.25,8.25,8.25,0,0
20071001,7.86,7.86,7.86,7.86,0,0
20071002,7.47,7.47,7.47,7.47,0,0
20071003,7.07,7.07,7.07,7.07,0,0
20071004,6.48,6.48,6.48,6.48,0,0
20071005,6.48,6.48,6.48,6.48,0,0
20071008,6.48,6.48,6.48,6.48,0,0
20071009,6.09,6.09,6.09,6.09,0,0
20071010,6.09,6.09,6.09,6.09,0,0
20071011,6.09,6.09,6.09,6.09,0,0
20071012,6.09,6.09,6.09,6.09,0,0
20071015,6.68,6.68,6.68,6.68,0,0
20071016,6.29,6.29,6.29,6.29,0,0
20071017,6.48,6.48,6.48,6.48,0,0
20071018,6.29,6.29,6.29,6.29,0,0
20071019,6.29,6.29,6.29,6.29,0,0
20071022,6.09,6.09,6.09,6.09,0,0
20071023,5.89,5.89,5.89,5.89,0,0
20071024,5.89,5.89,5.89,5.89,0,0
20071025,5.89,5.89,5.89,5.89,0,0
20071026,5.89,5.89,5.89,5.89,0,0
20071029,5.7,5.7,5.7,5.7,0,0
20071030,5.89,5.89,5.89,5.89,0,0
20071031,5.89,5.89,5.89,5.89,0,0
20071102,5.89,5.89,5.89,5.89,0,0
20071105,5.22,5.22,5.22,5.22,0,0
20071106,4.68,4.68,4.68,4.68,0,0
20071107,4.32,4.32,4.32,4.32,0,0
20071108,3.96,3.96,3.96,3.96,0,0
20071109,3.96,3.96,3.42,3.42,0,0
20071112,3.42,3.6,3.24,3.24,0,0
20071113,3.42,3.6,3.42,3.6,0,0
20071114,3.78,3.78,3.6,3.6,0,0
20071115,3.6,3.6,3.24,3.42,0,0
20071116,3.42,3.42,3.06,3.24,0,0
