Date,Open,High,Low,Close,Volume,OpenInt
20070813,2.1029,2.1029,2.1029,2.1029,0,0
20070814,2.1338,2.1338,2.1338,2.1338,0,0
20070816,2.0721,2.0721,2.0721,2.0721,0,0
20070817,2.0491,2.0491,2.0491,2.0491,0,0
20070820,2.0798,2.0798,2.0798,2.0798,0,0
20070821,2.0259,2.0259,2.0259,2.0259,0,0
20070822,2.1029,2.1029,2.1029,2.1029,0,0
20070823,2.1106,2.1106,2.1106,2.1106,0,0
20070824,2.1106,2.1106,2.1106,2.1106,0,0
20070827,2.1183,2.1183,2.1183,2.1183,0,0
20070828,2.1569,2.1569,2.1569,2.1569,0,0
20070829,2.1106,2.1106,2.1106,2.1106,0,0
20070830,2.126,2.126,2.126,2.126,0,0
20070831,2.1954,2.1954,2.1954,2.1954,0,0
20070903,2.2648,2.2648,2.2648,2.2648,0,0
20070904,2.2648,2.2648,2.2648,2.2648,0,0
20070905,2.2648,2.2648,2.2648,2.2648,0,0
20070906,2.2415,2.2415,2.2415,2.2415,0,0
20070907,2.2338,2.2338,2.2338,2.2338,0,0
20070910,2.203,2.203,2.203,2.203,0,0
20070911,2.2648,2.2648,2.2648,2.2648,0,0
20070912,2.2724,2.2724,2.2724,2.2724,0,0
20070913,2.3878,2.3878,2.3878,2.3878,0,0
20070914,2.3339,2.3339,2.3339,2.3339,0,0
20070917,2.3186,2.3186,2.3186,2.3186,0,0
20070918,2.3648,2.3648,2.3648,2.3648,0,0
20070919,2.3878,2.3878,2.3878,2.3878,0,0
20070920,2.4111,2.4111,2.4111,2.4111,0,0
20070921,2.3648,2.3648,2.3648,2.3648,0,0
20070924,2.2955,2.2955,2.2955,2.2955,0,0
20070925,2.2261,2.2261,2.2261,2.2261,0,0
20070926,2.2493,2.2493,2.2493,2.2493,0,0
20070927,2.2493,2.2493,2.2493,2.2493,0,0
20070928,2.3339,2.3339,2.3339,2.3339,0,0
20071001,2.3032,2.3032,2.3032,2.3032,0,0
20071002,2.2648,2.2648,2.2648,2.2648,0,0
20071003,2.2415,2.2415,2.2415,2.2415,0,0
20071004,2.3108,2.3108,2.3108,2.3108,0,0
20071005,2.4264,2.4264,2.4264,2.4264,0,0
20071008,2.4187,2.4187,2.4187,2.4187,0,0
20071009,2.3648,2.3648,2.3648,2.3648,0,0
20071010,2.3493,2.3493,2.3493,2.3493,0,0
20071011,2.3493,2.3493,2.3493,2.3493,0,0
20071012,2.3417,2.3417,2.3417,2.3417,0,0
20071015,2.3032,2.3032,2.3032,2.3032,0,0
20071016,2.3032,2.3032,2.3032,2.3032,0,0
20071017,2.3032,2.3032,2.3032,2.3032,0,0
20071018,2.3032,2.3032,2.3032,2.3032,0,0
20071019,2.3108,2.3108,2.3108,2.3108,0,0
20071022,2.2955,2.2955,2.2955,2.2955,0,0
20071023,2.3417,2.3417,2.3417,2.3417,0,0
20071024,2.4111,2.4111,2.4111,2.4111,0,0
20071025,2.4264,2.4264,2.4264,2.4264,0,0
20071026,2.4111,2.4111,2.4111,2.4111,0,0
20071029,2.4264,2.4264,2.4264,2.4264,0,0
20071030,2.4033,2.4033,2.4033,2.4033,0,0
20071031,2.3956,2.3956,2.3956,2.3956,0,0
20071102,2.3878,2.3878,2.3878,2.3878,0,0
20071105,2.4111,2.4111,2.4111,2.4111,0,0
