Date,Open,High,Low,Close,Volume,OpenInt
20131030,3387.52,3387.52,3387.52,3387.52,0,0
20131031,3347.87,3426.76,3347.87,3387.11,0,0
20131104,3380.85,3397.54,3366.24,3374.59,0,0
20131105,3366.24,3368.33,3347.46,3364.15,0,0
20131106,3333.26,3349.96,3330.76,3349.96,0,0
20131107,3259.81,3343.29,3259.81,3339.11,0,0
20131108,3339.11,3355.81,3339.11,3355.81,0,0
20131112,3339.11,3399.63,3331.18,3387.11,0,0
20131113,3372.09,3443.46,3366.24,3436.78,0,0
20131114,3377.09,3422.59,3366.65,3422.59,0,0
20131115,3381.69,3524.43,3381.69,3464.75,0,0
20131118,3464.33,3506.06,3447.63,3493.54,0,0
20131119,3460.15,3512.32,3460.15,3485.19,0,0
20131120,3485.19,3485.19,3443.46,3443.46,0,0
20131121,3436.78,3440.96,3401.72,3412.99,0,0
20131122,3401.72,3453.89,3401.72,3439.28,0,0
20131125,3424.67,3518.58,3424.67,3506.06,0,0
20131126,3489.79,3506.06,3468.5,3493.13,0,0
20131127,3456.4,3562,3456.4,3547.8,0,0
20131128,3547.8,3673.03,3547.8,3599.98,0,0
20131129,3602.07,3644.64,3602.07,3627.11,0,0
20131202,3627.11,3627.11,3577.02,3577.02,0,0
20131203,3605.41,3609.99,3506.06,3527.77,0,0
20131204,3547.8,3566.58,3506.49,3506.49,0,0
20131205,3535.28,3535.28,3485.19,3485.19,0,0
20131206,3504.81,3506.06,3476.85,3491.45,0,0
20131209,3506.49,3597.89,3506.49,3589.54,0,0
20131210,3597.89,3606.24,3585.37,3589.54,0,0
20131211,3597.89,3599.98,3552.81,3566.58,0,0
20131212,3568.26,3568.26,3464.33,3464.33,0,0
20131213,3464.33,3496.88,3460.15,3464.33,0,0
20131216,3464.75,3506.06,3464.75,3506.06,0,0
20131217,3518.58,3518.58,3405.89,3405.89,0,0
20131218,3405.89,3474.35,3405.89,3464.33,0,0
20131219,3466,3506.06,3394.62,3422.59,0,0
20131220,3464.33,3464.33,3407.57,3435.11,0,0
20131223,3443.46,3488.12,3402.13,3447.63,0,0
20131227,3454.31,3478.1,3446.38,3478.1,0,0
20131230,3485.19,3588.29,3485.19,3588.29,0,0
20140102,3554.9,3608.33,3551.56,3607.49,0,0
20140103,3607.49,3607.49,3570.34,3572.84,0,0
20140107,3571.59,3571.59,3501.05,3526.93,0,0
20140108,3501.48,3585.37,3485.19,3554.49,0,0
20140109,3583.28,3583.28,3535.28,3548.22,0,0
20140110,3547.8,3548.22,3474.76,3548.22,0,0
20140113,3515.67,3585.37,3515.67,3584.54,0,0
20140114,3560.32,3600.4,3548.22,3564.5,0,0
20140115,3589.54,3589.54,3564.5,3583.28,0,0
20140116,3585.37,3614.59,3577.02,3597.89,0,0
20140117,3602.07,3706.42,3602.07,3666.34,0,0
20140120,3666.34,3672.6,3615.84,3670.94,0,0
20140121,3673.44,3730.62,3673.44,3721.02,0,0
20140122,3731.46,3790.31,3710.59,3756.5,0,0
20140123,3777.37,3838.73,3756.5,3798.24,0,0
20140124,3779.87,3781.54,3719.35,3756.5,0,0
20140127,3735.63,3756.5,3662.17,3756.5,0,0
20140128,3725.61,3790.31,3714.76,3790.31,0,0
20140129,3798.24,3844.15,3765.26,3798.24,0,0
20140130,3760.68,3818.27,3760.68,3798.24,0,0
20140131,3798.24,3798.24,3771.95,3771.95,0,0
20140203,3758.59,3831.63,3758.59,3817.02,0,0
20140204,3788.64,3831.63,3756.91,3818.69,0,0
20140205,3830.79,3839.98,3805.75,3827.46,0,0
20140206,3839.98,3953.09,3839.98,3908.85,0,0
20140207,3935.14,3938.06,3890.48,3902.58,0,0
20140210,3892.99,3915.11,3892.99,3902.58,0,0
20140211,3902.58,3917.19,3894.24,3894.24,0,0
20140212,3887.98,3918.44,3873.37,3918.44,0,0
20140213,3910.93,3918.44,3860.85,3881.72,0,0
20140214,3902.17,3902.17,3860.85,3860.85,0,0
20140217,3845.4,3881.72,3814.93,3860.85,0,0
20140218,3860.85,3860.85,3778.21,3819.11,0,0
20140219,3794.07,3839.98,3787.8,3819.11,0,0
20140220,3816.18,3823.28,3798.24,3823.28,0,0
20140221,3823.28,3854.17,3823.28,3849.58,0,0
20140224,3852.5,3856.26,3787.8,3839.98,0,0
20140225,3817.02,3875.45,3802.41,3860.43,0,0
20140226,3855.84,3856.67,3798.24,3814.93,0,0
20140227,3791.56,3839.98,3787.8,3819.11,0,0
20140228,3798.24,3842.9,3798.24,3819.11,0,0
20140303,3673.03,3742.73,3558.66,3597.89,0,0
20140304,3593.71,3756.5,3593.71,3698.07,0,0
20140305,3756.5,3756.5,3698.48,3706.42,0,0
20140306,3710.59,3772.77,3710.59,3754.41,0,0
20140307,3753.99,3781.54,3735.63,3735.63,0,0
20140310,3698.9,3735.63,3673.03,3679.29,0,0
20140311,3677.2,3726.86,3677.2,3708.5,0,0
20140312,3680.11,3725.61,3678.86,3693.89,0,0
20140313,3683.46,3694.31,3673.03,3673.03,0,0
20140314,3673.03,3673.03,3543.63,3664.68,0,0
20140317,3664.68,3783.63,3649.65,3783.63,0,0
20140318,3777.37,3818.27,3777.37,3818.27,0,0
20140319,3818.27,3819.11,3766.94,3798.24,0,0
20140320,3806.59,3831.22,3783.63,3823.28,0,0
20140321,3823.28,3839.56,3771.52,3833.72,0,0
20140324,3776.12,3831.63,3776.12,3810.76,0,0
20140325,3819.11,3819.11,3789.89,3819.11,0,0
20140326,3798.24,3839.98,3798.24,3835.8,0,0
20140327,3839.98,3839.98,3780.29,3796.57,0,0
20140328,3796.57,3819.11,3777.37,3801.16,0,0
20140331,3809.92,3809.92,3777.37,3777.37,0,0
20140401,3777.37,3797.82,3766.94,3773.2,0,0
20140402,3798.24,3819.52,3779.46,3790.73,0,0
20140403,3798.24,3839.56,3781.54,3831.63,0,0
20140404,3839.98,3839.98,3813.26,3814.93,0,0
20140407,3814.93,3814.93,3798.24,3798.24,0,0
20140408,3798.24,3839.98,3798.24,3839.98,0,0
20140409,3859.17,3918.87,3859.17,3918.87,0,0
20140410,3914.69,3914.69,3842.06,3860.85,0,0
20140411,3855,3855,3794.48,3796.99,0,0
20140414,3757.34,3757.34,3693.89,3752.33,0,0
20140415,3697.23,3752.33,3693.89,3698.9,0,0
20140416,3673.44,3747.32,3652.16,3652.16,0,0
20140417,3673.03,3693.47,3673.03,3692.64,0,0
20140422,3692.64,3714.34,3675.53,3690.97,0,0
20140423,3690.97,3702.24,3652.16,3680.95,0,0
20140424,3673.03,3688.05,3652.16,3652.16,0,0
20140425,3631.29,3689.3,3631.29,3652.16,0,0
20140428,3680.95,3778.56,3631.29,3778.56,0,0
20140429,3774.26,3786.34,3599.56,3622.85,0,0
20140430,3580.58,3644.85,3577.99,3616.81,0,0
20140502,3593.09,3653.48,3593.09,3603.88,0,0
20140505,3593.09,3603.88,3545.64,3554.27,0,0
20140506,3577.56,3590.93,3554.27,3579.72,0,0
20140507,3580.14,3622.85,3562.9,3601.72,0,0
20140508,3584.46,3636.23,3584.46,3615.52,0,0
20140509,3629.75,3629.75,3563.33,3571.53,0,0
20140512,3580.14,3580.14,3373.11,3537.02,0,0
20140513,3580.14,3585.76,3540.03,3571.53,0,0
20140514,3573.68,3579.72,3528.39,3566.78,0,0
20140515,3623.28,3623.28,3584.46,3588.77,0,0
20140516,3625.5,3625.5,3533.24,3538.17,0,0
20140519,3582.06,3600.87,3493.38,3600.87,0,0
20140520,3623.26,3650.13,3596.39,3600.42,0,0
20140521,3638.94,3638.94,3574,3582.95,0,0
20140522,3599.97,3608.93,3576.24,3608.93,0,0
20140523,3609.83,3677.01,3609.83,3677.01,0,0
20140526,3685.96,3717.31,3681.04,3699.85,0,0
20140527,3715.07,3791.21,3694.92,3784.49,0,0
20140528,3784.49,3784.49,3708.36,3737.47,0,0
20140529,3748.66,3748.66,3662.23,3672.53,0,0
20140530,3681.48,3681.48,3637.15,3650.13,0,0
20140602,3672.53,3672.53,3637.15,3656.85,0,0
20140603,3672.53,3703.88,3672.53,3699.4,0,0
20140604,3672.53,3672.53,3627.74,3650.13,0,0
20140605,3650.13,3712.84,3630.43,3694.92,0,0
20140606,3716.87,3716.87,3676.11,3678.8,0,0
20140609,3672.53,3753.14,3672.53,3739.26,0,0
20140610,3728.96,3728.96,3728.96,3728.96,0,0
20140611,3728.96,3738.81,3672.53,3703.88,0,0
20140612,3697.16,3716.42,3632.22,3632.22,0,0
20140613,3634.46,3686.86,3627.74,3641.18,0,0
20140616,3640.28,3640.28,3569.97,3574,0,0
20140617,3444.11,3574,3417.24,3538.17,0,0
20140618,3574,3574,3502.78,3553.84,0,0
20140620,3575.79,3585.19,3538.17,3585.19,0,0
20140623,3596.39,3596.39,3540.41,3585.19,0,0
20140624,3567.28,3582.95,3553.84,3560.56,0,0
20140625,3538.61,3538.61,3511.29,3511.29,0,0
20140626,3502.78,3537.72,3497.86,3502.34,0,0
20140627,3495.62,3533.24,3495.62,3511.29,0,0
20140630,3533.69,3533.69,3501.44,3514.88,0,0
20140701,3484.87,3510.85,3470.99,3484.42,0,0
20140702,3484.42,3484.42,3441.87,3462.03,0,0
20140703,3459.79,3475.46,3444.11,3448.59,0,0
20140704,3439.64,3466.51,3426.65,3439.64,0,0
20140707,3439.64,3448.59,3420.38,3426.2,0,0
20140708,3420.38,3426.2,3361.26,3399.33,0,0
20140709,3391.71,3391.71,3350.51,3359.02,0,0
20140710,3352.3,3354.54,3300.8,3305.27,0,0
20140711,3291.84,3414.11,3291.84,3414.11,0,0
20140714,3425.75,3458.89,3369.32,3385.89,0,0
20140715,3385.89,3414.11,3381.41,3397.09,0,0
20140716,3425.75,3425.75,3381.41,3381.41,0,0
20140717,3367.98,3385.89,3336.18,3336.63,0,0
20140718,3316.47,3318.71,3269.44,3269.44,0,0
20140721,3273.48,3273.48,3207.19,3224.66,0,0
20140722,3224.66,3286.46,3190.62,3224.66,0,0
20140723,3224.66,3261.38,3178.53,3178.53,0,0
20140724,3178.53,3197.34,3170.91,3175.39,0,0
20140725,3202.26,3203.16,3180.32,3186.59,0,0
20140728,3198.23,3242.12,3198.23,3198.23,0,0
20140729,3198.68,3296.32,3198.68,3291.84,0,0
20140730,3304.83,3320.5,3235.85,3235.85,0,0
20140731,3242.57,3284.22,3190.17,3190.17,0,0
20140801,3179.87,3224.21,3179.87,3202.26,0,0
20140804,3251.08,3290.05,3227.35,3269.44,0,0
20140805,3269.44,3291.39,3224.66,3247.05,0,0
20140806,3273.92,3308.86,3230.93,3300.8,0,0
20140807,3272.13,3296.32,3269,3269.44,0,0
20140808,3264.97,3281.99,3244.81,3269.44,0,0
20140811,3295.87,3355.88,3278.4,3320.95,0,0
20140812,3332.15,3344.69,3320.95,3336.63,0,0
20140813,3341.1,3341.1,3283.78,3314.23,0,0
20140814,3335.73,3335.73,3306.17,3306.17,0,0
20140818,3336.18,3381.41,3305.72,3374.69,0,0
20140819,3376.93,3426.2,3323.19,3323.19,0,0
20140820,3336.63,3396.64,3336.63,3396.64,0,0
20140821,3396.64,3396.64,3273.92,3273.92,0,0
20140822,3280.64,3305.27,3280.64,3291.84,0,0
20140825,3291.84,3304.83,3278.4,3287.36,0,0
20140826,3278.4,3294.08,3269.44,3292.29,0,0
20140827,3292.29,3313.78,3292.29,3313.78,0,0
20140828,3273.92,3326.32,3269.44,3314.23,0,0
20140829,3291.84,3363.5,3291.84,3313.78,0,0
20140901,3354.54,3354.54,3291.84,3324.53,0,0
20140902,3349.17,3382.76,3314.68,3359.02,0,0
20140903,3380.96,3448.59,3370.22,3446.35,0,0
20140904,3446.35,3500.1,3426.2,3448.59,0,0
20140905,3456.65,3495.17,3385,3385,0,0
20140908,3419.03,3419.03,3385,3399.33,0,0
20140909,3399.33,3399.33,3381.41,3394.4,0,0
20140910,3393.06,3396.19,3363.5,3394.85,0,0
20140911,3394.85,3441.43,3394.85,3421.72,0,0
20140912,3435.16,3435.16,3363.5,3363.5,0,0
20140915,3381.41,3423.96,3362.15,3416.35,0,0
20140916,3426.2,3426.2,3403.81,3426.2,0,0
20140917,3435.16,3547.57,3435.16,3533.69,0,0
20140918,3533.69,3600.42,3492.93,3492.93,0,0
20140919,3497.86,3618.78,3497.86,3604.45,0,0
20140922,3609.38,3609.38,3578.92,3582.95,0,0
20140923,3582.51,3582.51,3516.67,3538.17,0,0
20140924,3538.17,3574,3527.87,3574,0,0
20140925,3582.95,3627.29,3573.55,3573.55,0,0
20140926,3560.56,3560.56,3515.77,3515.77,0,0
20140929,3505.92,3569.52,3505.92,3538.17,0,0
20140930,3540.41,3564.14,3533.69,3556.98,0,0
20141001,3559.66,3560.56,3534.14,3537.72,0,0
20141002,3509.95,3512.64,3470.99,3470.99,0,0
20141003,3474.12,3526.52,3474.12,3493.38,0,0
20141006,3497.86,3574.44,3497.86,3565.04,0,0
20141007,3569.52,3569.52,3547.57,3559.22,0,0
20141008,3546.68,3546.68,3515.33,3515.77,0,0
20141009,3556.98,3558.77,3529.21,3542.65,0,0
20141010,3495.62,3513.09,3426.2,3448.59,0,0
20141013,3432.92,3448.59,3363.95,3394.85,0,0
20141014,3381.41,3404.25,3381.41,3404.25,0,0
20141015,3406.05,3448.59,3406.05,3433.37,0,0
20141016,3432.92,3432.92,3338.86,3379.17,0,0
20141017,3381.86,3493.38,3381.86,3414.55,0,0
20141020,3448.59,3448.59,3403.81,3438.74,0,0
20141021,3430.68,3430.68,3346.48,3406.05,0,0
20141022,3417.24,3417.24,3381.41,3385.89,0,0
20141023,3385.89,3411.87,3382.31,3411.87,0,0
20141024,3403.81,3440.53,3395.3,3440.53,0,0
20141027,3448.59,3448.59,3390.82,3435.16,0,0
20141028,3435.16,3448.59,3426.65,3440.53,0,0
20141029,3441.87,3444.11,3423.06,3444.11,0,0
20141030,3448.59,3569.52,3421.72,3569.52,0,0
20141031,3565.04,3566.38,3509.95,3566.38,0,0
20141103,3561.46,3569.52,3520.25,3538.17,0,0
20141104,3553.84,3553.84,3507.71,3537.72,0,0
20141105,3525.63,3538.17,3506.82,3538.17,0,0
20141106,3498.75,3537.27,3498.75,3537.27,0,0
20141107,3515.77,3585.19,3515.77,3582.51,0,0
20141110,3582.06,3582.06,3538.17,3538.17,0,0
20141112,3533.69,3547.12,3476.36,3515.77,0,0
20141113,3521.15,3538.17,3515.77,3537.72,0,0
20141114,3537.27,3537.27,3448.59,3516.67,0,0
