Date,Open,High,Low,Close,Volume,OpenInt
20070813,57.037,57.037,57.037,57.037,0,0
20070814,58.574,58.574,58.574,58.574,0,0
20070816,55.491,55.491,55.491,55.491,0,0
20070817,61.657,61.657,61.657,61.657,0,0
20070820,64.741,64.741,64.741,64.741,0,0
20070821,60.889,60.889,60.889,60.889,0,0
20070822,60.889,60.889,60.889,60.889,0,0
20070823,61.657,61.657,61.657,61.657,0,0
20070824,62.435,62.435,62.435,62.435,0,0
20070827,61.657,61.657,61.657,61.657,0,0
20070828,59.731,59.731,59.731,59.731,0,0
20070829,60.509,60.509,60.509,60.509,0,0
20070830,59.306,59.306,59.306,59.306,0,0
20070831,61.315,61.315,61.315,61.315,0,0
20070903,27.824,27.824,27.824,27.824,0,0
20070904,26.269,26.269,26.269,26.269,0,0
20070905,23.926,23.926,23.926,23.926,0,0
20070906,24.046,24.046,24.046,24.046,0,0
20070907,23.12,23.12,23.12,23.12,0,0
20070910,22.648,22.648,22.648,22.648,0,0
20070911,23.083,23.083,23.083,23.083,0,0
20070912,23.12,23.12,23.12,23.12,0,0
20070913,22.815,22.815,22.815,22.815,0,0
20070914,23.009,23.009,23.009,23.009,0,0
20070917,22.509,22.509,22.509,22.509,0,0
20070918,22.889,22.889,22.889,22.889,0,0
20070919,23.889,23.889,23.889,23.889,0,0
20070920,27.898,27.898,27.898,27.898,0,0
20070921,29.546,29.546,29.546,29.546,0,0
20070924,28.796,28.796,28.796,28.796,0,0
20070925,27.898,27.898,27.898,27.898,0,0
20070926,29.463,29.463,29.463,29.463,0,0
20070927,29.435,29.435,29.435,29.435,0,0
20070928,27.778,27.778,27.778,27.778,0,0
20071001,26.213,26.213,26.213,26.213,0,0
20071002,25.667,25.667,25.667,25.667,0,0
20071003,24.704,24.704,24.704,24.704,0,0
20071004,25.824,25.824,25.824,25.824,0,0
20071005,26.361,26.361,26.361,26.361,0,0
20071008,26.287,26.287,26.287,26.287,0,0
20071009,26.361,26.361,26.361,26.361,0,0
