Date,Open,High,Low,Close,Volume,OpenInt
20070813,584.96,584.96,584.96,584.96,0,0
20070814,556,556,556,556,0,0
20070816,498.08,498.08,498.08,498.08,0,0
20070817,532.83,532.83,532.83,532.83,0,0
20070820,544.42,544.42,544.42,544.42,0,0
20070821,544.42,544.42,544.42,544.42,0,0
20070822,556,556,556,556,0,0
20070823,579.17,579.17,579.17,579.17,0,0
20070824,597.47,597.47,597.47,597.47,0,0
20070827,613.69,613.69,613.69,613.69,0,0
20070828,601.87,601.87,601.87,601.87,0,0
20070829,600.02,600.02,600.02,600.02,0,0
20070830,606.27,606.27,606.27,606.27,0,0
20070831,616.23,616.23,616.23,616.23,0,0
20070903,660.02,660.02,660.02,660.02,0,0
20070904,647.51,647.51,647.51,647.51,0,0
20070905,647.51,647.51,647.51,647.51,0,0
20070906,655.62,655.62,655.62,655.62,0,0
20070907,655.62,655.62,655.62,655.62,0,0
20070910,646.35,646.35,646.35,646.35,0,0
20070911,671.83,671.83,671.83,671.83,0,0
20070912,670.68,670.68,670.68,670.68,0,0
20070913,683.42,683.42,683.42,683.42,0,0
20070914,685.73,685.73,685.73,685.73,0,0
20070917,688.05,688.05,688.05,688.05,0,0
20070918,683.42,683.42,683.42,683.42,0,0
20070919,693.61,693.61,693.61,693.61,0,0
20070920,681.1,681.1,681.1,681.1,0,0
20070921,681.1,681.1,681.1,681.1,0,0
20070924,678.55,678.55,678.55,678.55,0,0
20070925,657.7,657.7,657.7,657.7,0,0
20070926,669.29,669.29,669.29,669.29,0,0
20070927,662.57,662.57,662.57,662.57,0,0
20070928,630.13,630.13,630.13,630.13,0,0
20071001,615.08,615.08,615.08,615.08,0,0
20071002,623.18,623.18,623.18,623.18,0,0
20071003,625.5,625.5,625.5,625.5,0,0
20071004,606.97,606.97,606.97,606.97,0,0
20071005,625.5,625.5,625.5,625.5,0,0
20071008,625.5,625.5,625.5,625.5,0,0
20071009,641.72,641.72,641.72,641.72,0,0
20071010,637.08,637.08,637.08,637.08,0,0
20071011,648.67,648.67,648.67,648.67,0,0
20071012,653.3,653.3,653.3,653.3,0,0
20071015,653.3,653.3,653.3,653.3,0,0
20071016,639.86,639.86,639.86,639.86,0,0
20071017,627.82,627.82,627.82,627.82,0,0
20071018,611.6,611.6,611.6,611.6,0,0
20071019,622.03,622.03,622.03,622.03,0,0
20071022,621.79,621.79,621.79,621.79,0,0
20071023,625.5,625.5,625.5,625.5,0,0
20071024,650.98,650.98,650.98,650.98,0,0
20071025,648.67,648.67,648.67,648.67,0,0
20071026,645.19,645.19,645.19,645.19,0,0
20071029,636.85,636.85,636.85,636.85,0,0
20071030,630.13,630.13,630.13,630.13,0,0
20071031,609.28,609.28,609.28,609.28,0,0
20071102,584.96,584.96,584.96,584.96,0,0
20071105,586.12,586.12,586.12,586.12,0,0
20071106,597.7,597.7,597.7,597.7,0,0
20071107,579.17,579.17,579.17,579.17,0,0
20071108,583.8,583.8,583.8,583.8,0,0
20071109,578.94,595.38,556.23,556.23,0,0
20071112,553.68,556.23,544.65,544.65,0,0
20071113,553.68,553.68,538.39,549.05,0,0
20071114,560.17,560.17,539.78,556,0,0
20071115,560.17,560.17,500.4,532.83,0,0
20071116,522.18,532.83,501.56,529.36,0,0
20071119,530.29,531.68,509.67,530.52,0,0
20071120,532.83,532.83,491.13,521.02,0,0
20071121,521.25,521.25,486.5,521.25,0,0
20071122,509.67,529.36,486.5,529.36,0,0
20071123,529.36,529.36,520.09,528.2,0,0
20071126,538.86,538.86,528.2,529.36,0,0
20071127,532.6,532.6,509.9,528.2,0,0
20071128,528.2,558.09,521.25,558.09,0,0
