Date,Open,High,Low,Close,Volume,OpenInt
20100219,863.6,872.3,772.7,872.3,0,0
20100222,854.5,854.5,754.5,834.3,0,0
20100223,690.9,853.3,690.9,853.3,0,0
20100224,800,845.5,763.6,843.8,0,0
20100225,781.8,881.8,781.8,881.8,0,0
20100226,800,881.8,800,881.8,0,0
20100301,845.5,963.6,845.5,938.6,0,0
20100302,900,900,854.5,891.2,0,0
20100303,800,815.4,727.3,815.4,0,0
20100304,736.4,824.9,736.4,824.9,0,0
20100305,790.9,796.4,745.5,796.4,0,0
20100308,745.5,768,736.4,768,0,0
20100309,763.6,768,718.2,768,0,0
20100310,709.1,758.5,681.8,758.5,0,0
20100311,727.3,796.4,709.1,796.4,0,0
20100312,754.5,796.4,727.3,796.4,0,0
20100315,727.3,853.3,727.3,853.3,0,0
20100316,818.2,910.2,818.2,910.2,0,0
20100317,863.6,900.7,836.4,900.7,0,0
20100318,790.9,872.3,772.7,872.3,0,0
20100319,772.7,900.7,772.7,900.7,0,0
20100322,772.7,843.8,745.5,843.8,0,0
20100323,754.5,805.9,745.5,805.9,0,0
20100324,736.4,796.4,736.4,796.4,0,0
20100325,772.7,796.4,736.4,796.4,0,0
20100326,727.3,786.9,709.1,786.9,0,0
20100329,763.6,763.6,727.3,758.5,0,0
20100330,754.5,796.4,754.5,796.4,0,0
20100331,736.4,786.9,690.9,786.9,0,0
20100401,690.9,758.5,690.9,758.5,0,0
20100406,709.1,768,709.1,768,0,0
20100407,754.5,777.5,745.5,777.5,0,0
20100408,745.5,777.5,745.5,777.5,0,0
20100409,754.5,786.9,754.5,786.9,0,0
20100412,754.5,796.4,754.5,796.4,0,0
20100413,736.4,754.5,700,730.1,0,0
20100414,754.5,786.9,754.5,786.9,0,0
20100415,709.1,796.4,709.1,796.4,0,0
20100420,700,796.4,700,796.4,0,0
20100421,745.5,777.5,745.5,777.5,0,0
20100422,718.2,824.9,718.2,824.9,0,0
20100423,727.3,824.9,727.3,824.9,0,0
20100426,736.4,768,736.4,768,0,0
20100427,709.1,745.5,709.1,745.5,0,0
20100428,745.5,777.5,745.5,777.5,0,0
20100429,781.8,815.4,781.8,815.4,0,0
20100430,781.8,815.4,781.8,815.4,0,0
20100505,718.2,805.9,718.2,805.9,0,0
20100506,718.2,796.4,718.2,796.4,0,0
20100507,663.6,796.4,663.6,796.4,0,0
20100512,1300,1462.4,1300,1462.4,0,0
20100517,1400,1462.4,1400,1462.4,0,0
20100518,1416.7,1433.3,1316.7,1375.3,0,0
20100519,1316.7,1366.7,1066.7,1066.7,0,0
20100525,40.8,40.8,40.8,40.8,0,0
20100526,35.7,39.8,32.7,37.8,0,0
20100527,33.2,35.2,33.2,35.2,0,0
20100528,34.7,34.7,34.7,34.7,0,0
20100601,31.6,34.7,31.6,34.7,0,0
20100604,31.6,33.2,31.6,33.2,0,0
20100607,33.2,33.2,33.2,33.2,0,0
20100608,33.2,33.2,33.2,33.2,0,0
20100609,34.2,34.2,33.7,33.7,0,0
20100610,31.6,31.6,31.1,31.1,0,0
20100611,31.6,33.7,31.6,33.2,0,0
20100615,31.6,33.7,31.6,33.7,0,0
20100617,33.2,33.7,33.2,33.7,0,0
20100622,31.6,33.7,30.6,33.7,0,0
20100623,32.7,33.2,32.7,33.2,0,0
20100624,30.6,33.2,30.6,33.2,0,0
20100629,32.7,33.2,32.7,33.2,0,0
20100630,32.7,32.7,32.1,32.2,0,0
20100701,32.1,32.7,27.6,32.7,0,0
20100706,27.6,32.7,27.6,32.7,0,0
20100709,30.6,32.7,30.6,32.7,0,0
20100713,28.1,31.1,28.1,31.1,0,0
20100714,28.1,30.1,28.1,29.6,0,0
20100715,27,29.6,27,29.6,0,0
20100716,32.1,32.1,31.6,31.7,0,0
20100720,30.6,30.6,30.6,30.6,0,0
20100723,30.6,30.6,26.5,29.6,0,0
20100727,29.6,29.6,29.6,29.6,0,0
20100729,29.6,29.6,29.6,29.6,0,0
20100802,26,30.1,26,29.6,0,0
20100803,28.6,29.6,28.6,29.6,0,0
20100804,26.9,26.9,26.5,26.5,0,0
20100805,28.1,29.6,28.1,29.6,0,0
20100806,29.6,29.6,26.5,26.5,0,0
20100809,26.5,29.1,26.5,26.5,0,0
20100811,26.5,26.5,26.5,26.5,0,0
20100812,29.6,29.6,29.6,29.6,0,0
20100813,29.6,29.6,29.6,29.6,0,0
20100817,28.1,28.1,28.1,28.1,0,0
20100818,28.1,28.1,26,26,0,0
20100823,725,725,637.5,643.7,0,0
20100825,637.5,643.7,637.5,643.7,0,0
20100830,725,732.1,725,732.1,0,0
20100902,637.5,643.7,637.5,643.7,0,0
20100903,650,656.3,650,656.3,0,0
20100906,712.5,719.4,712.5,719.4,0,0
20100907,637.5,643.7,637.5,643.7,0,0
20100908,712.5,732.1,712.5,732.1,0,0
20100909,775,775,725,732.1,0,0
20100913,725,795.2,725,795.2,0,0
20100915,725,732.1,725,732.1,0,0
20100916,787.5,795.2,787.5,795.2,0,0
20100917,787.5,795.2,787.5,795.2,0,0
20100921,800,807.8,800,807.8,0,0
20100923,862.5,870.9,862.5,870.9,0,0
20100924,737.5,845.7,725,845.7,0,0
20100927,837.5,845.7,837.5,845.7,0,0
20100929,862.5,870.9,862.5,870.9,0,0
20100930,725,845.7,725,845.7,0,0
20101001,787.5,795.2,787.5,795.2,0,0
20101006,637.5,795.2,637.5,795.2,0,0
20101011,650,795.2,650,795.2,0,0
20101015,775,782.6,775,782.6,0,0
20101018,775,775,762.5,769.9,0,0
20101019,712.5,750,662.5,669,0,0
20101020,662.5,700,612.5,669,0,0
20101021,637.5,650,612.5,618.5,0,0
20101022,650,662.5,625,631.1,0,0
20101026,662.5,662.5,650,656.3,0,0
20101027,662.5,675,625,656.3,0,0
20101028,637.5,681.6,625,681.6,0,0
20101029,675,681.6,637.5,681.6,0,0
20101102,687.5,687.5,625,669,0,0
20101103,662.5,687.5,662.5,681.6,0,0
20101104,687.5,687.5,625,656.3,0,0
20101105,650,694.2,650,694.2,0,0
20101108,687.5,694.2,687.5,694.2,0,0
20101109,675,694.2,650,694.2,0,0
20101110,687.5,725,675,681.6,0,0
20101112,700,706.8,700,706.8,0,0
20101115,712.5,757.3,712.5,757.3,0,0
20101116,725,757.3,725,757.3,0,0
20101117,700,732.1,700,732.1,0,0
20101118,737.5,812.5,737.5,807.8,0,0
20101119,787.5,875,787.5,820.4,0,0
20101122,875,921.4,812.5,921.4,0,0
20101123,900,1454.9,800,1454.9,0,0
20101125,1220,1302.9,1200,1302.9,0,0
20101126,1180,1411.5,1180,1411.5,0,0
20101129,1240,1324.6,1220,1324.6,0,0
20101130,1200,1281.2,1180,1281.2,0,0
20101201,1180,1259.5,1160,1259.5,0,0
20101202,1220,1368,1140,1368,0,0
20101203,1260,1260,1260,1260,0,0
20101206,1260,1260,1200,1200,0,0
20101207,1200,1200,1180,1200,0,0
20101208,1160,1160,1160,1160,0,0
20101210,1160,1160,1160,1160,0,0
20101213,1160,1160,1160,1160,0,0
20101214,1160,1200,1140,1200,0,0
20101215,1200,1346.3,1100,1346.3,0,0
20101216,1280,1500,1280,1454.9,0,0
20101217,1460,1606.9,1380,1606.9,0,0
20101220,1480,1480,1320,1433.2,0,0
20101221,1480,1628.6,1480,1628.6,0,0
20101222,1500,1500,1300,1476.6,0,0
20101223,1260,1389.8,1200,1389.8,0,0
20101228,1240,1302.9,1180,1302.9,0,0
20101229,1240,1368,1240,1368,0,0
20110103,1700,1954.4,1600,1954.4,0,0
20110104,1920,2300,1840,1889.2,0,0
20110105,1840,1840,1500,1715.5,0,0
20110107,1580,1780.6,1500,1780.6,0,0
20110110,1540,1650.3,1480,1650.3,0,0
20110111,1500,1520.1,1380,1520.1,0,0
20110112,1420,1476.6,1360,1476.6,0,0
20110113,1360,1476.6,1340,1476.6,0,0
20110114,1380,1476.6,1340,1476.6,0,0
20110117,1360,1672.1,1300,1672.1,0,0
20110118,1540,1760,1400,1606.9,0,0
20110119,1380,1476.6,1320,1476.6,0,0
20110120,1400,1433.2,1320,1433.2,0,0
20110121,1380,1454.9,1340,1454.9,0,0
20110124,1380,1541.8,1380,1541.8,0,0
20110125,1480,1480,1300,1433.2,0,0
20110126,1380,1454.9,1300,1454.9,0,0
20110127,1380,1476.6,1320,1476.6,0,0
20110128,1454.9,1454.9,1454.9,1454.9,0,0
20110131,1725,1725,1454.9,1454.9,0,0
20110201,1320,1411.5,1200,1411.5,0,0
20110202,1200,1302.9,1180,1302.9,0,0
