Date,Open,High,Low,Close,Volume,OpenInt
20070813,43.176,43.176,43.176,43.176,0,0
20070814,43.551,43.551,43.551,43.551,0,0
20070816,38.744,38.744,38.744,38.744,0,0
20070817,38.552,38.552,38.552,38.552,0,0
20070820,38.744,38.744,38.744,38.744,0,0
20070821,37.887,37.887,37.887,37.887,0,0
20070822,39.322,39.322,39.322,39.322,0,0
20070823,39.419,39.419,39.419,39.419,0,0
20070824,42.116,42.116,42.116,42.116,0,0
20070827,43.744,43.744,43.744,43.744,0,0
20070828,43.455,43.455,43.455,43.455,0,0
20070829,43.744,43.744,43.744,43.744,0,0
20070830,46.056,46.056,46.056,46.056,0,0
20070831,50.766,50.766,50.766,50.766,0,0
20070903,49.61,49.61,49.61,49.61,0,0
20070904,51.248,51.248,51.248,51.248,0,0
20070905,49.514,49.514,49.514,49.514,0,0
20070906,48.647,48.647,48.647,48.647,0,0
20070907,48.936,48.936,48.936,48.936,0,0
20070910,47.115,47.115,47.115,47.115,0,0
20070911,47.308,47.308,47.308,47.308,0,0
20070912,49.225,49.225,49.225,49.225,0,0
20070913,50.381,50.381,50.381,50.381,0,0
20070914,53.367,53.367,53.367,53.367,0,0
20070917,53.839,53.839,53.839,53.839,0,0
20070918,55.284,55.284,55.284,55.284,0,0
20070919,57.211,57.211,57.211,57.211,0,0
20070920,58.367,58.367,58.367,58.367,0,0
20070921,58.646,58.646,58.646,58.646,0,0
20070924,55.959,55.959,55.959,55.959,0,0
20070925,57.982,57.982,57.982,57.982,0,0
20070926,57.789,57.789,57.789,57.789,0,0
20070927,56.44,56.44,56.44,56.44,0,0
20070928,54.61,54.61,54.61,54.61,0,0
20071001,52.693,52.693,52.693,52.693,0,0
20071002,55.092,55.092,55.092,55.092,0,0
20071003,56.729,56.729,56.729,56.729,0,0
20071004,58.271,58.271,58.271,58.271,0,0
20071005,56.826,56.826,56.826,56.826,0,0
20071008,57.789,57.789,57.789,57.789,0,0
20071009,61.44,61.44,61.44,61.44,0,0
20071010,62.403,62.403,62.403,62.403,0,0
20071011,63.174,63.174,63.174,63.174,0,0
