Date,Open,High,Low,Close,Volume,OpenInt
20071213,2.23,2.23,2.23,2.23,0,0
20071214,2.42,2.42,1.91,2.03,0,0
20071217,1.91,1.91,1.73,1.73,0,0
20071218,1.73,1.86,1.65,1.76,0,0
20071219,1.81,2.13,1.78,2.08,0,0
20071220,2.18,2.22,1.83,1.83,0,0
20071221,1.98,1.98,1.85,1.92,0,0
20071227,1.81,1.95,1.76,1.81,0,0
20071228,1.78,1.78,1.73,1.78,0,0
20080102,1.91,1.91,1.69,1.72,0,0
20080103,1.65,1.68,1.6,1.66,0,0
20080104,1.63,1.65,1.55,1.59,0,0
20080107,1.5,1.57,1.5,1.57,0,0
20080108,1.52,1.6,1.52,1.6,0,0
20080109,1.49,1.52,1.45,1.51,0,0
20080110,1.46,1.46,1.38,1.44,0,0
20080111,1.32,1.38,1.32,1.35,0,0
20080114,1.25,1.25,1.25,1.25,0,0
20080115,1.25,1.28,1.24,1.28,0,0
20080116,1.1,1.19,1.09,1.13,0,0
20080117,1.15,1.25,1.13,1.16,0,0
20080118,1.16,1.18,1.09,1.14,0,0
20080121,1.14,1.14,1.04,1.07,0,0
20080122,1.03,1.11,1.03,1.11,0,0
20080123,1.06,1.14,1.06,1.14,0,0
20080124,1.19,1.25,1.13,1.2,0,0
20080125,1.22,1.22,1.19,1.2,0,0
20080128,1.22,1.22,1.21,1.21,0,0
20080129,1.28,1.28,1.14,1.15,0,0
20080130,1.24,1.24,1.14,1.14,0,0
20080131,1.14,1.15,1.11,1.12,0,0
20080201,1.14,1.16,1.14,1.16,0,0
20080204,1.2,1.23,1.17,1.2,0,0
20080205,1.17,1.21,1.16,1.16,0,0
20080206,1.12,1.14,1.12,1.14,0,0
20080207,1.14,1.14,1.13,1.13,0,0
20080208,1.14,1.16,1.14,1.15,0,0
20080211,1.17,1.17,1.13,1.17,0,0
20080212,1.13,1.19,1.13,1.19,0,0
20080213,1.15,1.18,1.15,1.15,0,0
20080214,1.15,1.19,1.15,1.19,0,0
20080215,1.17,1.17,1.16,1.16,0,0
20080218,1.13,1.18,1.13,1.18,0,0
20080219,1.18,1.18,1.15,1.18,0,0
20080220,1.15,1.15,1.13,1.15,0,0
20080221,1.18,1.21,1.15,1.21,0,0
20080222,1.16,1.18,1.16,1.18,0,0
20080225,1.23,1.23,1.16,1.16,0,0
20080226,1.14,1.14,1.09,1.09,0,0
20080227,1.09,1.09,1.09,1.09,0,0
20080228,1.11,1.11,1.06,1.06,0,0
20080229,1.06,1.06,1.04,1.04,0,0
20080303,1.04,1.04,0.95,0.95,0,0
20080304,0.98,1.09,0.95,1.09,0,0
20080305,1.13,1.13,1.12,1.12,0,0
20080306,1.15,1.15,1.1,1.13,0,0
20080307,1.1,1.13,1.1,1.13,0,0
20080310,1.23,1.23,1.1,1.1,0,0
20080311,1.21,1.21,1.21,1.21,0,0
20080312,1.22,1.22,1.18,1.18,0,0
20080313,1.12,1.18,1.12,1.12,0,0
20080314,1.1,1.19,1.1,1.19,0,0
20080317,1.11,1.21,1.1,1.21,0,0
20080318,1.22,1.22,1.13,1.13,0,0
20080319,1.13,1.16,1.11,1.16,0,0
20080320,1.16,1.16,1.14,1.16,0,0
20080325,1.22,1.22,1.21,1.21,0,0
20080326,1.21,1.21,1.21,1.21,0,0
20080327,1.1,1.21,1.1,1.21,0,0
20080328,1.11,1.2,1.1,1.13,0,0
20080331,1.13,1.13,1.13,1.13,0,0
20080401,1.14,1.15,1.14,1.15,0,0
20080402,1.15,1.17,1.1,1.17,0,0
20080403,1.16,1.16,1.16,1.16,0,0
20080404,1.15,1.17,1.1,1.17,0,0
20080407,1.1,1.15,1.1,1.15,0,0
20080408,1.07,1.1,1.07,1.1,0,0
20080409,1.14,1.14,1.14,1.14,0,0
20080414,1.04,1.06,1.04,1.06,0,0
20080415,1.05,1.05,1.04,1.04,0,0
20080416,0.99,0.99,0.97,0.97,0,0
20080418,1.05,1.05,0.92,0.92,0,0
20080421,0.97,0.97,0.97,0.97,0,0
20080423,0.83,0.94,0.83,0.94,0,0
20080424,0.97,0.97,0.97,0.97,0,0
20080425,0.83,0.96,0.83,0.96,0,0
20080430,0.95,0.95,0.95,0.95,0,0
20080505,0.85,0.96,0.85,0.96,0,0
20080506,0.87,0.92,0.82,0.92,0,0
20080507,0.91,0.91,0.85,0.91,0,0
20080508,0.82,0.82,0.82,0.82,0,0
20080509,0.77,0.9,0.77,0.86,0,0
20080512,0.82,0.84,0.81,0.84,0,0
20080513,0.81,0.85,0.81,0.85,0,0
20080514,0.89,0.89,0.89,0.89,0,0
20080515,0.88,0.89,0.86,0.88,0,0
20080516,0.9,0.96,0.86,0.96,0,0
20080519,0.96,1.08,0.96,1.08,0,0
20080520,1.12,1.12,1.11,1.11,0,0
20080523,1.09,1.11,1.09,1.09,0,0
20080527,0.88,1.08,0.88,1.08,0,0
20080528,0.97,1.08,0.97,1.08,0,0
