Date,Open,High,Low,Close,Volume,OpenInt
20071205,3.6194,3.6194,3.6194,3.6194,0,0
20071206,3.7646,3.7646,3.6097,3.7259,0,0
20071207,3.7356,3.7356,3.6969,3.7356,0,0
20071210,3.7549,3.7549,3.6582,3.7356,0,0
20071211,3.7549,3.8808,3.7549,3.8808,0,0
20071212,3.8808,4.084,3.8808,4.084,0,0
20071213,4.2195,4.2195,4.2195,4.2195,0,0
20071214,4.4711,4.4711,4.0743,4.2195,0,0
20071217,4.2001,4.2001,4.0453,4.1614,0,0
20071218,4.1614,4.1614,4.1614,4.1614,0,0
20071219,4.2485,4.2485,4.0743,4.0743,0,0
20071220,4.0453,4.0453,3.9098,3.9195,0,0
20071221,3.8904,4.084,3.8904,4.084,0,0
20071227,4.0743,4.2098,4.0743,4.2098,0,0
20071228,4.2485,4.2485,4.2485,4.2485,0,0
20080102,4.2582,4.2582,4.2485,4.2485,0,0
20080103,4.1614,4.1614,4.0743,4.1614,0,0
20080107,3.9195,4.113,3.9195,4.113,0,0
20080109,4.0163,4.0259,3.9775,4.0259,0,0
20080110,4.0259,4.0259,4.0259,4.0259,0,0
20080111,4.0259,4.0259,4.0259,4.0259,0,0
20080115,3.9291,4.0259,3.9291,3.9291,0,0
20080116,3.6969,3.6969,3.5614,3.5614,0,0
20080117,3.6969,3.6969,3.513,3.513,0,0
20080118,3.6001,4.1517,3.6001,4.1517,0,0
20080121,4.1517,4.1517,4.1517,4.1517,0,0
20080122,4.1033,4.1033,4.1033,4.1033,0,0
20080123,4.1033,4.3162,4.1033,4.3162,0,0
20080124,4.4227,4.4227,4.2582,4.3646,0,0
20080125,4.3162,4.3646,4.3162,4.3646,0,0
20080128,4.3646,4.4227,4.3646,4.4227,0,0
20080129,4.4711,4.5194,4.4711,4.5194,0,0
20080130,4.5194,4.5485,4.5194,4.5388,0,0
20080131,4.5776,4.5776,4.3549,4.5194,0,0
20080201,4.5776,4.6259,4.5776,4.6259,0,0
20080204,4.7324,4.7324,4.6259,4.6259,0,0
20080205,4.684,4.7324,4.6259,4.7324,0,0
20080206,4.6259,4.7324,4.6259,4.6259,0,0
20080207,4.6743,4.6743,4.6743,4.6743,0,0
20080208,4.6646,4.6743,4.4711,4.6259,0,0
20080211,4.6259,4.6259,4.6259,4.6259,0,0
20080212,4.5485,4.5485,4.5485,4.5485,0,0
20080213,4.4227,4.7324,4.4227,4.7324,0,0
20080214,4.7324,4.8388,4.7324,4.7324,0,0
20080215,4.6259,4.7324,4.6259,4.7324,0,0
20080218,4.6356,4.8388,4.5776,4.8388,0,0
20080219,4.7324,4.8388,4.7227,4.7324,0,0
20080220,4.7614,4.7614,4.7614,4.7614,0,0
20080221,4.8388,4.8388,4.7614,4.8388,0,0
20080222,4.8001,4.8678,4.8001,4.8678,0,0
20080226,4.8195,4.8485,4.8195,4.8485,0,0
20080227,4.7518,4.8388,4.7518,4.8388,0,0
20080228,4.8291,4.8291,4.7324,4.7324,0,0
20080229,4.6259,4.6259,4.5194,4.5194,0,0
20080303,4.4324,4.5291,4.4324,4.5291,0,0
20080304,4.5194,4.5291,2.7387,2.7387,0,0
20080307,2.7679,2.7775,2.7097,2.7097,0,0
20080310,2.7775,2.7775,2.7775,2.7775,0,0
20080311,2.7097,2.7679,2.7097,2.7679,0,0
20080312,2.7387,2.7679,2.7387,2.7387,0,0
20080313,2.7387,2.7679,2.7387,2.7679,0,0
20080314,2.7387,2.7679,2.7387,2.7679,0,0
20080317,2.6807,2.6807,2.6807,2.6807,0,0
20080318,2.7097,2.7097,2.7097,2.7097,0,0
20080319,2.6517,2.7097,2.5839,2.5839,0,0
20080320,2.642,2.642,2.5839,2.5839,0,0
20080325,2.6807,2.6807,2.6807,2.6807,0,0
20080326,2.7001,2.7001,2.6807,2.6807,0,0
20080327,2.642,2.6807,2.5162,2.6807,0,0
20080328,2.7097,2.7097,2.7097,2.7097,0,0
20080331,2.7097,2.7097,2.7097,2.7097,0,0
20080401,2.7097,2.7097,2.7097,2.7097,0,0
20080402,2.6807,2.6807,2.642,2.642,0,0
20080403,2.642,2.671,2.5839,2.5839,0,0
20080404,2.642,2.642,2.5452,2.5452,0,0
20080407,2.5839,2.613,2.5839,2.6033,0,0
20080408,2.5162,2.642,2.5162,2.642,0,0
20080409,2.642,2.642,2.6033,2.6033,0,0
20080410,2.642,2.7001,2.6033,2.7001,0,0
20080411,2.7001,2.7001,2.6807,2.6807,0,0
20080414,2.6807,2.6807,2.5839,2.5839,0,0
20080415,2.6807,2.6807,2.6807,2.6807,0,0
20080416,2.6807,2.6807,2.6807,2.6807,0,0
20080417,2.6807,2.6807,2.5839,2.5839,0,0
20080418,2.642,2.642,2.5937,2.5937,0,0
20080421,2.5839,2.5839,2.5839,2.5839,0,0
20080422,2.5645,2.5742,2.5162,2.5162,0,0
20080423,2.5452,2.5452,2.5452,2.5452,0,0
20080424,2.5162,2.5162,2.5162,2.5162,0,0
20080425,2.5162,2.5162,2.5162,2.5162,0,0
20080428,2.5162,2.5162,2.5162,2.5162,0,0
20080429,2.5839,2.5839,2.5452,2.5452,0,0
20080430,2.5162,2.5162,2.5162,2.5162,0,0
20080505,2.5162,2.5162,2.5162,2.5162,0,0
20080506,2.5162,2.5162,2.5162,2.5162,0,0
20080507,2.5452,2.5452,2.5452,2.5452,0,0
20080508,2.5162,2.5162,2.5162,2.5162,0,0
20080509,2.5452,2.5452,2.5162,2.5162,0,0
20080512,2.4581,2.4581,2.4485,2.4485,0,0
20080513,2.4485,2.4485,2.4485,2.4485,0,0
20080514,2.4872,2.4872,2.4872,2.4872,0,0
20080515,2.4195,2.4195,2.3903,2.3903,0,0
20080516,2.3903,2.4388,2.3903,2.4388,0,0
20080519,2.4388,2.4388,2.4388,2.4388,0,0
20080520,2.4388,2.4388,2.4388,2.4388,0,0
20080521,2.371,2.371,2.3323,2.3323,0,0
20080526,2.3323,2.3517,2.3323,2.3323,0,0
20080527,2.3323,2.3323,2.3033,2.3033,0,0
20080528,2.3613,2.3613,2.2549,2.3613,0,0
20080529,2.371,2.371,2.3613,2.371,0,0
20080530,2.371,2.371,2.371,2.371,0,0
20080602,2.313,2.313,2.313,2.313,0,0
20080603,2.2549,2.2549,2.2356,2.2549,0,0
20080604,2.2065,2.2065,2.2065,2.2065,0,0
20080605,2.2356,2.2356,2.2356,2.2356,0,0
20080606,2.2936,2.2936,2.2936,2.2936,0,0
20080609,2.3226,2.3226,2.2258,2.3226,0,0
20080610,2.2258,2.3226,2.2258,2.2258,0,0
20080611,2.1968,2.2356,2.1291,2.2356,0,0
20080612,2.1388,2.1388,2.1388,2.1388,0,0
20080613,2.1388,2.2161,2.1388,2.2161,0,0
20080616,2.2356,2.2356,2.2356,2.2356,0,0
20080617,2.2356,2.2356,2.2356,2.2356,0,0
20080618,2.1388,2.1388,2.1388,2.1388,0,0
20080619,2.1968,2.1968,2.1968,2.1968,0,0
20080620,2.1388,2.1388,2.1388,2.1388,0,0
20080623,2.1097,2.1388,2.0033,2.1388,0,0
20080624,2.2161,2.2453,2.2161,2.2453,0,0
20080626,2.3517,2.3517,2.3517,2.3517,0,0
20080627,2.3613,2.3613,2.3613,2.3613,0,0
20080630,2.4,2.4,2.371,2.371,0,0
20080701,2.3323,2.3323,2.3323,2.3323,0,0
20080702,2.3807,2.3807,2.3807,2.3807,0,0
20080703,2.3903,2.3903,2.3903,2.3903,0,0
20080704,2.4098,2.4098,2.4098,2.4098,0,0
20080707,2.4,2.4,2.3226,2.3226,0,0
20080708,2.3613,2.3613,2.3323,2.3323,0,0
20080709,2.3903,2.3903,2.3903,2.3903,0,0
20080710,2.3807,2.3903,2.3807,2.3903,0,0
20080711,2.342,2.342,2.342,2.342,0,0
20080714,2.371,2.371,2.371,2.371,0,0
20080715,2.3226,2.371,2.3226,2.371,0,0
20080716,2.371,2.371,2.371,2.371,0,0
20080717,2.3033,2.3033,2.3033,2.3033,0,0
20080718,2.3033,2.3033,2.3033,2.3033,0,0
20080721,2.3033,2.3033,2.3033,2.3033,0,0
20080722,2.2356,2.2356,2.0419,2.1871,0,0
20080723,2.1871,2.1871,2.1871,2.1871,0,0
20080724,2.1871,2.1871,2.1871,2.1871,0,0
20080725,2.1871,2.1871,2.1871,2.1871,0,0
20080728,2.1871,2.1871,2.1871,2.1871,0,0
20080729,2.1871,2.1871,2.1871,2.1871,0,0
20080730,2.1871,2.1871,2.1871,2.1871,0,0
20080731,2.1871,2.1871,2.1871,2.1871,0,0
20080801,2.1871,2.1871,2.1871,2.1871,0,0
20080804,2.1001,2.1871,2.1001,2.1871,0,0
20080805,2.1871,2.1871,2.1871,2.1871,0,0
20080806,2.1871,2.1871,2.1871,2.1871,0,0
20080807,2.1871,2.1871,2.1871,2.1871,0,0
20080808,2.1871,2.2065,2.1871,2.2065,0,0
20080811,2.2356,2.2356,2.2356,2.2356,0,0
20080812,2.2258,2.2258,2.1678,2.1678,0,0
20080813,2.1291,2.2646,2.1291,2.2646,0,0
20080814,2.2646,2.2646,2.2646,2.2646,0,0
20080818,2.2646,2.2646,2.2646,2.2646,0,0
20080819,2.1678,2.1678,2.1678,2.1678,0,0
20080820,2.2065,2.2065,2.2065,2.2065,0,0
20080821,2.1388,2.1388,2.1388,2.1388,0,0
20080822,2.1388,2.1388,2.1388,2.1388,0,0
20080825,2.0614,2.0614,2.0614,2.0614,0,0
20080827,2.0614,2.0904,2.0614,2.0904,0,0
20080829,2.1001,2.1001,2.0517,2.0517,0,0
20080902,2.0711,2.0711,2.0711,2.0711,0,0
20080904,2.0711,2.0711,2.0419,2.0711,0,0
20080909,2.0711,2.0711,2.0711,2.0711,0,0
20080910,2.0711,2.0711,2.0711,2.0711,0,0
20080911,2.0711,2.0711,2.0711,2.0711,0,0
20080912,2.0711,2.0711,2.0419,2.0419,0,0
20080915,1.9742,2.0129,1.9162,2.0129,0,0
20080916,1.9549,1.9549,1.9549,1.9549,0,0
20080917,2.0323,2.0323,2.0033,2.0033,0,0
20080918,2.0033,2.0033,2.0033,2.0033,0,0
20080922,2.0517,2.0517,2.0517,2.0517,0,0
20080923,2.0904,2.0904,2.0904,2.0904,0,0
20080924,2.1001,2.1388,2.0711,2.0711,0,0
20080925,2.1388,2.1388,2.0711,2.0711,0,0
20080929,2.0226,2.0226,2.0033,2.0033,0,0
20080930,1.8097,2.0711,1.8097,2.0711,0,0
20081001,2.1388,2.1388,2.0711,2.0711,0,0
20081002,2.1291,2.1291,2.0323,2.0323,0,0
20081003,2.1001,2.1001,2.1001,2.1001,0,0
20081006,2.0033,2.0033,2.0033,2.0033,0,0
20081007,1.9742,1.9936,1.9065,1.9936,0,0
20081009,1.9936,1.9936,1.9936,1.9936,0,0
20081010,1.9936,1.9936,1.9936,1.9936,0,0
20081013,2.0033,2.0033,1.9355,1.9355,0,0
20081014,2.0711,2.0711,2.0711,2.0711,0,0
20081015,1.9742,1.9742,1.9742,1.9742,0,0
20081016,1.9742,1.9742,1.9742,1.9742,0,0
20081017,1.9742,1.9742,1.9742,1.9742,0,0
20081020,1.9355,1.9355,1.9355,1.9355,0,0
20081021,1.9355,1.9355,1.9355,1.9355,0,0
20081022,1.8872,1.9355,1.8484,1.9355,0,0
20081023,1.8484,1.9355,1.7807,1.8677,0,0
20081024,1.7807,1.8387,1.713,1.8387,0,0
20081027,1.7613,1.8,1.7613,1.8,0,0
20081028,1.8387,1.8387,1.7323,1.7323,0,0
20081029,1.7323,1.7323,1.7323,1.7323,0,0
20081030,1.8,1.8,1.8,1.8,0,0
20081031,1.8,1.8,1.8,1.8,0,0
20081103,1.8,1.8,1.8,1.8,0,0
20081104,1.8,1.8,1.8,1.8,0,0
20081105,1.8,1.8,1.8,1.8,0,0
20081106,1.8,1.8,1.8,1.8,0,0
20081107,1.8,1.8,1.8,1.8,0,0
20081110,1.7613,1.7613,1.7613,1.7613,0,0
20081112,1.713,1.713,1.713,1.713,0,0
20081113,1.6742,1.7613,1.6742,1.7613,0,0
20081114,1.713,1.713,1.5388,1.5388,0,0
20081117,1.5,1.5,1.5,1.5,0,0
20081118,1.5,1.5,1.5,1.5,0,0
20081119,1.4323,1.4323,1.4323,1.4323,0,0
20081120,1.4323,1.4323,1.4323,1.4323,0,0
20081121,1.4613,1.4613,1.4323,1.4613,0,0
20081124,1.4613,1.4613,1.4613,1.4613,0,0
20081125,1.442,1.442,1.442,1.442,0,0
20081126,1.4033,1.4033,1.4033,1.4033,0,0
20081127,1.442,1.442,1.442,1.442,0,0
20081128,1.3743,1.3743,1.3743,1.3743,0,0
20081201,1.3452,1.3743,1.3452,1.3452,0,0
20081203,1.2968,1.2968,1.2291,1.2291,0,0
20081204,1.1904,1.1904,1.1904,1.1904,0,0
20081205,1.171,1.171,1.1419,1.1419,0,0
20081208,1.1614,1.1614,1.1614,1.1614,0,0
20081209,1.1323,1.1516,1.1323,1.1516,0,0
20081210,1.1614,1.1614,1.1614,1.1614,0,0
20081211,1.1614,1.1614,1.1614,1.1614,0,0
20081212,1.1516,1.1516,1.1516,1.1516,0,0
20081215,1.1614,1.1614,1.1323,1.1323,0,0
20081216,1.1032,1.1032,1.1032,1.1032,0,0
20081217,1.1323,1.1323,1.1323,1.1323,0,0
20081218,1.1129,1.1129,1.1129,1.1129,0,0
20081219,1.1323,1.1323,1.0742,1.1129,0,0
20081222,1.0839,1.1032,1.0839,1.1032,0,0
20081223,1.0839,1.0839,1.0839,1.0839,0,0
20081229,1.0452,1.0645,1.0452,1.0645,0,0
20081230,1.0645,1.0645,1.0645,1.0645,0,0
20090105,1.1032,1.1323,1.0645,1.0742,0,0
20090106,1.0645,1.0645,1.0355,1.0452,0,0
20090107,1.0645,1.0645,1.0162,1.0452,0,0
20090108,1.0645,1.0645,1.0645,1.0645,0,0
20090109,1.0549,1.0549,1.0549,1.0549,0,0
20090112,1.0549,1.0549,1.0549,1.0549,0,0
20090114,1.0742,1.0742,0.9872,1.0259,0,0
20090115,1.0355,1.0355,1.0259,1.0355,0,0
20090116,1.0355,1.0452,1.0355,1.0452,0,0
20090119,1.0549,1.1032,1.0259,1.0259,0,0
20090121,1.0452,1.0452,1.0452,1.0452,0,0
20090122,1.0452,1.0452,1.0355,1.0355,0,0
20090123,1.0355,1.0355,1.0355,1.0355,0,0
20090126,1.0065,1.0355,1.0065,1.0355,0,0
20090127,1.0162,1.0162,0.9968,1.0162,0,0
20090128,1.0162,1.0162,1.0162,1.0162,0,0
20090130,0.9872,0.9872,0.9872,0.9872,0,0
20090202,0.9872,0.9872,0.9872,0.9872,0,0
20090203,1.0065,1.0065,0.9872,0.9872,0,0
20090204,0.9872,0.9872,0.9581,0.9774,0,0
20090205,0.9872,0.9872,0.9872,0.9872,0,0
20090206,1.0162,1.0162,0.9677,0.9968,0,0
20090209,0.9581,0.9677,0.9581,0.9677,0,0
20090217,0.9774,0.9774,0.9774,0.9774,0,0
20090218,0.9387,0.9968,0.9387,0.9968,0,0
20090219,0.9968,0.9968,0.9968,0.9968,0,0
20090223,1.0065,1.0065,0.9774,0.9774,0,0
20090224,0.9387,0.9387,0.9387,0.9387,0,0
20090225,0.9387,0.9387,0.9387,0.9387,0,0
20090302,0.9774,0.9774,0.9774,0.9774,0,0
20090303,0.9774,0.9774,0.9774,0.9774,0,0
20090305,0.842,0.871,0.842,0.871,0,0
20090306,0.9,0.9,0.9,0.9,0,0
20090309,0.9,0.9,0.9,0.9,0,0
20090310,0.9,0.9,0.871,0.871,0,0
