Date,Open,High,Low,Close,Volume,OpenInt
20140905,1.6,1.6,1.6,1.6,0,0
20140908,1.62,1.62,1.54,1.56,0,0
20140909,1.56,1.63,1.56,1.63,0,0
20140910,1.62,1.63,1.61,1.63,0,0
20140911,1.63,1.66,1.59,1.59,0,0
20140912,1.58,1.58,1.57,1.58,0,0
20140915,1.61,1.61,1.58,1.61,0,0
20140916,1.61,1.68,1.61,1.64,0,0
20140917,1.66,1.67,1.64,1.66,0,0
20140918,1.66,1.66,1.65,1.65,0,0
20140919,1.67,1.67,1.65,1.65,0,0
20140922,1.67,1.67,1.64,1.64,0,0
20140923,1.64,1.64,1.59,1.62,0,0
20140924,1.59,1.66,1.54,1.65,0,0
20140925,1.65,1.66,1.65,1.66,0,0
20140926,1.67,1.76,1.66,1.71,0,0
20140929,1.75,1.75,1.72,1.74,0,0
20140930,1.76,1.76,1.73,1.74,0,0
20141001,1.75,1.75,1.69,1.72,0,0
20141002,1.73,1.73,1.69,1.71,0,0
20141003,1.71,1.73,1.7,1.73,0,0
20141006,1.73,1.74,1.72,1.72,0,0
20141007,1.72,1.74,1.72,1.74,0,0
20141008,1.74,1.74,1.7,1.7,0,0
20141009,1.71,1.73,1.68,1.69,0,0
20141010,1.69,1.69,1.65,1.68,0,0
20141013,1.69,1.69,1.65,1.68,0,0
20141014,1.69,1.69,1.63,1.67,0,0
20141015,1.69,1.69,1.62,1.64,0,0
20141016,1.65,1.65,1.62,1.64,0,0
20141017,1.67,1.67,1.62,1.64,0,0
20141020,1.64,1.64,1.61,1.63,0,0
20141021,1.63,1.7,1.63,1.67,0,0
20141022,1.67,1.67,1.66,1.66,0,0
20141023,1.68,1.68,1.63,1.67,0,0
20141024,1.65,1.67,1.65,1.67,0,0
20141027,1.67,1.67,1.63,1.65,0,0
20141028,1.64,1.65,1.64,1.65,0,0
20141029,1.65,1.67,1.63,1.65,0,0
20141030,1.67,1.71,1.63,1.71,0,0
20141031,1.71,1.78,1.7,1.71,0,0
20141103,1.74,1.74,1.69,1.69,0,0
20141104,1.73,1.73,1.69,1.71,0,0
20141105,1.73,1.74,1.71,1.72,0,0
20141106,1.71,1.74,1.71,1.73,0,0
20141107,1.74,1.74,1.69,1.73,0,0
20141110,1.74,1.74,1.7,1.72,0,0
20141112,1.72,1.74,1.72,1.72,0,0
20141113,1.72,1.72,1.65,1.72,0,0
20141114,1.73,1.73,1.69,1.72,0,0
20141117,1.72,1.72,1.65,1.69,0,0
20141118,1.69,1.79,1.66,1.77,0,0
20141119,1.76,1.79,1.74,1.76,0,0
20141120,1.76,1.78,1.71,1.76,0,0
20141121,1.67,1.76,1.67,1.74,0,0
20141124,1.74,1.74,1.71,1.72,0,0
20141125,1.74,1.74,1.16,1.16,0,0
20141126,1.16,1.21,1.16,1.19,0,0
20141127,1.2,1.2,1.18,1.19,0,0
20141128,1.19,1.2,1.17,1.19,0,0
20141201,1.2,1.2,1.16,1.18,0,0
20141202,1.2,1.2,1.18,1.19,0,0
20141203,1.2,1.2,1.16,1.18,0,0
20141204,1.18,1.22,1.16,1.2,0,0
20141205,1.21,1.26,1.2,1.26,0,0
20141208,1.26,1.3,1.26,1.3,0,0
20141209,1.31,1.31,1.24,1.27,0,0
20141210,1.28,1.28,1.25,1.26,0,0
20141211,1.23,1.24,1.21,1.24,0,0
20141212,1.23,1.25,1.21,1.23,0,0
20141215,1.23,1.23,1.17,1.18,0,0
20141216,1.19,1.19,1.11,1.13,0,0
20141217,1.16,1.18,1.12,1.12,0,0
20141218,1.12,1.2,1.11,1.2,0,0
20141219,1.2,1.2,1.16,1.19,0,0
20141222,1.21,1.21,1.17,1.17,0,0
20141223,1.17,1.19,1.16,1.17,0,0
20141229,1.17,1.2,1.17,1.2,0,0
20141230,1.2,1.2,1.15,1.2,0,0
