Date,Open,High,Low,Close,Volume,OpenInt
20111011,1.95,1.95,1.95,1.95,0,0
20111012,1.95,1.95,1.84,1.92,0,0
20111013,1.92,2,1.91,2,0,0
20111014,2.02,2.08,1.99,2.02,0,0
20111017,2.02,2.02,1.88,1.98,0,0
20111018,1.97,1.97,1.75,1.88,0,0
20111019,1.9,1.9,1.88,1.88,0,0
20111020,1.88,1.88,1.85,1.85,0,0
20111021,1.85,1.99,1.81,1.99,0,0
20111024,1.95,1.95,1.95,1.95,0,0
20111025,1.95,1.95,1.93,1.95,0,0
20111026,1.95,1.95,1.93,1.93,0,0
20111027,1.93,1.93,1.91,1.91,0,0
20111028,1.91,1.91,1.88,1.88,0,0
20111031,1.88,1.88,1.88,1.88,0,0
20111102,1.85,1.85,1.75,1.77,0,0
20111103,1.82,1.86,1.82,1.86,0,0
20111104,1.86,1.88,1.86,1.86,0,0
20111107,1.86,1.87,1.86,1.87,0,0
20111108,1.87,1.87,1.78,1.78,0,0
20111109,1.82,1.82,1.82,1.82,0,0
20111110,1.82,1.89,1.82,1.89,0,0
20111114,1.89,1.89,1.86,1.86,0,0
20111115,1.84,1.84,1.82,1.82,0,0
20111116,1.82,1.82,1.82,1.82,0,0
20111117,1.82,1.82,1.35,1.48,0,0
20111118,1.61,1.61,1.32,1.35,0,0
20111121,1.35,1.35,1.35,1.35,0,0
20111122,1.34,1.39,1.18,1.18,0,0
20111123,1.2,1.2,1.18,1.18,0,0
20111124,1.18,1.32,1.18,1.18,0,0
20111125,1.18,1.18,1.18,1.18,0,0
20111128,1.19,1.19,1.18,1.18,0,0
20111129,1.18,1.18,1.17,1.17,0,0
20111130,1.17,1.17,1.17,1.17,0,0
20111201,1.17,1.17,1.17,1.17,0,0
20111202,1.16,1.16,1.16,1.16,0,0
20111205,1.16,1.17,1.16,1.17,0,0
20111206,1.16,1.16,1.16,1.16,0,0
20111207,1.17,1.17,1.17,1.17,0,0
20111208,1.17,1.37,1.12,1.37,0,0
20111209,1.37,1.37,1.37,1.37,0,0
20111212,1.37,1.37,1.14,1.14,0,0
20111214,1.14,1.14,1.14,1.14,0,0
20111216,1.14,1.2,1.14,1.14,0,0
20111219,1.2,1.2,1.14,1.14,0,0
20111220,1.14,1.14,1.09,1.09,0,0
20111221,1.09,1.18,1.09,1.18,0,0
20111222,1.19,1.2,1.19,1.2,0,0
20111223,1.2,1.21,1.2,1.21,0,0
20111227,1.22,1.26,1.22,1.25,0,0
20111228,1.26,1.31,1.2,1.31,0,0
20111229,1.33,1.36,1.32,1.34,0,0
