Date,Open,High,Low,Close,Volume,OpenInt
20070813,95.35,95.35,95.35,95.35,0,0
20070814,91.94,91.94,91.94,91.94,0,0
20070816,74.92,74.92,74.92,74.92,0,0
20070817,88.54,88.54,88.54,88.54,0,0
20070820,95.35,95.35,95.35,95.35,0,0
20070821,91.94,91.94,91.94,91.94,0,0
20070822,95.35,95.35,95.35,95.35,0,0
20070823,95.35,95.35,95.35,95.35,0,0
20070824,95.35,95.35,95.35,95.35,0,0
20070827,95.35,95.35,95.35,95.35,0,0
20070828,91.94,91.94,91.94,91.94,0,0
20070829,95.35,95.35,95.35,95.35,0,0
20070830,95.35,95.35,95.35,95.35,0,0
20070831,95.35,95.35,95.35,95.35,0,0
20070903,115.78,115.78,115.78,115.78,0,0
20070904,112.37,112.37,112.37,112.37,0,0
20070905,102.16,102.16,102.16,102.16,0,0
20070906,108.97,108.97,108.97,108.97,0,0
20070907,108.97,108.97,108.97,108.97,0,0
20070910,102.16,102.16,102.16,102.16,0,0
20070911,105.56,105.56,105.56,105.56,0,0
20070912,105.56,105.56,105.56,105.56,0,0
20070913,102.16,102.16,102.16,102.16,0,0
20070914,105.56,105.56,105.56,105.56,0,0
20070917,108.97,108.97,108.97,108.97,0,0
20070918,119.18,119.18,119.18,119.18,0,0
20070919,119.18,119.18,119.18,119.18,0,0
20070920,122.59,122.59,122.59,122.59,0,0
20070921,119.18,119.18,119.18,119.18,0,0
20070924,115.78,115.78,115.78,115.78,0,0
20070925,112.37,112.37,112.37,112.37,0,0
20070926,115.78,115.78,115.78,115.78,0,0
20070927,112.37,112.37,112.37,112.37,0,0
20070928,112.37,112.37,112.37,112.37,0,0
20071001,112.37,112.37,112.37,112.37,0,0
20071002,112.37,112.37,112.37,112.37,0,0
20071003,108.97,108.97,108.97,108.97,0,0
20071004,112.37,112.37,112.37,112.37,0,0
20071005,108.97,108.97,108.97,108.97,0,0
20071008,108.97,108.97,108.97,108.97,0,0
20071009,105.56,105.56,105.56,105.56,0,0
20071010,108.97,108.97,108.97,108.97,0,0
20071011,105.56,105.56,105.56,105.56,0,0
20071012,108.97,108.97,108.97,108.97,0,0
20071015,108.97,108.97,108.97,108.97,0,0
20071016,108.97,108.97,108.97,108.97,0,0
20071017,108.97,108.97,108.97,108.97,0,0
20071018,105.56,105.56,105.56,105.56,0,0
20071019,108.97,108.97,108.97,108.97,0,0
20071022,105.56,105.56,105.56,105.56,0,0
20071023,105.56,105.56,105.56,105.56,0,0
20071024,102.16,102.16,102.16,102.16,0,0
20071025,102.16,102.16,102.16,102.16,0,0
20071026,102.16,102.16,102.16,102.16,0,0
20071029,98.75,98.75,98.75,98.75,0,0
20071030,98.75,98.75,98.75,98.75,0,0
20071031,102.16,102.16,102.16,102.16,0,0
20071102,98.75,98.75,98.75,98.75,0,0
20071105,98.75,98.75,98.75,98.75,0,0
20071106,98.75,98.75,98.75,98.75,0,0
20071107,88.54,88.54,88.54,88.54,0,0
20071108,88.54,88.54,88.54,88.54,0,0
20071109,88.54,88.54,85.13,85.13,0,0
20071112,85.13,88.54,85.13,88.54,0,0
20071113,88.54,91.94,85.13,91.94,0,0
20071114,91.94,95.35,88.54,88.54,0,0
20071115,88.54,91.94,81.73,85.13,0,0
20071116,81.73,85.13,78.32,81.73,0,0
20071119,81.73,81.73,78.32,81.73,0,0
20071120,78.32,81.73,74.92,78.32,0,0
20071121,71.51,71.51,71.51,71.51,0,0
20071122,71.51,78.32,68.11,78.32,0,0
20071123,81.73,85.13,78.32,81.73,0,0
20071126,81.73,81.73,74.92,78.32,0,0
20071127,74.92,78.32,74.92,78.32,0,0
20071128,78.32,78.32,74.92,78.32,0,0
20071129,81.73,81.73,78.32,78.32,0,0
20071130,78.32,81.73,78.32,81.73,0,0
20071203,78.32,81.73,78.32,81.73,0,0
20071204,81.73,81.73,74.92,78.32,0,0
20071205,78.32,85.13,74.92,81.73,0,0
20071206,85.13,85.13,81.73,81.73,0,0
20071207,81.73,85.13,78.32,85.13,0,0
20071210,81.73,98.75,81.73,95.35,0,0
20071211,98.75,98.75,91.94,91.94,0,0
20071212,88.54,91.94,85.13,88.54,0,0
20071213,88.54,88.54,85.13,85.13,0,0
20071214,81.73,85.13,81.73,85.13,0,0
20071217,81.73,85.13,74.92,78.32,0,0
20071218,78.32,78.32,74.92,74.92,0,0
20071219,74.92,74.92,71.51,71.51,0,0
