Date,Open,High,Low,Close,Volume,OpenInt
20080207,7.3539,7.3539,7.3539,7.3539,0,0
20080208,7.3539,7.4411,7.3539,7.4411,0,0
20080211,7.4886,7.5916,7.4886,7.5757,0,0
20080212,7.5838,8.503,7.5838,8.503,0,0
20080213,8.717,9.3114,8.717,9.1771,0,0
20080214,9.3114,9.4858,8.7803,8.8517,0,0
20080215,8.7882,8.7882,3.566,3.566,0,0
20080218,3.8196,3.9464,3.7721,3.78,0,0
20080219,3.78,3.78,3.6294,3.7006,0,0
20080220,3.5977,3.6611,3.5502,3.5502,0,0
20080221,3.6611,3.6611,3.5502,3.6294,0,0
20080222,3.6611,3.6611,3.5105,3.5502,0,0
20080225,3.6294,3.6294,3.3045,3.3441,0,0
20080226,3.3759,3.5105,3.2967,3.2967,0,0
20080227,3.2728,3.3917,3.2728,3.3917,0,0
20080228,3.4392,3.4392,3.2569,3.2728,0,0
20080229,3.2173,3.249,3.1778,3.1857,0,0
20080303,3.1064,3.1064,2.9638,3.0192,0,0
20080304,2.948,3.0192,2.948,2.9559,0,0
20080305,2.9559,3.162,2.9559,3.0906,0,0
20080306,3.1301,3.1778,3.0748,3.146,0,0
20080307,3.0271,3.1857,3.0034,3.1857,0,0
20080310,3.1698,3.2967,3.0827,3.1857,0,0
20080311,3.1936,3.1936,3.162,3.162,0,0
20080312,3.2331,3.2331,3.162,3.1857,0,0
20080313,3.1698,3.1857,3.1381,3.1381,0,0
20080314,3.1857,3.2569,3.1142,3.162,0,0
20080317,3.0192,3.1222,3.0192,3.1222,0,0
20080318,3.1222,3.162,3.0271,3.1142,0,0
20080319,3.154,3.154,3.043,3.1381,0,0
20080320,3.051,3.1142,3.051,3.1142,0,0
20080325,3.2173,3.2173,3.1381,3.1698,0,0
20080326,3.1698,3.1698,3.1222,3.1222,0,0
20080327,3.1222,3.1857,3.1222,3.1778,0,0
20080328,3.1857,3.2015,3.1222,3.2015,0,0
20080331,3.1857,3.1857,3.1857,3.1857,0,0
20080401,3.1857,3.1857,3.1222,3.1301,0,0
20080402,3.3441,3.3441,3.146,3.1778,0,0
20080403,3.2015,3.2015,3.154,3.154,0,0
20080404,3.3045,3.3045,3.154,3.1857,0,0
20080407,3.154,3.2173,3.154,3.1778,0,0
20080408,3.1698,3.1698,3.1222,3.1222,0,0
20080409,3.1222,3.154,3.0984,3.1301,0,0
20080410,3.1142,3.1301,3.1142,3.1222,0,0
20080411,3.1222,3.1301,3.059,3.1222,0,0
20080414,3.059,3.1064,3.0271,3.1064,0,0
20080415,3.0271,3.059,3.0271,3.051,0,0
20080416,3.051,3.059,2.9954,3.051,0,0
20080417,3.051,3.059,3.0271,3.051,0,0
20080418,3.051,3.0668,3.0271,3.0668,0,0
20080421,2.9717,3.059,2.9717,3.0271,0,0
20080422,2.9717,2.9717,2.8687,2.9003,0,0
20080423,2.8528,2.8528,2.7102,2.8052,0,0
20080424,2.7657,2.9241,2.7657,2.7894,0,0
20080425,2.7973,2.8687,2.7973,2.8687,0,0
20080428,2.9241,2.9241,2.8687,2.9241,0,0
20080429,2.8924,3.0192,2.8924,3.0192,0,0
20080430,3.043,3.059,3.043,3.051,0,0
20080505,3.0668,3.4075,3.0668,3.3441,0,0
20080506,3.3679,3.3679,3.2569,3.2887,0,0
20080507,3.2728,3.2967,2.8924,2.8924,0,0
20080508,2.8687,2.8924,2.8528,2.8845,0,0
20080509,2.9082,2.9082,2.8132,2.8687,0,0
20080512,2.8052,2.8845,2.8052,2.8607,0,0
20080513,2.8528,2.8687,2.8528,2.8528,0,0
20080514,2.8528,2.8607,2.845,2.8607,0,0
20080515,2.845,2.8528,2.8132,2.8291,0,0
20080516,2.8211,2.8291,2.7815,2.8211,0,0
20080519,2.7418,2.8052,2.5517,2.7022,0,0
20080520,2.7022,2.734,2.6468,2.7022,0,0
20080521,2.6388,2.7022,2.6388,2.6705,0,0
20080523,2.6943,2.6943,2.6705,2.6864,0,0
20080526,2.7022,2.7022,2.6547,2.6547,0,0
20080527,2.7022,2.7022,2.5833,2.5992,0,0
20080528,2.6547,2.6547,2.5913,2.631,0,0
20080529,2.5833,2.631,2.5833,2.5833,0,0
20080530,2.5833,2.631,2.5833,2.631,0,0
20080602,2.6547,2.6785,2.6547,2.6547,0,0
20080603,2.631,2.6705,2.631,2.6388,0,0
20080604,2.6864,2.6864,2.5833,2.623,0,0
20080605,2.6705,2.6705,2.5992,2.6547,0,0
