Date,Open,High,Low,Close,Volume,OpenInt
20111010,0.8696,0.8696,0.8696,0.8696,0,0
20111011,0.8775,0.9091,0.7985,0.8064,0,0
20111012,0.8221,0.8221,0.751,0.8064,0,0
20111013,0.7985,0.8221,0.7985,0.8221,0,0
20111014,0.8221,0.8855,0.8143,0.8538,0,0
20111017,0.9013,0.9013,0.8459,0.8696,0,0
20111018,0.838,0.8538,0.8064,0.8459,0,0
20111019,0.8302,0.8538,0.8302,0.8459,0,0
20111020,0.8221,0.8538,0.8143,0.8143,0,0
20111021,0.8143,0.8459,0.8064,0.8459,0,0
20111024,0.8459,0.8934,0.7748,0.8934,0,0
20111025,0.8617,0.9013,0.8617,0.8934,0,0
20111026,0.9013,0.9329,0.8934,0.9013,0,0
20111027,0.9329,0.9803,0.9329,0.9487,0,0
20111028,0.9645,0.9724,0.9013,0.9566,0,0
20111031,0.9803,0.9803,0.9171,0.9487,0,0
20111102,0.8855,0.9724,0.8855,0.9645,0,0
20111103,0.9487,0.9961,0.9487,0.9882,0,0
20111104,0.9882,1.0356,0.9724,1.0356,0,0
20111107,1.004,1.0673,1.004,1.0594,0,0
20111108,1.0356,1.0752,1.0356,1.0673,0,0
20111109,1.0752,1.0752,1.0356,1.0436,0,0
20111110,1.004,1.0752,1.004,1.0752,0,0
20111114,1.0752,1.0752,1.0199,1.0752,0,0
20111115,1.0673,1.0673,1.0199,1.0594,0,0
20111116,1.0436,1.0594,0.8934,0.8934,0,0
20111117,0.8934,0.9249,0.8934,0.9091,0,0
20111118,0.8934,0.9249,0.8934,0.9091,0,0
20111121,0.8775,0.9171,0.8696,0.9091,0,0
20111122,0.8775,0.9171,0.8775,0.9091,0,0
20111123,0.8775,0.9249,0.8775,0.8855,0,0
20111124,0.8302,0.9249,0.8302,0.9091,0,0
20111125,0.8617,0.9171,0.8617,0.9171,0,0
20111128,0.9249,0.9329,0.9013,0.9329,0,0
20111129,0.9171,0.9407,0.9171,0.9407,0,0
20111130,0.9091,0.9487,0.9091,0.9487,0,0
20111201,0.8538,0.9487,0.8538,0.9171,0,0
20111202,0.9487,0.9487,0.9091,0.9091,0,0
20111205,0.9407,0.9407,0.8934,0.9249,0,0
20111206,0.9329,0.9329,0.9329,0.9329,0,0
20111207,0.9407,1.0119,0.9091,1.0119,0,0
20111208,0.9566,1.0199,0.9566,1.0199,0,0
20111209,0.9803,1.0119,0.9803,1.0119,0,0
20111212,1.004,1.0119,0.9645,1.0119,0,0
20111213,0.9645,1.0119,0.9645,1.0119,0,0
20111214,1.0119,1.0119,0.9645,1.004,0,0
20111215,1.004,1.0119,1.004,1.0119,0,0
20111216,0.9724,1.0119,0.9645,1.0119,0,0
20111219,0.9961,0.9961,0.9645,0.9803,0,0
20111221,0.9724,1.0119,0.9566,1.004,0,0
20111222,0.9645,1.0199,0.9645,1.0199,0,0
20111223,1.0199,1.0752,1.0199,1.0594,0,0
20111227,1.0594,1.1147,1.0594,1.0988,0,0
20111228,1.1068,1.1779,1.0988,1.1542,0,0
20111229,1.1464,1.1542,1.0988,1.1147,0,0
20111230,1.1072,1.1442,1.0888,1.1442,0,0
20120102,1.1147,1.1621,1.0594,1.1384,0,0
20120103,1.1306,1.1384,1.0988,1.0988,0,0
20120104,1.1147,1.1147,1.0436,1.1068,0,0
20120105,1.0594,1.0594,1.004,1.0356,0,0
20120109,1.0356,1.0356,0.9803,1.0356,0,0
20120110,1.004,1.0594,1.004,1.0119,0,0
20120111,1.0514,1.091,1.0514,1.091,0,0
20120112,1.091,1.1147,0.9645,0.9645,0,0
20120113,0.9882,1.0199,0.9803,1.0119,0,0
20120116,1.0119,1.0119,1.0119,1.0119,0,0
20120117,1.004,1.0436,1.004,1.0436,0,0
20120119,1.0514,1.0514,1.0119,1.0356,0,0
20120120,1.0356,1.0514,1.0119,1.0514,0,0
20120123,1.0119,1.0514,0.9803,1.0277,0,0
20120124,0.9961,0.9961,0.9961,0.9961,0,0
20120125,0.9961,0.9961,0.9961,0.9961,0,0
20120126,0.9961,1.0199,0.9645,1.0199,0,0
20120127,1.0199,1.0199,0.9803,1.0119,0,0
20120130,1.0119,1.0119,0.9803,0.9803,0,0
20120131,0.9781,0.9873,0.9319,0.9873,0,0
20120201,0.9566,0.9724,0.9566,0.9724,0,0
20120202,0.9645,0.9645,0.9487,0.9566,0,0
20120203,0.9645,0.9645,0.9407,0.9487,0,0
20120206,0.9171,0.9566,0.9171,0.9566,0,0
20120207,0.9487,0.9487,0.9329,0.9329,0,0
20120208,0.9487,0.9566,0.9329,0.9329,0,0
20120209,0.9329,0.9566,0.9329,0.9487,0,0
20120213,0.9329,0.9487,0.9249,0.9487,0,0
20120214,0.9171,0.9487,0.9171,0.9487,0,0
20120215,0.9249,0.9645,0.9249,0.9487,0,0
20120216,0.9329,0.9961,0.9329,0.9961,0,0
20120217,0.9961,1.0119,0.9961,1.0119,0,0
20120220,1.0119,1.0199,1.004,1.0119,0,0
20120221,1.0119,1.0277,1.004,1.0277,0,0
20120222,1.0199,1.0277,1.0119,1.0119,0,0
20120223,1.0356,1.0436,1.0199,1.0436,0,0
20120224,1.0594,1.1147,1.0594,1.0673,0,0
20120227,1.0831,1.1306,1.0831,1.1226,0,0
20120228,1.1226,1.1621,1.1226,1.1621,0,0
20120229,1.1545,1.163,1.0866,1.163,0,0
20120301,1.1621,1.2096,1.1384,1.1542,0,0
20120302,1.1306,1.17,1.1147,1.1542,0,0
20120305,1.1306,1.1542,1.1306,1.1542,0,0
20120306,1.1068,1.1464,1.0831,1.1464,0,0
20120307,1.0594,1.1306,1.0594,1.1306,0,0
20120308,1.1306,1.2017,1.1068,1.1464,0,0
20120309,1.1542,1.1858,1.1306,1.1858,0,0
20120312,1.1779,1.1858,1.1226,1.1858,0,0
20120313,1.1779,1.1858,1.1384,1.1858,0,0
20120314,1.1542,1.1542,1.1542,1.1542,0,0
20120315,1.1858,1.1858,1.1384,1.1621,0,0
20120316,1.1779,1.1938,1.0831,1.1621,0,0
20120319,1.1147,1.1621,1.1147,1.1542,0,0
20120320,1.1384,1.1542,1.1384,1.1542,0,0
20120321,1.17,1.1779,1.1621,1.1779,0,0
20120322,1.1542,1.1779,1.1226,1.1779,0,0
20120323,1.17,1.17,1.17,1.17,0,0
20120326,1.17,1.1938,1.091,1.091,0,0
20120327,1.0514,1.1147,1.0436,1.1147,0,0
20120328,1.1147,1.1306,1.0988,1.0988,0,0
20120329,1.1306,1.1542,1.0988,1.1542,0,0
20120330,1.1534,1.2272,1.1534,1.1811,0,0
20120402,1.2096,1.2096,1.1542,1.2017,0,0
20120403,1.2017,1.2017,1.1621,1.1938,0,0
20120404,1.1858,1.1858,1.1621,1.1621,0,0
20120405,1.1464,1.17,1.1464,1.1621,0,0
20120410,1.1464,1.2254,1.1147,1.1779,0,0
20120411,1.1384,1.17,1.1226,1.1621,0,0
20120412,1.1621,1.1858,1.1306,1.1384,0,0
20120413,1.1306,1.1779,1.1306,1.17,0,0
20120416,1.17,1.1779,1.1384,1.1779,0,0
20120417,1.1779,1.2333,1.1779,1.2333,0,0
20120418,1.2333,1.2965,1.2333,1.2807,0,0
20120419,1.2096,1.2887,1.2096,1.2254,0,0
20120420,1.1938,1.2649,1.1779,1.2333,0,0
20120423,1.2492,1.2492,1.17,1.17,0,0
20120424,1.0514,1.1147,1.0514,1.1147,0,0
20120425,1.1306,1.1384,1.1147,1.1384,0,0
20120426,1.1384,1.1384,1.091,1.1226,0,0
20120427,1.091,1.1226,1.091,1.1147,0,0
20120502,1.1147,1.1147,1.1147,1.1147,0,0
20120504,1.1147,1.2017,1.1147,1.1779,0,0
20120507,1.1779,1.1779,1.1621,1.1621,0,0
20120508,1.2017,1.2017,1.2017,1.2017,0,0
20120509,1.1384,1.1384,1.1384,1.1384,0,0
20120510,1.1464,1.1464,1.1147,1.1147,0,0
20120511,1.091,1.1779,1.091,1.1779,0,0
20120514,1.1858,1.1858,1.1779,1.1858,0,0
20120515,1.1779,1.2492,1.1779,1.2333,0,0
20120516,1.2728,1.3439,1.2017,1.2175,0,0
20120517,1.1779,1.2411,1.1621,1.2175,0,0
20120518,1.2175,1.2175,1.1938,1.2175,0,0
20120521,1.2175,1.2411,1.1779,1.2411,0,0
20120522,1.2649,1.2649,1.2175,1.2411,0,0
20120523,1.2017,1.2254,1.17,1.2175,0,0
20120524,1.17,1.2175,1.17,1.2175,0,0
20120525,1.2411,1.2728,1.2175,1.2728,0,0
20120528,1.2411,1.2807,1.2411,1.2807,0,0
20120529,1.2728,1.3993,1.2728,1.3993,0,0
20120530,1.3914,1.51,1.3203,1.4151,0,0
20120531,1.4302,1.504,1.4025,1.504,0,0
20120601,1.5021,1.5021,1.423,1.4704,0,0
20120604,1.3993,1.4784,1.3993,1.4389,0,0
20120605,1.4092,1.4431,1.3752,1.4261,0,0
20120606,1.4261,1.4261,1.3667,1.4261,0,0
20120608,1.4176,1.4176,1.4007,1.4007,0,0
20120611,1.3993,1.51,1.3993,1.4546,0,0
20120612,1.423,1.5021,1.423,1.4546,0,0
20120613,1.4862,1.4862,1.4468,1.4468,0,0
20120614,1.4389,1.4468,1.3993,1.4389,0,0
20120615,1.4431,1.4431,1.4007,1.4007,0,0
20120618,1.4072,1.5021,1.4072,1.4546,0,0
20120619,1.5025,1.5025,1.4176,1.4176,0,0
20120620,1.4007,1.4516,1.4007,1.4431,0,0
20120621,1.4431,1.4431,1.4261,1.4431,0,0
20120622,1.4261,1.4431,1.4007,1.4007,0,0
20120625,1.4007,1.5025,1.3667,1.4856,0,0
20120626,1.5025,1.5704,1.5025,1.528,0,0
20120627,1.5704,1.6384,1.4686,1.5025,0,0
20120628,1.5025,1.545,1.4431,1.494,0,0
20120629,1.4856,1.4856,1.4302,1.4302,0,0
20120702,1.4261,1.4261,1.3412,1.4007,0,0
20120703,1.4007,1.4601,1.4007,1.4601,0,0
20120704,1.4579,1.4948,1.4486,1.4486,0,0
20120705,1.4007,1.4771,1.4007,1.4771,0,0
20120706,1.5025,1.5025,1.4176,1.4261,0,0
20120709,1.3837,1.4771,1.3752,1.4771,0,0
20120710,1.4007,1.4771,1.4007,1.4516,0,0
20120711,1.4771,1.4771,1.3837,1.4431,0,0
20120712,1.3837,1.4261,1.3667,1.4261,0,0
20120713,1.3752,1.4176,1.3667,1.4092,0,0
20120716,1.3752,1.4007,1.3412,1.3667,0,0
20120717,1.3379,1.3656,1.2733,1.2733,0,0
20120718,1.2733,1.3656,1.1903,1.3102,0,0
20120719,1.3073,1.3837,1.2903,1.3243,0,0
20120720,1.2903,1.3667,1.2903,1.3667,0,0
20120723,1.3243,1.3752,1.2818,1.3752,0,0
20120724,1.3841,1.3841,1.3748,1.3748,0,0
20120725,1.3073,1.3752,1.2394,1.2648,0,0
20120726,1.2818,1.2818,1.2479,1.2818,0,0
20120727,1.2648,1.2988,1.2648,1.2903,0,0
20120730,1.2479,1.2903,1.2479,1.2903,0,0
20120731,1.301,1.3102,1.2549,1.3102,0,0
20120801,1.3073,1.3328,1.3073,1.3328,0,0
20120802,1.3102,1.3287,1.3102,1.3287,0,0
20120803,1.3073,1.3328,1.3073,1.3328,0,0
20120806,1.3328,1.3328,1.2903,1.3243,0,0
20120807,1.2918,1.3564,1.2641,1.3564,0,0
20120808,1.3412,1.4856,1.3412,1.4601,0,0
20120809,1.4516,1.494,1.4516,1.494,0,0
20120810,1.4856,1.494,1.3922,1.494,0,0
20120813,1.4516,1.494,1.4516,1.494,0,0
20120814,1.494,1.5025,1.4516,1.494,0,0
20120816,1.4771,1.4771,1.4771,1.4771,0,0
20120817,1.4856,1.5195,1.4176,1.5025,0,0
20120820,1.5025,1.5195,1.4346,1.4346,0,0
20120821,1.528,1.5704,1.4176,1.4261,0,0
20120822,1.494,1.5789,1.4516,1.5789,0,0
20120823,1.6044,1.6044,1.562,1.6044,0,0
20120824,1.6516,1.6793,1.6055,1.6793,0,0
20120827,1.6893,1.7232,1.6893,1.7148,0,0
20120828,1.6808,1.6808,1.6638,1.6723,0,0
20120829,1.6978,1.7063,1.6553,1.6638,0,0
20120830,1.6638,1.6638,1.6214,1.6384,0,0
20120831,1.6701,1.6701,1.6147,1.6424,0,0
20120903,1.6332,1.6609,1.5871,1.6609,0,0
20120904,1.6609,1.6609,1.624,1.6424,0,0
20120905,1.6424,1.6886,1.6424,1.6701,0,0
20120906,1.6886,1.7255,1.6609,1.6886,0,0
20120907,1.6609,1.6978,1.6424,1.6701,0,0
20120910,1.6424,1.8177,1.6055,1.6701,0,0
20120911,1.6793,1.707,1.6701,1.6978,0,0
