Date,Open,High,Low,Close,Volume,OpenInt
20111010,47.276,47.276,47.276,47.276,0,0
20111011,47.671,49.332,43.481,43.956,0,0
20111012,44.746,44.746,40.556,43.956,0,0
20111013,43.481,44.746,43.481,44.746,0,0
20111014,44.746,48.067,44.351,46.406,0,0
20111017,48.936,48.936,46.011,47.276,0,0
20111018,45.616,46.406,43.956,46.011,0,0
20111019,45.141,46.406,45.141,46.011,0,0
20111020,44.746,46.406,44.351,44.351,0,0
20111021,44.351,46.011,43.956,46.011,0,0
20111024,46.011,48.541,42.216,48.541,0,0
20111025,46.881,48.936,46.881,48.541,0,0
20111026,48.936,50.597,48.541,48.936,0,0
20111027,50.597,53.126,50.597,51.466,0,0
20111028,52.257,52.731,48.936,51.861,0,0
20111031,53.126,53.126,49.806,51.466,0,0
20111102,48.067,52.731,48.067,52.257,0,0
20111103,51.466,53.996,51.466,53.522,0,0
20111104,53.522,56.051,52.731,56.051,0,0
20111107,54.391,57.711,54.391,57.316,0,0
20111108,56.051,58.107,56.051,57.711,0,0
20111109,58.107,58.107,56.051,56.447,0,0
20111110,54.391,58.107,54.391,58.107,0,0
20111114,58.107,58.107,55.182,58.107,0,0
20111115,57.711,57.711,55.182,57.316,0,0
20111116,56.447,57.316,8.8544,8.8544,0,0
20111117,8.8544,9.1707,8.8544,8.9334,0,0
20111118,8.7753,9.0915,8.7753,8.9334,0,0
20111121,8.6963,9.0125,8.5382,8.9334,0,0
20111122,8.6171,9.0125,8.6171,8.9334,0,0
20111123,8.6963,9.0915,8.6963,8.7753,0,0
20111124,8.222,9.0915,8.222,8.9334,0,0
20111125,8.4591,9.0125,8.4591,9.0125,0,0
20111128,9.1707,9.2497,8.8544,9.2497,0,0
20111129,9.0915,9.3287,9.0915,9.3287,0,0
20111130,9.0125,9.4077,9.0125,9.4077,0,0
20111201,8.4591,9.4077,8.4591,9.0125,0,0
20111202,9.3287,9.3287,8.9334,8.9334,0,0
20111205,9.2497,9.2497,8.7753,9.0915,0,0
20111206,9.2497,9.2497,9.2497,9.2497,0,0
20111207,9.3287,10.04,9.0125,10.04,0,0
20111208,9.4077,10.119,9.4077,10.119,0,0
20111209,9.724,10.04,9.724,10.04,0,0
20111212,9.882,10.04,9.566,9.961,0,0
20111213,9.566,9.961,9.566,9.961,0,0
20111214,10.04,10.04,9.566,9.882,0,0
20111215,9.882,9.961,9.882,9.961,0,0
20111216,9.645,9.961,9.4869,9.961,0,0
20111219,9.803,9.803,9.4869,9.724,0,0
20111221,9.645,9.961,9.4869,9.882,0,0
20111222,9.566,10.119,9.566,10.119,0,0
20111223,10.119,10.673,10.119,10.515,0,0
20111227,10.515,11.068,10.515,10.831,0,0
20111228,10.989,11.621,10.831,11.384,0,0
20111229,11.305,11.384,10.831,11.068,0,0
20111230,10.989,11.303,10.833,11.303,0,0
20120102,11.068,11.542,10.436,11.226,0,0
20120103,11.147,11.226,10.831,10.831,0,0
20120104,11.068,11.068,10.277,10.91,0,0
20120105,10.436,10.515,9.882,10.277,0,0
20120109,10.277,10.277,9.724,10.277,0,0
20120110,9.961,10.515,9.961,10.04,0,0
20120111,10.356,10.752,10.356,10.752,0,0
20120112,10.752,10.989,9.4869,9.4869,0,0
20120113,9.724,10.119,9.724,9.961,0,0
20120116,10.04,10.04,9.961,9.961,0,0
20120117,9.882,10.277,9.882,10.277,0,0
20120119,10.356,10.356,9.961,10.277,0,0
20120120,10.277,10.436,10.04,10.356,0,0
20120123,9.961,10.356,9.724,10.198,0,0
20120124,9.882,9.882,9.803,9.803,0,0
20120125,9.803,9.803,9.803,9.803,0,0
20120126,9.803,10.119,9.4869,10.119,0,0
20120127,10.119,10.119,9.724,9.961,0,0
20120130,9.961,9.961,9.724,9.724,0,0
20120131,9.725,9.799,9.2455,9.799,0,0
20120201,9.4869,9.645,9.4869,9.645,0,0
20120202,9.4869,9.4869,9.4077,9.4077,0,0
20120203,9.566,9.566,9.2497,9.4077,0,0
20120206,9.0915,9.4869,9.0915,9.4077,0,0
20120207,9.3287,9.3287,9.1707,9.2497,0,0
20120208,9.4077,9.4869,9.2497,9.2497,0,0
20120209,9.2497,9.4869,9.2497,9.4077,0,0
20120213,9.2497,9.4077,9.1707,9.4077,0,0
20120214,9.0915,9.4077,9.0915,9.4077,0,0
20120215,9.1707,9.566,9.1707,9.4077,0,0
20120216,9.2497,9.882,9.2497,9.803,0,0
20120217,9.803,10.04,9.803,10.04,0,0
20120220,10.04,10.119,9.882,10.04,0,0
20120221,9.961,10.198,9.882,10.198,0,0
20120222,10.119,10.198,10.04,10.04,0,0
20120223,10.277,10.277,10.119,10.277,0,0
20120224,10.436,10.989,10.436,10.594,0,0
20120227,10.752,11.226,10.752,11.147,0,0
20120228,11.147,11.542,11.147,11.542,0,0
20120229,11.46,11.545,10.755,11.545,0,0
20120301,11.542,12.017,11.305,11.463,0,0
20120302,11.226,11.621,11.068,11.384,0,0
20120305,11.147,11.384,11.147,11.384,0,0
20120306,10.989,11.305,10.673,11.305,0,0
20120307,10.436,11.147,10.436,11.147,0,0
20120308,11.147,11.779,10.989,11.305,0,0
20120309,11.384,11.7,11.147,11.7,0,0
20120312,11.621,11.7,11.068,11.7,0,0
20120313,11.621,11.7,11.226,11.7,0,0
20120314,11.463,11.463,11.384,11.384,0,0
20120315,11.7,11.7,11.226,11.542,0,0
20120316,11.7,11.779,10.752,11.542,0,0
20120319,11.068,11.542,11.068,11.463,0,0
20120320,11.226,11.463,11.226,11.463,0,0
20120321,11.621,11.7,11.542,11.621,0,0
20120322,11.384,11.621,11.068,11.621,0,0
20120323,11.542,11.621,11.542,11.621,0,0
20120326,11.621,11.859,5.4549,5.4549,0,0
20120327,5.2968,5.613,5.2178,5.613,0,0
20120328,5.613,5.6921,5.534,5.534,0,0
20120329,5.6921,5.8502,5.534,5.8502,0,0
20120330,5.85,6.1637,5.85,5.933,0,0
20120402,6.0874,6.0874,5.8502,6.0084,0,0
20120403,6.0084,6.0084,5.8502,6.0084,0,0
20120404,6.0084,6.0084,5.8502,5.8502,0,0
20120405,5.7712,5.8502,5.7712,5.8502,0,0
20120410,5.7712,6.1664,5.613,5.9292,0,0
20120411,5.6921,5.8502,5.613,5.8502,0,0
20120412,5.8502,6.0084,5.6921,5.7712,0,0
20120413,5.7712,6.0084,5.7712,5.9292,0,0
20120416,5.9292,5.9292,5.7712,5.9292,0,0
20120417,5.9292,6.2455,5.9292,6.1664,0,0
20120418,6.1664,6.4827,6.1664,6.4827,0,0
20120419,6.1664,6.4827,6.1664,6.1664,0,0
20120420,6.0084,6.4036,5.9292,6.2455,0,0
20120423,6.3246,6.3246,5.9292,5.9292,0,0
