Date,Open,High,Low,Close,Volume,OpenInt
20070813,9.978,9.978,9.978,9.978,0,0
20070814,8.4522,8.4522,8.4522,8.4522,0,0
20070816,8.0688,8.0688,8.0688,8.0688,0,0
20070817,8.3917,8.3917,8.3917,8.3917,0,0
20070820,8.4522,8.4522,8.4522,8.4522,0,0
20070821,8.4522,8.4522,8.4522,8.4522,0,0
20070822,8.2638,8.2638,8.2638,8.2638,0,0
20070823,8.4522,8.4522,8.4522,8.4522,0,0
20070824,8.5194,8.5194,8.5194,8.5194,0,0
20070827,9.0238,9.0238,9.0238,9.0238,0,0
20070828,8.8961,8.8961,8.8961,8.8961,0,0
20070829,9.0909,9.0909,9.0909,9.0909,0,0
20070830,9.723,9.723,9.723,9.723,0,0
20070831,10.489,10.489,10.489,10.489,0,0
20070903,11.121,11.121,11.121,11.121,0,0
20070904,11.377,11.377,11.377,11.377,0,0
20070905,10.489,10.489,10.489,10.489,0,0
20070906,10.234,10.234,10.234,10.234,0,0
20070907,10.166,10.166,10.166,10.166,0,0
20070910,10.106,10.106,10.106,10.106,0,0
20070911,10.361,10.361,10.361,10.361,0,0
20070912,10.166,10.166,10.166,10.166,0,0
20070913,10.166,10.166,10.166,10.166,0,0
20070914,9.978,9.978,9.978,9.978,0,0
20070917,9.911,9.911,9.911,9.911,0,0
20070918,9.85,9.85,9.85,9.85,0,0
20070919,9.911,9.911,9.911,9.911,0,0
20070920,10.166,10.166,10.166,10.166,0,0
20070921,10.489,10.489,10.489,10.489,0,0
20070924,10.489,10.489,10.489,10.489,0,0
20070925,10.55,10.55,10.55,10.55,0,0
20070926,10.738,10.738,10.738,10.738,0,0
20070927,10.55,10.55,10.55,10.55,0,0
20070928,10.361,10.361,10.361,10.361,0,0
20071001,10.106,10.106,10.106,10.106,0,0
20071002,10.234,10.234,10.234,10.234,0,0
20071003,10.55,10.55,10.55,10.55,0,0
20071004,10.55,10.55,10.55,10.55,0,0
20071005,10.422,10.422,10.422,10.422,0,0
20071008,10.234,10.234,10.234,10.234,0,0
20071009,10.422,10.422,10.422,10.422,0,0
