Date,Open,High,Low,Close,Volume,OpenInt
19941124,8.0986,8.0986,8.0986,8.0986,124013,0
19941125,8.0986,8.0986,8.0986,8.0986,252316,0
19941128,8.8991,8.8991,8.8991,8.8991,0,0
19941129,9.757,9.757,9.757,9.757,180322,0
19941130,10.68,10.68,10.68,10.68,172948,0
19941201,11.719,11.719,11.719,11.719,108407,0
19941202,11.906,11.906,11.906,11.906,229194,0
19941205,11.048,11.048,11.048,11.048,179111,0
19941206,11.351,11.351,11.351,11.351,158752,0
19941207,10.861,10.861,10.861,10.861,196268,0
19941208,9.822,9.822,9.822,9.822,441803,0
19941209,10.125,10.125,10.125,10.125,90602,0
19941212,11.106,11.106,11.106,11.106,152380,0
19941213,10.738,10.738,10.738,10.738,102358,0
19941214,10.19,10.19,10.19,10.19,48222,0
19941215,10.313,10.313,10.313,10.313,44056,0
19941216,10.984,10.984,10.984,10.984,59981,0
19941219,10.984,10.984,10.984,10.984,60854,0
19941220,10.558,10.558,10.558,10.558,33485,0
19941221,10.68,10.68,10.68,10.68,22423,0
19941222,10.738,10.738,10.738,10.738,34685,0
19941223,10.925,10.925,10.925,10.925,38424,0
19941227,10.925,10.925,10.925,10.925,44207,0
19941228,10.493,10.493,10.493,10.493,24348,0
19941229,10.738,10.738,10.738,10.738,33715,0
19950102,11.351,11.351,11.351,11.351,72008,0
19950103,11.661,11.661,11.661,11.661,102019,0
19950104,11.351,11.351,11.351,11.351,43778,0
19950105,11.351,11.351,11.351,11.351,35144,0
19950106,10.803,10.803,10.803,10.803,56292,0
19950109,11.048,11.048,11.048,11.048,36620,0
19950110,11.048,11.048,11.048,11.048,50829,0
19950111,10.984,10.984,10.984,10.984,61996,0
19950112,10.68,10.68,10.68,10.68,37835,0
19950113,11.048,11.048,11.048,11.048,34311,0
19950116,11.294,11.294,11.294,11.294,99058,0
19950117,11.048,11.048,11.048,11.048,61833,0
19950118,10.984,10.984,10.984,10.984,66774,0
19950119,10.984,10.984,10.984,10.984,13518,0
19950120,10.861,10.861,10.861,10.861,32039,0
19950123,10.493,10.493,10.493,10.493,62179,0
19950124,10.435,10.435,10.435,10.435,94036,0
19950125,10.435,10.435,10.435,10.435,28277,0
19950126,10.068,10.068,10.068,10.068,54254,0
19950127,9.57,9.57,9.57,9.57,19429,0
19950130,9.57,9.57,9.57,9.57,36038,0
19950131,9.1437,9.1437,9.1437,9.1437,34505,0
19950201,9.822,9.822,9.822,9.822,52961,0
19950202,9.57,9.57,9.57,9.57,57348,0
19950203,9.2021,9.2021,9.2021,9.2021,82782,0
19950206,9.88,9.88,9.88,9.88,12702,0
19950207,10.435,10.435,10.435,10.435,61348,0
19950208,10.435,10.435,10.435,10.435,132569,0
19950209,10.493,10.493,10.493,10.493,59273,0
19950210,10.435,10.435,10.435,10.435,90249,0
19950213,10.125,10.125,10.125,10.125,19605,0
19950214,10.435,10.435,10.435,10.435,46585,0
19950215,10.435,10.435,10.435,10.435,42032,0
19950216,10.435,10.435,10.435,10.435,32493,0
19950217,10.984,10.984,10.984,10.984,108290,0
19950220,10.925,10.925,10.925,10.925,116633,0
19950221,11.048,11.048,11.048,11.048,172190,0
19950222,10.68,10.68,10.68,10.68,118095,0
19950223,11.048,11.048,11.048,11.048,113390,0
19950224,11.661,11.661,11.661,11.661,137310,0
19950227,10.984,10.984,10.984,10.984,65819,0
19950228,10.803,10.803,10.803,10.803,20600,0
19950301,10.803,10.803,10.803,10.803,14767,0
19950302,11.048,11.048,11.048,11.048,31685,0
19950303,11.351,11.351,11.351,11.351,59986,0
19950306,11.351,11.351,11.351,11.351,20611,0
19950307,11.351,11.351,11.351,11.351,40253,0
19950308,11.351,11.351,11.351,11.351,24177,0
19950309,11.416,11.416,11.416,11.416,22601,0
19950310,11.351,11.351,11.351,11.351,69412,0
19950313,11.294,11.294,11.294,11.294,98750,0
19950314,11.351,11.351,11.351,11.351,43646,0
19950315,11.351,11.351,11.351,11.351,44569,0
19950316,11.229,11.229,11.229,11.229,10730,0
19950317,11.229,11.229,11.229,11.229,19945,0
19950320,11.229,11.229,11.229,11.229,17051,0
19950321,11.351,11.351,11.351,11.351,47829,0
19950322,11.229,11.229,11.229,11.229,22307,0
19950323,11.229,11.229,11.229,11.229,48575,0
19950324,11.229,11.229,11.229,11.229,24888,0
19950327,11.416,11.416,11.416,11.416,44376,0
19950328,11.351,11.351,11.351,11.351,39508,0
19950329,11.351,11.351,11.351,11.351,29199,0
19950330,11.474,11.474,11.474,11.474,29498,0
19950331,11.539,11.539,11.539,11.539,30683,0
19950403,11.539,11.539,11.539,11.539,23660,0
19950404,11.784,11.784,11.784,11.784,71336,0
19950405,11.964,11.964,11.964,11.964,41615,0
19950406,13.133,13.133,13.133,13.133,95413,0
19950407,14.423,14.423,14.423,14.423,133762,0
19950410,15.829,15.829,15.829,15.829,209885,0
19950411,16.45,16.45,16.45,16.45,164234,0
19950412,16.262,16.262,16.262,16.262,193704,0
19950413,16.074,16.074,16.074,16.074,240020,0
19950414,17.366,17.366,17.366,17.366,120115,0
19950418,19.082,19.082,19.082,19.082,64894,0
19950419,20.986,20.986,20.986,20.986,138703,0
19950420,21.476,21.476,21.476,21.476,154925,0
19950421,19.327,19.327,19.327,19.327,150515,0
19950424,21.231,21.231,21.231,21.231,115365,0
19950425,20.25,20.25,20.25,20.25,113402,0
19950426,18.223,18.223,18.223,18.223,147182,0
19950427,19.082,19.082,19.082,19.082,159237,0
19950428,18.411,18.411,18.411,18.411,98670,0
19950504,18.411,18.411,18.411,18.411,100272,0
19950505,18.411,18.411,18.411,18.411,68115,0
19950509,18.411,18.411,18.411,18.411,56272,0
19950510,18.779,18.779,18.779,18.779,50615,0
19950511,19.947,19.947,19.947,19.947,151096,0
19950512,20.25,20.25,20.25,20.25,121227,0
19950515,20.25,20.25,20.25,20.25,107009,0
19950516,19.76,19.76,19.76,19.76,71963,0
19950517,18.411,18.411,18.411,18.411,43265,0
19950518,17.185,17.185,17.185,17.185,64484,0
19950519,17.798,17.798,17.798,17.798,74090,0
19950522,17.185,17.185,17.185,17.185,67599,0
19950523,17.185,17.185,17.185,17.185,110170,0
19950524,18.411,18.411,18.411,18.411,33922,0
19950525,19.947,19.947,19.947,19.947,124774,0
19950526,19.205,19.205,19.205,19.205,115239,0
19950529,20.127,20.127,20.127,20.127,150735,0
19950530,18.411,18.411,18.411,18.411,67762,0
19950531,19.269,19.269,19.269,19.269,67025,0
19950601,18.411,18.411,18.411,18.411,127892,0
19950602,19.515,19.515,19.515,19.515,63951,0
19950605,19.947,19.947,19.947,19.947,97098,0
19950606,20.192,20.192,20.192,20.192,72960,0
19950607,20.25,20.25,20.25,20.25,234262,0
19950608,20.863,20.863,20.863,20.863,176184,0
19950609,20.863,20.863,20.863,20.863,75870,0
19950612,20.863,20.863,20.863,20.863,75534,0
19950613,20.863,20.863,20.863,20.863,143809,0
19950614,20.127,20.127,20.127,20.127,93500,0
19950616,19.082,19.082,19.082,19.082,59103,0
