Date,Open,High,Low,Close,Volume,OpenInt
20060410,35.39,41.777,34.77,39.381,383046,0
20060411,40.89,45.236,36.455,37.076,339353,0
20060412,38.051,39.648,36.277,37.519,59768,0
20060413,38.14,38.229,35.39,35.923,42790,0
20060418,35.213,35.834,34.681,35.834,36028,0
20060419,36.809,36.898,35.834,36.011,26032,0
20060420,36.277,36.277,35.39,35.834,11657,0
20060421,35.657,36.632,35.037,36.367,21193,0
20060424,36.367,36.543,35.568,35.746,12567,0
20060425,35.834,36.011,35.39,35.923,15269,0
20060426,36.277,36.277,35.39,35.923,10106,0
20060427,35.834,35.923,35.568,35.834,7745,0
20060428,35.834,36.277,35.657,36.1,4097,0
20060502,35.834,36.277,35.746,35.834,10606,0
20060504,35.834,37.519,35.834,37.519,16061,0
20060505,38.229,39.204,37.874,38.14,30637,0
20060508,36.011,36.632,35.834,36.1,27919,0
20060509,35.657,36.189,35.568,35.834,12562,0
20060510,35.568,36.011,35.568,35.834,12057,0
20060511,35.834,36.189,35.657,35.923,12586,0
20060512,35.834,36.1,35.834,35.834,11676,0
20060515,35.834,36.011,35.568,35.834,10904,0
20060516,35.923,36.189,35.746,35.923,7362,0
20060517,36.277,37.164,35.923,36.277,14878,0
20060518,36.367,37.874,36.367,37.874,14098,0
20060519,37.874,39.028,37.609,38.407,10743,0
20060522,39.116,39.116,36.277,36.543,9260,0
20060523,36.277,36.277,32.818,35.302,26541,0
20060524,35.302,35.39,33.439,34.06,6732,0
20060525,33.704,34.06,30.778,33.971,11778,0
20060526,34.681,34.77,33.262,34.592,2837,0
20060529,34.77,35.39,33.35,33.971,3211,0
20060530,33.794,33.971,32.552,32.73,2777,0
20060531,32.02,33.173,31.222,32.818,3737,0
20060601,33.617,33.704,32.907,33.704,3621,0
20060602,33.704,34.947,33.617,34.06,3952,0
20060605,34.149,34.592,33.084,33.704,3632,0
20060606,34.06,34.06,32.907,32.907,1577,0
20060607,33.704,33.704,32.641,33.173,1256,0
20060608,32.552,32.552,31.311,32.374,13939,0
20060609,32.552,32.818,32.374,32.73,6388,0
20060612,32.818,32.818,31.577,32.73,13077,0
20060613,30.512,31.132,30.069,30.69,20897,0
20060614,29.448,31.132,29.448,31.044,13564,0
20060616,31.577,32.464,30.69,30.69,2343,0
20060619,30.601,31.488,30.512,31.488,2702,0
20060620,31.399,31.488,30.69,31.488,3417,0
20060621,31.577,31.843,31.222,31.843,11257,0
20060622,32.02,32.02,30.512,31.664,1674,0
20060623,30.778,31.044,30.512,31.044,914,0
20060626,30.423,31.222,30.423,31.222,1123,0
20060627,31.577,31.577,30.423,31.044,1329,0
20060628,31.132,31.132,30.423,30.69,572,0
20060629,30.69,30.69,30.069,30.601,1768,0
20060630,30.069,30.423,29.448,30.334,3917,0
20060703,30.512,30.512,29.004,29.625,5891,0
20060704,29.625,29.625,29.004,29.625,4805,0
20060705,29.092,30.423,29.092,30.334,5986,0
20060706,30.334,30.956,29.537,30.69,4016,0
20060707,30.69,31.753,30.69,31.488,6240,0
20060710,30.956,31.132,30.956,30.956,433,0
20060711,31.753,31.753,30.956,31.044,3306,0
20060712,31.843,32.198,31.843,32.109,8501,0
20060713,32.286,32.464,31.664,31.664,1954,0
20060714,29.892,31.931,29.892,31.931,2479,0
20060717,32.02,32.464,31.577,32.374,1630,0
20060718,32.374,32.641,32.374,32.641,1893,0
20060719,31.577,33.35,31.577,33.262,1552,0
20060720,33.528,33.971,33.084,33.971,2371,0
20060721,33.971,33.971,33.971,33.971,41,0
20060724,33.971,33.971,33.528,33.617,234,0
20060725,33.528,33.971,32.73,33.971,1352,0
20060726,33.971,33.971,33.528,33.971,3418,0
20060727,33.528,33.971,33.084,33.971,1939,0
20060728,33.617,33.794,33.084,33.704,566,0
20060731,33.971,33.971,32.198,33.971,975,0
20060801,33.794,33.971,33.528,33.971,951,0
20060802,33.883,33.883,33.173,33.883,194,0
