Date,Open,High,Low,Close,Volume,OpenInt
20070912,7.9264,8.647,7.6189,7.6189,493775,0
20070913,7.5902,7.8784,7.5902,7.8784,72625,0
20070914,7.8784,7.8784,7.6382,7.6574,25484,0
20070917,7.7439,7.8303,7.5806,7.6382,17885,0
20070918,7.494,7.7343,7.3979,7.6863,12961,0
20070919,7.8688,8.0706,7.6478,8.0706,63539,0
20070920,8.109,8.109,7.7439,7.9744,66562,0
20070921,7.8784,7.9264,7.7727,7.7727,10660,0
20070924,8.0033,8.0033,7.8303,7.8784,7697,0
20070925,7.8881,7.8881,7.6863,7.8303,18448,0
20070926,7.8112,7.9744,7.8112,7.9744,75324,0
20070927,7.9744,8.647,7.9264,8.4548,154535,0
20070928,8.3589,8.3589,8.0226,8.2626,66572,0
20071001,8.3492,8.4357,8.0129,8.2435,28746,0
20071002,8.2435,8.647,8.1474,8.2723,37701,0
20071003,8.4068,8.4068,7.8496,8.109,28796,0
20071004,8.109,8.1186,7.7918,8.0417,22641,0
20071005,8.0226,8.2626,7.9744,8.2626,12475,0
20071008,8.1666,8.3396,8.1666,8.2626,13401,0
20071009,8.3011,8.3011,8.2243,8.2626,7636,0
20071010,8.1762,8.1954,8.0802,8.1378,6136,0
20071011,8.2531,8.2626,8.1474,8.2626,2858,0
20071012,8.2819,8.3589,8.1666,8.3492,5095,0
20071015,8.4261,8.4452,8.3203,8.4261,14238,0
20071016,8.33,8.4261,8.2723,8.3492,8131,0
20071017,8.3589,8.4357,8.1666,8.4357,8324,0
20071018,8.4357,8.4548,8.3011,8.4261,5476,0
20071019,8.3683,8.5028,8.2626,8.5028,5610,0
20071022,8.4838,8.4838,8.1858,8.4164,10927,0
20071023,8.4164,8.4548,8.1666,8.4548,18327,0
20071024,8.4164,8.4164,8.2147,8.3011,8456,0
20071025,8.2626,8.4548,8.2626,8.4261,8522,0
20071026,8.1762,8.5413,8.1762,8.5413,24874,0
20071029,8.5413,8.7431,8.3589,8.7336,21102,0
20071030,8.82,9.4636,8.82,9.1755,43271,0
20071031,9.4541,9.511,9.2523,9.3196,14776,0
20071102,9.3099,10.165,8.9448,9.8,26285,0
20071105,10.078,10.088,8.647,8.7528,66529,0
20071106,9.0314,9.0314,8.7528,8.9065,3823,0
20071107,9.1275,9.1275,8.5701,8.7431,13833,0
20071108,8.6278,9.2043,8.2147,8.6278,33726,0
