Date,Open,High,Low,Close,Volume,OpenInt
20091106,19.872,20.484,19.45,19.902,64843329,0
20091109,20.178,20.354,19.986,20.285,8484539,0
20091110,20.285,20.384,20.025,20.201,5980391,0
20091112,20.063,20.101,19.833,19.91,4319078,0
20091113,19.91,19.948,19.765,19.848,2080646,0
20091116,20.063,20.163,19.872,19.887,2694642,0
20091117,19.91,19.925,19.535,19.542,2497864,0
20091118,19.565,19.672,19.068,19.068,4113237,0
20091119,18.923,18.991,18.378,18.409,5269614,0
20091120,18.455,18.93,18.455,18.753,2505221,0
20091123,18.945,19.106,18.784,18.93,1184709,0
20091124,18.899,19.029,18.776,18.8,936054,0
20091125,18.8,18.899,18.685,18.761,803492,0
20091126,18.891,18.891,18.409,18.455,944993,0
20091127,18.21,18.6,17.926,18.6,1731281,0
20091130,18.685,19.059,18.646,19.059,736815,0
20091201,19.059,19.136,18.808,18.83,813655,0
20091202,18.853,18.945,18.532,18.608,1284233,0
20091203,18.685,18.746,18.463,18.677,712676,0
20091204,18.646,18.738,18.562,18.693,624283,0
20091207,18.677,18.693,18.493,18.608,467850,0
20091208,18.677,18.884,18.578,18.761,924455,0
20091209,18.616,18.731,18.34,18.363,2164529,0
20091210,18.378,18.378,18.217,18.248,1160118,0
20091211,18.378,18.378,18.302,18.355,1063519,0
20091214,18.432,18.923,18.378,18.838,2646263,0
20091215,18.93,19.198,18.808,19.098,2687844,0
20091216,19.129,19.71,19.129,19.68,7295755,0
20091217,19.68,19.757,19.198,19.374,11409555,0
20091218,19.144,19.374,19.091,19.336,4621901,0
20091221,19.336,19.344,19.129,19.167,1467873,0
20091222,19.198,19.259,18.991,19.106,1364625,0
20091223,19.068,19.106,18.769,18.769,1259848,0
20091228,18.769,18.838,18.501,18.578,1774285,0
20091229,18.608,18.83,18.57,18.753,996777,0
20091230,18.761,18.761,18.493,18.57,1086569,0
20091231,18.616,18.761,18.539,18.761,595564,0
20100104,18.723,18.914,18.57,18.638,1069615,0
20100105,18.746,18.746,18.524,18.638,2878600,0
20100106,18.67,18.67,18.532,18.585,1830425,0
20100107,18.57,18.57,18.279,18.279,2003382,0
20100108,18.378,18.532,18.264,18.294,1224638,0
20100111,18.562,18.562,18.302,18.302,2563246,0
20100112,18.378,18.386,17.804,17.919,2617756,0
20100113,17.911,18.125,17.728,17.996,2553157,0
20100114,18.019,18.11,17.758,17.804,1150633,0
20100115,17.827,17.904,17.728,17.728,1501787,0
20100118,17.866,17.866,17.651,17.842,1552776,0
20100119,17.858,18.072,17.811,18.072,1297453,0
20100120,18.118,18.455,18.072,18.409,2432744,0
20100121,18.409,18.455,18.232,18.378,936355,0
20100122,18.271,18.279,17.957,18.064,847387,0
