Date,Open,High,Low,Close,Volume,OpenInt
20051128,3.451,3.471,3.428,3.432,0,0
20051129,3.435,3.491,3.405,3.487,0,0
20051130,3.479,3.49,3.462,3.474,0,0
20051201,3.469,3.482,3.405,3.429,0,0
20051202,3.429,3.452,3.413,3.416,0,0
20051205,3.434,3.463,3.424,3.436,0,0
20051206,3.432,3.435,3.385,3.392,0,0
20051207,3.388,3.431,3.388,3.427,0,0
20051208,3.416,3.421,3.39,3.4,0,0
20051209,3.406,3.47,3.394,3.464,0,0
20051212,3.458,3.463,3.433,3.44,0,0
20051213,3.439,3.461,3.415,3.421,0,0
20051214,3.395,3.408,3.375,3.385,0,0
20051215,3.381,3.403,3.37,3.397,0,0
20051216,3.384,3.396,3.362,3.364,0,0
20051219,3.366,3.38,3.349,3.356,0,0
20051220,3.36,3.39,3.356,3.366,0,0
20051221,3.375,3.419,3.372,3.415,0,0
20051222,3.403,3.43,3.371,3.375,0,0
20051223,3.375,3.381,3.338,3.375,0,0
20051226,3.377,3.377,3.377,3.377,0,0
20051227,3.352,3.38,3.34,3.357,0,0
20051228,3.346,3.36,3.31,3.311,0,0
20051229,3.333,3.344,3.33,3.335,0,0
20051230,3.327,3.328,3.294,3.312,0,0
20060102,3.341,3.371,3.308,3.344,0,0
20060103,3.35,3.383,3.334,3.334,0,0
20060104,3.343,3.343,3.283,3.293,0,0
20060105,3.284,3.316,3.281,3.283,0,0
20060106,3.288,3.294,3.258,3.27,0,0
20060109,3.277,3.278,3.259,3.269,0,0
20060110,3.269,3.299,3.266,3.296,0,0
20060111,3.303,3.317,3.295,3.308,0,0
20060112,3.314,3.319,3.273,3.288,0,0
20060113,3.284,3.304,3.267,3.274,0,0
20060116,3.277,3.29,3.276,3.286,0,0
20060117,3.281,3.281,3.256,3.279,0,0
20060118,3.254,3.304,3.242,3.293,0,0
20060119,3.315,3.366,3.31,3.353,0,0
20060120,3.368,3.387,3.34,3.386,0,0
20060123,3.36,3.409,3.357,3.398,0,0
20060124,3.399,3.405,3.376,3.382,0,0
20060125,3.408,3.45,3.399,3.447,0,0
20060126,3.449,3.505,3.444,3.503,0,0
20060127,3.504,3.516,3.466,3.493,0,0
20060130,3.502,3.516,3.482,3.482,0,0
20060131,3.482,3.508,3.475,3.477,0,0
20060201,3.479,3.54,3.457,3.534,0,0
20060202,3.535,3.55,3.512,3.515,0,0
20060203,3.529,3.545,3.489,3.497,0,0
20060206,3.497,3.502,3.473,3.492,0,0
20060207,3.501,3.527,3.468,3.519,0,0
20060208,3.507,3.521,3.496,3.508,0,0
20060209,3.507,3.544,3.482,3.484,0,0
20060210,3.493,3.493,3.435,3.484,0,0
20060213,3.489,3.522,3.489,3.499,0,0
20060214,3.498,3.525,3.488,3.501,0,0
20060215,3.507,3.513,3.471,3.51,0,0
20060216,3.508,3.54,3.508,3.523,0,0
20060217,3.503,3.503,3.46,3.46,0,0
20060220,3.461,3.465,3.447,3.45,0,0
20060221,3.456,3.477,3.437,3.463,0,0
20060222,3.47,3.482,3.432,3.435,0,0
20060223,3.437,3.5,3.431,3.495,0,0
20060224,3.502,3.517,3.484,3.507,0,0
20060227,3.522,3.553,3.518,3.548,0,0
20060228,3.541,3.549,3.504,3.505,0,0
20060301,3.512,3.541,3.507,3.531,0,0
20060302,3.537,3.601,3.529,3.597,0,0
20060303,3.602,3.621,3.591,3.611,0,0
20060306,3.616,3.623,3.597,3.602,0,0
20060307,3.616,3.643,3.61,3.618,0,0
20060308,3.609,3.66,3.596,3.657,0,0
20060309,3.651,3.673,3.634,3.663,0,0
20060310,3.656,3.703,3.651,3.7,0,0
20060313,3.702,3.726,3.697,3.724,0,0
20060314,3.702,3.711,3.663,3.665,0,0
20060315,3.674,3.706,3.667,3.703,0,0
20060316,3.707,3.726,3.667,3.672,0,0
20060317,3.668,3.71,3.638,3.706,0,0
20060320,3.706,3.718,3.671,3.677,0,0
20060321,3.693,3.701,3.661,3.681,0,0
20060322,3.68,3.692,3.65,3.66,0,0
20060323,3.654,3.696,3.635,3.693,0,0
20060324,3.683,3.695,3.652,3.652,0,0
20060327,3.654,3.663,3.639,3.658,0,0
20060328,3.666,3.754,3.661,3.749,0,0
20060329,3.764,3.783,3.758,3.781,0,0
20060330,3.774,3.81,3.769,3.807,0,0
20060331,3.794,3.81,3.779,3.791,0,0
20060403,3.81,3.863,3.802,3.842,0,0
20060404,3.838,3.867,3.827,3.861,0,0
20060405,3.87,3.889,3.857,3.875,0,0
20060406,3.884,3.922,3.843,3.92,0,0
20060407,3.911,3.932,3.88,3.92,0,0
20060410,3.922,3.93,3.902,3.917,0,0
20060411,3.92,3.921,3.885,3.903,0,0
20060412,3.888,3.918,3.876,3.915,0,0
20060413,3.919,3.993,3.917,3.983,0,0
20060414,3.983,3.983,3.983,3.983,0,0
20060417,3.983,3.983,3.983,3.983,0,0
20060418,3.971,3.988,3.949,3.975,0,0
20060419,3.958,3.985,3.916,3.977,0,0
20060420,3.981,3.981,3.943,3.951,0,0
20060421,3.95,3.98,3.924,3.974,0,0
20060424,3.943,3.973,3.931,3.961,0,0
20060425,3.941,4.023,3.94,4.007,0,0
20060426,4.009,4.03,3.994,4.013,0,0
20060427,4.004,4.053,3.976,3.98,0,0
20060428,3.978,4.013,3.963,3.965,0,0
20060501,3.975,3.975,3.975,3.975,0,0
20060502,4.019,4.02,3.978,3.996,0,0
20060503,4,4.027,3.994,4.021,0,0
20060504,4.017,4.066,4.016,4.047,0,0
20060505,4.042,4.059,4.005,4.014,0,0
20060508,4.019,4.036,3.994,4.034,0,0
20060509,4.036,4.054,4.036,4.044,0,0
20060510,4.058,4.072,4.004,4.004,0,0
20060511,4.034,4.09,4.034,4.086,0,0
20060512,4.085,4.115,4.051,4.097,0,0
20060515,4.097,4.101,4.028,4.032,0,0
20060516,4.021,4.039,3.99,3.992,0,0
20060517,4.002,4.094,3.998,4.071,0,0
20060518,4.07,4.075,4.006,4.024,0,0
20060519,3.993,4.032,3.979,3.988,0,0
20060522,3.973,3.983,3.911,3.916,0,0
20060523,3.931,3.953,3.918,3.929,0,0
20060524,3.914,3.935,3.862,3.889,0,0
20060525,3.886,3.899,3.867,3.878,0,0
20060526,3.903,3.916,3.874,3.882,0,0
20060529,3.893,3.906,3.882,3.891,0,0
20060530,3.885,3.943,3.867,3.936,0,0
20060531,3.927,3.987,3.917,3.981,0,0
20060601,4.001,4.021,3.989,3.995,0,0
20060602,4.003,4.013,3.925,3.926,0,0
20060605,3.934,3.97,3.921,3.969,0,0
20060606,3.979,4.015,3.97,3.989,0,0
20060607,3.997,4.024,3.991,4.006,0,0
20060608,3.98,3.999,3.918,3.92,0,0
20060609,3.941,3.947,3.915,3.929,0,0
20060612,3.928,3.94,3.902,3.908,0,0
20060613,3.886,3.89,3.847,3.86,0,0
20060614,3.873,3.894,3.857,3.892,0,0
20060615,3.906,3.947,3.902,3.943,0,0
20060616,3.953,3.957,3.912,3.932,0,0
20060619,3.949,3.973,3.945,3.971,0,0
20060620,3.956,3.995,3.936,3.993,0,0
20060621,3.995,4.019,3.993,4.013,0,0
20060622,4.032,4.062,4.022,4.059,0,0
20060623,4.051,4.086,4.032,4.078,0,0
20060626,4.077,4.101,4.06,4.091,0,0
20060627,4.085,4.113,4.073,4.09,0,0
20060628,4.091,4.107,4.082,4.091,0,0
20060629,4.101,4.106,4.051,4.059,0,0
20060630,4.041,4.104,4.041,4.065,0,0
20060703,4.06,4.093,4.046,4.085,0,0
20060704,4.089,4.089,4.064,4.074,0,0
20060705,4.081,4.144,4.081,4.134,0,0
20060706,4.127,4.139,4.097,4.111,0,0
20060707,4.108,4.108,4.058,4.063,0,0
20060710,4.065,4.091,4.06,4.085,0,0
20060711,4.078,4.083,4.04,4.047,0,0
20060712,4.054,4.104,4.053,4.083,0,0
20060713,4.072,4.072,4.033,4.045,0,0
20060714,4.013,4.014,3.971,3.979,0,0
20060717,3.981,4.002,3.968,3.992,0,0
20060718,3.985,4.02,3.981,4.013,0,0
20060719,4.014,4.05,3.978,3.985,0,0
20060720,3.991,4.003,3.978,3.986,0,0
20060721,3.961,3.978,3.946,3.954,0,0
20060724,3.969,3.972,3.952,3.957,0,0
20060725,3.96,3.969,3.931,3.963,0,0
20060726,3.97,4.005,3.951,3.988,0,0
20060727,3.958,3.967,3.934,3.951,0,0
20060728,3.96,3.966,3.912,3.924,0,0
20060731,3.937,3.948,3.917,3.922,0,0
20060801,3.924,3.957,3.916,3.929,0,0
20060802,3.913,3.946,3.906,3.932,0,0
20060803,3.925,3.984,3.922,3.972,0,0
20060804,3.965,3.989,3.897,3.904,0,0
20060807,3.907,3.913,3.893,3.903,0,0
20060808,3.909,3.913,3.895,3.897,0,0
20060809,3.911,3.939,3.91,3.93,0,0
20060810,3.918,3.933,3.888,3.927,0,0
20060811,3.93,3.98,3.929,3.975,0,0
20060814,4.003,4.007,3.993,4,0,0
20060815,4.013,4.018,3.959,3.965,0,0
20060816,3.977,3.98,3.926,3.928,0,0
20060817,3.921,3.922,3.894,3.916,0,0
20060818,3.926,3.936,3.896,3.9,0,0
20060821,3.879,3.883,3.85,3.858,0,0
20060822,3.857,3.861,3.799,3.804,0,0
20060823,3.816,3.837,3.808,3.822,0,0
20060824,3.812,3.844,3.793,3.806,0,0
20060825,3.78,3.805,3.779,3.789,0,0
20060828,3.799,3.805,3.784,3.791,0,0
20060829,3.8,3.829,3.796,3.826,0,0
20060830,3.809,3.821,3.793,3.797,0,0
20060831,3.797,3.814,3.753,3.757,0,0
20060901,3.76,3.768,3.736,3.741,0,0
20060904,3.748,3.756,3.745,3.749,0,0
20060905,3.753,3.795,3.753,3.787,0,0
20060906,3.786,3.838,3.785,3.832,0,0
20060907,3.826,3.861,3.806,3.812,0,0
20060908,3.813,3.813,3.776,3.787,0,0
20060911,3.804,3.816,3.783,3.804,0,0
20060912,3.823,3.845,3.823,3.839,0,0
20060913,3.812,3.819,3.787,3.794,0,0
20060914,3.799,3.809,3.789,3.794,0,0
20060915,3.813,3.821,3.765,3.778,0,0
20060918,3.816,3.845,3.816,3.834,0,0
20060919,3.829,3.833,3.777,3.781,0,0
20060920,3.775,3.783,3.758,3.772,0,0
20060921,3.789,3.795,3.75,3.75,0,0
20060922,3.729,3.732,3.686,3.692,0,0
20060925,3.688,3.694,3.655,3.662,0,0
20060926,3.663,3.681,3.649,3.658,0,0
20060927,3.674,3.69,3.642,3.673,0,0
20060928,3.676,3.7,3.667,3.693,0,0
20060929,3.679,3.722,3.665,3.715,0,0
20061002,3.732,3.744,3.687,3.692,0,0
20061003,3.693,3.744,3.688,3.738,0,0
20061004,3.739,3.755,3.691,3.701,0,0
20061005,3.709,3.724,3.69,3.715,0,0
20061006,3.709,3.764,3.678,3.757,0,0
20061009,3.766,3.774,3.759,3.765,0,0
20061010,3.767,3.822,3.767,3.817,0,0
20061011,3.807,3.82,3.796,3.813,0,0
20061012,3.832,3.84,3.795,3.808,0,0
20061013,3.812,3.843,3.792,3.837,0,0
20061016,3.842,3.85,3.823,3.835,0,0
20061017,3.832,3.832,3.798,3.804,0,0
20061018,3.82,3.836,3.8,3.82,0,0
20061019,3.82,3.855,3.813,3.846,0,0
20061020,3.843,3.85,3.815,3.842,0,0
20061023,3.869,3.888,3.864,3.881,0,0
20061024,3.88,3.894,3.866,3.881,0,0
20061025,3.881,3.904,3.879,3.892,0,0
20061026,3.862,3.888,3.861,3.868,0,0
20061027,3.863,3.876,3.807,3.816,0,0
20061030,3.815,3.82,3.787,3.796,0,0
20061031,3.788,3.796,3.738,3.741,0,0
20061101,3.747,3.75,3.703,3.708,0,0
20061102,3.715,3.748,3.707,3.741,0,0
20061103,3.738,3.777,3.716,3.777,0,0
20061106,3.788,3.8,3.779,3.794,0,0
20061107,3.786,3.786,3.739,3.743,0,0
20061108,3.746,3.77,3.726,3.763,0,0
20061109,3.749,3.769,3.741,3.745,0,0
20061110,3.729,3.737,3.71,3.717,0,0
20061113,3.717,3.745,3.692,3.743,0,0
20061114,3.751,3.764,3.701,3.718,0,0
20061115,3.728,3.752,3.701,3.746,0,0
20061116,3.746,3.765,3.715,3.755,0,0
20061117,3.761,3.789,3.717,3.769,0,0
20061120,3.753,3.769,3.745,3.755,0,0
20061121,3.739,3.77,3.735,3.757,0,0
20061122,3.756,3.768,3.747,3.756,0,0
20061123,3.752,3.791,3.746,3.781,0,0
20061124,3.776,3.782,3.727,3.734,0,0
20061127,3.742,3.777,3.737,3.757,0,0
20061128,3.746,3.753,3.722,3.739,0,0
20061129,3.742,3.763,3.732,3.758,0,0
20061130,3.761,3.773,3.725,3.731,0,0
20061201,3.732,3.745,3.687,3.703,0,0
20061204,3.707,3.719,3.704,3.711,0,0
20061205,3.703,3.736,3.696,3.721,0,0
20061206,3.709,3.744,3.708,3.731,0,0
20061207,3.737,3.76,3.718,3.757,0,0
