Date,Open,High,Low,Close,Volume,OpenInt
19590701,699,699,691,699,0,0
19590702,690,693,689,690,0,0
19590706,687,690,687,687,0,0
19590707,684,688,683,684,0,0
19590708,677,683,675,677,0,0
19590709,681,681,680,681,0,0
19590710,680,684,680,680,0,0
19590713,671,674,669,671,0,0
19590714,673,674,672,673,0,0
19590715,671,671,668,671,0,0
19590716,679,683,674,679,0,0
19590717,676,680,670,676,0,0
19590720,678,679,674,678,0,0
19590721,678,680,676,678,0,0
19590722,678,681,677,678,0,0
19590723,683,683,679,683,0,0
19590724,685,690,685,685,0,0
19590727,681,683,681,681,0,0
19590728,682,685,680,682,0,0
19590729,686,687,685,686,0,0
19590730,683,688,683,683,0,0
19590731,681,682,680,681,0,0
19590803,680,683,680,680,0,0
19590804,690,691,683,690,0,0
19590805,688,691,687,688,0,0
19590806,690,690,687,690,0,0
19590807,686,688,686,686,0,0
19590810,681,682,679,681,0,0
19590811,676,679,676,676,0,0
19590812,675,678,674,675,0,0
19590813,672,678,672,672,0,0
19590814,678,678,674,678,0,0
19590817,678,678,674,678,0,0
19590818,679,679,675,679,0,0
19590819,684,686,681,684,0,0
19590820,685,686,685,685,0,0
19590821,685,685,680,685,0,0
19590824,687,690,687,687,0,0
19590825,690,691,687,690,0,0
19590826,690,691,689,690,0,0
19590827,692,692,690,692,0,0
19590828,694,696,692,694,0,0
19590831,693,697,693,693,0,0
19590901,691,696,690,691,0,0
19590902,692,693,692,692,0,0
19590903,695,696,693,695,0,0
19590904,699,701,696,699,0,0
19590908,694,701,694,694,0,0
19590909,691,695,689,691,0,0
19590910,689,693,687,689,0,0
19590911,684,687,684,684,0,0
19590914,682,685,681,682,0,0
19590915,679,681,679,679,0,0
19590916,681,681,681,681,0,0
19590917,668,679,667,668,0,0
19590918,668,670,665,668,0,0
19590921,663,664,660,663,0,0
19590922,659,666,658,659,0,0
19590923,660,664,660,660,0,0
19590924,658,659,654,658,0,0
19590925,659,661,658,659,0,0
19590928,657,658,655,657,0,0
19590929,661,664,658,661,0,0
19590930,664,668,664,664,0,0
19591001,661,668,661,661,0,0
19591002,653,660,652,653,0,0
19591005,647,649,646,647,0,0
19591006,648,648,644,648,0,0
19591007,651,654,647,651,0,0
19591008,656,656,652,656,0,0
19591009,650,650,645,650,0,0
19591013,651,653,645,651,0,0
19591014,660,661,649,660,0,0
19591015,659,665,656,659,0,0
19591016,657,659,655,657,0,0
19591019,661,662,654,661,0,0
19591020,666,670,665,666,0,0
19591021,666,666,661,666,0,0
19591022,670,670,664,670,0,0
19591023,673,676,671,673,0,0
19591026,682,682,677,682,0,0
19591027,701,704,686,701,0,0
19591028,698,704,693,698,0,0
19591029,694,697,688,694,0,0
19591030,680,689,679,680,0,0
19591102,680,681,678,680,0,0
19591104,686,687,677,686,0,0
19591105,682,691,682,682,0,0
19591106,677,679,675,677,0,0
19591109,673,677,672,673,0,0
19591110,670,676,670,670,0,0
19591112,667,669,662,667,0,0
19591113,675,675,666,675,0,0
19591116,675,677,671,675,0,0
19591117,666,671,666,666,0,0
19591118,659,663,657,659,0,0
19591119,661,662,656,661,0,0
19591120,672,675,667,672,0,0
19591123,675,681,672,675,0,0
19591124,672,679,672,672,0,0
19591125,674,675,668,674,0,0
19591127,673,677,672,673,0,0
19591130,670,670,665,670,0,0
19591201,666,670,666,666,0,0
19591202,662,664,659,662,0,0
19591203,662,666,662,662,0,0
19591204,660,661,658,660,0,0
19591207,654,658,654,654,0,0
19591208,651,653,648,651,0,0
19591209,651,653,647,651,0,0
19591210,653,659,651,653,0,0
19591211,647,649,646,647,0,0
19591214,642,645,639,642,0,0
19591215,637,639,635,637,0,0
19591216,641,643,631,641,0,0
19591217,637,642,636,637,0,0
19591218,628,636,627,628,0,0
19591221,615,621,614,615,0,0
19591222,626,626,618,626,0,0
19591223,617,631,612,617,0,0
19591224,611,617,597,611,0,0
19591228,610,613,604,610,0,0
19591229,617,618,612,617,0,0
19591230,618,621,615,618,0,0
19591231,609,614,608,609,0,0
19600104,614,615,608,614,0,0
19600105,622,625,619,622,0,0
19600106,629,630,624,629,0,0
19600107,621,634,619,621,0,0
19600108,633,633,619,633,0,0
19600111,631,644,629,631,0,0
19600112,628,631,625,628,0,0
19600113,623,626,622,623,0,0
19600114,618,618,613,618,0,0
19600115,617,618,612,617,0,0
19600118,618,618,615,618,0,0
19600119,619,620,615,619,0,0
19600120,625,625,617,625,0,0
19600121,629,630,625,629,0,0
19600122,631,634,629,631,0,0
19600125,634,636,631,634,0,0
19600126,633,638,633,633,0,0
19600127,627,628,624,627,0,0
19600128,622,622,619,622,0,0
19600129,601,619,601,601,0,0
19600201,603,605,601,603,0,0
19600202,602,603,601,602,0,0
19600203,604,606,603,604,0,0
19600204,605,607,604,605,0,0
19600205,601,601,597,601,0,0
19600208,593,597,592,593,0,0
19600209,596,596,593,596,0,0
19600210,595,599,594,595,0,0
19600211,597,601,594,597,0,0
19600215,597,601,597,597,0,0
19600216,604,607,601,604,0,0
19600217,601,604,599,601,0,0
19600218,599,603,598,599,0,0
19600219,601,603,598,601,0,0
19600223,590,598,590,590,0,0
19600224,590,590,584,590,0,0
19600225,585,593,581,585,0,0
19600226,586,586,580,586,0,0
19600229,580,583,579,580,0,0
19600301,577,582,575,577,0,0
19600302,574,575,572,574,0,0
19600303,567,577,567,567,0,0
19600304,560,563,559,560,0,0
19600307,559,565,558,559,0,0
19600308,559,560,554,559,0,0
19600309,556,564,556,556,0,0
19600310,559,561,554,559,0,0
19600311,566,569,560,566,0,0
19600314,553,559,552,553,0,0
19600315,550,559,550,550,0,0
19600316,551,551,543,551,0,0
19600317,551,562,551,551,0,0
19600318,563,563,556,563,0,0
19600321,560,560,547,560,0,0
19600322,560,560,560,560,0,0
19600323,549,549,549,549,0,0
19600324,518,551,509,518,0,0
19600325,557,562,556,557,0,0
19600328,563,564,559,563,0,0
19600329,562,563,560,562,0,0
19600330,560,561,559,560,0,0
19600331,565,568,559,565,0,0
19600401,560,567,559,560,0,0
19600404,565,567,558,565,0,0
19600405,567,568,563,567,0,0
19600406,581,586,574,581,0,0
19600407,591,592,586,591,0,0
19600408,591,593,588,591,0,0
19600411,582,592,582,582,0,0
19600412,578,581,578,578,0,0
19600413,571,578,571,571,0,0
19600414,573,573,569,573,0,0
19600418,571,573,571,571,0,0
19600419,574,575,573,574,0,0
19600420,575,577,574,575,0,0
19600421,568,571,566,568,0,0
19600422,560,569,557,560,0,0
19600425,568,568,558,568,0,0
19600426,567,572,567,567,0,0
19600427,579,579,572,579,0,0
19600428,574,584,573,574,0,0
19600429,576,576,571,576,0,0
19600502,582,584,579,582,0,0
19600503,583,583,580,583,0,0
19600504,587,588,582,587,0,0
19600505,586,590,586,586,0,0
19600506,576,583,576,576,0,0
19600509,571,576,569,571,0,0
19600510,571,575,569,571,0,0
19600511,565,569,563,565,0,0
19600512,560,560,557,560,0,0
19600513,558,560,556,558,0,0
19600516,559,559,559,559,0,0
19600517,563,564,562,563,0,0
19600518,557,560,557,557,0,0
19600519,550,556,550,550,0,0
19600520,553,553,550,553,0,0
19600523,556,556,551,556,0,0
19600524,553,557,551,553,0,0
19600525,561,561,556,561,0,0
19600526,563,563,561,563,0,0
19600527,567,567,565,567,0,0
19600531,561,564,561,561,0,0
19600601,558,559,556,558,0,0
19600602,564,567,560,564,0,0
19600603,565,569,562,565,0,0
19600606,565,568,565,565,0,0
19600607,560,562,557,560,0,0
19600608,561,561,557,561,0,0
19600609,559,560,558,559,0,0
19600610,561,562,558,561,0,0
19600613,562,564,562,562,0,0
19600614,565,566,563,565,0,0
19600615,567,568,567,567,0,0
19600616,567,571,566,567,0,0
19600617,565,567,564,565,0,0
19600620,564,566,564,564,0,0
19600621,559,562,558,559,0,0
19600622,560,560,557,560,0,0
19600623,559,560,558,559,0,0
19600624,562,563,557,562,0,0
19600627,574,574,567,574,0,0
19600628,571,573,570,571,0,0
19600629,573,573,571,573,0,0
19600630,580,580,577,580,0,0
19600701,582,582,582,582,0,0
19600705,586,588,586,586,0,0
19600706,579,589,579,579,0,0
19600707,573,578,573,573,0,0
19600708,577,578,576,577,0,0
19600711,584,584,575,584,0,0
19600712,579,579,579,579,0,0
19600713,571,571,571,571,0,0
19600714,569,569,569,569,0,0
19600715,569,569,569,569,0,0
19600718,568,568,568,568,0,0
19600719,570,570,570,570,0,0
19600720,570,570,569,570,0,0
19600721,551,572,551,551,0,0
19600722,567,568,565,567,0,0
19600725,564,571,563,564,0,0
19600726,568,571,567,568,0,0
19600727,565,570,565,565,0,0
19600728,565,566,564,565,0,0
19600729,569,569,567,569,0,0
19600801,570,570,568,570,0,0
19600802,569,571,567,569,0,0
19600803,574,575,569,574,0,0
19600804,571,573,571,571,0,0
19600805,569,570,569,569,0,0
19600808,569,569,567,569,0,0
19600809,567,569,567,567,0,0
19600810,562,565,561,562,0,0
19600811,560,562,560,560,0,0
19600812,558,560,558,558,0,0
19600815,556,558,556,556,0,0
19600816,555,556,555,555,0,0
19600817,546,554,546,546,0,0
19600818,548,551,545,548,0,0
19600819,548,556,547,548,0,0
19600822,551,551,546,551,0,0
19600823,550,550,548,550,0,0
19600824,549,549,547,549,0,0
19600825,556,557,549,556,0,0
19600826,554,554,553,554,0,0
19600829,547,551,547,547,0,0
19600830,547,548,545,547,0,0
19600831,549,550,546,549,0,0
19600901,546,550,546,546,0,0
19600902,547,548,547,547,0,0
19600906,542,545,541,542,0,0
19600907,542,542,539,542,0,0
19600908,542,543,542,542,0,0
19600909,542,543,541,542,0,0
19600912,545,546,543,545,0,0
19600913,550,551,547,550,0,0
19600914,555,556,553,555,0,0
19600915,554,554,552,554,0,0
19600916,558,558,553,558,0,0
19600919,558,560,558,558,0,0
19600920,558,559,555,558,0,0
19600921,558,560,558,558,0,0
19600922,561,561,560,561,0,0
19600923,563,563,561,563,0,0
19600926,575,575,573,575,0,0
19600927,577,577,574,577,0,0
19600928,574,577,574,574,0,0
19600929,571,574,570,571,0,0
19600930,565,569,565,565,0,0
19601003,562,564,560,562,0,0
19601004,561,563,559,561,0,0
19601005,557,560,557,557,0,0
19601006,559,561,557,559,0,0
19601007,562,566,562,562,0,0
19601010,559,560,558,559,0,0
19601011,562,564,562,562,0,0
19601013,574,574,569,574,0,0
19601014,574,574,572,574,0,0
19601017,578,580,575,578,0,0
19601018,582,583,580,582,0,0
19601019,575,579,574,575,0,0
19601020,579,579,577,579,0,0
19601021,577,583,577,577,0,0
19601024,573,573,570,573,0,0
19601025,572,573,570,572,0,0
19601026,572,572,569,572,0,0
19601027,575,577,571,575,0,0
19601028,568,573,568,568,0,0
19601031,566,567,565,566,0,0
19601101,566,566,565,566,0,0
19601102,561,563,561,561,0,0
19601103,560,560,558,560,0,0
19601104,559,561,557,559,0,0
19601107,561,561,558,561,0,0
19601109,562,563,560,562,0,0
19601110,559,561,558,559,0,0
19601114,553,554,551,553,0,0
19601115,554,554,551,554,0,0
19601116,551,554,550,551,0,0
19601117,549,553,549,549,0,0
19601118,546,547,545,546,0,0
19601121,539,543,538,539,0,0
19601122,542,542,535,542,0,0
19601123,537,541,534,537,0,0
19601125,536,538,528,536,0,0
19601128,537,539,530,537,0,0
19601129,540,542,538,540,0,0
19601130,543,545,542,543,0,0
19601201,540,543,539,540,0,0
19601202,541,541,537,541,0,0
19601205,543,545,543,543,0,0
19601206,538,542,538,538,0,0
19601207,538,541,538,538,0,0
19601208,538,540,538,538,0,0
19601209,529,538,529,529,0,0
19601212,536,537,536,536,0,0
19601213,527,531,524,527,0,0
19601214,521,522,519,521,0,0
19601215,525,527,522,525,0,0
19601216,520,521,517,520,0,0
19601219,520,520,518,520,0,0
19601220,518,519,517,518,0,0
19601221,518,524,518,518,0,0
19601222,515,522,508,515,0,0
19601223,499,500,497,499,0,0
19601227,495,498,495,495,0,0
19601228,491,492,489,491,0,0
19601229,486,490,485,486,0,0
19601230,489,490,484,489,0,0
19610103,476,480,476,476,0,0
19610104,466,475,464,466,0,0
19610105,472,475,467,472,0,0
19610106,466,470,465,466,0,0
19610109,463,465,461,463,0,0
19610110,485,485,478,485,0,0
19610111,489,496,485,489,0,0
19610112,485,488,480,485,0,0
19610113,485,485,475,485,0,0
19610116,476,478,474,476,0,0
19610117,472,475,471,472,0,0
19610118,474,482,473,474,0,0
19610119,481,481,477,481,0,0
19610120,478,481,478,478,0,0
19610123,474,478,472,474,0,0
19610124,478,478,470,478,0,0
19610125,476,476,472,476,0,0
19610126,486,492,472,486,0,0
19610127,480,487,480,480,0,0
19610130,475,477,475,475,0,0
19610131,474,476,474,474,0,0
19610201,467,470,466,467,0,0
19610202,463,466,457,463,0,0
19610203,468,471,465,468,0,0
19610206,465,466,464,465,0,0
19610207,463,463,461,463,0,0
19610208,461,463,460,461,0,0
19610209,462,465,462,462,0,0
19610210,462,464,460,462,0,0
19610214,466,470,463,466,0,0
19610215,453,466,449,453,0,0
19610216,448,452,445,448,0,0
19610217,435,443,432,435,0,0
19610220,421,424,421,421,0,0
19610221,431,435,406,431,0,0
19610223,425,429,419,425,0,0
19610224,422,423,421,422,0,0
19610227,422,422,419,422,0,0
19610228,425,425,421,425,0,0
19610301,420,424,417,420,0,0
19610302,410,422,410,410,0,0
19610303,409,412,407,409,0,0
19610306,403,403,403,403,0,0
19610308,406,406,406,406,0,0
19610309,411,411,408,411,0,0
19610310,416,416,416,416,0,0
19610313,419,419,419,419,0,0
19610314,435,437,416,435,0,0
19610315,429,430,429,429,0,0
19610316,426,426,426,426,0,0
19610317,426,426,426,426,0,0
19610320,420,420,420,420,0,0
19610321,415,415,413,415,0,0
19610322,420,420,416,420,0,0
19610323,433,433,420,433,0,0
19610324,448,451,445,448,0,0
19610327,444,448,438,444,0,0
19610328,456,456,444,456,0,0
19610329,453,457,452,453,0,0
19610330,454,455,452,454,0,0
19610403,459,459,457,459,0,0
19610404,456,462,454,456,0,0
19610405,461,470,459,461,0,0
19610406,464,465,460,464,0,0
19610407,461,462,453,461,0,0
19610410,468,470,461,468,0,0
19610411,471,477,470,471,0,0
19610412,461,469,461,461,0,0
19610413,457,457,454,457,0,0
19610414,466,466,459,466,0,0
19610417,488,488,476,488,0,0
19610418,490,496,489,490,0,0
19610419,483,495,481,483,0,0
19610420,484,484,479,484,0,0
19610421,483,491,482,483,0,0
19610424,485,489,483,485,0,0
19610425,484,484,478,484,0,0
19610426,489,491,487,489,0,0
19610427,490,493,490,490,0,0
19610428,492,492,492,492,0,0
19610501,497,497,496,497,0,0
19610502,502,504,502,502,0,0
19610503,506,506,506,506,0,0
19610504,507,510,507,507,0,0
19610505,503,503,503,503,0,0
19610508,491,491,491,491,0,0
19610509,477,477,477,477,0,0
19610510,488,488,488,488,0,0
19610511,489,489,489,489,0,0
19610512,470,471,467,470,0,0
19610515,476,476,465,476,0,0
19610516,478,478,477,478,0,0
19610517,473,475,473,473,0,0
19610518,465,474,465,465,0,0
19610519,461,467,461,461,0,0
19610522,460,461,460,460,0,0
19610523,452,456,452,452,0,0
19610524,448,448,448,448,0,0
19610525,449,449,445,449,0,0
19610526,456,459,453,456,0,0
19610531,464,466,460,464,0,0
19610601,472,472,464,472,0,0
19610602,468,471,468,468,0,0
19610605,457,461,456,457,0,0
19610606,456,457,454,456,0,0
19610607,451,455,450,451,0,0
19610608,454,454,445,454,0,0
19610609,460,463,452,460,0,0
19610612,454,464,454,454,0,0
19610613,451,455,451,451,0,0
19610614,453,456,453,453,0,0
19610615,448,454,448,448,0,0
19610616,445,449,443,445,0,0
19610619,455,457,448,455,0,0
19610620,452,453,451,452,0,0
19610621,451,451,450,451,0,0
19610622,453,459,453,453,0,0
19610623,450,456,450,450,0,0
19610626,452,455,452,452,0,0
19610627,451,456,451,451,0,0
19610628,448,453,448,448,0,0
19610629,454,454,452,454,0,0
19610630,459,461,454,459,0,0
19610703,465,466,464,465,0,0
19610705,462,462,461,462,0,0
19610706,461,463,461,461,0,0
19610707,457,457,457,457,0,0
19610710,457,457,457,457,0,0
19610711,457,457,457,457,0,0
19610712,452,452,452,452,0,0
19610713,449,449,448,449,0,0
19610714,450,451,450,450,0,0
19610717,447,448,446,447,0,0
19610718,449,450,447,449,0,0
19610719,448,450,447,448,0,0
19610720,450,450,450,450,0,0
19610721,454,454,450,454,0,0
19610724,444,451,444,444,0,0
19610725,460,467,459,460,0,0
19610726,459,463,456,459,0,0
19610727,460,460,457,460,0,0
19610728,459,459,457,459,0,0
19610731,451,457,450,451,0,0
19610801,445,452,443,445,0,0
19610802,445,448,440,445,0,0
19610803,442,444,442,442,0,0
19610804,444,448,443,444,0,0
19610807,445,446,445,445,0,0
19610808,442,443,441,442,0,0
19610809,445,445,442,445,0,0
19610810,445,445,444,445,0,0
19610811,443,444,443,443,0,0
19610814,446,449,444,446,0,0
19610815,439,444,438,439,0,0
19610816,442,442,436,442,0,0
19610817,438,439,437,438,0,0
19610818,441,442,438,441,0,0
19610821,439,440,437,439,0,0
19610822,433,437,433,433,0,0
19610823,433,433,433,433,0,0
19610824,431,432,430,431,0,0
19610825,431,435,429,431,0,0
19610828,439,440,438,439,0,0
19610829,438,439,438,438,0,0
19610830,441,443,437,441,0,0
19610831,446,446,446,446,0,0
19610901,444,445,443,444,0,0
19610905,442,442,442,442,0,0
19610906,441,441,441,441,0,0
19610907,445,446,440,445,0,0
19610908,440,442,440,440,0,0
19610911,439,439,439,439,0,0
19610912,442,442,438,442,0,0
19610913,437,440,436,437,0,0
19610914,436,436,436,436,0,0
19610915,434,434,434,434,0,0
19610918,435,435,435,435,0,0
19610919,430,435,430,430,0,0
19610920,425,427,423,425,0,0
19610921,424,424,423,424,0,0
19610922,409,413,408,409,0,0
19610925,420,424,420,420,0,0
19610926,420,427,420,420,0,0
19610927,419,422,417,419,0,0
19610928,424,427,421,424,0,0
19610929,429,429,425,429,0,0
19611002,429,433,429,429,0,0
19611003,427,430,426,427,0,0
19611004,430,432,430,430,0,0
19611005,434,437,431,434,0,0
19611006,440,440,431,440,0,0
19611009,439,441,438,439,0,0
19611010,440,441,438,440,0,0
19611011,442,445,442,442,0,0
19611013,452,453,444,452,0,0
19611016,461,473,461,461,0,0
19611017,471,474,461,471,0,0
19611018,483,489,481,483,0,0
19611019,481,487,478,481,0,0
19611020,494,496,478,494,0,0
19611023,489,502,489,489,0,0
19611024,496,498,487,496,0,0
19611025,503,508,500,503,0,0
19611026,510,513,498,510,0,0
19611027,504,513,503,504,0,0
19611030,496,499,494,496,0,0
19611031,500,505,500,500,0,0
19611101,502,502,495,502,0,0
19611102,504,505,502,504,0,0
19611103,506,510,505,506,0,0
19611106,512,517,512,512,0,0
19611108,499,505,498,499,0,0
19611109,495,495,489,495,0,0
19611110,498,502,498,498,0,0
19611113,502,507,502,502,0,0
19611114,502,503,499,502,0,0
19611115,507,510,507,507,0,0
19611116,507,507,504,507,0,0
19611117,515,515,503,515,0,0
19611120,516,520,514,516,0,0
19611121,519,520,509,519,0,0
19611122,516,522,514,516,0,0
19611124,529,529,521,529,0,0
19611127,544,549,538,544,0,0
