Date,Open,High,Low,Close,Volume,OpenInt
19800102,1.289,1.289,1.289,1.289,0,0
19800103,1.2986,1.2986,1.2986,1.2986,0,0
19800104,1.294,1.294,1.294,1.294,0,0
19800107,1.3008,1.3008,1.3008,1.3008,0,0
19800108,1.305,1.305,1.305,1.305,0,0
19800109,1.3,1.3,1.3,1.3,0,0
19800110,1.2962,1.2962,1.2962,1.2962,0,0
19800111,1.2937,1.2937,1.2937,1.2937,0,0
19800114,1.2961,1.2961,1.2961,1.2961,0,0
19800115,1.2963,1.2963,1.2963,1.2963,0,0
19800116,1.2919,1.2919,1.2919,1.2919,0,0
19800117,1.2901,1.2901,1.2901,1.2901,0,0
19800118,1.2896,1.2896,1.2896,1.2896,0,0
19800121,1.2884,1.2884,1.2884,1.2884,0,0
19800122,1.2844,1.2844,1.2844,1.2844,0,0
19800123,1.2871,1.2871,1.2871,1.2871,0,0
19800124,1.2851,1.2851,1.2851,1.2851,0,0
19800125,1.2863,1.2863,1.2863,1.2863,0,0
19800128,1.2894,1.2894,1.2894,1.2894,0,0
19800129,1.2859,1.2859,1.2859,1.2859,0,0
19800130,1.286,1.286,1.286,1.286,0,0
19800131,1.2823,1.2823,1.2823,1.2823,0,0
19800201,1.2792,1.2792,1.2792,1.2792,0,0
19800204,1.2812,1.2812,1.2812,1.2812,0,0
19800205,1.2867,1.2867,1.2867,1.2867,0,0
19800206,1.284,1.284,1.284,1.284,0,0
19800207,1.2858,1.2858,1.2858,1.2858,0,0
19800208,1.285,1.285,1.285,1.285,0,0
19800211,1.2823,1.2823,1.2823,1.2823,0,0
19800212,1.2835,1.2835,1.2835,1.2835,0,0
19800213,1.2845,1.2845,1.2845,1.2845,0,0
19800214,1.2837,1.2837,1.2837,1.2837,0,0
19800215,1.286,1.286,1.286,1.286,0,0
19800218,1.2857,1.2857,1.2857,1.2857,0,0
19800219,1.281,1.281,1.281,1.281,0,0
19800220,1.2734,1.2734,1.2734,1.2734,0,0
19800221,1.2682,1.2682,1.2682,1.2682,0,0
19800222,1.2703,1.2703,1.2703,1.2703,0,0
19800225,1.2664,1.2664,1.2664,1.2664,0,0
19800226,1.2626,1.2626,1.2626,1.2626,0,0
19800227,1.2587,1.2587,1.2587,1.2587,0,0
19800228,1.2598,1.2598,1.2598,1.2598,0,0
19800229,1.258,1.258,1.258,1.258,0,0
19800303,1.2512,1.2512,1.2512,1.2512,0,0
19800304,1.2638,1.2638,1.2638,1.2638,0,0
19800305,1.259,1.259,1.259,1.259,0,0
19800306,1.264,1.264,1.264,1.264,0,0
19800307,1.268,1.268,1.268,1.268,0,0
19800310,1.2738,1.2738,1.2738,1.2738,0,0
