Date,Open,High,Low,Close,Volume,OpenInt
19000301,4.885,4.885,4.885,4.885,0,0
19000601,4.885,4.895,4.885,4.895,0,0
19000901,4.895,4.895,4.85,4.85,0,0
19001201,4.85,4.86,4.85,4.86,0,0
19010301,4.86,4.865,4.86,4.865,0,0
19010601,4.865,4.865,4.86,4.86,0,0
19010901,4.86,4.895,4.86,4.895,0,0
19011201,4.895,4.895,4.875,4.875,0,0
19020301,4.875,4.875,4.875,4.875,0,0
19020601,4.875,4.875,4.865,4.865,0,0
19020901,4.865,4.89,4.865,4.89,0,0
19021201,4.89,4.89,4.875,4.875,0,0
19030301,4.875,4.875,4.875,4.875,0,0
19030601,4.875,4.89,4.875,4.89,0,0
19030901,4.89,4.89,4.845,4.845,0,0
19031201,4.845,4.855,4.845,4.855,0,0
19040301,4.855,4.855,4.855,4.855,0,0
19040601,4.855,4.855,4.855,4.855,0,0
19040901,4.855,4.895,4.855,4.895,0,0
19041201,4.895,4.895,4.88,4.88,0,0
19050301,4.88,4.88,4.87,4.87,0,0
19050601,4.87,4.8815,4.87,4.8815,0,0
19050901,4.8815,4.8815,4.8505,4.8505,0,0
19051201,4.8505,4.856,4.8505,4.856,0,0
19060301,4.856,4.87,4.856,4.87,0,0
19060601,4.87,4.88,4.87,4.88,0,0
19060901,4.88,4.88,4.84,4.84,0,0
19061201,4.84,4.84,4.84,4.84,0,0
19070301,4.84,4.848,4.84,4.848,0,0
19070601,4.848,4.8875,4.848,4.8875,0,0
19070901,4.8875,4.8875,4.825,4.825,0,0
19071201,4.825,4.8425,4.825,4.8425,0,0
19080301,4.8425,4.8475,4.8425,4.8475,0,0
19080601,4.8475,4.8475,4.8475,4.8475,0,0
19080901,4.8475,4.874,4.8475,4.874,0,0
19081201,4.874,4.874,4.871,4.871,0,0
19090301,4.871,4.872,4.871,4.872,0,0
19090601,4.872,4.8835,4.872,4.8835,0,0
19090901,4.8835,4.8835,4.8565,4.8565,0,0
19091201,4.8565,4.8675,4.8565,4.8675,0,0
19100301,4.8675,4.88,4.8675,4.88,0,0
19100601,4.88,4.885,4.88,4.885,0,0
19100901,4.885,4.885,4.865,4.865,0,0
19101201,4.865,4.865,4.865,4.865,0,0
19110301,4.865,4.865,4.865,4.865,0,0
19110601,4.865,4.865,4.865,4.865,0,0
19110901,4.865,4.875,4.865,4.875,0,0
19111201,4.875,4.875,4.87,4.87,0,0
19120301,4.87,4.87,4.864,4.864,0,0
19120601,4.864,4.8785,4.864,4.8785,0,0
19120901,4.8785,4.8785,4.845,4.845,0,0
19121201,4.845,4.853,4.845,4.853,0,0
19130301,4.853,4.858,4.853,4.858,0,0
19130601,4.858,4.88,4.858,4.88,0,0
19130901,4.88,4.88,4.85,4.85,0,0
19131201,4.85,4.855,4.85,4.855,0,0
19140301,4.855,4.856,4.855,4.856,0,0
19140601,4.856,6.25,4.856,6.25,0,0
19140901,6.25,6.25,4.8513,4.8513,0,0
19141201,4.8513,4.8525,4.8513,4.8525,0,0
19150301,4.8525,4.8525,4.85,4.85,0,0
19150601,4.85,4.8538,4.85,4.8538,0,0
19150901,4.8538,4.8538,4.55,4.55,0,0
19151201,4.55,4.7362,4.55,4.7362,0,0
19160301,4.7362,4.7362,4.7362,4.7362,0,0
19160601,4.7362,4.7362,4.7362,4.7362,0,0
19160901,4.7362,4.7881,4.7362,4.7881,0,0
19161201,4.7881,4.7881,4.7556,4.7556,0,0
19170301,4.7556,4.7556,4.7556,4.7556,0,0
19170601,4.7556,4.76,4.7556,4.76,0,0
19170901,4.76,4.76,4.7512,4.7512,0,0
19171201,4.7512,4.7512,4.7512,4.7512,0,0
19180301,4.7512,4.7512,4.7512,4.7512,0,0
19180601,4.7512,4.7512,4.7512,4.7512,0,0
19180901,4.7512,4.7606,4.7512,4.7606,0,0
19181201,4.7606,4.7606,4.7581,4.7581,0,0
