Date,Open,High,Low,Close,Volume,OpenInt
19840109,3.1769,3.1769,3.1769,3.1769,0,0
19840116,3.321,3.321,3.321,3.321,0,0
19840123,3.2841,3.2841,3.2841,3.2841,0,0
19840130,3.321,3.321,3.321,3.321,0,0
19840206,3.3579,3.3579,3.3579,3.3579,0,0
19840213,3.3579,3.3579,3.3579,3.3579,0,0
19840220,3.4717,3.4717,3.4717,3.4717,0,0
19840301,3.4098,3.4098,3.4098,3.4098,0,0
19840305,3.4448,3.4448,3.4448,3.4448,0,0
19840312,3.5374,3.5374,3.5374,3.5374,0,0
19840319,3.5714,3.5714,3.5714,3.5714,0,0
19840326,3.5714,3.5714,3.5714,3.5714,0,0
19840402,3.4448,3.4448,3.4448,3.4448,0,0
19840409,3.5034,3.5034,3.5034,3.5034,0,0
19840416,3.4014,3.4014,3.4014,3.4014,0,0
19840424,3.4354,3.4354,3.4354,3.4354,0,0
19840502,3.5069,3.5069,3.5069,3.5069,0,0
19840507,3.5764,3.5764,3.5764,3.5764,0,0
19840514,3.5417,3.5417,3.5417,3.5417,0,0
19840521,3.5461,3.5461,3.5461,3.5461,0,0
19840528,3.5461,3.5461,3.5461,3.5461,0,0
19840604,3.4722,3.4722,3.4722,3.4722,0,0
19840611,3.5106,3.5106,3.5106,3.5106,0,0
19840618,3.5106,3.5106,3.5106,3.5106,0,0
19840625,3.4752,3.4752,3.4752,3.4752,0,0
19840702,3.4397,3.4397,3.4397,3.4397,0,0
19840709,3.4657,3.4657,3.4657,3.4657,0,0
19840716,3.3574,3.3574,3.3574,3.3574,0,0
19840723,3.3935,3.3935,3.3935,3.3935,0,0
19840730,3.4317,3.4317,3.4317,3.4317,0,0
19840806,3.3935,3.3935,3.3935,3.3935,0,0
19840813,3.5849,3.5849,3.5849,3.5849,0,0
19840820,3.5055,3.5055,3.5055,3.5055,0,0
19840827,3.6604,3.6604,3.6604,3.6604,0,0
19840901,3.6458,3.6458,3.6458,3.6458,0,0
19840910,3.7545,3.7545,3.7545,3.7545,0,0
19840917,3.7545,3.7545,3.7545,3.7545,0,0
19840924,3.7545,3.7545,3.7545,3.7545,0,0
19841001,3.8376,3.8376,3.8376,3.8376,0,0
19841008,3.8376,3.8376,3.8376,3.8376,0,0
19841015,3.9623,3.9623,3.9623,3.9623,0,0
19841022,3.9623,3.9623,3.9623,3.9623,0,0
19841029,3.8745,3.8745,3.8745,3.8745,0,0
19841105,3.8267,3.8267,3.8267,3.8267,0,0
19841112,3.9483,3.9483,3.9483,3.9483,0,0
19841119,4.1154,4.1154,4.1154,4.1154,0,0
19841126,4.2126,4.2126,4.2126,4.2126,0,0
19841201,4.1154,4.1154,4.1154,4.1154,0,0
19841210,4.252,4.252,4.252,4.252,0,0
19841217,4.1732,4.1732,4.1732,4.1732,0,0
19841224,4.1339,4.1339,4.1339,4.1339,0,0
19850101,4.1516,4.1516,4.1516,4.1516,0,0
19850107,4.1155,4.1155,4.1155,4.1155,0,0
19850114,4.0794,4.0794,4.0794,4.0794,0,0
19850121,4.1155,4.1155,4.1155,4.1155,0,0
19850128,4.0794,4.0794,4.0794,4.0794,0,0
19850204,4.1155,4.1155,4.1155,4.1155,0,0
19850211,3.8653,3.8653,3.8653,3.8653,0,0
19850218,3.7589,3.7589,3.7589,3.7589,0,0
19850225,3.5106,3.5106,3.5106,3.5106,0,0
19850304,3.6823,3.6823,3.6823,3.6823,0,0
19850311,3.4397,3.4397,3.4397,3.4397,0,0
19850318,3.574,3.574,3.574,3.574,0,0
19850325,3.5018,3.5018,3.5018,3.5018,0,0
19850329,3.4657,3.4657,3.4657,3.4657,0,0
19850401,3.5379,3.5379,3.5379,3.5379,0,0
19850409,3.321,3.321,3.321,3.321,0,0
19850415,3.3213,3.3213,3.3213,3.3213,0,0
19850422,3.3579,3.3579,3.3579,3.3579,0,0
19850429,3.3585,3.3585,3.3585,3.3585,0,0
19850506,3.2841,3.2841,3.2841,3.2841,0,0
19850513,3.3574,3.3574,3.3574,3.3574,0,0
19850520,3.5055,3.5055,3.5055,3.5055,0,0
19850527,3.5055,3.5055,3.5055,3.5055,0,0
19850601,3.4069,3.4069,3.4069,3.4069,0,0
19850610,3.3762,3.3762,3.3762,3.3762,0,0
19850617,3.3439,3.3439,3.3439,3.3439,0,0
19850624,3.3762,3.3762,3.3762,3.3762,0,0
19850701,3.3762,3.3762,3.3762,3.3762,0,0
19850708,3.3762,3.3762,3.3762,3.3762,0,0
19850715,3.4084,3.4084,3.4084,3.4084,0,0
19850723,3.6066,3.6066,3.6066,3.6066,0,0
19850729,3.7124,3.7124,3.7124,3.7124,0,0
19850805,3.7124,3.7124,3.7124,3.7124,0,0
19850812,3.6789,3.6789,3.6789,3.6789,0,0
19850819,3.6455,3.6455,3.6455,3.6455,0,0
19850826,3.612,3.612,3.612,3.612,0,0
19850902,3.5786,3.5786,3.5786,3.5786,0,0
19850909,3.6054,3.6054,3.6054,3.6054,0,0
19850916,3.5117,3.5117,3.5117,3.5117,0,0
19850923,3.6054,3.6054,3.6054,3.6054,0,0
19850930,3.7153,3.7153,3.7153,3.7153,0,0
19851007,3.7589,3.7589,3.7589,3.7589,0,0
19851014,3.7589,3.7589,3.7589,3.7589,0,0
19851021,3.8267,3.8267,3.8267,3.8267,0,0
19851028,3.9623,3.9623,3.9623,3.9623,0,0
19851104,3.9623,3.9623,3.9623,3.9623,0,0
19851111,3.7736,3.7736,3.7736,3.7736,0,0
19851118,3.6981,3.6981,3.6981,3.6981,0,0
19851125,3.8113,3.8113,3.8113,3.8113,0,0
19851202,3.9615,3.9615,3.9615,3.9615,0,0
19851209,3.8462,3.8462,3.8462,3.8462,0,0
19851216,3.8846,3.8846,3.8846,3.8846,0,0
19851223,3.8462,3.8462,3.8462,3.8462,0,0
19860101,3.8846,3.8846,3.8846,3.8846,0,0
19860106,3.8462,3.8462,3.8462,3.8462,0,0
19860113,3.8462,3.8462,3.8462,3.8462,0,0
19860120,3.8846,3.8846,3.8846,3.8846,0,0
19860127,3.9615,3.9615,3.9615,3.9615,0,0
19860201,4.0468,4.0468,4.0468,4.0468,0,0
19860210,3.9465,3.9465,3.9465,3.9465,0,0
19860217,3.913,3.913,3.913,3.913,0,0
19860224,3.9799,3.9799,3.9799,3.9799,0,0
19860301,3.9796,3.9796,3.9796,3.9796,0,0
19860303,3.9796,3.9796,3.9796,3.9796,0,0
19860310,4.0278,4.0278,4.0278,4.0278,0,0
19860317,3.9796,3.9796,3.9796,3.9796,0,0
19860318,3.9796,3.9796,3.9796,3.9796,0,0
19860324,4.0136,4.0136,4.0136,4.0136,0,0
19860401,4.1157,4.1157,4.1157,4.1157,0,0
19860407,4.1157,4.1157,4.1157,4.1157,0,0
19860409,4.1157,4.1157,4.1157,4.1157,0,0
19860414,4.0468,4.0468,4.0468,4.0468,0,0
19860421,4.0816,4.0816,4.0816,4.0816,0,0
19860428,4.1667,4.1667,4.1667,4.1667,0,0
19860505,4.2014,4.2014,4.2014,4.2014,0,0
19860512,4.1157,4.1157,4.1157,4.1157,0,0
19860519,4.1319,4.1319,4.1319,4.1319,0,0
19860526,4.0816,4.0816,4.0816,4.0816,0,0
19860602,4.0816,4.0816,4.0816,4.0816,0,0
19860609,3.9456,3.9456,3.9456,3.9456,0,0
19860616,3.9931,3.9931,3.9931,3.9931,0,0
19860623,3.9583,3.9583,3.9583,3.9583,0,0
19860630,3.8095,3.8095,3.8095,3.8095,0,0
19860707,3.7075,3.7075,3.7075,3.7075,0,0
19860714,3.5034,3.5034,3.5034,3.5034,0,0
19860721,3.5714,3.5714,3.5714,3.5714,0,0
